time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Supply Rate,Matière Première Utilisée,Production Rate,Finished Products,Recycling Rate,Recycled Materials,Inventory
19.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,191.25
19.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,192.5
19.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,193.75
19.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,195.0
19.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,196.25
19.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,197.5
19.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,198.75
20.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,200.0
20.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,201.25
20.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,202.5
20.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,203.75
20.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,205.0
20.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,206.25
20.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,207.5
20.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,208.75
21.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,210.0
21.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,211.25
21.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,212.5
21.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,213.75
21.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,215.0
21.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,216.25
21.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,217.5
21.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,218.75
22.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,220.0
22.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,221.25
22.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,222.5
22.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,223.75
22.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,225.0
22.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,226.25
22.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,227.5
22.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,228.75
23.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,230.0
23.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,231.25
23.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,232.5
23.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,233.75
23.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,235.0
23.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,236.25
23.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,237.5
23.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,238.75
24.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,240.0
24.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,241.25
24.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,242.5
24.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,243.75
24.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,245.0
24.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,246.25
24.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,247.5
24.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,248.75
25.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,250.0
25.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,251.25
25.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,252.5
25.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,253.75
25.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,255.0
25.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,256.25
25.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,257.5
25.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,258.75
26.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,260.0
26.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,261.25
26.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,262.5
26.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,263.75
26.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,265.0
26.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,266.25
26.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,267.5
26.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,268.75
27.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,270.0
27.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,271.25
27.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,272.5
27.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,273.75
27.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,275.0
27.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,276.25
27.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,277.5
27.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,278.75
28.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,280.0
28.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,281.25
28.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,282.5
28.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,283.75
28.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,285.0
28.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,286.25
28.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,287.5
28.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,288.75
29.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,290.0
29.125,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,291.25
29.25,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,292.5
29.375,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,293.75
29.5,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,295.0
29.625,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,296.25
29.75,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,297.5
29.875,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,298.75
30.0,30,0,0.125,0.125,100,100,95.0,10,0.2,19.0,300.0
