supplier_id,worst_risk_family,worst_risk_family_label,worst_risk_type,worst_impact_score,worst_impact_pct,worst_impact_explanation,worst_score_decisionnel_modele,worst_score_decisionnel_pct,worst_impact_metier_score,worst_impact_metier_pct,worst_impact_metier_kpi,worst_impact_metier_delta,worst_impact_metier_lecture,worst_cout_interpretation,tested_family_count,capacity_impact_pct,stock_impact_pct,lead_impact_pct,reliability_impact_pct,quality_impact_pct,upstream_impact_pct,cost_impact_pct,rank
SDC-VD0914690A,reliability,Fiabilite fournisseur,reliability,0.034835732,3.4836,volume utile perdu par fiabilite -36000000 ; flux expedies -36000000,0.034835732,3.4836,1.0,100.0,Volume utile perdu par fiabilite,-36000000,volume utile perdu par fiabilite -36000000 ; flux expedies -36000000,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,1.2655,0.4879,3.4836,0.3839,0.0,0.5338,11
SDC-VD0914360C,lead,Delai fournisseur,lead_time_extra_days,0.019913511,1.9914,cout +7.9%,0.019913511,1.9914,0.39458785,39.4588,Cout total,+7.9%,cout +7.9%,cout en hausse vs reference,7,0.0,0.0,1.9914,0.1228,1.0572,0.0,1.4426,12
SDC-VD0519670A,stock,Stock fournisseur,stock,0.007422827,0.7423,disponibilite -0.1 pts ; adherence -0.0 pts ; replanifications +1 ; jours stock MP zero +1 ; flux expedies -406890,0.007422827,0.7423,0.033333333,3.3333,Stock MP a zero,+1 j,disponibilite -0.1 pts ; adherence -0.0 pts ; replanifications +1 ; jours stock MP zero +1 ; flux expedies -406890,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,0.7423,0.1326,0.0001,0.0702,0.0,0.0121,13
SDC-VD0520132A,cost,Cout achat / transport,purchase_cost,0.00647915,0.6479,cout +2.6%,0.00647915,0.6479,0.129583,12.9583,Cout total,+2.6%,cout +2.6%,cout en hausse vs reference,7,0.0,0.0011,0.0,0.0022,0.0,0.0,0.6479,14
SDC-VD0910216A,quality,Qualite / release,quality_delay,0.002980779,0.2981,adherence -0.0 pts ; cout +1.2%,0.002980779,0.2981,0.0585034,5.8503,Cout total,+1.2%,adherence -0.0 pts ; cout +1.2%,cout en hausse vs reference,7,0.0,0.018,0.2974,0.0006,0.2981,0.0,0.0869,15
SDC-VD0901566A,cost,Cout achat / transport,purchase_cost,0.00279715,0.2797,cout +1.1%,0.00279715,0.2797,0.055943,5.5943,Cout total,+1.1%,cout +1.1%,cout en hausse vs reference,7,0.0,0.0,0.0,0.0293,0.0,0.0,0.2797,16
SDC-VD0975221A,cost,Cout achat / transport,purchase_cost,0.002012993,0.2013,cout +0.8%,0.002012993,0.2013,0.04025985,4.026,Cout total,+0.8%,cout +0.8%,cout en hausse vs reference,7,0.001,0.0015,0.0,0.0002,0.0,0.0,0.2013,17
SDC-VD0972460A,cost,Cout achat / transport,purchase_cost,0.001630523,0.1631,cout +0.7%,0.001630523,0.1631,0.03261045,3.261,Cout total,+0.7%,cout +0.7%,cout en hausse vs reference,7,0.001,0.0015,0.0,0.0002,0.0,0.0,0.1631,18
SDC-VD0949099A,cost,Cout achat / transport,purchase_cost,0.001623813,0.1624,cout +0.6%,0.001623813,0.1624,0.03247625,3.2476,Cout total,+0.6%,cout +0.6%,cout en hausse vs reference,7,0.001,0.0015,0.0,0.0002,0.0,0.0,0.1624,19
SDC-VD0960508A,cost,Cout achat / transport,purchase_cost,0.001623813,0.1624,cout +0.6%,0.001623813,0.1624,0.03247625,3.2476,Cout total,+0.6%,cout +0.6%,cout en hausse vs reference,7,0.001,0.0015,0.0,0.0002,0.0,0.0,0.1624,20
SDC-VD0993480A,reliability,Fiabilite fournisseur,reliability,0.00123371,0.1234,adherence -0.0 pts ; volume utile perdu par fiabilite -1020000 ; flux expedies -922560,0.00123371,0.1234,0.042034573,4.2035,Volume utile perdu par fiabilite,-1020000,adherence -0.0 pts ; volume utile perdu par fiabilite -1020000 ; flux expedies -922560,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,0.0148,0.09,0.1234,0.0253,0.0099,0.0273,21
SDC-VD0956464A,lead,Delai fournisseur,lead_time_extra_days,0.001127529,0.1128,cout +0.3%,0.001127529,0.1128,0.01490265,1.4903,Cout total,+0.3%,cout +0.3%,cout en hausse vs reference,7,0.0,0.0,0.1128,0.0,0.0198,0.0,0.0011,22
SDC-VD1091642A,cost,Cout achat / transport,purchase_cost,0.00090086,0.0901,cout +0.4%,0.00090086,0.0901,0.0180172,1.8017,Cout total,+0.4%,cout +0.4%,cout en hausse vs reference,7,0.0,0.0034,0.0,0.0005,0.0,0.0,0.0901,23
SDC-VD0518684A,cost,Cout achat / transport,purchase_cost,0.000673145,0.0673,cout +0.3%,0.000673145,0.0673,0.0134629,1.3463,Cout total,+0.3%,cout +0.3%,cout en hausse vs reference,7,0.0,0.0437,0.0,0.0003,0.0,0.0,0.0673,24
SDC-VD0989480A,stock,Stock fournisseur,stock,0.000453262,0.0453,adherence -0.0 pts ; flux expedies -458603,0.000453262,0.0453,0.009449609,0.945,Flux fournisseur expedies,-458603,adherence -0.0 pts ; flux expedies -458603,cout en baisse car flux/achats baissent: ne pas lire comme un gain,7,0.0,0.0453,0.0,0.0014,0.0,0.0,0.039,25
SDC-VD0500655A,stock,Stock fournisseur,stock,0.000408131,0.0408,adherence -0.0 pts ; cout +0.2%,0.000408131,0.0408,0.00790605,0.7906,Cout total,+0.2%,adherence -0.0 pts ; cout +0.2%,cout en hausse vs reference,7,0.0,0.0408,0.0,0.0003,0.0,0.0,0.0194,26
SDC-VD0990780A,stock,Stock fournisseur,stock,0.000383985,0.0384,adherence -0.0 pts ; cout +0.1%,0.000383985,0.0384,0.00742315,0.7423,Cout total,+0.1%,adherence -0.0 pts ; cout +0.1%,cout en hausse vs reference,7,0.0,0.0384,0.0,0.0003,0.0,0.0,0.0206,27
SDC-VD0518550B,capacity,Capacite fournisseur,capacity,0.0,0.0,aucune degradation KPI visible,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
SDC-VD0525906A,capacity,Capacite fournisseur,capacity,0.0,0.0,aucune degradation KPI visible,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
