case_id,supplier_id,risk_family,risk_family_label,risk_type,multiplier,event_start_day,event_end_day,impact_score,impact_pct,impact_explanation,fill_rate,fill_rate_delta_pts,ending_backlog,product_availability,product_availability_delta_pts,line_adherence,line_adherence_delta_pts,line_nervousness,line_nervousness_delta,production_replanning_count,production_replanning_delta,raw_material_stockout_days,raw_material_stockout_days_delta,material_delay_days,material_delay_days_delta,total_cost,total_cost_delta,total_cost_delta_pct,inventory_cost,inventory_cost_delta,total_unreliable_loss_qty,total_unreliable_loss_delta,total_shipped,total_shipped_delta,case_dir,score_decisionnel_modele,score_decisionnel_pct,impact_metier_score,impact_metier_pct,impact_metier_kpi,impact_metier_delta,impact_metier_lecture,cout_interpretation
SDC-VD0901566A__upstream,SDC-VD0901566A,upstream,Appro amont fournisseur,external_capacity,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612838.7956,0.0,0.0,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__upstream,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0901566A__cost,SDC-VD0901566A,cost,Cout achat / transport,purchase_cost,1.5,0,364,0.00279715,0.2797,cout +1.1%,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26910599.1527,297760.3571,1.11886,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0901566A__cost,0.00279715,0.2797,0.055943,5.5943,Cout total,+1.1%,cout +1.1%,cout en hausse vs reference
SDC-VD0993480A__capacity,SDC-VD0993480A,capacity,Capacite fournisseur,capacity,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612838.7956,0.0,0.0,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__capacity,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0993480A__stock,SDC-VD0993480A,stock,Stock fournisseur,stock,0.5,0,364,0.000148357,0.0148,flux expedies -360000,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26610750.5523,-2088.2433,-0.007847,2439969.4017,-3.7714,0.0,0.0,484954790.5279,-360000.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__stock,0.000148357,0.0148,0.007417866,0.7418,Flux fournisseur expedies,-360000,flux expedies -360000,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0993480A__lead,SDC-VD0993480A,lead,Delai fournisseur,lead_time_extra_days,30.0,0,364,0.000900076,0.09,cout +0.3%,1.0,0.0,0.0,0.995714286,0.0,0.94439367,0.001069,15.0,-1.0,60.0,0.0,58.0,0.0,0.0,0.0,26683845.4433,71006.6477,0.266814,2443763.9343,3790.7612,0.0,0.0,491725878.7932,6411088.2653,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__lead,0.000900076,0.09,0.0133407,1.3341,Cout total,+0.3%,cout +0.3%,cout en hausse vs reference
SDC-VD0993480A__reliability,SDC-VD0993480A,reliability,Fiabilite fournisseur,reliability,0.9,0,364,0.00123371,0.1234,adherence -0.0 pts ; volume utile perdu par fiabilite -1020000 ; flux expedies -922560,1.0,0.0,0.0,0.995714286,0.0,0.944372295,-0.001069,15.0,-1.0,60.0,0.0,58.0,0.0,0.0,0.0,26604875.0092,-7963.7864,-0.029925,2439886.4894,-86.6837,1020000.0,1020000.0,484392230.1606,-922560.3673,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__reliability,0.00123371,0.1234,0.042034573,4.2035,Volume utile perdu par fiabilite,-1020000,adherence -0.0 pts ; volume utile perdu par fiabilite -1020000 ; flux expedies -922560,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0993480A__quality,SDC-VD0993480A,quality,Qualite / release,quality_delay,14.0,0,364,0.000252531,0.0253,adherence -0.0 pts ; cout +0.1%,1.0,0.0,0.0,0.995714286,0.0,0.944372295,-0.001069,15.0,-1.0,60.0,0.0,58.0,0.0,0.0,0.0,26638355.3937,25516.5981,0.095881,2439899.6187,-73.5544,0.0,0.0,488234319.2422,2919528.7143,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__quality,0.000252531,0.0253,0.00479405,0.4794,Cout total,+0.1%,adherence -0.0 pts ; cout +0.1%,cout en hausse vs reference
SDC-VD0993480A__upstream,SDC-VD0993480A,upstream,Appro amont fournisseur,external_capacity,0.5,0,364,9.8905e-05,0.0099,flux expedies -240000,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26611379.7427,-1459.0529,-0.005483,2439954.2706,-18.9025,0.0,0.0,485074790.5279,-240000.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__upstream,9.8905e-05,0.0099,0.004945244,0.4945,Flux fournisseur expedies,-240000,flux expedies -240000,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0993480A__cost,SDC-VD0993480A,cost,Cout achat / transport,purchase_cost,1.5,0,364,0.000272575,0.0273,cout +0.1%,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26641854.7956,29016.0,0.10903,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0993480A__cost,0.000272575,0.0273,0.0054515,0.5452,Cout total,+0.1%,cout +0.1%,cout en hausse vs reference
SDC-VD0525412A__capacity,SDC-VD0525412A,capacity,Capacite fournisseur,capacity,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612838.7956,0.0,0.0,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__capacity,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
