month_index,year,month,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite
33,2028,9,aucun,aucun,0.0,0.446874394135933,0.7445721901313118,0.13748953974895398,truck,nominal,0,0,0,0,0,0,0,0
34,2028,10,aucun,aucun,0.0,0.4420028492847436,0.7563553292017591,0.1386610878661088,truck,nominal,0,0,0,0,0,0,0,0
35,2028,11,aucun,aucun,0.0,0.4518971332300126,0.7778206999541778,0.13983263598326362,truck,nominal,0,0,0,0,0,0,0,0
36,2028,12,aucun,aucun,0.0,0.47019250136959034,0.7992441867025766,0.14100418410041843,truck,nominal,0,0,0,0,0,0,0,0
37,2029,1,aucun,aucun,0.0,0.4921356913019651,0.8114679341139092,0.14217573221757324,truck,nominal,0,0,0,0,0,0,0,0
38,2029,2,aucun,aucun,0.0,0.511999305221446,0.8146650342385883,0.14334728033472804,truck,nominal,0,0,0,0,0,0,0,0
39,2029,3,aucun,aucun,0.0,0.4923213864339096,0.7951563623867364,0.14451882845188285,truck,nominal,0,0,0,0,0,0,0,0
40,2029,4,aucun,aucun,0.0,0.5267650610354416,0.7962162487577882,0.14569037656903766,truck,nominal,0,0,0,0,0,0,0,0
41,2029,5,aucun,aucun,0.0,0.5218787160881317,0.7825305913794925,0.14686192468619247,truck,nominal,0,0,0,0,0,0,0,0
42,2029,6,aucun,aucun,0.0,0.5094942252635559,0.7805800672943028,0.14803347280334728,truck,nominal,0,0,0,0,0,0,0,0
43,2029,7,canicule,site en surchauffe,1.1757085188284542,0.6205828758929776,0.8198239495121407,0.14920502092050208,truck,tendu,1,0,0,0,0,0,0,0
44,2029,8,canicule,site en surchauffe + capacite d'appoint,1.1981676421960756,0.7153011690543338,0.822343966317476,0.15037656903765692,truck,tendu,1,0,0,0,0,0,1,0
45,2029,9,aucun,capacite d'appoint,0.0,0.5481681315190128,0.7644438614404359,0.15154811715481173,truck,nominal,0,0,0,0,0,0,1,0
46,2029,10,aucun,aucun,0.0,0.44898659106650124,0.7634223888186712,0.15271966527196654,truck,nominal,0,0,0,0,0,0,0,0
47,2029,11,aucun,aucun,0.0,0.4588403202842844,0.7847999909444733,0.15389121338912135,truck,nominal,0,0,0,0,0,0,0,0
48,2029,12,aucun,aucun,0.0,0.47706264884945476,0.8036743850201572,0.15506276150627618,truck,nominal,0,0,0,0,0,0,0,0
49,2030,1,aucun,aucun,0.0,0.4989187342992556,0.8134830788007368,0.156234309623431,truck,nominal,0,0,0,0,0,0,0,0
50,2030,2,aucun,aucun,0.0,0.5187033423571636,0.8185876851333986,0.1574058577405858,truck,nominal,0,0,0,0,0,0,0,0
51,2030,3,aucun,aucun,0.0,0.5312696894484585,0.8130394752921948,0.1585774058577406,truck,nominal,0,0,0,0,0,0,0,0
52,2030,4,aucun,aucun,0.0,0.5334077120311523,0.8004908728741422,0.1597489539748954,truck,nominal,0,0,0,0,0,0,0,0
53,2030,5,aucun,aucun,0.0,0.5285381073763102,0.7859395882156535,0.16092050209205022,truck,nominal,0,0,0,0,0,0,0,0
54,2030,6,aucun,aucun,0.0,0.5161993067916122,0.7850839779980898,0.16209205020920503,truck,nominal,0,0,0,0,0,0,0,0
55,2030,7,aucun,aucun,0.0,0.4973203944383279,0.7789417596967496,0.16326359832635984,truck,nominal,0,0,0,0,0,0,0,0
56,2030,8,aucun,aucun,0.0,0.4768891173672913,0.768644172906874,0.16443514644351465,truck,nominal,0,0,0,0,0,0,0,0
57,2030,9,aucun,aucun,0.0,0.4607548780009722,0.7564582690058135,0.16560669456066945,truck,nominal,0,0,0,0,0,0,0,0
58,2030,10,tempete / inondation,desorganisation logistique,5.778425573221755,0.5880798224466487,0.7896531586944867,0.30482845188284513,truck,tendu,0,0,1,0,0,0,0,0
59,2030,11,tempete / inondation,desorganisation logistique + capacite d'appoint,7.75379860207687,0.9167239110483719,0.8673677138400934,0.30652719665271966,truck,tendu,0,0,1,0,0,0,1,0
60,2030,12,aucun,capacite d'appoint,0.0,0.7887465616213903,0.8643088482284215,0.1691213389121339,truck,nominal,0,0,0,0,0,0,1,0
61,2031,1,aucun,aucun,0.0,0.5056494976431147,0.8231747121593069,0.17029288702928871,truck,nominal,0,0,0,0,0,0,0,0
62,2031,2,aucun,aucun,0.0,0.5159893038380522,0.8205024321815253,0.17146443514644352,truck,nominal,0,0,0,0,0,0,0,0
63,2031,3,aucun,aucun,0.0,0.5378715415882274,0.8190464963512093,0.17263598326359836,truck,nominal,0,0,0,0,0,0,0,0
64,2031,4,aucun,aucun,0.0,0.5399992147089154,0.80632374644233,0.17380753138075317,truck,nominal,0,0,0,0,0,0,0,0
65,2031,5,secheresse,stress matiere / eau,1.6994675529396375,0.6093604862594659,0.8407235626863115,0.5658472803347281,truck,tendu,0,1,0,0,0,0,0,0
66,2031,6,secheresse,stress matiere / eau + capacite d'appoint,1.7969171271074842,0.6961030903374427,0.8493184445217998,0.5683995815899583,truck,tendu,0,1,0,0,0,0,1,0
67,2031,7,secheresse,stress matiere / eau + capacite d'appoint,1.745477264171388,0.6757895247880324,0.8470642529655457,0.5709518828451883,truck,tendu,0,1,0,0,0,0,1,0
68,2031,8,aucun,capacite d'appoint,0.0,0.5705013311216041,0.7957769865346619,0.1784937238493724,truck,nominal,0,0,0,0,0,0,1,0
69,2031,9,aucun,aucun,0.0,0.467615088670861,0.7685736710158012,0.1796652719665272,truck,nominal,0,0,0,0,0,0,0,0
70,2031,10,aucun,aucun,0.0,0.4627930604453377,0.778189962162,0.18083682008368201,truck,nominal,0,0,0,0,0,0,0,0
71,2031,11,aucun,aucun,0.0,0.47256666646427875,0.7980289916571172,0.18200836820083682,truck,nominal,0,0,0,0,0,0,0,0
72,2031,12,aucun,aucun,0.0,0.49064464998302254,0.8143968200839733,0.18317991631799163,truck,nominal,0,0,0,0,0,0,0,0
73,2032,1,aucun,aucun,0.0,0.5123285834238888,0.82708513631488,0.18435146443514644,truck,nominal,0,0,0,0,0,0,0,0
74,2032,2,aucun,aucun,0.0,0.5319570489196964,0.8293915127079827,0.18552301255230128,truck,nominal,0,0,0,0,0,0,0,0
75,2032,3,aucun,aucun,0.0,0.5444227383316625,0.8234343422218153,0.18669456066945606,truck,nominal,0,0,0,0,0,0,0,0
76,2032,4,aucun,aucun,0.0,0.5231970777690691,0.8014721527559892,0.1878661087866109,truck,nominal,0,0,0,0,0,0,0,0
77,2032,5,secheresse,stress matiere / eau,1.7269131094249914,0.6174155097659186,0.8459515675077789,0.5964748953974897,truck,tendu,0,1,0,0,0,0,0,0
78,2032,6,secheresse,stress matiere / eau + capacite d'appoint,1.8265583281116662,0.7054914215382178,0.8551192487756466,0.5990271966527198,truck,tendu,0,1,0,0,0,0,1,0
79,2032,7,canicule + secheresse,site en surchauffe + stress matiere / eau + capacite d'appoint + recalage qualite,3.040152666658045,0.8752553726570926,0.8958210166221486,0.6015794979079498,truck,tendu,1,1,0,0,0,0,1,1
80,2032,8,canicule,site en surchauffe + capacite d'appoint + recalage qualite,1.3739124500616704,0.93604589109881,0.884466008348994,0.19255230125523015,truck,crise,1,0,0,0,0,0,1,1
81,2032,9,aucun,capacite d'appoint,0.0,0.5996511684223829,0.788869352521382,0.19372384937238496,truck,nominal,0,0,0,0,0,0,1,0
82,2032,10,aucun,aucun,0.0,0.46961702073058176,0.7835572920015095,0.19489539748953977,truck,nominal,0,0,0,0,0,0,0,0
83,2032,11,aucun,aucun,0.0,0.4793510503369297,0.8028797998940082,0.19606694560669458,truck,nominal,0,0,0,0,0,0,0,0
84,2032,12,aucun,aucun,0.0,0.4973577147257898,0.8188624108232223,0.19723849372384938,truck,nominal,0,0,0,0,0,0,0,0
85,2033,1,aucun,aucun,0.0,0.5189565845218028,0.8311610961858049,0.1984100418410042,truck,nominal,0,0,0,0,0,0,0,0
86,2033,2,aucun,aucun,0.0,0.5385078986447458,0.8332908755568224,0.199581589958159,truck,nominal,0,0,0,0,0,0,0,0
87,2033,3,aucun,aucun,0.0,0.5509238604618211,0.8273611679599387,0.2007531380753138,truck,nominal,0,0,0,0,0,0,0,0
88,2033,4,aucun,aucun,0.0,0.5242233655615981,0.803946586152907,0.20192468619246862,truck,nominal,0,0,0,0,0,0,0,0
89,2033,5,aucun,aucun,0.0,0.5482110660090505,0.8025230619078293,0.20309623430962345,truck,nominal,0,0,0,0,0,0,0,0
90,2033,6,aucun,aucun,0.0,0.5360073398343694,0.8012646406872448,0.20426778242677823,truck,nominal,0,0,0,0,0,0,0,0
91,2033,7,aucun,aucun,0.0,0.517338305385488,0.7961678494898835,0.20543933054393307,truck,nominal,0,0,0,0,0,0,0,0
92,2033,8,aucun,aucun,0.0,0.4971345428909244,0.7854805681431457,0.20661087866108788,truck,nominal,0,0,0,0,0,0,0,0
93,2033,9,aucun,aucun,0.0,0.4811785002796287,0.7758012118485831,0.2077824267782427,truck,nominal,0,0,0,0,0,0,0,0
94,2033,10,aucun,aucun,0.0,0.4763889375364949,0.7863946440563577,0.20895397489539752,truck,nominal,0,0,0,0,0,0,0,0
95,2033,11,aucun,aucun,0.0,0.4860837089998637,0.8055280666518669,0.21012552301255233,truck,nominal,0,0,0,0,0,0,0,0
96,2033,12,aucun,aucun,0.0,0.5040196142609199,0.8239337955590127,0.21129707112970714,truck,nominal,0,0,0,0,0,0,0,0
97,2034,1,aucun,aucun,0.0,0.5255340847823982,0.8340857812102737,0.21246861924686195,truck,nominal,0,0,0,0,0,0,0,0
98,2034,2,aucun,aucun,0.0,0.5450088512141208,0.8361506417703152,0.21364016736401675,truck,nominal,0,0,0,0,0,0,0,0
99,2034,3,aucun,aucun,0.0,0.49953870805733563,0.8100452836405708,0.21481171548117156,truck,nominal,0,0,0,0,0,0,0,0
100,2034,4,aucun,aucun,0.0,0.5594726730005077,0.8182959068738156,0.21598326359832637,truck,nominal,0,0,0,0,0,0,0,0
101,2034,5,aucun,aucun,0.0,0.5546689159610317,0.8062007196813444,0.21715481171548118,truck,nominal,0,0,0,0,0,0,0,0
102,2034,6,aucun,aucun,0.0,0.5425095611950038,0.8048625505600345,0.21832635983263599,truck,nominal,0,0,0,0,0,0,0,0
103,2034,7,aucun,aucun,0.0,0.5239094538217215,0.7981554807089654,0.2194979079497908,truck,nominal,0,0,0,0,0,0,0,0
104,2034,8,aucun,aucun,0.0,0.5037804085597879,0.7892673375247837,0.22066945606694563,truck,nominal,0,0,0,0,0,0,0,0
105,2034,9,aucun,aucun,0.0,0.4878828944946729,0.7801963060123218,0.22184100418410044,truck,nominal,0,0,0,0,0,0,0,0
106,2034,10,tempete / inondation,desorganisation logistique,6.217554476987447,0.6291579126827244,0.8121573469402237,0.3863682008368201,truck,tendu,0,0,1,0,0,0,0,0
107,2034,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,8.333448755047584,0.977987956291152,0.8951690900201437,0.3880669456066946,truck,crise,0,0,1,1,0,0,1,1
108,2034,12,aucun,capacite d'appoint + recalage qualite,0.0,0.9385861016476374,0.9057407205449779,0.22535564853556486,truck,tendu,0,0,0,0,0,0,1,1
109,2035,1,aucun,aucun,0.0,0.554230894987473,0.8394821826445833,0.2265271966527197,truck,nominal,0,0,0,0,0,0,0,0
110,2035,2,aucun,aucun,0.0,0.41539001151745447,0.7894114434850645,0.2276987447698745,truck,nominal,0,0,0,0,0,0,0,0
111,2035,3,aucun,aucun,0.0,0.5637781599586495,0.8345963909727323,0.22887029288702931,truck,nominal,0,0,0,0,0,0,0,0
112,2035,4,aucun,aucun,0.0,0.5658653782852964,0.8228616332374451,0.23004184100418412,truck,nominal,0,0,0,0,0,0,0,0
113,2035,5,aucun,aucun,0.0,0.5610778101838999,0.8111256316878102,0.23121338912133893,truck,nominal,0,0,0,0,0,0,0,0
114,2035,6,aucun,aucun,0.0,0.548962506020171,0.8081562985823989,0.23238493723849374,truck,nominal,0,0,0,0,0,0,0,0
115,2035,7,canicule,site en surchauffe,1.3034648368200834,0.6846619088072041,0.852711330743434,0.23355648535564855,truck,tendu,1,0,0,0,0,0,0,0
116,2035,8,canicule,site en surchauffe + capacite d'appoint,1.3335893392672062,0.7918859588939756,0.855977198696655,0.23472803347280335,truck,tendu,1,0,0,0,0,0,1,0
117,2035,9,aucun,capacite d'appoint,0.0,0.5970568353787136,0.798264399679977,0.23589958158995816,truck,nominal,0,0,0,0,0,0,1,0
118,2035,10,aucun,aucun,0.0,0.4897790041677955,0.7973224072586308,0.237071129707113,truck,nominal,0,0,0,0,0,0,0,0
119,2035,11,aucun,aucun,0.0,0.49939619895985854,0.8159467148834872,0.2382426778242678,truck,nominal,0,0,0,0,0,0,0,0
120,2035,12,aucun,aucun,0.0,0.517192239816025,0.831843439505519,0.23941422594142261,truck,nominal,0,0,0,0,0,0,0,0
121,2036,1,tempete / inondation,desorganisation logistique,6.963848926080891,0.663031069457565,0.8505051874354214,0.37129288702928875,truck,tendu,0,0,1,0,0,0,0,0
122,2036,2,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.444424633782571,1.0,0.9046570824248683,0.37287866108786616,truck,crise,0,0,1,1,0,0,1,1
123,2036,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.902095718924521,0.24292887029288704,truck,crise,0,0,0,1,0,0,1,1
124,2036,4,aucun,aucun,0.0,0.6478824609260299,0.8269035509613777,0.24410041841004185,truck,nominal,0,0,0,0,0,0,0,0
125,2036,5,secheresse,stress matiere / eau,1.8366953353664144,0.5381320855864165,0.836631857028853,0.7189853556485357,truck,tendu,0,1,0,0,0,0,0,0
126,2036,6,secheresse,stress matiere / eau + capacite d'appoint,1.9451231321284048,0.7424955012491304,0.8714846558192312,0.7215376569037657,truck,tendu,0,1,0,0,0,0,1,0
127,2036,7,secheresse,stress matiere / eau + capacite d'appoint,1.8945615269998406,0.7227611678331379,0.8700506625180457,0.7240899581589959,truck,tendu,0,1,0,0,0,0,1,0
128,2036,8,aucun,capacite d'appoint,0.0,0.609312322866346,0.818672027022189,0.2487866108786611,truck,nominal,0,0,0,0,0,0,1,0
129,2036,9,aucun,aucun,0.0,0.5011399754326586,0.7948717253309961,0.24995815899581592,truck,nominal,0,0,0,0,0,0,0,0
130,2036,10,aucun,aucun,0.0,0.4963983134453858,0.8034258672798573,0.2511297071129707,truck,nominal,0,0,0,0,0,0,0,0
131,2036,11,aucun,aucun,0.0,0.5059771822621899,0.8208877102124295,0.25230125523012553,truck,nominal,0,0,0,0,0,0,0,0
132,2036,12,aucun,aucun,0.0,0.523704105016829,0.8351371994013883,0.2534728033472804,truck,nominal,0,0,0,0,0,0,0,0
133,2037,1,tempete / inondation,desorganisation logistique,7.073631152022315,0.7013159231933687,0.8620450004404955,0.3903221757322176,truck,tendu,0,0,1,0,0,0,0,0
134,2037,2,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.58933717202525,1.0,0.9065894863385985,0.391907949790795,truck,crise,0,0,1,1,0,0,1,1
135,2037,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.903708265401166,0.2569874476987448,truck,crise,0,0,0,1,0,0,1,1
136,2037,4,aucun,aucun,0.0,0.6550118340304468,0.8315372594162349,0.25815899581589963,truck,nominal,0,0,0,0,0,0,0,0
137,2037,5,secheresse,stress matiere / eau,1.864140891851772,0.6535307596227692,0.8681527214365292,0.7496129707112973,truck,tendu,0,1,0,0,0,0,0,0
138,2037,6,secheresse,stress matiere / eau + capacite d'appoint,1.9747643331325868,0.7516116128094144,0.8761104059636765,0.7521652719665273,truck,tendu,0,1,0,0,0,0,1,0
139,2037,7,secheresse,stress matiere / eau + capacite d'appoint,1.9243783795655283,0.7319907838287953,0.8746891040153949,0.7547175732217575,truck,tendu,0,1,0,0,0,0,1,0
140,2037,8,aucun,capacite d'appoint,0.0,0.6168964065122566,0.8235548082477347,0.26284518828451886,truck,nominal,0,0,0,0,0,0,1,0
141,2037,9,aucun,aucun,0.0,0.5076938021388421,0.8006264660587133,0.26401673640167367,truck,nominal,0,0,0,0,0,0,0,0
142,2037,10,aucun,aucun,0.0,0.5029678984827326,0.8090986228671568,0.2651882845188285,truck,nominal,0,0,0,0,0,0,0,0
143,2037,11,aucun,aucun,0.0,0.512508744697668,0.8265868070086151,0.2663598326359833,truck,nominal,0,0,0,0,0,0,0,0
144,2037,12,aucun,aucun,0.0,0.530167083700068,0.8406477334083731,0.2675313807531381,truck,nominal,0,0,0,0,0,0,0,0
145,2038,1,aucun,aucun,0.0,0.5513504476411554,0.8508338385637936,0.2687029288702929,truck,nominal,0,0,0,0,0,0,0,0
146,2038,2,aucun,aucun,0.0,0.5705249206944747,0.8520956624815524,0.2698744769874477,truck,nominal,0,0,0,0,0,0,0,0
147,2038,3,aucun,aucun,0.0,0.582698069477081,0.846171781341327,0.2710460251046025,truck,nominal,0,0,0,0,0,0,0,0
148,2038,4,aucun,aucun,0.0,0.524250258750153,0.8151763156398883,0.2722175732217573,truck,nominal,0,0,0,0,0,0,0,0
149,2038,5,aucun,aucun,0.0,0.5800162627483004,0.823463780369401,0.27338912133891213,truck,nominal,0,0,0,0,0,0,0,0
150,2038,6,aucun,aucun,0.0,0.5680312198929726,0.8226554610461713,0.27456066945606694,truck,nominal,0,0,0,0,0,0,0,0
151,2038,7,canicule,site en surchauffe,1.3673429958158998,0.7164676059493885,0.8696884798821342,0.27573221757322175,truck,tendu,1,0,0,0,0,0,0,0
152,2038,8,canicule,site en surchauffe + capacite d'appoint + recalage qualite,1.4013001878027715,0.8298717322426279,0.8817552428260443,0.2769037656903766,truck,tendu,1,0,0,0,0,0,1,1
153,2038,9,aucun,capacite d'appoint,0.0,0.6464120789310616,0.8133618888103697,0.27807531380753137,truck,nominal,0,0,0,0,0,0,1,0
154,2038,10,tempete / inondation,desorganisation logistique,6.656683380753137,0.6697695987121194,0.8332640242690909,0.467907949790795,truck,tendu,0,0,1,0,0,0,0,0
155,2038,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,8.913098908018295,1.0,0.902776812636445,0.4696066945606695,truck,crise,0,0,1,1,0,0,1,1
156,2038,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,0.9854550326779431,0.9105780050854959,0.2815899581589958,truck,crise,0,0,0,1,0,0,1,1
157,2039,1,aucun,aucun,0.0,0.6314355717508346,0.8558496160851605,0.28276150627615065,truck,nominal,0,0,0,0,0,0,0,0
158,2039,2,aucun,aucun,0.0,0.49230449039855256,0.8317329424313299,0.28393305439330546,truck,nominal,0,0,0,0,0,0,0,0
159,2039,3,aucun,aucun,0.0,0.5889104565982783,0.8496714820578603,0.28510460251046027,truck,nominal,0,0,0,0,0,0,0,0
160,2039,4,aucun,aucun,0.0,0.5909586699108546,0.8391422311970165,0.2862761506276151,truck,nominal,0,0,0,0,0,0,0,0
161,2039,5,aucun,aucun,0.0,0.5862347972215644,0.829450474077099,0.2874476987447699,truck,nominal,0,0,0,0,0,0,0,0
162,2039,6,aucun,aucun,0.0,0.5742925558391789,0.8289190585346541,0.28861924686192475,truck,nominal,0,0,0,0,0,0,0,0
163,2039,7,canicule,site en surchauffe,1.388635715481172,0.7270351457556883,0.8773608402022227,0.28979079497907956,truck,tendu,1,0,0,0,0,0,0,0
164,2039,8,canicule,site en surchauffe + capacite d'appoint + recalage qualite,1.4238704706479588,0.8424886350687042,0.8903678868716814,0.2909623430962343,truck,tendu,1,0,0,0,0,0,1,1
165,2039,9,aucun,capacite d'appoint,0.0,0.6544828677029417,0.8207298653447024,0.2921338912133892,truck,nominal,0,0,0,0,0,0,1,0
166,2039,10,tempete / inondation,desorganisation logistique,6.76646560669456,0.6798505741090197,0.8380138315465203,0.48829288702928875,truck,tendu,0,0,1,0,0,0,0,0
167,2039,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.05801144626097,1.0,0.9035079511536767,0.48999163179916316,truck,crise,0,0,1,1,0,0,1,1
168,2039,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,0.9969311909688512,0.9122341663987662,0.2956485355648536,truck,crise,0,0,0,1,0,0,1,1
169,2040,1,aucun,aucun,0.0,0.6385531795077639,0.8585711148576952,0.2968200836820084,truck,nominal,0,0,0,0,0,0,0,0
170,2040,2,aucun,aucun,0.0,0.5829979383171022,0.858921496147825,0.2979916317991632,truck,nominal,0,0,0,0,0,0,0,0
171,2040,3,aucun,aucun,0.0,0.5950765960676341,0.8540205949962083,0.299163179916318,truck,nominal,0,0,0,0,0,0,0,0
172,2040,4,aucun,aucun,0.0,0.5971152758116812,0.8436366656916989,0.30033472803347283,truck,nominal,0,0,0,0,0,0,0,0
173,2040,5,aucun,aucun,0.0,0.5924070669806674,0.8335178462276104,0.30150627615062764,truck,nominal,0,0,0,0,0,0,0,0
174,2040,6,canicule,site en surchauffe + recalage qualite,1.4561393402713918,0.7684374553275494,0.8871721750855062,0.30267782426778245,truck,tendu,1,0,0,0,0,0,0,1
175,2040,7,canicule,site en surchauffe + capacite d'appoint + recalage qualite,1.4991272223409702,0.9307554052702334,0.90824295082177,0.30384937238493726,truck,crise,1,0,0,0,0,0,1,1
176,2040,8,canicule,site en surchauffe + capacite d'appoint + recalage qualite,1.453610454783398,0.9022221479599498,0.8921129870253268,0.30502092050209206,truck,tendu,1,0,0,0,0,0,1,1
177,2040,9,aucun,capacite d'appoint,0.0,0.6626832753421599,0.824509818572864,0.30619246861924687,truck,nominal,0,0,0,0,0,0,1,0
178,2040,10,tempete / inondation,desorganisation logistique,6.876247832635983,0.6899030154328057,0.841736927483337,0.5086778242677824,truck,tendu,0,0,1,0,0,0,0,0
179,2040,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.202923984503649,1.0,0.9048247444139963,0.5103765690376569,truck,crise,0,0,1,1,0,0,1,1
180,2040,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9137792329366287,0.3097071129707113,truck,crise,0,0,0,1,0,0,1,1
181,2041,1,tempete / inondation,desorganisation logistique,7.512760055788005,0.8368284493123779,0.8905445016654212,0.46643933054393305,truck,tendu,0,0,1,0,0,0,0,0
182,2041,2,tempete / inondation,desorganisation logistique + capacite d'appoint,10.16898732499596,0.9030284822857774,0.8903993312242362,0.4680251046025105,truck,crise,0,0,1,0,0,0,1,0
183,2041,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,0.9779437195325117,0.9162629635662649,0.3132217573221757,truck,crise,0,0,0,1,0,0,1,1
184,2041,4,aucun,aucun,0.0,0.6830007171557376,0.8463326232737062,0.3143933054393306,truck,nominal,0,0,0,0,0,0,0,0
185,2041,5,secheresse,stress matiere / eau,1.9739231177931948,0.6482983332520014,0.8795470656960829,0.8721234309623431,truck,tendu,0,1,0,0,0,0,0,0
