activity_name,name,amount,database,location,unit,type,formula,original_amount,reference_product,unknown,categories
Bumper version porte,Bumper version porte,1.0,OPERA,FR,unit,production,,,Bumper version porte,,
Bumper version porte,"compressed air production, 1000 kPa gauge, <30kW, average generation",0.00182,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,bvp_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Bumper version porte,"market for aluminium, primary, ingot",0.02411,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,bvp_m_alu5086-bvp_eol_alu5086,1.0,"aluminium, primary, ingot",,
Bumper version porte,"market for carton board box production, with gravure printing",0.15,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,bvp_m_box_pack,1.0,"carton board box production, with gravure printing",,
Bumper version porte,"market for copper, cathode",0.00659,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,bvp_m_cu_alli,1.0,"copper, cathode",,
Bumper version porte,"market for electricity, low voltage",0.007575,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,bvp_elec_alu5086/3.6+bvp_elec_alli/3.6+bvp_elec_acier/3.6,1.0,"electricity, low voltage",,
Bumper version porte,market for kraft paper,0.0167,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bvp_m_pap_pack,1.0,kraft paper,,
Bumper version porte,market for lubricating oil,3.19e-06,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bvp_lub_alu5086,1.0,lubricating oil,,
Bumper version porte,market for polycarbonate,0.159,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bvp_m_pc_copo,1.0,polycarbonate,,
Bumper version porte,market for scrap steel,0.00238,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,bvp_eol_acier,1.0,scrap steel,,
Bumper version porte,market for solvent for paint,0.0024,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,bvp_solv_alu5086,1.0,solvent for paint,,
Bumper version porte,"market for transport, freight, lorry 16-32 metric ton, EURO5",2.51,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,bvp_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Bumper version porte,"steel production, converter, low-alloyed",0.02402,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-bvp_eol_acier+bvp_m_steel_acier,1.0,"steel, low-alloyed",,
Bumper version porte,"treatment of aluminium scrap, new, at remelter",0.00359,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,bvp_eol_alu5086,1.0,"aluminium, wrought alloy",,
Capot NFC,Capot NFC,1.0,OPERA,GLO,unit,production,,,Capot NFC,,
Capot NFC,folding boxboard carton production,0.113,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,cnfc_box_pack,1.0,folding boxboard carton,,
Capot NFC,market for kraft paper,0.0125,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,cnfc_pap_pack,1.0,kraft paper,,
Capot NFC,"market for transport, freight, lorry 16-32 metric ton, EURO4",0.0466,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,cnfc_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Capot NFC,"polyvinylchloride production, suspension polymerisation",0.0725,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,cnfc_pvc_kyr,1.0,"polyvinylchloride, suspension polymerised",,
Ceinture de securite,Ceinture de securite,1.0,OPERA,FR,unit,production,,,Ceinture de securite,,
Ceinture de securite,"market for electricity, low voltage",0.06388888888888888,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,ceint_elec_acier/3.6,1.0,"electricity, low voltage",,
Ceinture de securite,market for folding boxboard carton,0.01,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ceint_box_pack,1.0,folding boxboard carton,,
Ceinture de securite,market for nylon 6-6,0.18,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ceint_m_pa66_nyl,1.0,nylon 6-6,,
Ceinture de securite,market for scrap steel,0.0713,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,ceint_eol_acier,1.0,scrap steel,,
Ceinture de securite,"market for transport, freight, aircraft, medium haul",8.71,ecoinvent-3.10-cutoff,GLO,ton kilometer,technosphere,ceint_plane_pack,1.0,"transport, freight, aircraft, medium haul",,
Ceinture de securite,"market for wastewater, average",-0.000135,ecoinvent-3.10-cutoff,Europe without Switzerland,cubic meter,technosphere,-ceint_waste_wat_pack/1000,1.0,"wastewater, average",,
Ceinture de securite,"polyethylene production, low density, granulate",0.09,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ceint_pe_pack,1.0,"polyethylene, low density, granulate",,
Ceinture de securite,"steel production, converter, low-alloyed",0.7197,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-ceint_eol_acier+ceint_m_acier,1.0,"steel, low-alloyed",,
Coussin Ottoman,Coussin Ottoman,1.0,OPERA,GLO,unit,production,,,Coussin Ottoman,,
Coussin Ottoman,folding boxboard carton production,0.72,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_ott_box_pack,1.0,folding boxboard carton,,
Coussin Ottoman,market for kraft paper,0.08,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_ott_pap_box,1.0,kraft paper,,
Coussin Ottoman,market for nylon 6-6,0.017,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_ott_pa66_vel,1.0,nylon 6-6,,
Coussin Ottoman,"market for polyurethane, flexible foam",1.017,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_ott_pu_frm+c_ott_pu_vel,1.0,"polyurethane, flexible foam",,
Coussin Ottoman,"market for transport, freight, lorry 16-32 metric ton, EURO4",4.79,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,c_ott_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Coussin Ottoman,market for wood wool,0.305,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_ott_tiss,1.0,wood wool,,
Coussin Ottoman,"polyvinylchloride production, suspension polymerisation",0.0389,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_ott_pvc_kyr,1.0,"polyvinylchloride, suspension polymerised",,
Coussin tetiere,Coussin tetiere,1.0,OPERA,GLO,unit,production,,,Coussin tetiere,,
Coussin tetiere,folding boxboard carton production,0.15,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_tet_box_pack,1.0,folding boxboard carton,,
Coussin tetiere,market for kraft paper,0.0167,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_tet_pap_pack,1.0,kraft paper,,
Coussin tetiere,market for nylon 6-6,0.005,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_tet_m_pa66_vel+c_tet_m_pa66_velcro,1.0,nylon 6-6,,
Coussin tetiere,"market for polyurethane, flexible foam",0.126,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_tet_m_pu+c_tet_m_pu_vel+c_tet_m_pu_velcro,1.0,"polyurethane, flexible foam",,
Coussin tetiere,"market for transport, freight, lorry 16-32 metric ton, EURO4",0.862,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,c_tet_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Coussin tetiere,market for wood wool,0.181,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,c_tet_tissu,1.0,wood wool,,
ENS Structure fauteuil,ENS Structure fauteuil,1.0,OPERA,FR,unit,production,,,ENS Structure fauteuil,,
ENS Structure fauteuil,"compressed air production, 700 kPa gauge, >30kW, average generation",0.0985,ecoinvent-3.10-cutoff,RoW,cubic meter,technosphere,air_5086_SF,1.0,"compressed air, 700 kPa gauge",,
ENS Structure fauteuil,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.016416666666666673,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,inc_nylon_SF/3.6+inc_f6_SF/3.6+inc_ertalon_SF/3.6,1.0,"electricity, medium voltage",,
ENS Structure fauteuil,"glass fibre reinforced plastic production, polyamide, injection moulded",0.0225,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_gf_ixef_SF,1.0,"glass fibre reinforced plastic, polyamide, injection moulded",,
ENS Structure fauteuil,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.10544,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,energy_val_nylon_SF+en_valo_f6_SF+en_valo_ertalon_SF,1.0,"heat, district or industrial, other than natural gas",,
ENS Structure fauteuil,"market for aluminium, primary, ingot",14.506347400000003,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,m_al_2024_SF+m_al_5086_SF+m_al_alu_SF+m_al_2017_SF- eol_al_2017_SF- eol_al_2024_SF- eol_alu_SF- eol_al_5086_SF,1.0,"aluminium, primary, ingot",,
ENS Structure fauteuil,market for corrugated board box,2.5,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_box_SF,1.0,corrugated board box,,
ENS Structure fauteuil,"market for electricity, low voltage",6.447726055555556,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,elec_30nc6_SF/ 3.6+elec_ertalon_SF/3.6+elec_alu_SF/ 3.6+elec_f6_SF/3.6+inc_nylon_SF / 3.6+inc_f6_SF/3.6+inc_ertalon_SF/3.6+elec_al_2017_SF/ 3.6+elec_al_2024_SF/ 3.6+elec_al_5086_SF/ 3.6+elec_air_5086_SF / 3.6+elec_30ncd_SF/ 3.6+elec_inox_SF/ 3.6+elec_acier_SF/ 3.6+elec_nylon_SF/ 3.6+elec_z15_SF/ 3.6+elec_z10_SF/ 3.6,1.0,"electricity, low voltage",,
ENS Structure fauteuil,market for lubricating oil,0.000173,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,lub_5086_SF,1.0,lubricating oil,,
ENS Structure fauteuil,"market for nylon 6, glass-filled",0.164,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_pa6_ertalon_SF,1.0,"nylon 6, glass-filled",,
ENS Structure fauteuil,market for nylon 6-6,0.0242,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_nylon_SF+m_pa66_velcro_SF,1.0,nylon 6-6,,
ENS Structure fauteuil,market for polyacrylamide,0.0225,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,m_pacri_ixef_SF,1.0,polyacrylamide,,
ENS Structure fauteuil,market for polycarbonate,0.278,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_pc_f6_SF,1.0,polycarbonate,,
ENS Structure fauteuil,"market for polyurethane, flexible foam",0.011,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_pu_velcro,1.0,"polyurethane, flexible foam",,
ENS Structure fauteuil,market for scrap steel,1.14038,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,eol_z10_SF+eol_z15_SF+eol_30cn_SF+eol_acier_SF+eol_inox_SF+eol_steel_30ncd_SF,1.0,scrap steel,,
ENS Structure fauteuil,"market for selective coat, stainless steel sheet, black chrome",0.944,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,m_pass_al_2017_SF,1.0,"selective coat, stainless steel sheet, black chrome",,
ENS Structure fauteuil,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,m_eau_nylon_SF+m_water_f6_SF,1.0,tap water,,
ENS Structure fauteuil,"polyurethane production, flexible foam, TDI-based, low density",0.0015,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_pu_velour_SF,1.0,"polyurethane, flexible foam",,
ENS Structure fauteuil,"sealing tape production, aluminium/PE, 50 mm wide",0.8214606597355925,ecoinvent-3.10-cutoff,RER,meter,technosphere,m_ruban_SF / 0.07791,1.0,"sealing tape, aluminium/PE, 50 mm wide",,
ENS Structure fauteuil,"steel production, chromium steel 18/8, hot rolled",0.0488,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_inox_SF,1.0,"steel, chromium steel 18/8, hot rolled",,
ENS Structure fauteuil,"steel production, converter, low-alloyed",2.94002,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_ss_z1_SF+m_steel_30nc6_SF+m_ss_z15_SF-eol_z10_SF-eol_z15_SF-eol_30cn_SF-eol_acier_SF-eol_inox_SF-eol_steel_30ncd_SF+m_steel_30ncd_SF,1.0,"steel, low-alloyed",,
ENS Structure fauteuil,"tin plated chromium steel sheet production, 2 mm",0.4292,ecoinvent-3.10-cutoff,RoW,square meter,technosphere,m_tin_30ncd_SF,1.0,"tin plated chromium steel sheet, 2 mm",,
ENS Structure fauteuil,"treatment of aluminium scrap, new, at remelter",51.9940336,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eol_al_2017_SF+eol_al_2024_SF+eol_al_5086_SF+eol_alu_SF,1.0,"aluminium, wrought alloy",,
Ensemble coque,Ensemble coque,1.0,OPERA,FR,unit,production,,,Ensemble coque,,
Ensemble coque,folding boxboard carton production,4.99,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_box_pack_EC+m_box_facette_EC,1.0,"bark chips, wet, measured as dry mass",,
Ensemble coque,glass fibre production,3.44,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_gf_peau_EC,1.0,glass fibre,,
Ensemble coque,market for EUR-flat pallet,1.146710273958775,ecoinvent-3.10-cutoff,RER,unit,technosphere,m_flat_pallet_EC / 24.7665,1.0,EUR-flat pallet,,
Ensemble coque,"market for electricity, low voltage",9.76,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,elec_peau_EC+elec_nida_EC,1.0,"electricity, low voltage",,
Ensemble coque,"market for polyether polyols, short chain",3.8499999999999996,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_pether_peau_EC+m_pether_NIDA_EC,1.0,"polyether polyols, short chain",,
Ensemble coque,"market for transport, freight, lorry 16-32 metric ton, EURO5",7.438000000000001,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,truck_facette_EC+truck_coque_EC,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble coque,"polyvinylchloride production, bulk polymerisation",1.02,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,m_pvc_kydex_EC,1.0,"polyvinylchloride, bulk polymerised",,
Ensemble coussin assise,Ensemble coussin assise,1.0,OPERA,FR,unit,production,,,Ensemble coussin assise,,
Ensemble coussin assise,folding boxboard carton production,0.653,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecas_box_pack,1.0,folding boxboard carton,,
Ensemble coussin assise,market for kraft paper,0.0725,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecas_pap_pack,1.0,kraft paper,,
Ensemble coussin assise,market for nylon 6-6,0.0125,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecas_m_pa66_vel,1.0,nylon 6-6,,
Ensemble coussin assise,"market for polyurethane, flexible foam",0.8835,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecas_m_pu_frm+ecas_m_pu_vel,1.0,"polyurethane, flexible foam",,
Ensemble coussin assise,"market for transport, freight, lorry 16-32 metric ton, EURO4",3.63,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,ecas_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Ensemble coussin assise,market for wood wool,0.395,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecas_m_tissu,1.0,wood wool,,
Ensemble coussin dossier,Ensemble coussin dossier,1.0,OPERA,FR,unit,production,,,Ensemble coussin dossier,,
Ensemble coussin dossier,folding boxboard carton production,0.72,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdo_box_pack,1.0,folding boxboard carton,,
Ensemble coussin dossier,market for kraft paper,0.08,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdo_pap_pack,1.0,kraft paper,,
Ensemble coussin dossier,market for nylon 6-6,0.013999999999999999,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdo_m_pa66_vel+ecdo_m_pa66_velcro,1.0,nylon 6-6,,
Ensemble coussin dossier,"market for polyurethane, flexible foam",1.1039999999999999,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdo_m_pu_frm+ecdo_m_pu_vel+ecdo_m_pu_velcro,1.0,"polyurethane, flexible foam",,
Ensemble coussin dossier,"market for transport, freight, lorry 16-32 metric ton, EURO4",4.74,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,ecdo_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Ensemble coussin dossier,market for wood wool,0.715,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdo_m_tissu,1.0,wood wool,,
Ensemble coussin dossier version tetiere,Ensemble coussin dossier version tetiere,1.0,OPERA,FR,unit,production,,,Ensemble coussin dossier version tetiere,,
Ensemble coussin dossier version tetiere,folding boxboard carton production,0.72,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdvt_box_pack,1.0,folding boxboard carton,,
Ensemble coussin dossier version tetiere,market for kraft paper,0.08,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdvt_pap_pack,1.0,kraft paper,,
Ensemble coussin dossier version tetiere,market for nylon 6-6,0.006500000000000001,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdvt_m_pa66_vel+ecdvt_m_pa66_velcro,1.0,nylon 6-6,,
Ensemble coussin dossier version tetiere,"market for polyurethane, flexible foam",0.8604999999999999,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdvt_m_pu_frm+ecdvt_m_pu_vel+ecdvt_m_pu_velcro,1.0,"polyurethane, flexible foam",,
Ensemble coussin dossier version tetiere,"market for transport, freight, lorry 16-32 metric ton, EURO4",4.32,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,ecdvt_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Ensemble coussin dossier version tetiere,market for wood wool,0.735,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ecdvt_m_tissu,1.0,wood wool,,
Ensemble equipement lateral,Ensemble equipement lateral,1.0,OPERA,FR,unit,production,,,Ensemble equipement lateral,,
Ensemble equipement lateral,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.00036500000000000004,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,eel_inc_elec_nylon+eel_inc_elec_ert,1.0,"electricity, medium voltage",,
Ensemble equipement lateral,"fleece production, polyethylene",1.02e-07,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eel_m_pe_pack,1.0,"fleece, polyethylene",,
Ensemble equipement lateral,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.000651,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,eel_inc_heat_nylon+eel_inc_heat_ert,1.0,"heat, district or industrial, other than natural gas",,
Ensemble equipement lateral,"market for aluminium, primary, ingot",3.6460000000000004,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,eel_m_alu5086-eel_eol_alu5086,1.0,"aluminium, primary, ingot",,
Ensemble equipement lateral,"market for compressed air, 1000 kPa gauge",0.275,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,eel_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Ensemble equipement lateral,"market for electricity, low voltage",0.5609108333333334,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,eel_elec_alu5086/3.6+eel_elec_air_alu5086/3.6+eel_elec_acier/3.6+eel_elec_nylon/3.6+eel_elec_ert/3.6,1.0,"electricity, low voltage",,
Ensemble equipement lateral,market for lubricating oil,0.000483,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eel_lub_alu5086,1.0,lubricating oil,,
Ensemble equipement lateral,market for nylon 6-6,0.00666,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eel_m_pa66_nylon+eel_pa66_velours,1.0,nylon 6-6,,
Ensemble equipement lateral,market for plywood,1.91e-05,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,eel_m_ply_pack,1.0,plywood,,
Ensemble equipement lateral,"market for polyurethane, flexible foam",0.004,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eel_pu_velours,1.0,"polyurethane, flexible foam",,
Ensemble equipement lateral,market for scrap steel,0.00986,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,eel_eol_acier,1.0,scrap steel,,
Ensemble equipement lateral,market for solvent for paint,0.0364,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,eel_solv_alu5086,1.0,solvent for paint,,
Ensemble equipement lateral,"market for transport, freight, lorry 16-32 metric ton, EURO5",9.54,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,eel_truc_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble equipement lateral,nylon 6 production,0.000178,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eel_pa6_ert,1.0,nylon 6,,
Ensemble equipement lateral,"steel production, converter, low-alloyed",-0.00986,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-eel_eol_acier,1.0,"steel, low-alloyed",,
Ensemble equipement lateral,"steel production, electric, low-alloyed",0.11,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,eel_m_acier,1.0,"steel, low-alloyed",,
Ensemble equipement lateral,"treatment of aluminium scrap, new, at remelter",0.544,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eel_eol_alu5086,1.0,"aluminium, wrought alloy",,
Ensemble palette optimisee,Ensemble palette optimisee,1.0,OPERA,FR,unit,production,,,Ensemble palette optimisee,,
Ensemble palette optimisee,"compressed air production, 700 kPa gauge, >30kW, average generation",0.0163,ecoinvent-3.10-cutoff,RoW,cubic meter,technosphere,epo_air_alu,1.0,"compressed air, 700 kPa gauge",,
Ensemble palette optimisee,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.001475,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,epo_inc_elec_nylon/3.6,1.0,"electricity, medium voltage",,
Ensemble palette optimisee,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.00947,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,epo_inc_heat_nylon,1.0,"heat, district or industrial, other than natural gas",,
Ensemble palette optimisee,"market for aluminium, primary, ingot",14.2149,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,epo_m_alu2017-epo_eol_alu+epo_m_alu-epo_eol_alu2017,1.0,"aluminium, primary, ingot",,
Ensemble palette optimisee,market for corrugated board box,0.0197,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_m_box_pack,1.0,corrugated board box,,
Ensemble palette optimisee,"market for electricity, low voltage",7.441888888888887,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,epo_elec_alu2017/3.6+epo_elec_alu/3.6+epo_elec_air_alu/3.6+epo_elec_inox/3.6+epo_elec_35nc6/3.6+epo_elec_acier/3.6+epo_elec_nylon/3.6+epo_elec_pp/3.6,1.0,"electricity, low voltage",,
Ensemble palette optimisee,market for lubricating oil,2.85e-05,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,epo_lub_alu,1.0,lubricating oil,,
