result_view,end_of_life_variant,indicator,short_label,phase,value,unit,source_sheet,source_row
weighted,landfill,Water use,Water use,Livraison,0.160690313,weighted person eq.,Graphes pondéré,53
weighted,recycling,Water use,Water use,Livraison,0.160690313,weighted person eq.,Graphes pondéré,65
weighted,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",IFE,0.075264759,weighted person eq.,Graphes pondéré,50
weighted,recycling,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",IFE,0.075264759,weighted person eq.,Graphes pondéré,62
weighted,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",Sous-ensemble,0.059488358,weighted person eq.,Graphes pondéré,49
weighted,recycling,"Human toxicity, cancer - total","Human toxicity, cancer - total",Sous-ensemble,0.059488358,weighted person eq.,Graphes pondéré,61
weighted,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Sous-ensemble,0.052109257,weighted person eq.,Graphes pondéré,50
weighted,recycling,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Sous-ensemble,0.052109257,weighted person eq.,Graphes pondéré,62
weighted,landfill,Acidification,Acidification,IFE,0.052002455,weighted person eq.,Graphes pondéré,45
weighted,recycling,Acidification,Acidification,IFE,0.052002455,weighted person eq.,Graphes pondéré,57
weighted,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Fin de vie,0.043887592,weighted person eq.,Graphes pondéré,50
weighted,landfill,"Resource use, fossils","Resource use, fossils",Site assemblage,0.022740879,weighted person eq.,Graphes pondéré,51
weighted,recycling,"Resource use, fossils","Resource use, fossils",Site assemblage,0.022740879,weighted person eq.,Graphes pondéré,63
weighted,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",IFE,0.02076339,weighted person eq.,Graphes pondéré,49
weighted,recycling,"Human toxicity, cancer - total","Human toxicity, cancer - total",IFE,0.02076339,weighted person eq.,Graphes pondéré,61
weighted,landfill,Climate change,Climate change,Livraison,0.01622447,weighted person eq.,Graphes pondéré,46
weighted,recycling,Climate change,Climate change,Livraison,0.01622447,weighted person eq.,Graphes pondéré,58
weighted,landfill,Climate change,Climate change,Site assemblage,0.010739852,weighted person eq.,Graphes pondéré,46
weighted,recycling,Climate change,Climate change,Site assemblage,0.010739852,weighted person eq.,Graphes pondéré,58
weighted,landfill,"Resource use, fossils","Resource use, fossils",Livraison,0.00792064,weighted person eq.,Graphes pondéré,51
