name,amount,formula,parameter_family
epo_elec_alu2017,26.3,,epo
epo_pass_alu2017,1.08,,epo
epo_eol_alu2017,76.4,,epo
epo_m_alu,0.247,,epo
epo_elec_alu,0.072,,epo
epo_elec_air_alu,0.0045,,epo
epo_air_alu,0.0163,,epo
epo_lub_alu,2.85e-05,,epo
epo_eol_alu,0.0321,,epo
epo_m_inox,0.0261,,epo
epo_elec_inox,0.0076,,epo
epo_eol_inox,0.00235,,epo
epo_m_35nc6,0.0626,,epo
epo_elec_35nc6,0.0182,,epo
epo_eol_35nc6,0.00564,,epo
epo_m_acier,0.637,,epo
epo_elec_acier,0.186,,epo
epo_eol_acier,0.0574,,epo
epo_m_pa66_nylon,0.0412,,epo
epo_m_water_nylon,0.0,,epo
epo_elec_nylon,0.18,,epo
epo_inc_heat_nylon,0.00947,,epo
epo_inc_elec_nylon,0.00531,,epo
epo_m_solv_pp,0.00514,,epo
epo_elec_pp,0.0225,,epo
epo_m_water_pp,0.0,,epo
epo_m_box_pack,0.0197,,epo
epo_m_pe_pack,0.00219,,epo
epo_m_ply_pack,0.415,,epo
epo_truck_pack,15.8,,epo
eel_m_alu5086,4.19,,eel
eel_elec_alu5086,1.22,,eel
eel_elec_air_alu5086,0.755,,eel
eel_air_alu5086,0.275,,eel
eel_lub_alu5086,0.000483,,eel
eel_solv_alu5086,0.0364,,eel
eel_eol_alu5086,0.544,,eel
eel_m_acier,0.11,,eel
eel_elec_acier,0.0319,,eel
eel_eol_acier,0.00986,,eel
eel_m_pa66_nylon,0.00266,,eel
eel_m_wat_nylon,0.0,,eel
eel_elec_nylon,0.0116,,eel
eel_inc_heat_nylon,0.00061,,eel
eel_inc_elec_nylon,0.000342,,eel
eel_pa6_ert,0.000178,,eel
eel_elec_ert,0.000779,,eel
eel_wat_ert,0.0,,eel
eel_inc_heat_ert,4.1e-05,,eel
eel_inc_elec_ert,2.3e-05,,eel
eel_pu_velours,0.004,,eel
eel_pa66_velours,0.004,,eel
eel_m_box_pack,9.15e-07,,eel
eel_m_pe_pack,1.02e-07,,eel
eel_m_ply_pack,1.91e-05,,eel
eel_truc_pack,9.54,,eel
aa_elec_alu2017,3.79,,aa
aa_m_alu2017,13.0,,aa
aa_pass_alu2017,0.197,,aa
aa_eol_alu2017,10.4,,aa
aa_elec_alu2024,0.0576,,aa
aa_m_alu2024,0.198,,aa
aa_solv_alu2024,0.0018,,aa
aa_eol_alu2024,0.0174,,aa
aa_m_alu5086,0.364,,aa
aa_elec_alu5086,0.172,,aa
aa_lub_alu5086,4.2e-05,,aa
aa_air_alu5086,0.0239,,aa
aa_eol_alu5086,0.0473,,aa
aa_m_alu,0.13,,aa
aa_elec_alu,0.0378,,aa
aa_eol_alu,0.0114,,aa
aa_m_inox,0.0199,,aa
aa_elec_inox,0.00579,,aa
aa_eol_inox,0.00179,,aa
aa_m_acier,0.78,,aa
aa_elec_acier,0.227,,aa
aa_eol_acier,0.0703,,aa
aa_m_30ncd6,0.0297,,aa
aa_elec_30ncd6,0.00864,,aa
aa_eol_30ncd6,0.00267,,aa
aa_m_pa6_ert,0.0103,,aa
aa_m_wat_ert,0.0,,aa
aa_elec_ert,0.045,,aa
aa_inc_heat_ert,0.00237,,aa
aa_inc_elec_ert,0.0013,,aa
aa_m_ply_pack,0.089,,aa
aa_truck_pack,3.89,,aa
aa_m_pe_pack,0.000469,,aa
aa_m_box_pack,0.00422,,aa
bvp_m_alu5086,0.0277,,bvp
bvp_elec_alu5086,0.013,,bvp
bvp_lub_alu5086,3.19e-06,,bvp
bvp_air_alu5086,0.00182,,bvp
bvp_solv_alu5086,0.0024,,bvp
bvp_eol_alu5086,0.00359,,bvp
bvp_m_cu_alli,0.00659,,bvp
bvp_elec_alli,0.00659,,bvp
bvp_m_steel_acier,0.0264,,bvp
bvp_elec_acier,0.00768,,bvp
bvp_eol_acier,0.00238,,bvp
bvp_m_pc_copo,0.159,,bvp
bvp_m_box_pack,0.15,,bvp
bvp_truck_pack,2.51,,bvp
bvp_m_pap_pack,0.0167,,bvp
soh_m_alu508,2.22,,soh
soh_elec_alu508,1.05,,soh
soh_lub_alu508,0.000256,,soh
soh_air_alu508,0.146,,soh
soh_eol_alu508,0.288,,soh
soh_m_acier,0.0732,,soh
soh_elec_acier,0.0213,,soh
soh_eol_acier,0.0066,,soh
soh_m_pa6_ert,0.000281,,soh
soh_m_wat_ert,0.0,,soh
soh_elec_ert,0.00123,,soh
soh_inc_heat_ert,6.45e-05,,soh
soh_inc_elec_ert,3.62e-05,,soh
soh_m_box_pack,0.00281,,soh
soh_m_ply_pack,0.0593,,soh
soh_m_pe_pack,0.000313,,soh
soh_truck_pack,0.679,,soh
se_m_alu5086,0.114,,se
se_elec_alu5086,0.0538,,se
se_lub_alu5086,1.32e-05,,se
se_air_alu5086,0.0075,,se
se_eol_alu5086,0.0148,,se
se_m_acier,0.0033,,se
se_elec_acier,0.00096,,se
se_eol_acier,0.000297,,se
se_m_box_pack,0.113,,se
se_truck_pack,0.0545,,se
se_m_pap_pack,0.0125,,se
esl_m_alu2017,0.88,,esl
esl_elec_alu2017,0.256,,esl
esl_pass_alu2017,0.01,,esl
esl_eol_alu2017,0.761,,esl
esl_m_alu5086,0.249,,esl
esl_elec_alu5086,0.0725,,esl
esl_elec_air_alu5086,0.0448,,esl
esl_air_alu5086,0.0164,,esl
esl_lub_alu5086,2.87e-05,,esl
esl_eol_alu5086,0.0323,,esl
esl_m_15cd,0.0242,,esl
esl_elec_15cd,0.00704,,esl
esl_eol_15cd,0.00218,,esl
esl_m_acier,0.00486,,esl
esl_eol_acier,0.0015,,esl
esl_m_pa66_nylon,0.00618,,esl
esl_m_wat_nylon,0.0,,esl
esl_elec_nylon,0.027,,esl
esl_inc_heat_nylon,0.00142,,esl
esl_inc_elec_nylon,0.000797,,esl
esl_m_pa6_ert,0.00309,,esl
esl_elec_ert,0.0135,,esl
esl_m_wat_ert,0.0,,esl
esl_pvc_kyr,1.22,,esl
esl_pu_frm,0.016,,esl
esl_pvc_cuir,0.112,,esl
esl_m_box_pack,0.00375,,esl
esl_m_pe_pack,0.000417,,esl
esl_m_ply_pack,0.079,,esl
esl_truck_pack,1.47,,esl
esl_elec_acier,0.00486,,esl
mam_m_alu,0.0011,,mam
mam_elec_alu,0.00032,,mam
mam_eol_alu,9.69e-05,,mam
mam_m_alu5086,0.121,,mam
mam_elec_alu5086,0.0352,,mam
mam_air_alu5086,0.00795,,mam
mam_elec_air_alu5086,0.00344,,mam
mam_lub_alu5086,1.4e-05,,mam
mam_eol_alu5086,0.0157,,mam
mam_m_pu_frmc,0.039,,mam
mam_m_pvc_cuir,0.039,,mam
mam_m_box_pack,0.00125,,mam
mam_m_ply_pack,0.0112,,mam
mam_truck_pack,0.674,,mam
mam_plane_pack,6.1,,mam
me_m_acier,0.021,,me
me_elec_acier,0.00613,,me
me_eol_acier,0.00186,,me
me_m_al5086,0.196,,me
me_elec_al5086,0.0571,,me
me_air_al5086,0.0129,,me
me_lub_al5086,2.26e-05,,me
me_eol_al5086,0.0254,,me
me_m_frm,0.039,,me
me_m_cuir,0.06,,me
me_m_pu_vel,0.003,,me
me_m_pa66_vel,0.003,,me
me_box_pack,0.00125,,me
me_ply_pack,0.0112,,me
me_truck_pack,0.674,,me
me_plane_pack,6.83,,me
sme_m_acier,0.00659,,sme
sme_eol_acier,0.000581,,sme
sme_m_alu5086,0.135,,sme
sme_elec_acier,0.00192,,sme
sme_elec_air_alu5086,0.0205,,sme
sme_elec_alu5086,0.0393,,sme
sme_air_alu5086,0.00886,,sme
sme_lub_alu5086,1.56e-05,,sme
sme_eol_alu5086,0.0175,,sme
sme_box_pack,0.113,,sme
sme_pap_pack,0.0125,,sme
sme_truck_pack,0.0595,,sme
snfc_m_alu5086,0.0115,,snfc
snfc_elec_alu5086,0.00336,,snfc
snfc_elec_air_alu5086,0.00175,,snfc
snfc_air_alu5086,0.000757,,snfc
snfc_lub_alu5086,1.36e-06,,snfc
snfc_eol_alu5086,0.0015,,snfc
snfc_box_pack,0.113,,snfc
snfc_pap_pack,0.0125,,snfc
snfc_truck_pack,0.0324,,snfc
cnfc_pvc_kyr,0.0725,,cnfc
cnfc_box_pack,0.113,,cnfc
cnfc_truck_pack,0.0466,,cnfc
cnfc_pap_pack,0.0125,,cnfc
esfi_elec_alu,5.42,,esfi
esfi_m_alu,18.6,,esfi
esfi_eol_alu,14.8,,esfi
esfi_m_inox,0.0297,,esfi
esfi_elec_inox,0.00864,,esfi
esfi_eol_inox,0.00267,,esfi
esfi_m_acier,1.57,,esfi
esfi_elec_acier,0.458,,esfi
esfi_eol_acier,0.142,,esfi
esfi_m_35nc6,0.0319,,esfi
esfi_elec_35nc6,0.00928,,esfi
esfi_eol_35nc6,0.029,,esfi
esfi_m_pa66_nyl,0.0274,,esfi
esfi_m_water_nyl,0.0,,esfi
esfi_elec_nyl,0.12,,esfi
esfi_inc_heat_nyl,0.00631,,esfi
esfi_inc_elec_nyl,0.00354,,esfi
esfi_chloro_caou,0.01,,esfi
esfi_pap_pack,0.05,,esfi
esfi_pallet_pack,5.0,,esfi
esfi_box_pack,0.5,,esfi
esfi_truck_pack,2.97,,esfi
eporte_elec_alu,2.2,,eporte
eporte_m_alu,7.55,,eporte
eporte_eol_alu,0.666,,eporte
eporte_pass_alu,0.3,,eporte
eporte_m_inox,0.00523,,eporte
eporte_elec_inox,0.00152,,eporte
eporte_eol_inox,0.000471,,eporte
eporte_m_acier,0.0473,,eporte
eporte_elec_acier,0.0138,,eporte
eporte_eol_acier,0.00426,,eporte
eporte_m_pa66_nyl,0.0107,,eporte
eporte_m_water_nyl,0.0,,eporte
eporte_elec_nyl,0.0468,,eporte
eporte_inc_heat_nyl,0.00246,,eporte
eporte_inc_elec_nyl,0.00138,,eporte
eporte_m_pa6_ert,0.00206,,eporte
eporte_m_water_ert,0.0,,eporte
eporte_elec_ert,0.009,,eporte
eporte_m_pvc_kyr,1.45,,eporte
eporte_m_pvc_aer,0.412,,eporte
eporte_truck_pack,7.73,,eporte
eporte_ply_pack,0.415,,eporte
eporte_pe_pack,0.00219,,eporte
eporte_box_pack,0.0197,,eporte
c_ott_pu_frm,1.0,,c
c_ott_tiss,0.305,,c
c_ott_pa66_vel,0.017,,c
c_ott_pu_vel,0.017,,c
c_ott_pvc_kyr,0.0389,,c
c_ott_box_pack,0.72,,c
c_ott_pap_box,0.08,,c
c_ott_truck_pack,4.79,,c
c_tet_m_pu,0.121,,c
c_tet_tissu,0.181,,c
c_tet_m_pa66_vel,0.0015,,c
c_tet_m_pu_vel,0.0015,,c
c_tet_m_pa66_velcro,0.0035,,c
c_tet_m_pu_velcro,0.0035,,c
c_tet_box_pack,0.15,,c
c_tet_pap_pack,0.0167,,c
c_tet_truck_pack,0.862,,c
ecdvt_m_pu_frm,0.854,,ecdvt
ecdvt_m_tissu,0.735,,ecdvt
ecdvt_m_pa66_vel,0.004,,ecdvt
ecdvt_m_pu_vel,0.004,,ecdvt
ecdvt_m_pa66_velcro,0.0025,,ecdvt
ecdvt_m_pu_velcro,0.0025,,ecdvt
ecdvt_box_pack,0.72,,ecdvt
ecdvt_pap_pack,0.08,,ecdvt
ecdvt_truck_pack,4.32,,ecdvt
ecdo_m_pu_frm,1.09,,ecdo
ecdo_m_tissu,0.715,,ecdo
ecdo_m_pa66_vel,0.011,,ecdo
ecdo_m_pu_vel,0.011,,ecdo
ecdo_m_pa66_velcro,0.003,,ecdo
ecdo_m_pu_velcro,0.003,,ecdo
ecdo_box_pack,0.72,,ecdo
ecdo_pap_pack,0.08,,ecdo
ecdo_truck_pack,4.74,,ecdo
ecas_m_pu_frm,0.871,,ecas
ecas_m_tissu,0.395,,ecas
ecas_m_pa66_vel,0.0125,,ecas
ecas_m_pu_vel,0.0125,,ecas
ecas_box_pack,0.653,,ecas
ecas_pap_pack,0.0725,,ecas
ecas_truck_pack,3.63,,ecas
bras_cu_cable,2.36,,bras
bras_ptfe_cable,1.01,,bras
bras_truck_pack,0.61,,bras
bras_pe_pack,0.1,,bras
bras_waste_wat_pack,0.15,,bras
sucla_m_acier,1.41,,sucla
sucla_elec_acier,0.411,,sucla
sucla_eol_acier,0.127,,sucla
sucla_m_pa66_nyl,1.32,,sucla
sucla_m_wat_nyl,0.0,,sucla
sucla_elec_nyl,5.78,,sucla
sucla_inc_heat_nyl,0.304,,sucla
sucla_inc_elec_nyl,0.171,,sucla
sucla_box_pack,0.00036,,sucla
sucla_pe_pack,4e-05,,sucla
ceint_m_acier,0.791,,ceint
ceint_elec_acier,0.23,,ceint
ceint_eol_acier,0.0713,,ceint
ceint_m_pa66_nyl,0.18,,ceint
ceint_box_pack,0.01,,ceint
ceint_pe_pack,0.09,,ceint
ceint_plane_pack,8.71,,ceint
ceint_waste_wat_pack,0.135,,ceint
pad_m_pvc,1.25,,pad
pad_box_pack,1.0,,pad
pad_truck_pack,3.06,,pad
pow_seat_psu,1.5,,pow
pow_box_psu,0.9,,pow
pow_pe_psu,0.1,,pow
ecran_lcd,0.5,,ecran
ecran_pe_pack,0.15,,ecran
ecran_box_pack,1.35,,ecran
ecran_plane_pack,35.0,,ecran
ecran_waste_water_pe,0.225,,ecran
supp_ecran_dis,0.45,,supp
supp_ecran_box_pack,0.9,,supp
supp_ecran_pe_pack,0.1,,supp
light_diode,1.0,,light
light_pe_pack,0.1,,light
light_box_pack,0.9,,light
light_truck_pack,0.643,,light
light_waste_wat_pe,0.15,,light
SFCU_keyboard,0.17,,SFCU
SFCU_pe_pack,0.1,,SFCU
SFCU_box_pack,0.9,,SFCU
SFCU_plane_pack,6.9,,SFCU
sfcu_waste_water_pe,1.0,,sfcu
reunit_telecommande,1.0,,reunit
reunit_pe_pack,0.1,,reunit
reunit_box_pack,0.9,,reunit
reunit_truck_pack,0.382,,reunit
reunit_waste_water_pe,0.15,,reunit
cae_commande,0.75,,cae
cae_pe_pack,0.1,,cae
cae_box_pack,0.9,,cae
cae_waste_water_pack,0.15,,cae
cae_truck_pack,0.625,,cae
sifeb_boitier,1.5,,sifeb
sifeb_pe_pack,0.1,,sifeb
sifeb_box_pack,0.9,,sifeb
sifeb_waste_water_pack,0.15,,sifeb
sifeb_truck_pack,0.625,,sifeb
paper_fauteuil,0.0025,,paper
pf_ply_pack,40.0,,pf
pf_box_pack,10.0,,pf
pf_pe_pack,1.0,,pf
pf_pb_pack,2.0,,pf
fauteuil_kero_conso_passive,82723.02301421053,conso_moy_passager*alloc_masse_passager*fauteuil_distance_moyenne_vol/100*fauteuil_duree_vie*fauteuil_AR_an/masse_decollage*fauteuil_masse_totale,fauteuil
fauteuil_cargo_conso_passive,42700.0,,fauteuil
conso_standard_kero_pkm,0.02671689,,conso
fauteuil_masse_totale,109.967,,fauteuil
fauteuil_distance_moyenne_vol,5556.0,,fauteuil
fauteuil_duree_vie,7.0,,fauteuil
fauteuil_AR_an,700.0,,fauteuil
conso_moy_passager,2.5,,conso
alloc_masse_passager,105.0,,alloc
masse_decollage,95000.0,,masse
fauteuil_nettoyage_savon,0.13,5*0.5/1000*52,fauteuil
nb_sieges,250.0,,nb
enin_elec,113.534,,enin
enin_gaz,217.352,,enin
tham_truck,226.0,,tham
tham_plywood,40.0,,tham
tham_box,10.0,,tham
tham_pe,3.0,,tham
conso_standard_tkm,0.2142,,conso
recy_alucu4,34.6,,recy
recy_almg,3.43,,recy
recy_alu_ingot,0.433,,recy
recy_steel_tin,0.175,,recy
recy_stainless_steel,7.08,,recy
recy_copper_sheet,0.01,,recy
recy_inc_heat_wool,5.87,,recy
recy_inc_elec_wool,3.26,,recy
recy_elec_washing_plast,2.44,,recy
recy_water_washing_plast,12.2,,recy
recy_heat_washing_plast,5.91,,recy
recy_landfill_washing_plast,3.18,,recy
recy_pa66_plast,0.093,,recy
recy_pvc_plast,1.36,,recy
recy_solv_plast,0.002,,recy
recy_pc_plast,0.137,,recy
recy_chloro_plast,0.003,,recy
recy_pether_plast,1.02,,recy
recy_silicon_plast,0.000228,,recy
recy_pu_plast,1.33,,recy
recy_inc_heat_plast,44.2,,recy
recy_inc_elec_plast,24.7,,recy
recy_inc_heat_dee,0.000114,,recy
recy_inc_elec_dee,6.35e-05,,recy
recy_heat_washing_dee,0.00216,,recy
recy_water_washing_dee,0.00445,,recy
recy_elec_washing_dee,0.000891,,recy
recy_landfill_dee,0.0065,,recy
recy_alu_dee,0.00355,,recy
recy_cu_wire_dee,0.00335,,recy
recy_ptfe_dee,0.00144,,recy
recy_waste_sealing,0.065,,recy
recy_elec_peau,44.4,,recy
recy_glass_fibre_peau,1.59,,recy
recy_polyether_peau,1.26,,recy
recy_plastic_landfill_peau,0.928,,recy
recy_inert_landfill_peau,2.85,,recy
switch_fr,1.0,,switch
