month_index,seat_equivalent_volume,production_static_kgco2e,sdd_inventory_delta_kgco2e,production_dynamic_kgco2e,cycle_dynamic_with_stelia_usage_kgco2e,delta_vs_static_pct,legacy_sdd_surimpact_proxy_kgco2e,legacy_sdd_kgco2e,backup_material,capacity_energy,disruption_energy_overhead,maintenance,premium_transport,recycling_credit,scrap_rework,scrap_treatment
37,1.0,2449.945067684,31.908491962,2481.853559646,462878.805313281,1.302417,106.095878,1422.919819,2.070982581,18.69521705,3.827936754,3.062349416,0.0,-1.243513124,5.138202055,0.35731723
38,1.0,2449.945067684,39.19287232,2489.137940004,462886.089693639,1.599745,115.832418,1431.286254,1.13196731,26.57081725,4.331089672,3.464871695,0.0,-1.102525644,4.465454,0.331198037
39,1.0,2449.945067684,25.170197355,2475.115265039,462872.067018674,1.027378,185.879073,1498.129226,5.728204012,11.6766965,2.780049441,2.224039547,0.0,-0.985776732,3.466019467,0.28096512
40,1.0,2449.945067684,32.343870995,2482.288938679,462879.240692314,1.320188,136.918983,1453.913436,2.455527627,22.0882462,3.198422361,2.558737891,0.0,-0.532505984,2.29011111,0.28533179
41,1.0,2449.945067684,33.218972647,2483.164040331,462880.115793966,1.355907,142.39931,1463.970285,0.450847072,24.12749225,4.280548645,3.42443891,0.0,-0.453135564,1.141714925,0.247066409
42,1.0,2449.945067684,43.922053627,2493.867121311,462890.818874946,1.792777,156.962039,1480.645346,1.440831713,31.46439815,5.180050069,4.144040057,0.0,-1.122528108,2.536608674,0.278653072
43,1.0,2449.945067684,63.384098732,2513.329166416,462910.280920051,2.587164,160.939945,1482.036999,1.46888645,29.32340285,5.278326016,4.22266081,0.0,-4.358386022,26.778789691,0.670418937
44,1.0,2449.945067684,56.853014864,2506.798082548,462903.749836183,2.320583,500.408747,1816.877082,16.566912049,23.58519055,4.170090317,3.336072241,0.0,-1.55451285,10.214196683,0.535065874
45,1.0,2449.945067684,50.791493476,2500.73656116,462897.688314795,2.073169,347.110597,1666.802467,5.631261117,34.5127115,4.558961728,3.647169372,0.0,-0.611074573,2.632319839,0.420144493
46,1.0,2449.945067684,51.792514355,2501.737582039,462898.689335674,2.114028,451.799823,1771.16155,14.766659712,26.38409265,4.244281902,3.395425538,0.0,-1.124819503,3.696342845,0.430531211
47,1.0,2449.945067684,36.281235643,2486.226303327,462883.178056962,1.4809,257.883512,1573.173834,7.218123898,20.0523296,3.689570444,2.951656339,0.0,-0.686666304,2.7025126,0.353709066
48,1.0,2449.945067684,35.958768089,2485.903835773,462882.855589408,1.467738,232.002613,1549.987455,4.473482977,22.8027851,3.520552011,2.816441592,0.0,-0.797130041,2.834936544,0.307699906
49,1.0,2449.945067684,60.872634439,2510.817702123,462907.769455758,2.484653,394.244413,1718.576176,13.784526597,34.4103647,5.08391897,4.067135168,0.0,-1.036797439,4.237146984,0.326339459
50,1.0,2449.945067684,57.084625021,2507.029692705,462903.98144634,2.330037,251.798186,1573.401217,8.778934917,35.76205255,5.503963743,4.403170974,0.0,-0.722720331,3.099640685,0.259582483
51,1.0,2449.945067684,42.864331312,2492.809398996,462889.761152631,1.749604,140.255951,1466.868569,4.346952677,27.1983238,5.167155036,4.133724034,0.0,-0.475875492,2.280475915,0.213575342
52,1.0,2449.945067684,29.624959981,2479.570027665,462876.5217813,1.209209,93.87404,1408.963678,1.090398306,21.01082275,3.795168876,3.036135115,0.0,-0.270358024,0.81231985,0.150473108
53,1.0,2449.945067684,26.318868885,2476.263936569,462873.215690204,1.074264,92.325342,1409.13373,0.328911959,17.0429352,3.514417702,2.811534177,0.0,-0.903635669,3.245888572,0.278816944
54,1.0,2449.945067684,34.227009124,2484.172076808,462881.123830443,1.397052,196.434806,1512.814421,1.669001855,16.8474539,3.265271126,2.612216916,0.001353006,-1.763726611,11.026364681,0.569074251
55,1.0,2449.945067684,42.73632758,2492.681395264,462889.633148899,1.744379,218.525294,1538.685079,3.55770135,20.6759559,4.286667817,3.429334255,0.0,-2.615068519,12.718908469,0.682828308
56,1.0,2449.945067684,38.787075054,2488.732142738,462885.683896373,1.583181,370.957399,1687.920974,14.463438578,15.781967,3.475068885,2.780055109,0.018522767,-0.499302487,2.462509404,0.304815798
57,1.0,2449.945067684,52.287071577,2502.232139261,462899.183892896,2.134214,549.823769,1874.346021,14.838571017,27.50600255,4.31138778,3.449110203,0.0,-0.44308484,2.287425087,0.33765978
58,1.0,2449.945067684,59.119445301,2509.064512985,462906.01626662,2.413093,677.430303,2004.024945,19.048995307,29.3448696,5.286884,4.229507175,0.0,-0.65249115,1.514564761,0.347115608
59,1.0,2449.945067684,63.839487886,2513.78455557,462910.736309205,2.605752,359.731623,1687.097409,12.065650953,39.25468895,6.165879966,4.932703972,0.0,-0.753527121,1.887497547,0.286593619
60,1.0,2449.945067684,58.22342668,2508.168494364,462905.120247999,2.37652,345.118434,1672.431396,9.032175471,31.20942025,6.049811698,4.83984936,0.000266588,-1.747175619,8.398213205,0.440865727
61,1.0,2449.945067684,37.208675291,2487.153742975,462884.10549661,1.518755,170.989296,1491.739466,1.335128226,21.1085362,4.875373153,3.900298527,0.0,-1.193120919,6.739925841,0.442534263
62,1.0,2449.945067684,31.955467732,2481.900535416,462878.852289051,1.304334,235.918443,1555.20887,2.157966668,18.2819734,4.484194655,3.587355733,0.0,-1.296703043,4.250252111,0.490428208
63,1.0,2449.945067684,32.328430814,2482.273498498,462879.225252133,1.319557,204.964939,1524.171036,0.947987494,20.98388285,3.986395777,3.189116622,0.0,-1.09655857,3.901863314,0.415743327
64,1.0,2449.945067684,21.217628132,2471.162695816,462868.114449451,0.866045,105.866449,1418.379915,1.12912552,14.4481589,2.671109189,2.136887349,0.0,-0.340022483,0.984660853,0.187708804
65,1.0,2449.945067684,11.761027226,2461.70609491,462858.657848545,0.480053,131.878028,1443.643681,1.132170356,6.22070035,2.190204924,1.752163922,0.0,-0.25769533,0.585905237,0.137577767
66,1.0,2449.945067684,37.335089266,2487.28015695,462884.231910585,1.523915,108.227058,1429.566158,0.129981624,28.79992525,4.194340713,3.355472552,0.0,-0.423007029,1.064442818,0.213933338
67,1.0,2449.945067684,52.603957658,2502.549025342,462899.500778977,2.147148,165.671893,1486.664407,1.731792064,37.74975035,5.71319803,4.570558417,0.0,-1.384355754,3.679676634,0.543337917
68,1.0,2449.945067684,52.851662451,2502.796730135,462899.74848377,2.157259,375.684059,1701.129091,10.609325797,29.5562867,5.633794601,4.507035682,0.0,-0.599733426,2.710759657,0.43419344
69,1.0,2449.945067684,59.192662725,2509.137730409,462906.089484044,2.416081,415.461549,1734.242076,7.772117229,39.81035265,5.135187452,4.108149954,0.0,-0.657500358,2.588040123,0.436315675
70,1.0,2449.945067684,52.193090052,2502.138157736,462899.089911371,2.130378,505.622278,1825.358588,15.840459675,26.66564835,4.792259528,3.833807618,0.0,-0.681313473,1.410411817,0.331816537
71,1.0,2449.945067684,39.592061467,2489.537129151,462886.488882786,1.616039,341.870091,1661.014495,9.469742351,21.5062767,4.114369643,3.291495721,0.0,-0.574600395,1.513739121,0.271038326
72,1.0,2449.945067684,28.55065807,2478.495725754,462875.447479389,1.165359,131.42859,1448.843525,2.644524118,17.69160335,3.643504532,2.914803611,0.0,-0.402028836,1.89369258,0.164558715
73,1.0,2449.945067684,23.99527157,2473.940339254,462870.892092889,0.979421,137.865248,1448.6202,2.966325182,12.0671015,2.687188657,2.149750915,0.0,-1.270327441,5.093239084,0.301993673
74,1.0,2449.945067684,39.635039959,2489.580107643,462886.531861278,1.617793,210.602755,1528.378408,5.18289177,22.00420585,3.750657014,3.000525584,0.0,-1.447028785,6.717811193,0.425977333
75,1.0,2449.945067684,40.979677417,2490.924745101,462887.876498736,1.672677,177.337629,1499.855775,1.155415566,27.6070072,4.725251684,3.780201349,0.0,-0.97140857,4.240823598,0.44238659
76,1.0,2449.945067684,48.621434922,2498.566502606,462895.518256241,1.984593,301.254659,1625.995802,2.886290491,33.0815359,5.698283691,4.558626956,0.0,-1.161359894,3.066897436,0.491160342
77,1.0,2449.945067684,35.584357261,2485.529424945,462882.48117858,1.452455,123.177209,1445.902824,1.139596033,24.4861914,5.057713784,4.046171028,0.0,-0.37253884,1.060437176,0.16678668
78,1.0,2449.945067684,50.529042553,2500.474110237,462897.425863872,2.062456,202.644996,1518.723251,1.664443427,19.3136847,4.054274847,3.243419874,0.0,-4.414407118,26.037114006,0.630512817
79,1.0,2449.945067684,87.80641399,2537.751481674,462934.703235309,3.584016,223.365217,1543.693244,3.144148525,26.6817346,4.788457999,3.830766393,0.0,-9.010994427,57.076792708,1.295508192
80,1.0,2449.945067684,57.73502106,2507.680088744,462904.631842379,2.356584,230.266632,1549.474038,10.048093964,22.74827375,4.19430648,3.355445188,0.0,-3.826972284,20.432750928,0.783123034
81,1.0,2449.945067684,51.324440776,2501.26950846,462898.221262095,2.094922,420.290432,1736.665773,5.273938103,35.61667535,4.036142488,3.228913985,0.0,-0.7793305,3.491924776,0.456176574
82,1.0,2449.945067684,45.227814972,2495.172882656,462892.124636291,1.846075,378.036032,1697.039521,7.085828388,29.76416695,3.553434373,2.842747491,0.0,-0.745043191,2.290868107,0.435812854
83,1.0,2449.945067684,46.717130979,2496.662198663,462893.613952298,1.906864,426.534717,1751.017342,8.37876371,28.7963238,4.714202862,3.771362282,0.0,-0.658823998,1.418477478,0.296824845
84,1.0,2449.945067684,51.035484266,2500.98055195,462897.932305585,2.083128,164.583725,1485.354032,4.81752541,35.92561295,5.154155834,4.123324655,0.0,-0.272148437,1.166338651,0.120675203
85,1.0,2449.945067684,40.361862234,2490.306929918,462887.258683553,1.64746,87.259664,1412.992169,1.566113777,26.439488,5.238604996,4.190883996,0.0,-0.465546127,3.230273481,0.162044111
86,1.0,2449.945067684,33.889113085,2483.834180769,462880.785934404,1.38326,108.147421,1423.68197,1.21428344,22.65301085,4.149843567,3.319874846,0.0,-0.589855481,2.89308055,0.248875313
87,1.0,2449.945067684,34.115543979,2484.060611663,462881.012365298,1.392502,136.468791,1454.698062,2.899765142,19.78890185,4.152930167,3.322344137,0.0,-1.214059452,4.801175892,0.364486243
88,1.0,2449.945067684,31.513328354,2481.458396038,462878.410149673,1.286287,125.486778,1441.969736,1.398063637,18.36167535,3.180878654,2.544702929,0.0,-1.53750452,7.107702973,0.457809331
89,1.0,2449.945067684,25.034522099,2474.979589783,462871.931343418,1.02184,158.452494,1477.671548,0.952059028,16.33662175,3.397529862,2.718023862,0.0,-0.603063554,1.87316272,0.360188431
90,1.0,2449.945067684,20.327839176,2470.27290686,462867.224660495,0.829726,153.241107,1467.855795,0.775015752,12.631153,2.826137743,2.260910188,0.0,-1.251405572,2.739689705,0.34633836
91,1.0,2449.945067684,75.31765046,2525.262718144,462922.214471779,3.074259,268.488872,1590.28322,7.985540422,27.375202,4.65792578,3.72634063,0.0,-6.417297042,37.047810329,0.942128341
92,1.0,2449.945067684,74.534378401,2524.479446085,462921.43119972,3.042288,384.512475,1709.785189,14.009741978,29.43698495,5.469868307,4.375894649,0.0,-3.686676688,24.226293217,0.702271988
93,1.0,2449.945067684,65.881487345,2515.826555029,462912.778308664,2.689101,489.361299,1815.005171,11.115796388,41.7463781,6.210883839,4.968707066,0.0,-0.594900233,2.028492849,0.406129336
94,1.0,2449.945067684,63.407222099,2513.352289783,462910.304043418,2.588108,477.342283,1800.556091,16.00535152,35.83916115,5.812812284,4.650249819,0.0,-0.850534355,1.639856968,0.310324713
95,1.0,2449.945067684,45.586989139,2495.532056823,462892.483810458,1.860735,412.11688,1731.643898,12.231895228,23.0297436,4.714475687,3.771580539,0.0,-0.650429971,2.200821529,0.288902527
96,1.0,2449.945067684,32.480990103,2482.426057787,462879.377811422,1.325784,174.527462,1496.477632,1.635687239,21.97649585,4.130565514,3.30445239,0.0,-0.37177077,1.556314417,0.249245463
97,1.0,2449.945067684,39.981423245,2489.926490929,462886.878244564,1.631931,325.712552,1646.203895,7.73134538,20.67208075,4.68181137,3.745449083,0.0,-1.040394027,3.804881188,0.386249501
98,1.0,2449.945067684,35.478349822,2485.423417506,462882.375171141,1.448128,97.097844,1410.335277,0.840029916,25.2712259,3.697457131,2.95796566,0.0,-0.515682912,2.993534391,0.233819736
99,1.0,2449.945067684,26.517051508,2476.462119192,462873.413872827,1.082353,81.076851,1396.138278,0.816531945,18.7422263,2.940577482,2.352461972,0.0,-0.361341623,1.839225687,0.187369745
100,1.0,2449.945067684,33.388639914,2483.333707598,462880.285461233,1.362832,108.352775,1429.867139,1.981747101,24.34263235,3.46101134,2.768809067,0.0,-0.347407862,1.021293943,0.160553975
101,1.0,2449.945067684,38.361311967,2488.306379651,462885.258133286,1.565803,103.840231,1423.181312,0.338997379,29.06914575,4.69686012,3.757488081,0.0,-0.353675886,0.718740036,0.133756487
102,1.0,2449.945067684,54.742762941,2504.687830625,462901.63958426,2.234449,132.737663,1459.095377,3.059646784,29.2817282,5.398980484,4.319184389,0.000467778,-2.091290308,14.363927307,0.410118307
103,1.0,2449.945067684,75.562779655,2525.507847339,462922.459600974,3.084264,237.867159,1558.232618,4.256427449,28.7141526,5.070530878,4.056424703,0.0,-6.415016464,38.724928591,1.155331898
104,1.0,2449.945067684,41.489643724,2491.434711408,462888.386465043,1.693493,264.506973,1585.50909,4.165314171,25.5202929,4.769038588,3.815230865,0.0,-1.139432136,3.7840215,0.575177836
105,1.0,2449.945067684,51.021531045,2500.966598729,462897.918352364,2.082558,488.005796,1807.31121,14.710874837,25.8671337,4.580147543,3.664118029,0.017530392,-0.935257376,2.558314621,0.558669299
106,1.0,2449.945067684,49.192285603,2499.137353287,462896.089106922,2.007893,523.70825,1842.808514,15.085444357,25.01408985,4.405823151,3.524658552,0.0,-0.709201894,1.545278268,0.326193319
107,1.0,2449.945067684,32.372425704,2482.317493388,462879.269247023,1.321353,469.736043,1784.415507,14.354380519,10.95030945,3.274590665,2.619672505,0.0,-0.694205062,1.585950129,0.281727498
108,1.0,2449.945067684,46.769585258,2496.714652942,462893.666406577,1.909005,327.971384,1649.795109,13.129653534,26.2494518,3.707661952,2.966129601,0.0,-0.490516691,1.08100701,0.126198052
109,1.0,2449.945067684,63.571700644,2513.516768328,462910.468521963,2.594821,401.281104,1726.922217,16.777007938,35.45204905,5.171460136,4.137168132,0.0,-0.406594928,2.209634704,0.230975612
110,1.0,2449.945067684,62.144591614,2512.089659298,462909.041412933,2.536571,320.911515,1650.077745,9.827185968,37.3750729,6.403857163,5.123085726,0.0,-0.82462668,3.847407343,0.392609194
111,1.0,2449.945067684,54.031581664,2503.976649348,462900.928402983,2.20542,255.199637,1580.307451,3.651044012,36.1073132,6.150705609,4.920564483,0.0,-1.315619848,4.025914079,0.491660129
112,1.0,2449.945067684,32.251603713,2482.196671397,462879.148425032,1.316422,109.558011,1426.946629,2.356098398,21.342769,4.219584692,3.375667744,0.0,-0.441729743,1.209146845,0.190066777
113,1.0,2449.945067684,22.229771656,2472.17483934,462869.126592975,0.907358,92.572322,1410.745229,0.489633057,15.42573115,3.098066,2.478452763,0.0,-0.377763245,0.939640462,0.176011469
114,1.0,2449.945067684,36.237955071,2486.183022755,462883.13477639,1.479133,117.311596,1437.503073,0.556720532,24.1906617,3.751121178,3.000896955,0.0,-1.474171605,5.638768852,0.573957459
115,1.0,2449.945067684,60.871320527,2510.816388211,462907.768141846,2.484599,226.888872,1545.927598,2.964981802,20.95349195,3.789050463,3.031240363,0.0,-5.670235539,34.612880768,1.18991072
116,1.0,2449.945067684,50.242792227,2500.187859911,462897.139613546,2.050772,271.398098,1591.708491,4.843288642,18.93165815,3.244461065,2.595568862,0.307987602,-3.789049298,23.249581612,0.859295592
117,1.0,2449.945067684,50.898875173,2500.843942857,462897.795696492,2.077552,425.550062,1751.686535,11.842079256,29.2331949,4.632256725,3.705805381,0.0,-0.634712172,1.700617196,0.419633887
118,1.0,2449.945067684,64.107585395,2514.052653079,462911.004406714,2.616695,594.290175,1919.855031,13.436247415,38.6438118,6.17260418,4.938083345,0.0,-0.648005844,1.275728354,0.289116145
119,1.0,2449.945067684,54.488197384,2504.433265068,462901.385018703,2.224058,503.550349,1832.12952,9.935478293,32.06071735,6.306750473,5.045400363,0.0,-0.526960398,1.407601378,0.259209925
120,1.0,2449.945067684,42.940779076,2492.88584676,462889.837600395,1.752724,239.832412,1558.847768,3.009377843,30.71609385,4.724539947,3.779631947,0.0,-0.173811773,0.783710055,0.101237207
121,1.0,2449.945067684,34.280256167,2484.225323851,462881.177077486,1.399226,125.432178,1444.758109,3.190970818,21.89658225,4.342369647,3.473895715,0.0,-0.589526101,1.777574233,0.188389605
122,1.0,2449.945067684,43.810537272,2493.755604956,462890.707358591,1.788225,142.783206,1459.913247,1.040852888,26.1509487,3.81712083,3.05369667,0.0,-2.533040389,11.641915762,0.639042811
123,1.0,2449.945067684,30.341743178,2480.286810862,462877.238564497,1.238466,129.304866,1447.852684,1.254009558,19.14473615,3.713354955,2.97068397,0.0,-0.802022598,3.651769109,0.409212034
124,1.0,2449.945067684,23.619159888,2473.564227572,462870.515981207,0.964069,177.081271,1492.482154,1.172904926,14.20421145,2.907885431,2.326308331,0.0,-0.868058166,3.453791226,0.42211669
125,1.0,2449.945067684,37.066048022,2487.011115706,462883.962869341,1.512934,240.172479,1561.112402,4.257041797,24.1532209,4.113362515,3.290689987,0.0,-0.752620268,1.687933294,0.316419797
126,1.0,2449.945067684,41.657269608,2491.602337292,462888.554090927,1.700335,219.2546,1542.234576,4.52575246,26.52369835,4.758509818,3.80680785,0.0,-1.147524409,2.72818979,0.461835749
127,1.0,2449.945067684,101.828119699,2551.773187383,462948.724941018,4.156343,260.519869,1587.487296,5.548795083,35.92445525,6.168158919,4.934527147,0.0,-7.703731745,55.876101716,1.079813329
128,1.0,2449.945067684,54.056479934,2504.001547618,462900.953301253,2.206436,242.501931,1567.029278,4.031546077,30.7400511,5.714277411,4.571421938,0.0,-2.233424598,10.671939346,0.56066866
129,1.0,2449.945067684,49.286746332,2499.231814016,462896.183567651,2.011749,376.400021,1695.858417,11.777722144,25.21411865,4.893708725,3.914966984,0.0,-1.253349324,4.239870155,0.499708998
130,1.0,2449.945067684,51.014494728,2500.959562412,462897.911316047,2.082271,576.719727,1897.692939,15.006218495,25.13806915,4.768679486,3.814943593,0.0,-0.757639147,2.613179278,0.431043873
131,1.0,2449.945067684,42.324271689,2492.269339373,462889.221093008,1.72756,502.403455,1823.564398,12.918605996,19.5438647,4.679609191,3.743687361,0.0,-0.73208571,1.849239936,0.321350215
132,1.0,2449.945067684,26.697062279,2476.642129963,462873.593883598,1.0897,165.46013,1480.618383,3.823128949,15.93586545,3.354584125,2.683667275,0.0,-0.354001982,1.079756712,0.17406175
133,1.0,2449.945067684,24.803950157,2474.749017841,462871.700771476,1.012429,90.887973,1405.736582,0.306716087,18.9746095,2.52345158,2.018761266,0.0,-0.139809578,1.020849075,0.099372227
134,1.0,2449.945067684,33.20541283,2483.150480514,462880.102234149,1.355353,123.757861,1446.744705,1.926087189,23.9153858,3.525785708,2.820628536,0.0,-0.186361005,1.064817885,0.139068717
135,1.0,2449.945067684,45.595991927,2495.541059611,462892.492813246,1.861103,118.893536,1439.479664,0.61377241,33.7270055,5.372127661,4.297702125,0.0,-0.817029467,2.152757555,0.249656143
136,1.0,2449.945067684,53.61131832,2503.556386004,462900.508139639,2.188266,192.922981,1520.429328,3.363487283,30.1392762,5.612424606,4.489939683,0.0,-2.727511625,12.048380074,0.685322099
137,1.0,2449.945067684,31.002485397,2480.947553081,462877.899306716,1.265436,120.147443,1436.020066,1.488764369,20.37234695,3.949955787,3.159964659,0.0,-0.505266021,2.228240065,0.308479588
138,1.0,2449.945067684,71.332737575,2521.277805259,462918.229558894,2.911606,244.608367,1570.663061,3.195771901,27.46343795,5.096766331,4.077413082,0.0,-5.820623141,36.331825061,0.988146391
139,1.0,2449.945067684,85.816164298,2535.761231982,462932.712985617,3.502779,367.842198,1694.971823,6.096537761,32.5878763,5.994650737,4.795720582,0.0,-7.946267244,42.702505321,1.585140841
140,1.0,2449.945067684,44.302940444,2494.248008128,462891.199761763,1.808324,324.735012,1648.82518,3.70893693,27.1853443,4.666596281,3.733277018,0.310367509,-2.215080522,5.933535024,0.979963904
141,1.0,2449.945067684,31.069399393,2481.014467077,462877.966220712,1.268167,341.74906,1658.946172,9.744888196,12.90174285,2.991770725,2.393416574,1.24453475,-1.002340001,2.269467054,0.525919245
