path_id,record_index,path_type,system,component,family,component_mass_kg,path_allocation_share_pct,path_mass_kg,lca_use_class,lca_confidence,readiness,max_severity,issue_codes,issue_count,total_route_km,allocated_kg_km,modes,transport_model,t4,t4_site_uid,t4_country_code,t4_status,t3,t3_site_uid,t3_country_code,t3_status,t2,t2_site_uid,t2_country_code,t2_status,t1,t1_site_uid,t1_country_code,t1_status,oem,oem_site_uid,oem_country_code,oem_status,t4_t3_km,t4_t3_modes,t3_t2_km,t3_t2_modes,t2_t1_km,t2_t1_modes,t1_oem_km,t1_oem_modes
R011-P001,11,primary,Coussin ottoman,tissu,textile_leather,0.339,100.0,0.339,usable_for_baseline,medium_high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,31002.8,10509.9,ship|truck,lane_specific,DuPont de Nemours - fiber/polymer source assumption,"dupont_de_nemours_-_fiber/polymer_source_assumption__tier4_raw_material@@dupont_de_nemours_-_fiber/polymer_source_assumption__tier4_raw_material@37.4520437,-77.4335412",US,baseline_primary_assumed_material_source,"Zhejiang Yuxin Textile Co.,Ltd.","zhejiang_yuxin_textile_co_ltd@@zhejiang_yuxin_textile_co_ltd@30.5278,120.4306",CN,baseline_primary,DuPont de Nemours,"dupont_de_nemours@@dupont_de_nemours@39.7391,-75.5398",US,baseline_primary,ETS Gattefin,"ets_gattefin@@ets_gattefin@47.1426,2.2372",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,12231.1,ship|truck,12231.1,ship|truck,6353.7,ship|truck,186.9,truck
R012-P001,12,primary,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,100.0,0.039,quantitative_ready,high,primary_ready_topology,INFO,,0,18969.3,739.8,ship|truck,lane_specific,BASF,"basf@@basf@49.481,8.435",DE,baseline_primary,"Zhejiang Yuxin Textile Co.,Ltd.","zhejiang_yuxin_textile_co_ltd@@zhejiang_yuxin_textile_co_ltd@30.5278,120.4306",CN,baseline_primary_inferred_after_review,MGR Foamtex Ltd,"mgr_foamtex_ltd@@mgr_foamtex_ltd@51.7396,-0.9665",GB,baseline_primary,ACH,"ach@@ach@46.5802,0.3404",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,8876.9,ship|truck,9235.0,ship|truck,581.5,truck,275.9,truck
R013-P001,13,primary,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,0.027,100.0,0.027,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,989.1,26.7,internal|truck,lane_specific,Saarstahl,"saarstahl@@saarstahl@49.3594,7.1715",DE,baseline_primary,Aubert & Duval,"aubert_duval@@aubert_duval@45.7772,3.087",FR,baseline_primary,SUMPAR - internal machining/forming process,"sumpar_-_internal_machining/forming_process__tier2_second_transformation@@sumpar_-_internal_machining/forming_process__tier2_second_transformation@49.3892868,1.2085766",FR,baseline_primary_assumed_internalized_process,SUMPAR,"sumpar@@sumpar@49.3893,1.2086",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,501.0,truck,404.3,truck,0.0,internal,83.8,truck
R014-P001,14,primary,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,0.660743,100.0,0.660743,usable_for_baseline,medium_high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption;material_certificate_required,3,530.3,350.4,internal|truck,lane_specific,Saarstahl,"saarstahl__tier4_raw_material@@saarstahl__tier4_raw_material@49.3593951,7.1714727",DE,baseline_primary_assumed_material_certificate,Euralliage Ile de France,"euralliage_ile_de_france@@euralliage_ile_de_france@48.986,2.449",FR,baseline_primary,SUMPAR - internal machining/forming process,"sumpar_-_internal_machining/forming_process__tier2_second_transformation@@sumpar_-_internal_machining/forming_process__tier2_second_transformation@49.3892868,1.2085766",FR,baseline_primary_assumed_internalized_process,SUMPAR,"sumpar@@sumpar@49.3893,1.2086",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,345.8,truck,100.7,truck,0.0,internal,83.8,truck
R015-P001,15,primary,Ens. Equipements latéraux,acier,steel,0.0996449,100.0,0.0996449,quantitative_ready,high,primary_ready_topology,INFO,,0,15628.9,1557.3,ship|truck,lane_specific,Saarstahl,"saarstahl@@saarstahl@49.3594,7.1715",DE,baseline_primary,Aubert & Duval,"aubert_duval@@aubert_duval@45.7772,3.087",FR,baseline_primary,SCHROTH Safety Products,"schroth_safety_products@@schroth_safety_products@26.18,-80.19",US,baseline_primary,ESPACE,"espace@@espace@44.7776,-0.6475",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,501.0,truck,7436.5,ship|truck,7201.2,ship|truck,490.2,truck
R016-P001,16,primary,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,0.008,100.0,0.008,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption;material_certificate_required,4,831.1,6.6,internal|truck,lane_specific,Saarstahl,"saarstahl__tier4_raw_material@@saarstahl__tier4_raw_material@49.3593951,7.1714727",DE,baseline_primary_assumed_material_certificate,Aubert & Duval,"aubert_&_duval__tier3_first_transformation@@aubert_&_duval__tier3_first_transformation@45.9235016,2.8415731",FR,baseline_primary_assumed_material_processor,ETS Gattefin - internal machining/forming process,"ets_gattefin_-_internal_machining/forming_process__tier2_second_transformation@@ets_gattefin_-_internal_machining/forming_process__tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin@@ets_gattefin@47.1426,2.2372",FR,baseline_primary,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,501.0,truck,143.2,truck,0.0,internal,186.9,truck
R017-P001,17,primary,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,100.0,2.43,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8594.1,20883.7,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,SUMPAR - internal machining/forming process,"sumpar_internal_machining_forming_process_tier2_second_transformation@@sumpar_internal_machining_forming_process_tier2_second_transformation@49.3892868,1.2085766",FR,baseline_primary_assumed_internalized_process,SUMPAR,"sumpar_tier1@@sumpar_tier1@49.3892868,1.2085766",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,874.8,truck,0.0,internal,83.8,truck
R018-P001,18,primary,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.1033805,100.0,0.1033805,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,9170.1,948.0,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,MGA Villeneuve St Lot - internal machining/forming process,"mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@@mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@44.3974711,0.7316929",FR,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,"mga_villeneuve_st_lot_tier1@@mga_villeneuve_st_lot_tier1@44.3974711,0.7316929",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,1035.0,truck,0.0,internal,499.6,truck
R019-P001,19,primary,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,100.0,12.333,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8594.1,105991.0,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,SUMPAR - internal machining/forming process,"sumpar_internal_machining_forming_process_tier2_second_transformation@@sumpar_internal_machining_forming_process_tier2_second_transformation@49.3892868,1.2085766",FR,baseline_primary_assumed_internalized_process,SUMPAR,"sumpar_tier1@@sumpar_tier1@49.3892868,1.2085766",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,874.8,truck,0.0,internal,83.8,truck
R020-P001,20,primary,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,100.0,3.523,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,9170.1,32306.3,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,MGA Villeneuve St Lot - internal machining/forming process,"mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@@mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@44.3974711,0.7316929",FR,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,"mga_villeneuve_st_lot_tier1@@mga_villeneuve_st_lot_tier1@44.3974711,0.7316929",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,1035.0,truck,0.0,internal,499.6,truck
R021-P001,21,primary,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,100.0,2.125,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8639.0,18357.9,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ETS Gattefin - internal machining/forming process,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,816.6,truck,0.0,internal,186.9,truck
R022-P001,22,primary,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,100.0,0.4425,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8639.0,3822.8,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ETS Gattefin - internal machining/forming process,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,816.6,truck,0.0,internal,186.9,truck
R023-P001,23,primary,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,100.0,3.956,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8639.0,34175.9,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ETS Gattefin - internal machining/forming process,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,816.6,truck,0.0,internal,186.9,truck
R024-P001,24,primary,Support écran,A2017 - Aluminium,aluminium,1.45,100.0,1.45,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8639.0,12526.5,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ETS Gattefin - internal machining/forming process,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,816.6,truck,0.0,internal,186.9,truck
R025-P001,25,primary,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,100.0,0.18,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8594.1,1546.9,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,SUMPAR - internal machining/forming process,"sumpar_internal_machining_forming_process_tier2_second_transformation@@sumpar_internal_machining_forming_process_tier2_second_transformation@49.3892868,1.2085766",FR,baseline_primary_assumed_internalized_process,SUMPAR,"sumpar_tier1@@sumpar_tier1@49.3892868,1.2085766",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,874.8,truck,0.0,internal,83.8,truck
R026-P001,26,primary,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,100.0,0.084,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,9170.1,770.3,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,MGA Villeneuve St Lot - internal machining/forming process,"mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@@mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@44.3974711,0.7316929",FR,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,"mga_villeneuve_st_lot_tier1@@mga_villeneuve_st_lot_tier1@44.3974711,0.7316929",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,1035.0,truck,0.0,internal,499.6,truck
R027-P001,27,primary,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,100.0,1.259,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8639.0,10876.5,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ETS Gattefin - internal machining/forming process,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,816.6,truck,0.0,internal,186.9,truck
R028-P001,28,primary,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,100.0,0.029,quantitative_ready,high,primary_complete_needs_validation,MEDIUM,baseline_node_is_assumption,1,8639.0,250.5,internal|ship|truck,lane_specific,Alcoa,"alcoa@@alcoa@40.4406,-79.9959",US,baseline_primary,AMAG Austria Metall,"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AT,baseline_primary,ETS Gattefin - internal machining/forming process,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",FR,baseline_primary_assumed_internalized_process,ETS Gattefin,"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",FR,baseline_primary_lca_exact_supplier,Safran Seats / Safran internal group,"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",FR,baseline_primary,7635.5,ship|truck,816.6,truck,0.0,internal,186.9,truck
