operational_event_id,site_uid,supplier,roles,country_code,world_region,month_index,operational_event_type,source_driver_types,source_environmental_event_ids,source_transport_flow_uids,capacity_applied,lead_time_multiplier,scrap_multiplier,disruption_index
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,6,congestion_logistique_outbound,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:heatwave",6710a156a67f4acb,0.9142,1.1414,1.1287,0.7149
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,6,overtime_energetique,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:heatwave",6710a156a67f4acb,0.9142,1.1414,1.1287,0.7149
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,6,recalage_qualite,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:heatwave",6710a156a67f4acb,0.9142,1.1414,1.1287,0.7149
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,6,retard_approvisionnement,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:heatwave",6710a156a67f4acb,0.9142,1.1414,1.1287,0.7149
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,7,capacite_meteo_degradee,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:heatwave",6710a156a67f4acb,0.9168,1.1278,1.1248,0.6932
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,7,congestion_logistique_outbound,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:heatwave",6710a156a67f4acb,0.9168,1.1278,1.1248,0.6932
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,7,overtime_energetique,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:heatwave",6710a156a67f4acb,0.9168,1.1278,1.1248,0.6932
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,7,recalage_qualite,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:heatwave",6710a156a67f4acb,0.9168,1.1278,1.1248,0.6932
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,7,retard_approvisionnement,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:heatwave",6710a156a67f4acb,0.9168,1.1278,1.1248,0.6932
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,8,capacite_meteo_degradee,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:heatwave",6710a156a67f4acb,0.9445,1.0317,1.0832,0.4624
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,8,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:heatwave",6710a156a67f4acb,0.9445,1.0317,1.0832,0.4624
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,8,recalage_qualite,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:heatwave",6710a156a67f4acb,0.9445,1.0317,1.0832,0.4624
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:009:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,9,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:009:heatwave",6710a156a67f4acb,0.9864,1.0103,1.0205,0.1137
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,11,capacite_meteo_degradee,env:cold|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:storm",,0.9465,1.1017,1.0107,0.2675
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:froid_transport_ou_site","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,11,froid_transport_ou_site,env:cold|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:storm",,0.9465,1.1017,1.0107,0.2675
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,11,maintenance_corrective_meteo,env:cold|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:storm",,0.9465,1.1017,1.0107,0.2675
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,11,overtime_energetique,env:cold|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:storm",,0.9465,1.1017,1.0107,0.2675
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,11,retard_approvisionnement,env:cold|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:storm",,0.9465,1.1017,1.0107,0.2675
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:012:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,12,maintenance_corrective_meteo,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:012:storm",,0.9961,1.0075,1.0008,0.0197
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:013:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,13,maintenance_corrective_meteo,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:013:storm",,0.9738,1.0497,1.0052,0.1309
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,14,capacite_meteo_degradee,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:storm",6710a156a67f4acb,0.9505,1.1065,1.0067,0.3805
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,14,congestion_logistique_outbound,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:storm",6710a156a67f4acb,0.9505,1.1065,1.0067,0.3805
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,14,maintenance_corrective_meteo,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:storm",6710a156a67f4acb,0.9505,1.1065,1.0067,0.3805
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,14,retard_approvisionnement,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:storm",6710a156a67f4acb,0.9505,1.1065,1.0067,0.3805
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,15,capacite_meteo_degradee,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:storm",6710a156a67f4acb,0.9386,1.1323,1.0047,0.4726
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,15,congestion_logistique_outbound,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:storm",6710a156a67f4acb,0.9386,1.1323,1.0047,0.4726
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,15,maintenance_corrective_meteo,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:storm",6710a156a67f4acb,0.9386,1.1323,1.0047,0.4726
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,15,retard_approvisionnement,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:storm",6710a156a67f4acb,0.9386,1.1323,1.0047,0.4726
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:016:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,16,congestion_logistique_outbound,outbound:maritime_storm,,6710a156a67f4acb,0.9766,1.0505,1.0,0.1802
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:016:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,16,retard_approvisionnement,outbound:maritime_storm,,6710a156a67f4acb,0.9766,1.0505,1.0,0.1802
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:017:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,17,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:017:heatwave",,0.9943,1.0029,1.0086,0.0479
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:018:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,18,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:018:heatwave",6710a156a67f4acb,0.973,1.0135,1.0405,0.2252
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:018:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,18,recalage_qualite,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:018:heatwave",6710a156a67f4acb,0.973,1.0135,1.0405,0.2252
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:019:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,19,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:019:heatwave",6710a156a67f4acb,0.9604,1.0198,1.0594,0.3299
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:019:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,19,recalage_qualite,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:019:heatwave",6710a156a67f4acb,0.9604,1.0198,1.0594,0.3299
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:020:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,20,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:020:heatwave",6710a156a67f4acb,0.9613,1.0196,1.0581,0.3228
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:020:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,20,recalage_qualite,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:020:heatwave",6710a156a67f4acb,0.9613,1.0196,1.0581,0.3228
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:021:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,21,overtime_energetique,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:021:heatwave",6710a156a67f4acb,0.9787,1.0136,1.0319,0.1775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:021:recalage_qualite","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,21,recalage_qualite,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:021:heatwave",6710a156a67f4acb,0.9787,1.0136,1.0319,0.1775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:022:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,22,congestion_logistique_outbound,outbound:maritime_storm,,6710a156a67f4acb,0.9738,1.0564,1.0,0.2015
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:022:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,22,retard_approvisionnement,outbound:maritime_storm,,6710a156a67f4acb,0.9738,1.0564,1.0,0.2015
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,23,capacite_meteo_degradee,env:cold|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:cold",6710a156a67f4acb,0.9379,1.1337,1.0009,0.4775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,23,congestion_logistique_outbound,env:cold|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:cold",6710a156a67f4acb,0.9379,1.1337,1.0009,0.4775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:froid_transport_ou_site","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,23,froid_transport_ou_site,env:cold|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:cold",6710a156a67f4acb,0.9379,1.1337,1.0009,0.4775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,23,overtime_energetique,env:cold|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:cold",6710a156a67f4acb,0.9379,1.1337,1.0009,0.4775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,23,retard_approvisionnement,env:cold|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:cold",6710a156a67f4acb,0.9379,1.1337,1.0009,0.4775
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,24,capacite_meteo_degradee,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,0.3664
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:congestion_logistique_outbound","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,24,congestion_logistique_outbound,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,0.3664
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:froid_transport_ou_site","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,24,froid_transport_ou_site,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,0.3664
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,24,maintenance_corrective_meteo,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,0.3664
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:overtime_energetique","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,24,overtime_energetique,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,0.3664
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,24,retard_approvisionnement,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,0.3664
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:capacite_meteo_degradee","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,25,capacite_meteo_degradee,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:storm",,0.9097,1.1716,1.0181,0.4516
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,25,maintenance_corrective_meteo,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:storm",,0.9097,1.1716,1.0181,0.4516
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,25,retard_approvisionnement,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:storm",,0.9097,1.1716,1.0181,0.4516
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:026:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,26,maintenance_corrective_meteo,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:026:storm",,0.9666,1.0634,1.0067,0.1669
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:026:retard_approvisionnement","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,26,retard_approvisionnement,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:026:storm",,0.9666,1.0634,1.0067,0.1669
"ops:halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:027:maintenance_corrective_meteo","halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,27,maintenance_corrective_meteo,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:027:storm",6710a156a67f4acb,0.9764,1.0449,1.0047,0.1181
