month_index,classical_cumulative,td_dlca_cumulative,sdd_cumulative,surimpact_cumulative
111,143938.977162,146479.482848,174137.577585,27658.094736
112,145235.724704,147796.871466,175564.524214,27767.652747
113,146532.472246,149115.044372,176975.269443,27860.225069
114,147829.219788,150435.235849,178412.772516,27977.536665
115,149125.96733,151754.274575,179958.700114,28204.425537
116,150422.714872,153074.584968,181550.408605,28475.823635
117,151719.462414,154400.72144,183302.09514,28901.373697
118,153016.209956,155726.286296,185221.950171,29495.663872
119,154312.957498,157054.865467,187054.079691,29999.214221
120,155609.70504,158373.880823,188612.927459,30239.046633
121,156906.452582,159693.206754,190057.685568,30364.478811
122,158203.200124,161010.336795,191517.598815,30507.262017
123,159499.947666,162328.884612,192965.451499,30636.566883
124,160796.695208,163644.285496,194457.933653,30813.648154
125,162093.44275,164965.225419,196019.046055,31053.820633
126,163390.190292,166288.205395,197561.280631,31273.075233
127,164686.937834,167615.172822,199148.767927,31533.595102
128,165983.685376,168939.700169,200715.797205,31776.097033
129,167280.432918,170259.158565,202411.655622,32152.497054
130,168577.18046,171580.131777,204309.348561,32729.216781
131,169873.928002,172901.29272,206132.912959,33231.620236
132,171170.675544,174216.450973,207613.531342,33397.080366
133,172467.423086,175531.299581,209019.267924,33487.968339
134,173764.170628,176854.286425,210466.012629,33611.7262
135,175060.91817,178174.872553,211905.492293,33730.619736
136,176357.665712,179502.3789,213425.921621,33923.542717
137,177654.413254,180818.251523,214861.941687,34043.69016
138,178951.160796,182144.306216,216432.604748,34288.298527
139,180247.908338,183471.435841,218127.576571,34656.140725
140,181544.65588,184795.526009,219776.401751,34980.875737
141,182841.403422,186112.723121,221435.347923,35322.624797
142,184138.150964,187437.101159,223217.212834,35780.11167
143,185434.898506,188763.911057,225052.365423,36288.454361
144,186731.646048,190090.940171,226534.823755,36443.883579
145,188028.39359,191414.983011,228088.800957,36673.817941
146,189325.141132,192734.465124,229616.617317,36882.152188
147,190621.888674,194053.854405,231078.108753,37024.254344
148,191918.636216,195373.834106,232495.875364,37122.041254
149,193215.383758,196686.510797,233901.959751,37215.44895
150,194512.1313,198003.999404,235402.848286,37398.848878
151,195808.878842,199329.745102,237112.868682,37783.123575
152,197105.626384,200653.28591,238733.68957,38080.403655
153,198402.373926,201981.597806,240359.614168,38378.016356
154,199699.121468,203299.872626,242046.947273,38747.07464
155,200995.86901,204621.719143,243836.700984,39214.981834
156,202292.616552,205940.175494,245367.257406,39427.081905
157,203589.364094,207258.203043,246979.601568,39721.398519
158,204886.111636,208577.455197,248467.763886,39890.308683
159,206182.859178,209901.021604,250200.85064,40299.82903
160,207479.60672,211225.342739,251784.623455,40559.280709
161,208776.354262,212553.01569,253344.269075,40791.253378
162,210073.101804,213876.993041,254822.235726,40945.242679
163,211369.849346,215202.403137,256384.614781,41182.211639
164,212666.596888,216528.192087,258019.379399,41491.187307
165,213963.34443,217852.390142,259632.135078,41779.74493
166,215260.091972,219170.740902,261268.816784,42098.075877
167,216556.839514,220491.793939,262899.7325,42407.938556
168,217853.587056,221817.716818,264584.082658,42766.365835
169,219150.334598,223144.538843,266334.27327,43189.734422
170,220447.08214,224473.705073,267968.638136,43494.933058
171,221743.829682,225791.652684,269481.707,43690.054311
172,223040.577224,227114.226654,271012.652953,43898.426294
173,224337.324766,228434.973388,272581.868845,44146.895452
174,225634.072308,229758.16962,274118.495335,44360.32571
175,226930.81985,231080.921947,275742.204668,44661.282716
176,228227.567392,232405.725726,277398.216327,44992.490597
177,229524.314934,233730.76662,279085.850788,45355.084164
178,230821.062476,235059.409574,280854.556594,45795.147015
179,232117.810018,236385.26231,282680.947967,46295.685653
180,233414.55756,237706.206011,284494.229447,46788.023432
181,234711.305102,239026.326381,285919.732873,46893.406488
182,236008.052644,240347.03409,287359.166259,47012.132165
183,237304.800186,241662.473666,288798.478284,47136.004613
184,238601.547728,242980.013311,290274.821225,47294.807909
185,239898.29527,244305.77912,291798.383183,47492.604058
186,241195.042812,245632.698244,293500.15531,47867.457061
187,242491.790354,246961.864474,295334.020793,48372.156314
188,243788.537896,248284.986032,297019.051131,48734.065094
189,245085.285438,249609.390804,298634.90734,49025.516531
190,246382.03298,250930.758025,300222.740715,49291.982686
191,247678.780522,252250.823472,301744.898044,49494.074568
192,248975.528064,253562.810887,303315.632279,49752.821388
193,250272.275606,254885.78507,304868.255981,49982.470907
194,251569.023148,256211.206558,306462.378967,50251.172405
195,252865.77069,257540.372788,308060.385657,50520.012865
196,254162.518232,258864.191756,309512.585587,50648.393827
197,255459.265774,260183.144113,310923.755661,50740.611544
198,256756.013316,261505.100195,312437.721274,50932.621075
199,258052.760858,262833.49263,314215.153314,51381.66068
200,259349.5084,264157.282561,315922.090051,51764.807486
201,260646.255942,265479.593947,317565.439868,52085.845917
202,261943.003484,266805.103371,319219.128013,52414.024638
203,263239.751026,268129.579686,320742.637105,52613.057415
204,264536.498568,269458.745916,322251.341751,52792.595831
205,265833.24611,270780.972534,323872.739014,53091.766476
206,267129.993652,272103.284393,325349.500189,53246.215792
207,268426.741194,273425.173082,327036.75468,53611.581594
208,269723.488736,274745.607236,328648.869657,53903.262417
209,271020.236278,276056.937229,330036.684469,53979.747237
210,272316.98382,277381.108864,331708.605856,54327.496989
211,273613.731362,278708.963594,333544.072184,54835.108587
212,274910.478904,280038.129824,335291.954456,55253.824628
213,276207.226446,281363.438359,336967.383678,55603.945315
214,277503.973988,282684.94509,338568.394352,55883.449257
215,278800.72153,284007.02091,340072.299112,56065.278197
216,280097.469072,285328.956975,341613.947674,56284.990694
217,281394.216614,286643.303789,343055.034945,56411.731151
218,282690.964156,287963.693409,344619.256195,56655.562781
219,283987.711698,289290.898295,346426.644695,57135.746394
220,285284.45924,290616.367423,347998.045502,57381.678074
221,286581.206782,291945.533653,349629.023585,57683.489926
222,287877.954324,293266.890804,351215.083794,57948.192984
223,289174.701866,294594.160113,352976.965008,58382.804889
224,290471.449408,295923.326343,354923.74687,59000.42052
225,291768.19695,297248.19161,356603.174928,59354.983311
226,293064.944492,298564.710583,358170.757452,59606.046862
227,294361.692034,299890.016714,359776.884796,59886.868076
228,295658.439576,301216.483009,361665.450428,60448.967414
229,296955.187118,302545.649239,363411.251803,60865.602559
230,298251.93466,303874.073915,364977.6085,61103.53458
231,299548.682202,305195.674486,366471.063985,61275.389494
232,300845.429744,306516.954736,367922.469666,61405.514925
233,302142.177286,307841.125895,369362.265368,61521.139469
234,303438.924828,309163.423449,370955.401324,61791.977871
235,304735.67237,310490.063375,372726.511004,62236.447624
236,306032.419912,311817.092798,374525.680743,62708.58794
237,307329.167454,313143.060516,376162.845233,63019.784712
238,308625.914996,314472.226746,377739.410385,63267.183634
239,309922.662538,315790.92118,379233.11699,63442.195805
240,311219.41008,317113.759607,380852.425555,63738.665943
