month_index,allocated_delta_kgco2e,allocated_abs_delta_kgco2e,exact_delta_kgco2e,exact_minus_allocated_kgco2e,exact_coverage_allocated_pct,row_count,exact_row_count
46,51.792514354,54.04215336,20.316265377,-31.476248977,57.086653,394,89
47,36.281235642,37.65456825,18.115746569,-18.165489073,62.404479,399,89
48,35.958768092,37.553028174,13.498899987,-22.459868105,69.02947,399,89
49,60.87263444,62.946229318,19.758345257,-41.114289183,59.957156,403,89
50,57.084625024,58.530065686,21.344933643,-35.739691381,68.007863,403,89
51,42.864331317,43.816082301,22.629875764,-20.234455553,73.366426,404,89
52,29.624959979,30.165676027,19.925764587,-9.699195392,85.22705,357,89
53,26.318868883,28.126140221,19.883310174,-6.435558709,73.142231,362,89
54,34.227009119,37.754462341,18.407907485,-15.819101634,51.082669,374,90
55,42.736327574,47.966464612,20.974525543,-21.761802031,50.845426,388,89
56,38.787075054,39.785680028,16.970677031,-21.816398023,47.901198,380,95
57,52.287071577,53.173241257,16.714222639,-35.572848938,59.601268,377,89
58,59.119445305,60.424427605,18.727676634,-40.391768671,58.387412,365,89
59,63.839487887,65.346542129,23.963702381,-39.875785506,68.236378,397,89
60,58.223426679,61.717777917,26.612391367,-31.611035312,59.830466,408,90
61,37.208675292,39.59491713,27.520913521,-9.687761771,64.421522,402,89
62,31.955467735,34.548873821,18.877058579,-13.078409156,66.955662,393,89
63,32.328430813,34.521547953,18.041323253,-14.28710756,71.315937,397,89
64,21.21762813,21.897673096,13.125789025,-8.091839105,77.524149,366,89
65,11.761027224,12.276417884,10.045921685,-1.715105539,63.851697,293,81
66,37.335089269,38.181103327,17.135105423,-20.199983846,84.309567,342,89
67,52.603957656,55.372669164,25.56802566,-27.035931996,76.976065,372,89
68,52.851662455,54.051129307,25.392743693,-27.458918762,65.127418,363,89
69,59.192662726,60.507663442,24.388258073,-34.804404653,74.948034,367,89
70,52.193090059,53.555717005,20.684521277,-31.508568782,59.985592,354,89
71,39.592061468,40.741262258,17.853437317,-21.738624151,62.096742,374,89
72,28.550658065,29.354715737,18.512557863,-10.038100202,71.310111,386,89
73,23.995271564,26.535926446,13.121537087,-10.873734477,54.166686,394,89
74,39.635039958,42.529097528,15.89744725,-23.737592708,59.524702,406,89
75,40.979677417,42.922494557,16.747609464,-24.232067953,76.620018,397,89
76,48.621434924,50.944154712,20.486038241,-28.135396683,74.692425,386,89
77,35.584357265,36.329434945,21.647626564,-13.936730701,83.929973,357,89
78,50.529042554,59.35785679,22.03238777,-28.496654784,39.205196,388,89
79,87.806413988,105.828402842,23.312087949,-64.494326039,28.003852,400,89
80,57.735021059,65.388965627,18.059558763,-39.675462296,39.646064,391,89
81,51.324440779,52.883101779,20.745458671,-30.578982108,72.490074,401,89
82,45.227814974,46.717901356,15.449300077,-29.778514897,70.320356,364,89
83,46.717130978,48.034778974,15.742075717,-30.975055261,70.893353,378,89
84,51.035484266,51.57978114,20.391906643,-30.643577623,77.043876,389,89
85,40.361862237,41.292954491,22.882497675,-17.479364562,74.789964,391,89
86,33.889113087,35.068824049,22.671734668,-11.217378419,77.391094,401,89
87,34.115543981,36.543662885,20.279055123,-13.836488858,65.971352,397,89
88,31.513328352,34.588337392,17.056491438,-14.456836914,61.407888,379,89
89,25.0345221,26.240649208,14.348735521,-10.685786579,74.5319,349,89
90,20.32783918,22.830650324,13.578621997,-6.749217183,69.676714,360,89
91,75.317650461,88.152244545,21.618376225,-53.699274236,36.343688,392,89
92,74.534378401,81.907731777,20.073657817,-54.460720584,42.898013,398,89
93,65.881487346,67.071287812,25.896638339,-39.984849007,70.281534,381,89
94,63.407222098,65.108290808,25.394326083,-38.012896015,65.870906,363,89
95,45.586989138,46.88784908,24.859153672,-20.727835466,60.601774,397,89
96,32.480990103,33.224531643,19.090001541,-13.390988562,76.955135,378,89
97,39.981423247,42.062211301,19.850477824,-20.130945423,57.727985,387,89
98,35.478349823,36.509715647,16.398323107,-19.080026716,74.601171,392,89
99,26.517051513,27.239734759,13.578687189,-12.938364324,76.630513,383,79
100,33.388639915,34.083455639,12.971437104,-20.417202811,81.326284,370,89
101,38.361311963,39.068663735,18.375371371,-19.985940592,84.378862,318,89
102,54.742762943,58.925343559,24.795706374,-29.947056569,58.84734,378,91
103,75.562779658,88.392812586,25.645517919,-49.917261739,38.534879,390,89
104,41.489643723,43.768507995,24.012303416,-17.477340307,70.099349,370,89
105,51.021531047,52.892045799,20.803026592,-30.218504455,55.930566,377,95
106,49.192285608,50.610689396,19.027016068,-30.16526954,58.944602,357,89
107,32.372425702,33.760835826,12.377738986,-19.994686716,43.929435,361,89
108,46.769585257,47.750618639,14.736234461,-32.033350796,61.878766,379,89
109,63.571700641,64.384890497,21.843490762,-41.728209879,60.759398,388,89
110,62.144591613,63.793844973,25.30747808,-36.837113533,67.61898,398,89
111,54.031581664,56.66282136,25.554835862,-28.476745802,75.968571,404,89
112,32.251603711,33.135063197,21.595064482,-10.656539229,79.166602,355,89
113,22.229771651,22.985298141,18.079531266,-4.150240385,78.821859,316,89
114,36.237955073,39.186298283,21.279835683,-14.95811939,69.789298,360,89
115,60.87132053,72.211791608,20.120482957,-40.750837573,32.534048,379,89
116,50.242792229,57.820890825,15.658871647,-34.583920582,36.836679,377,84
117,50.898875179,52.168299523,16.081222536,-34.817652643,65.31878,368,89
118,64.107585393,65.403597081,22.968504846,-41.139080547,68.31043,354,89
119,54.488197383,55.542118179,25.258027976,-29.230169407,67.411175,392,89
120,42.940779076,43.288402622,24.7152785,-18.225500576,79.622478,382,89
121,34.280256167,35.459308369,23.730590778,-10.549665389,73.385102,393,89
122,43.810537275,48.876618053,21.248029183,-22.562508092,60.165639,379,89
123,30.34174318,31.945788376,19.423777264,-10.917965916,71.204167,380,89
124,23.619159892,25.355276224,12.731806713,-10.887353179,69.38257,360,89
125,37.066048021,38.571288557,14.194602061,-22.87144596,72.462784,379,89
126,41.657269605,43.952318423,18.452176506,-23.205093099,72.213302,373,89
127,101.828119703,117.235583193,27.817625304,-74.010494399,33.977835,399,89
128,54.056479933,58.523329129,25.642697243,-28.41378269,62.290713,391,89
129,49.286746332,51.79344498,25.266438049,-24.020308283,58.208438,398,89
130,51.014494727,52.529773021,22.610695622,-28.403799105,57.985512,370,89
131,42.324271687,43.788443107,18.937018339,-23.387253348,56.500864,388,89
132,26.697062277,27.405066241,17.177622109,-9.519440168,70.412987,385,89
133,24.80395016,25.083569316,14.683300131,-10.120650029,79.083756,382,89
134,33.205412825,33.578134835,14.601951571,-18.603461254,80.658969,383,89
135,45.595991927,47.230050861,21.620659462,-23.975332465,81.366991,381,89
136,53.611318317,59.066341567,24.097370141,-29.513948176,60.418992,403,89
137,31.0024854,32.013017442,23.020465157,-7.982020243,78.496648,361,89
138,71.332737575,82.973983857,23.509262017,-47.823475558,38.607471,389,89
139,85.816164292,101.70869878,29.899513757,-55.916650535,37.491071,393,89
140,44.302940443,48.733101487,23.425601773,-20.87733867,65.840805,371,90
141,31.069399392,33.074079394,16.579140693,-14.490258699,52.702515,355,91
142,50.210053374,52.086066444,15.355606138,-34.854447236,64.150665,354,89
143,55.84775973,57.622503202,21.176040322,-34.671719408,61.316172,403,89
144,53.553027258,54.109486156,25.313020325,-28.240006933,79.132575,394,89
145,40.608956378,42.254361292,25.25714789,-15.351808488,80.071602,383,89
146,32.883860719,34.167572995,23.861285789,-9.02257493,75.255345,374,89
147,26.795805344,27.568135706,18.524859454,-8.27094589,76.290439,376,89
148,29.737130605,30.779252421,19.24820371,-10.488926895,73.672471,363,89
149,21.749131681,23.643885711,13.890712197,-7.858419484,74.55262,310,89
150,49.149924341,54.880421007,18.941925293,-30.207999048,51.346952,398,89
151,118.018677545,138.474339667,29.119689253,-88.898988292,35.756199,400,89
152,69.248088787,76.774605683,24.64488013,-44.603208657,55.25057,389,89
153,47.127561759,48.430771011,26.253420861,-20.874140898,80.796398,368,90
154,53.802597483,55.110232713,22.847766285,-30.954831198,60.524967,371,89
155,40.028446053,41.062182797,20.972535982,-19.055910071,57.659596,392,90
156,30.997303841,32.024874315,17.122072448,-13.875231393,60.135905,389,89
157,31.824185063,33.563711359,20.094411339,-11.729773724,59.830589,395,89
158,34.510119439,36.362781973,15.373661903,-19.136457536,68.69799,394,89
159,51.104961148,53.923405034,16.118378334,-34.986582814,64.119613,396,89
160,45.283555577,46.498778417,16.242587384,-29.040968193,74.068965,381,89
161,39.095757469,39.989362383,20.908920613,-18.186836856,79.303019,359,90
162,67.476413256,76.589275562,28.359048464,-39.117364792,50.087168,387,91
163,71.500328038,84.004704862,28.869121609,-42.631206429,37.545596,396,89
164,80.215622816,93.99021128,30.139838572,-50.075784244,38.035613,406,99
165,39.425318434,40.88308446,23.019493847,-16.405824587,75.150727,364,90
166,48.405537567,50.179382211,30.304680428,-18.100857139,72.442246,357,91
167,43.744776351,44.650900101,15.869857149,-27.874919202,68.317519,383,80
168,49.180104328,49.844069576,14.985886076,-34.194218252,55.438356,396,89
169,70.915120835,72.088041939,24.138533333,-46.776587502,60.199526,400,89
170,67.964758123,73.320022397,26.743284541,-41.221473582,57.308065,405,89
171,51.676982789,56.905965663,26.420850533,-25.256132256,63.93625,395,89
172,37.147010009,39.179950651,21.875272155,-15.271737854,71.138282,366,89
173,33.228472994,35.294139028,18.133934868,-15.094538126,73.137375,338,89
174,73.151691554,85.532289178,24.268136163,-48.883555391,37.621495,396,89
175,88.784747462,106.312870844,25.149982246,-63.634765216,29.364391,400,89
176,56.110590899,62.264839669,23.250000121,-32.860590778,61.17425,395,89
177,50.813391918,53.603024492,21.648286247,-29.165105671,75.71058,362,90
178,53.260428503,55.224774807,26.231105371,-27.029323132,70.169252,377,89
179,61.840403587,63.496437265,25.468944851,-36.371458736,60.159792,415,100
180,44.019468016,46.017927434,24.49454187,-19.524926146,60.890555,407,90
181,35.84790247,37.620920278,22.924907329,-12.922995141,63.8637,392,89
182,31.070598276,31.991897418,22.765234098,-8.305364178,72.377874,392,89
183,26.688309897,28.507536515,17.338848112,-9.349461785,71.516847,390,89
184,50.609167682,56.485947098,19.757974042,-30.85119364,61.35662,404,89
185,41.396010203,43.878498137,16.998946818,-24.397063385,73.545726,360,89
186,74.634790602,85.4847982,26.809283581,-47.825507021,56.385109,394,91
187,108.358569246,128.794803468,35.894394865,-72.464174381,34.740448,402,89
188,91.383335903,106.459339753,27.987454567,-63.395881336,33.977875,403,89
189,43.178781947,44.503801545,26.575962529,-16.602819418,76.169231,351,90
190,37.298533649,39.123418313,19.874580176,-17.423953473,72.607265,349,89
191,53.765998334,54.806153962,36.250763402,-17.515234932,69.470239,397,90
192,28.423842353,29.775537241,17.835418396,-10.588423957,43.858879,393,89
193,42.836463211,44.980985315,15.135266271,-27.70119694,70.612622,406,89
194,53.093205285,55.552247549,20.271769403,-32.821435882,74.676398,398,89
195,44.477998308,45.566809786,22.95631641,-21.521681898,76.799762,397,89
196,38.905906655,39.608887779,25.271527953,-13.634378702,85.238758,354,89
197,28.200219395,29.061417199,21.791718515,-6.40850088,81.824899,330,89
198,49.194112316,56.506126002,26.37208887,-22.822023446,53.59034,379,89
199,130.651087752,154.821230238,30.935555397,-99.715532355,27.86217,405,89
200,85.231046519,100.437502707,30.138623918,-55.092422601,39.743639,402,89
201,34.72737075,36.180656786,19.715175436,-15.012195314,73.918556,366,91
202,45.164180187,46.496599709,17.45080194,-27.713378247,72.476033,377,90
203,54.41289672,55.36302979,22.573208717,-31.839688003,78.472555,399,89
204,44.684127134,46.157725346,24.565558073,-20.118569061,74.220969,407,89
205,63.102384352,70.639790968,28.415248853,-34.687135499,52.447623,398,89
206,39.429738213,41.612400921,25.354192212,-14.075546001,68.367399,397,89
207,39.940701265,42.715193499,19.759122251,-20.181579014,61.429774,387,89
208,36.513787144,38.845154134,19.139428407,-17.374358737,66.186186,377,89
209,16.654877888,18.090220016,11.909122688,-4.7457552,69.066328,343,79
210,85.229137662,98.112700976,22.664023995,-62.565113667,37.920434,418,108
211,88.620076272,100.617009174,27.527960215,-61.092116057,48.780872,396,89
212,77.42371718,87.127938774,30.277445079,-47.146272101,51.498018,407,89
213,50.485282704,53.107654052,29.483020616,-21.002262088,76.589365,375,90
214,40.589927097,42.034648977,25.582765109,-15.007161988,74.253236,358,89
215,31.383394438,32.385646414,18.922659153,-12.460735285,70.961101,397,89
216,36.692613583,37.626330711,18.968825237,-17.723788346,52.696072,402,89
217,35.779200096,38.036836712,17.540058722,-18.239141374,64.369752,402,89
218,46.472234588,49.787107998,15.812946735,-30.659287853,62.715978,391,83
219,81.286945351,89.070983537,25.489543012,-55.797402339,50.515247,406,89
220,59.383839734,62.737158826,26.255083983,-33.128755751,72.842856,377,89
221,44.217982042,46.965194736,25.478503697,-18.739478345,75.646693,372,89
222,57.569897082,65.505869216,27.547660066,-30.022237016,60.535533,375,89
223,108.403722489,130.190922835,31.839591736,-76.564130753,31.387019,401,89
224,110.323605048,129.457216778,28.204670608,-82.11893444,28.731979,405,89
225,42.295999762,43.663085168,25.254309708,-17.041690054,72.131587,349,90
226,23.125693206,24.23459394,15.365970063,-7.759723143,61.122755,352,90
227,46.508477585,47.759056159,14.252973797,-32.255503788,65.255283,405,89
228,65.565187157,67.975110147,21.460886365,-44.104300792,62.615387,407,89
229,66.4680229,68.290258194,23.339517134,-43.128505766,60.182893,406,89
230,51.199696344,52.553070948,28.203333715,-22.996362629,69.805196,407,89
231,39.638037704,41.730311484,27.670234534,-11.96780317,75.538946,393,89
232,35.415741651,38.229540925,18.634343266,-16.781398385,69.704551,378,89
233,31.908787525,33.826076477,20.770097988,-11.138689537,68.520157,390,89
234,86.670702516,103.750937584,26.34503955,-60.325662966,30.029762,398,89
235,130.198447889,157.391389987,29.656876451,-100.541571438,30.262282,405,89
236,116.936747248,135.040875332,31.914890871,-85.021856377,41.279636,402,89
237,57.510142932,59.094989964,28.530893406,-28.979249526,78.411415,364,89
238,48.121417036,49.776307954,27.630634452,-20.490782584,79.969339,361,89
239,44.006532247,44.802444117,25.200504877,-18.80602737,67.799438,388,89
240,42.775879278,46.29341254,26.123237046,-16.652642232,54.250282,406,89
