path_id,record_index,system,component,family,path_mass_kg,match_level,brightway_system,brightway_component,brightway_climate_kgco2e,brightway_unit
R057-P001,57,Ens. Tablette repas,acier,steel,0.1165,exact_system_component,Ens. Tablette repas,acier,0.345422335,kg CO2 eq.
R058-P001,58,Habillage sous fauteuil,acier,steel,0.0270916,exact_system_component,Habillage sous fauteuil,acier,0.0803,kg CO2 eq.
R059-P001,59,Manchette équipée,acier,steel,0.0191495,exact_system_component,Manchette équipée,acier,0.0571,kg CO2 eq.
R060-P001,60,Renfort tubulaire,acier,steel,0.003,exact_system_component,Renfort tubulaire,acier,0.17,kg CO2 eq.
R061-P001,61,Stowage assemblé avec porte,acier,steel,0.0943581,exact_system_component,Stowage assemblé avec porte,acier,0.279771633,kg CO2 eq.
R062-P001,62,Structure ottoman horizontale,acier,steel,0.0666443,exact_system_component,Structure ottoman horizontale,acier,0.198,kg CO2 eq.
R063-P001,63,Support écran,acier,steel,0.05736,exact_system_component,Support écran,acier,0.17,kg CO2 eq.
R064-P001,64,Support équipé,acier,steel,0.003,exact_system_component,Support équipé,acier,0.00889,kg CO2 eq.
R065-P001,65,Support manchette équipée,acier,steel,0.006,exact_system_component,Support manchette équipée,acier,0.017,kg CO2 eq.
R066-P001,66,Accoudoir allée,Alu,aluminium,3.0435071,exact_system_component,Accoudoir allée,Alu,1.07,kg CO2 eq.
R067-P001,67,Ens. Palette optimisée,Alu,aluminium,12.5475707,exact_system_component,Ens. Palette optimisée,Alu,2.2,kg CO2 eq.
R068-P001,68,Ensemble porte,Alu,aluminium,6.872,exact_system_component,Ensemble porte,Alu,64.0,kg CO2 eq.
R069-P001,69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,component_fuzzy,Accoudoir allée,A5086,3.19,kg CO2 eq.
R070-P001,70,Manchette acc. Mobile,Alu,aluminium,0.106,exact_system_component,Manchette acc. Mobile,Alu,0.0091,kg CO2 eq.
R071-P001,71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,component_fuzzy,Brackets set,cables,19.1,kg CO2 eq.
R072-P001,72,Ens. Structure fauteuil,acier,steel,1.687,exact_system_component,Ens. Structure fauteuil,acier,5.25,kg CO2 eq.
R073-P001,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,0.2,component_exact,SFCU,Clavier,5.48,kg CO2 eq.
R074-P001,74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,exact_system_component,Commande actionnement ECU,Commande actionnement ECU,291.0,kg CO2 eq.
R075-P001,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,system_only,Bumper version porte,A5086,0.243,kg CO2 eq.
R076-P001,76,Manchette acc. Mobile,cuir,textile_leather,0.039,exact_system_component,Manchette acc. Mobile,cuir,0.124,kg CO2 eq.
R077-P001,77,Manchette équipée,cuir,textile_leather,0.06,exact_system_component,Manchette équipée,cuir,0.191,kg CO2 eq.
R078-P001,78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,1.928,exact_system_component,Ecran,Ecran,174.0,kg CO2 eq.
R079-P001,79,Accoudoir allée,Ertalon,polymer_plastic,0.01,exact_system_component,Accoudoir allée,Ertalon,0.0732,kg CO2 eq.
R080-P001,80,Ens. Stowage latéral,Ertalon,polymer_plastic,0.003,exact_system_component,Ens. Stowage latéral,Ertalon,0.021820198,kg CO2 eq.
R081-P001,81,Ens. Structure fauteuil,inox,steel,0.045,exact_system_component,Ens. Structure fauteuil,inox,0.199,kg CO2 eq.
R082-P001,82,Ensemble porte,Ertalon,polymer_plastic,0.002,exact_system_component,Ensemble porte,Ertalon,0.0145,kg CO2 eq.
R083-P001,83,Ens. Tablette repas,Ertalon,polymer_plastic,0.007,exact_system_component,Ens. Tablette repas,Ertalon,0.051234094,kg CO2 eq.
R084-P001,84,Stowage assemblé avec porte,Ertalon,polymer_plastic,0.02,exact_system_component,Stowage assemblé avec porte,Ertalon,0.14546799,kg CO2 eq.
R085-P001,85,Structure ottoman horizontale,Ertalon,polymer_plastic,0.0002725,exact_system_component,Structure ottoman horizontale,Ertalon,0.00199,kg CO2 eq.
R086-P001,86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R087-P001,87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R088-P001,88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R089-P001,89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R090-P001,90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R091-P001,91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R092-P001,92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R093-P001,93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R094-P001,94,Accoudoir allée,inox,steel,0.018054,exact_system_component,Accoudoir allée,inox,0.079,kg CO2 eq.
R095-P001,95,Ens. Palette optimisée,inox,steel,0.023743,exact_system_component,Ens. Palette optimisée,inox,0.104,kg CO2 eq.
R096-P001,96,Ensemble porte,inox,steel,0.0047592,exact_system_component,Ensemble porte,inox,0.0208,kg CO2 eq.
R097-P001,97,Ens. Structure fauteuil,GLO: moulage par injection plastique,polymer_plastic,0.081,system_only,Ens. Structure fauteuil,35NC6,4.41,kg CO2 eq.
R098-P001,98,Ens. Tablette cocktail,inox,steel,0.012,exact_system_component,Ens. Tablette cocktail,inox,0.0523,kg CO2 eq.
R099-P001,99,Ens. Tablette repas,inox,steel,0.014,exact_system_component,Ens. Tablette repas,inox,0.0611,kg CO2 eq.
R100-P001,100,Ens. Têtière,inox,steel,0.001,exact_system_component,Ens. Têtière,inox,0.00377,kg CO2 eq.
R101-P001,101,Stowage assemblé avec porte,inox,steel,0.00928,exact_system_component,Stowage assemblé avec porte,inox,0.0405,kg CO2 eq.
R102-P001,102,Support écran,inox,steel,0.014,exact_system_component,Support écran,inox,0.0611,kg CO2 eq.
R103-P001,103,Capot NFC,kydex,polymer_plastic,0.069,exact_system_component,Capot NFC,kydex,0.164,kg CO2 eq.
R104-P001,104,Coussin ottoman,kydex,polymer_plastic,0.037,exact_system_component,Coussin ottoman,kydex,0.0877,kg CO2 eq.
R105-P001,105,Ens. Stowage latéral,kydex,polymer_plastic,1.161,exact_system_component,Ens. Stowage latéral,kydex,2.75,kg CO2 eq.
R106-P001,106,Ensemble porte,kydex,polymer_plastic,1.384,exact_system_component,Ensemble porte,kydex,3.28,kg CO2 eq.
R107-P001,107,Ens. Tablette cocktail,kydex,polymer_plastic,0.715,exact_system_component,Ens. Tablette cocktail,kydex,1.08,kg CO2 eq.
R108-P001,108,Ens. Tablette repas,kydex,polymer_plastic,0.059,exact_system_component,Ens. Tablette repas,kydex,0.14,kg CO2 eq.
R109-P001,109,Stowage assemblé avec porte,kydex,polymer_plastic,0.226,exact_system_component,Stowage assemblé avec porte,kydex,0.536,kg CO2 eq.
R110-P001,110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,8.439,system_only,Ens. Coque,acier,0.984,kg CO2 eq.
R111-P001,111,Ceinture de sécurité,nylon,textile_leather,0.18,exact_system_component,Ceinture de sécurité,nylon,1.69,kg CO2 eq.
R112-P001,112,Support clamps,nylon,textile_leather,1.284,exact_system_component,Support clamps,nylon,9.12,kg CO2 eq.
R113-P001,113,Ens. Stowage latéral,nylon,textile_leather,0.016416667,exact_system_component,Ens. Stowage latéral,nylon,0.0426,kg CO2 eq.
R114-P001,114,Ens. Palette optimisée,nylon,textile_leather,0.0021875,exact_system_component,Ens. Palette optimisée,nylon,0.284,kg CO2 eq.
R115-P001,115,Ensemble porte,nylon,textile_leather,0.0004003,exact_system_component,Ensemble porte,nylon,0.0739,kg CO2 eq.
R116-P001,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,0.029,component_fuzzy,Ens. Palette optimisée,35NC6,0.169,kg CO2 eq.
R117-P001,117,Ens. Tablette cocktail,nylon,textile_leather,0.002,exact_system_component,Ens. Tablette cocktail,nylon,1.85,kg CO2 eq.
R118-P001,118,Ens. Tablette repas,nylon,textile_leather,0.0002,exact_system_component,Ens. Tablette repas,nylon,0.252,kg CO2 eq.
R119-P001,119,Ens. Têtière,nylon,textile_leather,0.003,exact_system_component,Ens. Têtière,nylon,0.0247,kg CO2 eq.
R120-P001,120,Stowage assemblé avec porte,nylon,textile_leather,0.000375,exact_system_component,Stowage assemblé avec porte,nylon,0.284,kg CO2 eq.
R121-P001,121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,0.0,component_exact,Ecran,Ecran,174.0,kg CO2 eq.
R122-P001,122,Ens. Structure fixe,acier,steel,1.4326471,exact_system_component,Ens. Structure fixe,acier,4.25,kg CO2 eq.
R123-P001,123,Ens. Structure fixe,Alu,aluminium,3.5410117,exact_system_component,Ens. Structure fixe,Alu,40.7,kg CO2 eq.
R124-P001,124,Ens. Structure fixe,caoutchouc,polymer_plastic,0.01,exact_system_component,Ens. Structure fixe,caoutchouc,0.0502,kg CO2 eq.
R125-P001,125,Ens. Palette optimisée,Polychloroprene,polymer_plastic,0.0049932,exact_system_component,Ens. Palette optimisée,Polychloroprene,0.0143,kg CO2 eq.
R126-P001,126,Powerbox,powerbox,electronics_cots,1.5,exact_system_component,Powerbox,powerbox,21.8,kg CO2 eq.
R128-P001,128,Ens. Coque,Résine BR623 - composite,adhesive_composite,0.488,system_only,Ens. Coque,acier,0.984,kg CO2 eq.
R129-P001,129,Ens. Tablette repas,Silicone50 shore,rubber_silicone,0.0007,exact_system_component,Ens. Tablette repas,Silicone50 shore,0.0047,kg CO2 eq.
R130-P001,130,Remote extender unit,télécommande,general,0.07,exact_system_component,Remote extender unit,télécommande,43.7,kg CO2 eq.
R131-P001,131,Coussin têtière,tissu,textile_leather,0.191,exact_system_component,Coussin têtière,tissu,4.23,kg CO2 eq.
R132-P001,132,Ens. Coussin assise,tissu,textile_leather,0.42,exact_system_component,Ens. Coussin assise,tissu,9.24,kg CO2 eq.
R133-P001,133,Ens.coussin dossier version têtière,tissu,textile_leather,0.748,exact_system_component,Ens.coussin dossier version têtière,tissu,17.2,kg CO2 eq.
R134-P001,134,Ens. Coussin dossier,tissu,textile_leather,0.743,exact_system_component,Ens. Coussin dossier,tissu,16.7,kg CO2 eq.
R135-P001,135,Ens. Tablette cocktail,tissu,textile_leather,0.002,exact_system_component,Ens. Tablette cocktail,tissu,0.0468,kg CO2 eq.
R136-P001,136,Ens. Têtière,tissu,textile_leather,0.002,exact_system_component,Ens. Têtière,tissu,4.23,kg CO2 eq.
R137-P001,137,Padding (rembourrage),ULTRA LEATHER SMOKE,textile_leather,0.0,system_only,Padding,packaging,0.738,kg CO2 eq.
R138-P001,138,Ens. Structure fixe,inox,steel,0.027,exact_system_component,Ens. Structure fixe,inox,0.118,kg CO2 eq.
R139-P001,139,Ens. Structure fixe,nylon,textile_leather,0.0145416,exact_system_component,Ens. Structure fixe,nylon,0.189,kg CO2 eq.
R140-P001,140,Coussin têtière,velcro,textile_leather,0.007,exact_system_component,Coussin têtière,velcro,0.0456,kg CO2 eq.
R141-P001,141,Ens.coussin dossier version têtière,velcro,textile_leather,0.005,exact_system_component,Ens.coussin dossier version têtière,velcro,0.0326,kg CO2 eq.
R142-P001,142,Ens. Coussin dossier,velcro,textile_leather,0.006,exact_system_component,Ens. Coussin dossier,velcro,0.0391,kg CO2 eq.
R143-P001,143,Manchette équipée,velcro,textile_leather,0.006,exact_system_component,Manchette équipée,velcro,0.0391,kg CO2 eq.
R144-P001,144,Coussin ottoman,velours,textile_leather,0.034,exact_system_component,Coussin ottoman,velours,0.222,kg CO2 eq.
R145-P001,145,Coussin têtière,velours,textile_leather,0.003,exact_system_component,Coussin têtière,velours,0.0196,kg CO2 eq.
R146-P001,146,Ens. Coussin assise,velours,textile_leather,0.025,exact_system_component,Ens. Coussin assise,velours,0.163,kg CO2 eq.
R147-P001,147,Ens.coussin dossier version têtière,velours,textile_leather,0.008,exact_system_component,Ens.coussin dossier version têtière,velours,0.0521,kg CO2 eq.
R148-P001,148,Ens. Coussin dossier,velours,textile_leather,0.022,exact_system_component,Ens. Coussin dossier,velours,0.143,kg CO2 eq.
R149-P001,149,Ens. Structure porte,velcro,textile_leather,0.0,exact_system_component,Ens. Structure porte,velcro,0.391,kg CO2 eq.
R150-P001,150,Habillage sous fauteuil,velours,textile_leather,0.007,exact_system_component,Habillage sous fauteuil,velours,0.0456,kg CO2 eq.
R151-P001,151,Ens. Structure porte,Z10CNT18,steel,0.0478353,exact_system_component,Ens. Structure porte,Z10CNT18,3.84,kg CO2 eq.
R152-P001,152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,component_fuzzy,Coussin ottoman,FRMC55,3.69,kg CO2 eq.
R153-P001,153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,0.45,exact_system_component,Ecran,Ecran,174.0,kg CO2 eq.
R154-P001,154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.024,component_fuzzy,Accoudoir allée,Alu,1.07,kg CO2 eq.
R155-P001,155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.7096766,component_fuzzy,Accoudoir allée,Alu,1.07,kg CO2 eq.
R158-P001,158,Siége,"Tissu, mousse, polyéthylène",textile_leather,0.0,component_fuzzy,Coussin ottoman,tissu,7.14,kg CO2 eq.
R159-P001,159,Siége,Moulage plastique,polymer_plastic,0.0,not_required_zero_mass,,,,
R160-P001,160,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.0,component_fuzzy,Ens. Stowage latéral,cuir,0.357,kg CO2 eq.
R161-P001,161,Siége,65% aluminium,aluminium,0.0,component_fuzzy,Accoudoir allée,Alu,1.07,kg CO2 eq.
R162-P001,162,Siége,"16 % Tissu, mousse, polyéthylène",textile_leather,0.0,component_fuzzy,Coussin ottoman,tissu,7.14,kg CO2 eq.
R163-P001,163,Siége,11% Moulage plastique,polymer_plastic,0.0,not_required_zero_mass,,,,
R164-P001,164,Siége,"8% autre (silicium, cuirs synthétique)",textile_leather,0.0,component_fuzzy,Ens. Stowage latéral,cuir,0.357,kg CO2 eq.
R165-P001,165,Siége,"16 % Tissu, mousse",textile_leather,0.0,component_fuzzy,Coussin ottoman,tissu,7.14,kg CO2 eq.
R165-P002,165,Siége,"16 % Tissu, mousse",textile_leather,0.0,component_fuzzy,Coussin ottoman,tissu,7.14,kg CO2 eq.
R166-P001,166,siege,titane fibre de carbone,titanium_carbon,0.0,not_required_zero_mass,,,,
R166-P002,166,siege,titane fibre de carbone,titanium_carbon,0.0,not_required_zero_mass,,,,
R167-P001,167,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,system_only,Accoudoir allée,30NCD6,0.080054962,kg CO2 eq.
R168-P001,168,Siége,"Tissu, mousse, polyéthylène",textile_leather,0.0,component_fuzzy,Coussin ottoman,tissu,7.14,kg CO2 eq.
R169-P001,169,Siége,"Tissu, mousse, polyéthylène",textile_leather,0.0,component_fuzzy,Coussin ottoman,tissu,7.14,kg CO2 eq.
R170-P001,170,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.0,component_fuzzy,Ens. Stowage latéral,cuir,0.357,kg CO2 eq.
R171-P001,171,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.0,component_fuzzy,Ens. Stowage latéral,cuir,0.357,kg CO2 eq.
R172-P001,172,Siége,Moulage plastique,polymer_plastic,0.0,not_required_zero_mass,,,,
R173-P001,173,Siége,Moulage plastique,polymer_plastic,0.0,not_required_zero_mass,,,,
