source_file,family,system,component,indicator,unit,climate_kgco2e
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens.coussin dossier version têtière,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.375
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens.coussin dossier version têtière,velcro,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0326
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens.coussin dossier version têtière,velours,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0521
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin dossier,FRMC55,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,4.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin dossier,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.56
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin dossier,tissu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,16.7
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin dossier,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.412
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin dossier,velcro,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0391
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coussin dossier,velours,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.143
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,15CDV6,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0652
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,A2017,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.4
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,A5086,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,2.18
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0451
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,cuir,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.357
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,Ertalon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.021820198
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,FRMC55,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0587
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,kydex,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,2.75
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0426
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0159
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Stowage latéral,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.128
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coque,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.984
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coque,NIDA,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,21.9
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coque,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,6.01
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coque,Résine BR623,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,4.81
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Coque,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.756
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,A5086,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,36.8
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.295
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,Ertalon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.00127
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0183
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.86e-06
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.828
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Equipements latéraux,velours,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0521
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,35NC6,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.169
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,A2017,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,159.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.72
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,Alu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,2.2
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.104
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.284
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0837
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,Polychloroprene,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0143
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Palette optimisée,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.37
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.128
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,AER film,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.929
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,Alu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,64.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,Ertalon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0145
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0208
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,kydex,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.28
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0739
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0837
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ensemble porte,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.671
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,35NC6,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,4.41
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,4140,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.00622
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,A2017,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,161.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,A2024,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,65.4
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,A5086,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,4.68
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,5.25
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.199
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.653
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.85
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fauteuil,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,158.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure porte,velcro,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.391
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure porte,Z10CNT18,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.84
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,35NC6,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0575
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,4.25
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,Alu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,40.7
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,caoutchouc,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0502
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.118
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.189
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.12
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Structure fixe,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.258
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,A2017,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,162.0
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,A2024,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.49
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,3.36
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0523
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,kydex,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.08
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,1.85
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,packaging,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.021
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,tissu,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0468
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette cocktail,Transport,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.217
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,A2017,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,60.130936175
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,A2024,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,16.02869452
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,A2075,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.29786417
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,acier,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.345422335
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,Ertalon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.051234094
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,inox,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.0611
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,kydex,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.14
bw_tristan/STELIALCASEATS.xlsx,Sous-ensemble,Ens. Tablette repas,nylon,EF 3.0 Climate Change - total [kg CO2 eq.],kg CO2 eq.,0.252
