path_id,record_index,month_index,system,component,family,path_mass_kg,oem_service_level,oem_backlog_kg,path_disruption_index,backup_output_kg,premium_output_kg,classical_kgCO2e,td_dlca_kgCO2e,sdd_kgCO2e,surimpact_kgCO2e
R019-P001,19,1,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,1.0,0.0,0.6966,0.277492,0.0,131.721722,134.015655,143.326713,9.311058
R020-P001,20,1,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,1.0,0.0,0.6966,0.079268,0.0,37.870658,38.530176,41.058037,2.527861
R021-P001,21,1,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,1.0,0.0,0.6966,0.047812,0.0,22.70736,23.102808,24.654272,1.551463
R022-P001,22,1,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,1.0,0.0,0.6966,0.009956,0.0,4.728474,4.81082,5.13389,0.323069
R023-P001,23,1,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,1.0,0.0,0.6966,0.08901,0.0,42.273089,43.009275,45.897552,2.888277
R024-P001,24,1,Support écran,A2017 - Aluminium,aluminium,1.45,1.0,0.0,0.6966,0.032625,0.0,15.494434,15.764269,16.822915,1.058646
R025-P001,25,1,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,1.0,0.0,0.6966,0.00405,0.0,1.922477,1.955957,2.091852,0.135895
R026-P001,26,1,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,1.0,0.0,0.6966,0.00189,0.0,0.902962,0.918687,0.97896,0.060273
R027-P001,27,1,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,1.0,0.0,0.6966,0.028327,0.0,13.453443,13.687734,14.606931,0.919196
R028-P001,28,1,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,1.0,0.0,0.6966,0.000653,0.0,0.309889,0.315285,0.336458,0.021173
R029-P001,29,1,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,1.0,0.0,1.0,0.028029,0.0,3.399474,3.484461,4.086978,0.602518
R030-P001,30,1,Bumper version porte,A5086 - Aluminium,aluminium,0.024,1.0,0.0,1.0,0.002129,0.0,0.258188,0.264643,0.310403,0.045761
R031-P001,31,1,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,1.0,0.0,1.0,0.019159,0.0,2.323691,2.381783,2.793631,0.411848
R032-P001,32,1,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,0.008,1.0,0.0,1.0,0.00071,0.0,0.060537,0.06205,0.07232,0.01027
R033-P001,33,1,Ens. Structure fauteuil,4140 (acier),steel,0.002,1.0,0.0,0.6966,4.5e-05,0.0,0.008605,0.008755,0.010782,0.002027
R034-P001,34,1,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.0,0.0,1.0,0.091361,0.0,11.080563,11.357577,13.32148,1.963903
R035-P001,35,1,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,1.0,0.0,1.0,0.009313,0.0,1.129572,1.157811,1.358015,0.200204
R036-P001,36,1,Manchette équipée,A5086 - Aluminium,aluminium,0.17,1.0,0.0,1.0,0.015079,0.0,1.828831,1.874552,2.198691,0.324139
R037-P001,37,1,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,1.0,0.0,1.0,0.08258,0.0,10.015538,10.265927,12.041066,1.775139
R038-P001,38,1,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,1.0,0.0,1.0,0.217936,0.0,26.431984,27.092784,31.77755,4.684766
R039-P001,39,1,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.0,0.0,1.0,0.171014,0.0,20.741093,21.25962,24.935741,3.676121
R040-P001,40,1,Support écran,A5086 - Aluminium,aluminium,0.506,1.0,0.0,1.0,0.044882,0.0,5.443461,5.579548,6.544339,0.964791
R041-P001,41,1,Support équipé,A5086 - Aluminium,aluminium,0.099,1.0,0.0,1.0,0.008781,0.0,1.065025,1.091651,1.280414,0.188763
R042-P001,42,1,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,1.0,0.0,1.0,0.010378,0.0,1.258666,1.290133,1.513217,0.223084
R043-P001,43,1,Support NFC,A5086 - Aluminium,aluminium,0.01,1.0,0.0,1.0,0.000887,0.0,0.107578,0.110268,0.129335,0.019067
R044-P001,44,1,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,1.0,0.0,0.6966,0.00909,0.0,4.355917,4.431775,4.721035,0.28926
R045-P001,45,1,Ceinture de sécurité,acier,steel,0.72,1.0,0.0,1.0,0.114809,0.0,2.921032,2.994058,4.134793,1.140736
R046-P001,46,1,Support clamps,acier,steel,1.284,1.0,0.0,1.0,0.204743,0.0,5.209174,5.339403,7.373715,2.034312
R047-P001,47,1,Accoudoir allée,acier,steel,0.7096766,1.0,0.0,1.0,0.113163,0.0,2.87915,2.951129,4.075508,1.12438
R048-P001,48,1,Bumper version porte,acier,steel,0.024,1.0,0.0,1.0,0.003827,0.0,0.097368,0.099802,0.137826,0.038025
R049-P001,49,1,Ens. Stowage latéral,acier,steel,0.0151984,1.0,0.0,1.0,0.002423,0.0,0.06166,0.063201,0.087281,0.02408
R050-P001,50,1,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,steel,0.496,1.0,0.0,0.6966,0.01116,0.0,1.490585,1.516544,1.682089,0.165546
R051-P001,51,1,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,1.417,1.0,0.0,0.6966,0.031883,0.0,6.096865,6.203042,7.503988,1.300946
R052-P001,52,1,Ens. Palette optimisée,acier,steel,0.58,1.0,0.0,1.0,0.092485,0.0,2.353053,2.41188,3.330806,0.918926
R053-P001,53,1,Ensemble porte,acier,steel,0.0430761,1.0,0.0,1.0,0.006869,0.0,0.174759,0.179128,0.247376,0.068248
R054-P001,54,1,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,1.0,0.0,0.832,2.287938,0.0,150.625749,153.758765,199.361924,45.603159
R055-P001,55,1,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,1.0,0.0,0.832,1.014602,0.0,66.796053,68.185411,88.408454,20.223043
R056-P001,56,1,Ens. Tablette cocktail,acier,steel,1.133,1.0,0.0,1.0,0.180665,0.0,4.596568,4.711482,6.506557,1.795074
R057-P001,57,1,Ens. Tablette repas,acier,steel,0.1165,1.0,0.0,1.0,0.018577,0.0,0.472639,0.484455,0.669033,0.184577
R058-P001,58,1,Habillage sous fauteuil,acier,steel,0.0270916,1.0,0.0,1.0,0.00432,0.0,0.10991,0.112658,0.155581,0.042923
R059-P001,59,1,Manchette équipée,acier,steel,0.0191495,1.0,0.0,1.0,0.003054,0.0,0.077689,0.079632,0.109971,0.03034
R060-P001,60,1,Renfort tubulaire,acier,steel,0.003,1.0,0.0,1.0,0.000478,0.0,0.012171,0.012475,0.017228,0.004753
R061-P001,61,1,Stowage assemblé avec porte,acier,steel,0.0943581,1.0,0.0,1.0,0.015046,0.0,0.38281,0.39238,0.541877,0.149497
R062-P001,62,1,Structure ottoman horizontale,acier,steel,0.0666443,1.0,0.0,1.0,0.010627,0.0,0.270375,0.277135,0.382723,0.105588
R063-P001,63,1,Support écran,acier,steel,0.05736,1.0,0.0,1.0,0.009146,0.0,0.232709,0.238527,0.329405,0.090879
R064-P001,64,1,Support équipé,acier,steel,0.003,1.0,0.0,1.0,0.000478,0.0,0.012171,0.012475,0.017228,0.004753
R065-P001,65,1,Support manchette équipée,acier,steel,0.006,1.0,0.0,1.0,0.000957,0.0,0.024342,0.02495,0.034457,0.009506
R066-P001,66,1,Accoudoir allée,Alu,aluminium,3.0435071,1.0,0.0,0.6966,0.068479,0.0,32.219359,32.780459,34.521973,1.741514
R067-P001,67,1,Ens. Palette optimisée,Alu,aluminium,12.5475707,1.0,0.0,0.6966,0.28232,0.0,132.831852,135.145119,142.324917,7.179798
R068-P001,68,1,Ensemble porte,Alu,aluminium,6.872,1.0,0.0,0.6966,0.15462,0.0,72.748782,74.015702,77.947903,3.932201
R069-P001,69,1,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,1.0,0.0,1.0,0.040625,0.0,4.927085,5.050262,5.923532,0.873269
R070-P001,70,1,Manchette acc. Mobile,Alu,aluminium,0.106,1.0,0.0,0.6966,0.002385,0.0,1.122144,1.141686,1.20234,0.060654
R071-P001,71,1,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,1.0,0.0,0.6966,0.075712,0.0,18.70022,19.025885,20.484142,1.458257
R072-P001,72,1,Ens. Structure fauteuil,acier,steel,1.687,1.0,0.0,1.0,0.269004,0.0,6.84414,7.015244,9.688051,2.672807
R073-P001,73,1,SFCU (Seat Function Control Unit),Clavier,electronics_cots,0.2,1.0,0.0,0.6966,0.0045,0.0,4.678836,4.760318,4.992871,0.232553
R074-P001,74,1,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,1.0,0.0,0.6966,0.016875,0.0,16.966653,17.262127,18.516783,1.254656
R075-P001,75,1,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,1.0,0.0,0.6966,0.003397,0.0,0.75036,0.763428,0.830328,0.0669
R076-P001,76,1,Manchette acc. Mobile,cuir,textile_leather,0.039,1.0,0.0,0.6966,0.000877,0.0,0.244296,0.248551,0.264969,0.016418
R077-P001,77,1,Manchette équipée,cuir,textile_leather,0.06,1.0,0.0,0.6966,0.00135,0.0,0.37584,0.382386,0.407644,0.025258
R078-P001,78,1,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,1.928,1.0,0.0,0.6966,0.04338,0.0,43.987254,44.753292,47.509287,2.755994
R079-P001,79,1,Accoudoir allée,Ertalon,polymer_plastic,0.01,1.0,0.0,0.6966,0.000225,0.0,0.050978,0.051866,0.060509,0.008643
R080-P001,80,1,Ens. Stowage latéral,Ertalon,polymer_plastic,0.003,1.0,0.0,0.6966,6.7e-05,0.0,0.015293,0.01556,0.018153,0.002593
R081-P001,81,1,Ens. Structure fauteuil,inox,steel,0.045,1.0,0.0,0.6966,0.001012,0.0,0.19362,0.196991,0.242603,0.045612
R082-P001,82,1,Ensemble porte,Ertalon,polymer_plastic,0.002,1.0,0.0,0.6966,4.5e-05,0.0,0.010196,0.010373,0.012102,0.001729
R083-P001,83,1,Ens. Tablette repas,Ertalon,polymer_plastic,0.007,1.0,0.0,0.6966,0.000158,0.0,0.035685,0.036306,0.042356,0.00605
R084-P001,84,1,Stowage assemblé avec porte,Ertalon,polymer_plastic,0.02,1.0,0.0,0.6966,0.00045,0.0,0.101956,0.103732,0.121017,0.017285
R085-P001,85,1,Structure ottoman horizontale,Ertalon,polymer_plastic,0.0002725,1.0,0.0,0.6966,6e-06,0.0,0.001389,0.001413,0.001649,0.000236
R086-P001,86,1,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.0,0.0,0.6966,0.022612,0.0,6.293266,6.402863,7.345762,0.942899
R087-P001,87,1,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,1.0,0.0,0.6966,0.002722,0.0,0.757697,0.770892,0.884415,0.113523
R088-P001,88,1,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,1.0,0.0,0.6966,0.019597,0.0,5.454164,5.549148,6.366327,0.817179
R089-P001,89,1,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,1.0,0.0,0.6966,0.019215,0.0,5.347711,5.440841,6.24207,0.801229
R090-P001,90,1,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.0,0.0,0.6966,0.024547,0.0,6.831794,6.95077,7.974354,1.023584
R091-P001,91,1,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,1.0,0.0,0.6966,0.00036,0.0,0.099319,0.101049,0.111574,0.010525
R092-P001,92,1,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,1.0,0.0,0.6966,0.000877,0.0,0.241072,0.245271,0.272211,0.02694
R093-P001,93,1,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,1.0,0.0,0.6966,0.000877,0.0,0.241072,0.245271,0.272211,0.02694
R094-P001,94,1,Accoudoir allée,inox,steel,0.018054,1.0,0.0,0.6966,0.000406,0.0,0.07768,0.079033,0.097332,0.0183
R095-P001,95,1,Ens. Palette optimisée,inox,steel,0.023743,1.0,0.0,0.6966,0.000534,0.0,0.102158,0.103937,0.128003,0.024066
R096-P001,96,1,Ensemble porte,inox,steel,0.0047592,1.0,0.0,0.6966,0.000107,0.0,0.020477,0.020834,0.025658,0.004824
R097-P001,97,1,Ens. Structure fauteuil,GLO: moulage par injection plastique,polymer_plastic,0.081,1.0,0.0,0.6966,0.001822,0.0,0.508064,0.516912,0.608196,0.091284
R098-P001,98,1,Ens. Tablette cocktail,inox,steel,0.012,1.0,0.0,0.6966,0.00027,0.0,0.051632,0.052531,0.064694,0.012163
R099-P001,99,1,Ens. Tablette repas,inox,steel,0.014,1.0,0.0,0.6966,0.000315,0.0,0.060237,0.061286,0.075477,0.01419
R100-P001,100,1,Ens. Têtière,inox,steel,0.001,1.0,0.0,0.6966,2.2e-05,0.0,0.004303,0.004378,0.005391,0.001014
R101-P001,101,1,Stowage assemblé avec porte,inox,steel,0.00928,1.0,0.0,0.6966,0.000209,0.0,0.039929,0.040624,0.05003,0.009406
R102-P001,102,1,Support écran,inox,steel,0.014,1.0,0.0,0.6966,0.000315,0.0,0.060237,0.061286,0.075477,0.01419
R103-P001,103,1,Capot NFC,kydex,polymer_plastic,0.069,1.0,0.0,1.0,0.00612,0.0,0.323063,0.331139,0.419156,0.088017
R104-P001,104,1,Coussin ottoman,kydex,polymer_plastic,0.037,1.0,0.0,1.0,0.003282,0.0,0.173236,0.177567,0.224765,0.047197
R105-P001,105,1,Ens. Stowage latéral,kydex,polymer_plastic,1.161,1.0,0.0,1.0,0.102981,0.0,5.435879,5.571776,7.052754,1.480978
R106-P001,106,1,Ensemble porte,kydex,polymer_plastic,1.384,1.0,0.0,1.0,0.122761,0.0,6.47998,6.64198,8.407418,1.765438
R107-P001,107,1,Ens. Tablette cocktail,kydex,polymer_plastic,0.715,1.0,0.0,1.0,0.063421,0.0,3.347678,3.431369,4.343428,0.912058
R108-P001,108,1,Ens. Tablette repas,kydex,polymer_plastic,0.059,1.0,0.0,1.0,0.005233,0.0,0.276242,0.283148,0.358409,0.075261
R109-P001,109,1,Stowage assemblé avec porte,kydex,polymer_plastic,0.226,1.0,0.0,1.0,0.020046,0.0,1.058147,1.084601,1.372888,0.288287
R110-P001,110,1,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,8.439,1.0,0.0,0.6966,0.189877,0.0,47.887745,48.72171,56.406595,7.684885
R111-P001,111,1,Ceinture de sécurité,nylon,textile_leather,0.18,1.0,0.0,0.6966,0.010307,0.0,1.426366,1.451207,1.725775,0.274569
R112-P001,112,1,Support clamps,nylon,textile_leather,1.284,1.0,0.0,0.6966,0.073525,0.0,10.174747,10.35194,12.310529,1.95859
R113-P001,113,1,Ens. Stowage latéral,nylon,textile_leather,0.016416667,1.0,0.0,0.6966,0.00094,0.0,0.13009,0.132355,0.157397,0.025042
R114-P001,114,1,Ens. Palette optimisée,nylon,textile_leather,0.0021875,1.0,0.0,0.6966,0.000125,0.0,0.017334,0.017636,0.020973,0.003337
R115-P001,115,1,Ensemble porte,nylon,textile_leather,0.0004003,1.0,0.0,0.6966,2.3e-05,0.0,0.003172,0.003227,0.003838,0.000611
R116-P001,116,1,Ens. Structure fixe,35NC6 (nickel-chrome),steel,0.029,1.0,0.0,0.6966,0.000653,0.0,0.089857,0.091422,0.104104,0.012682
R117-P001,117,1,Ens. Tablette cocktail,nylon,textile_leather,0.002,1.0,0.0,0.6966,0.000115,0.0,0.015849,0.016125,0.019175,0.003051
R118-P001,118,1,Ens. Tablette repas,nylon,textile_leather,0.0002,1.0,0.0,0.6966,1.1e-05,0.0,0.001585,0.001612,0.001918,0.000305
R119-P001,119,1,Ens. Têtière,nylon,textile_leather,0.003,1.0,0.0,0.6966,0.000172,0.0,0.023773,0.024187,0.028763,0.004576
R120-P001,120,1,Stowage assemblé avec porte,nylon,textile_leather,0.000375,1.0,0.0,0.6966,2.1e-05,0.0,0.002972,0.003023,0.003595,0.000572
R121-P001,121,1,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R122-P001,122,1,Ens. Structure fixe,acier,steel,1.4326471,1.0,0.0,1.0,0.228446,0.0,5.812233,5.957539,8.227361,2.269822
R123-P001,123,1,Ens. Structure fixe,Alu,aluminium,3.5410117,1.0,0.0,0.6966,0.079673,0.0,37.486072,38.138892,40.165081,2.026189
R124-P001,124,1,Ens. Structure fixe,caoutchouc,polymer_plastic,0.01,1.0,0.0,0.6966,0.000225,0.0,0.042443,0.043182,0.048222,0.00504
R125-P001,125,1,Ens. Palette optimisée,Polychloroprene,polymer_plastic,0.0049932,1.0,0.0,0.6966,0.000112,0.0,0.022309,0.022697,0.026102,0.003404
R126-P001,126,1,Powerbox,powerbox,electronics_cots,1.5,1.0,0.0,0.6966,0.03375,0.0,34.222449,34.818433,36.962619,2.144186
R128-P001,128,1,Ens. Coque,Résine BR623 - composite,adhesive_composite,0.488,1.0,0.0,0.6966,0.01098,0.0,3.864256,3.931552,4.343904,0.412352
R129-P001,129,1,Ens. Tablette repas,Silicone50 shore,rubber_silicone,0.0007,1.0,0.0,0.6966,1.6e-05,0.0,0.003629,0.003692,0.004276,0.000584
R130-P001,130,1,Remote extender unit,télécommande,general,0.07,1.0,0.0,0.6966,0.001575,0.0,0.444833,0.45258,0.52606,0.07348
R131-P001,131,1,Coussin têtière,tissu,textile_leather,0.191,1.0,0.0,0.6966,0.004298,0.0,1.557128,1.584245,1.791326,0.207081
R132-P001,132,1,Ens. Coussin assise,tissu,textile_leather,0.42,1.0,0.0,0.6966,0.00945,0.0,3.424051,3.48368,3.939041,0.45536
R133-P001,133,1,Ens.coussin dossier version têtière,tissu,textile_leather,0.748,1.0,0.0,0.6966,0.01683,0.0,6.098071,6.204269,7.015244,0.810975
R134-P001,134,1,Ens. Coussin dossier,tissu,textile_leather,0.743,1.0,0.0,0.6966,0.016717,0.0,6.057308,6.162796,6.968351,0.805554
R135-P001,135,1,Ens. Tablette cocktail,tissu,textile_leather,0.002,1.0,0.0,0.6966,4.5e-05,0.0,0.016305,0.016589,0.018757,0.002168
R136-P001,136,1,Ens. Têtière,tissu,textile_leather,0.002,1.0,0.0,0.6966,4.5e-05,0.0,0.016305,0.016589,0.018757,0.002168
R137-P001,137,1,Padding (rembourrage),ULTRA LEATHER SMOKE,textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R138-P001,138,1,Ens. Structure fixe,inox,steel,0.027,1.0,0.0,0.6966,0.000608,0.0,0.116172,0.118195,0.145562,0.027367
R139-P001,139,1,Ens. Structure fixe,nylon,textile_leather,0.0145416,1.0,0.0,0.6966,0.000833,0.0,0.115231,0.117238,0.13942,0.022181
R140-P001,140,1,Coussin têtière,velcro,textile_leather,0.007,1.0,0.0,0.6966,0.000158,0.0,0.057089,0.058084,0.06444,0.006357
R141-P001,141,1,Ens.coussin dossier version têtière,velcro,textile_leather,0.005,1.0,0.0,0.6966,0.000112,0.0,0.040778,0.041488,0.046029,0.00454
R142-P001,142,1,Ens. Coussin dossier,velcro,textile_leather,0.006,1.0,0.0,0.6966,0.000135,0.0,0.048934,0.049786,0.055235,0.005449
R143-P001,143,1,Manchette équipée,velcro,textile_leather,0.006,1.0,0.0,0.6966,0.000135,0.0,0.048934,0.049786,0.055235,0.005449
R144-P001,144,1,Coussin ottoman,velours,textile_leather,0.034,1.0,0.0,0.6966,0.000765,0.0,0.229997,0.234002,0.258367,0.024365
R145-P001,145,1,Coussin têtière,velours,textile_leather,0.003,1.0,0.0,0.6966,6.7e-05,0.0,0.020294,0.020647,0.022797,0.00215
R146-P001,146,1,Ens. Coussin assise,velours,textile_leather,0.025,1.0,0.0,0.6966,0.000562,0.0,0.169115,0.172061,0.189976,0.017915
R147-P001,147,1,Ens.coussin dossier version têtière,velours,textile_leather,0.008,1.0,0.0,0.6966,0.00018,0.0,0.054117,0.055059,0.060792,0.005733
R148-P001,148,1,Ens. Coussin dossier,velours,textile_leather,0.022,1.0,0.0,0.6966,0.000495,0.0,0.148822,0.151413,0.167179,0.015765
R149-P001,149,1,Ens. Structure porte,velcro,textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R150-P001,150,1,Habillage sous fauteuil,velours,textile_leather,0.007,1.0,0.0,0.6966,0.000158,0.0,0.047352,0.048177,0.053193,0.005016
R151-P001,151,1,Ens. Structure porte,Z10CNT18,steel,0.0478353,1.0,0.0,0.6966,0.004336,0.0,0.177644,0.180738,0.217005,0.036266
R152-P001,152,1,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,1.0,0.0,0.6966,0.000877,0.0,0.287642,0.292651,0.325143,0.032491
R153-P001,153,1,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,0.45,1.0,0.0,0.6966,0.010125,0.0,10.266735,10.44553,11.088786,0.643256
R154-P001,154,1,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.024,1.0,0.0,0.6966,0.00054,0.0,0.072125,0.073381,0.081391,0.00801
R155-P001,155,1,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.7096766,1.0,0.0,0.6966,0.015968,0.0,2.132729,2.16987,2.406733,0.236863
R158-P001,158,1,Siége,"Tissu, mousse, polyéthylène",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R159-P001,159,1,Siége,Moulage plastique,polymer_plastic,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R160-P001,160,1,Siége,"autre (silicium, cuirs synthétique)",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R161-P001,161,1,Siége,65% aluminium,aluminium,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R162-P001,162,1,Siége,"16 % Tissu, mousse, polyéthylène",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R163-P001,163,1,Siége,11% Moulage plastique,polymer_plastic,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R164-P001,164,1,Siége,"8% autre (silicium, cuirs synthétique)",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R165-P001,165,1,Siége,"16 % Tissu, mousse",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R165-P002,165,1,Siége,"16 % Tissu, mousse",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R166-P001,166,1,siege,titane fibre de carbone,titanium_carbon,1e-06,1.0,0.0,0.7658,0.0,0.0,0.0,0.0,5e-06,5e-06
R166-P002,166,1,siege,titane fibre de carbone,titanium_carbon,1e-06,1.0,0.0,0.7658,0.0,0.0,0.0,0.0,5e-06,5e-06
R167-P001,167,1,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,1.0,0.0,0.6966,0.00405,0.0,1.922477,1.955957,2.091852,0.135895
R168-P001,168,1,Siége,"Tissu, mousse, polyéthylène",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R169-P001,169,1,Siége,"Tissu, mousse, polyéthylène",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
R170-P001,170,1,Siége,"autre (silicium, cuirs synthétique)",textile_leather,1e-06,1.0,0.0,0.6966,0.0,0.0,0.0,0.0,1e-06,1e-06
