activity_name,code,comment,location,reference_product,type,unit
Support et clamps,0bd681e54ca240a38bbf38af71106fba_copy20,Aluminium instead of AlCu4MgSi,FR,Support et clamps,process,unit
Support manchette equipee,8cf4118e0afc4f139edc7d24e0366e94,,GLO,Support manchette equipee,process,unit
commande actionnement ECU,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy4,hypothese telecommande --> keyboard,FR,commande actionnement ECU,process,unit
consommation passive siege pkm,ad1220f695aa456a90149190b0591665_copy1,,GLO,consommation passive siege pkm,process,unit
consommation passive siege tkm,ad1220f695aa456a90149190b0591665,,GLO,consommation passive siege tkm,process,unit
ecran seat,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy2,,GLO,ecran seat,process,unit
energie infrastructures,6d5486aeac9b4e4283350b5b8311fe76,,FR,energie infrastructures,process,unit
"kerosene, production et combustion, 1pkm eq",3df4c5c6c49c4e5ba349799086139d15_copy1,"Basé sur longhaul transport passenger  GLO
105 kg par passager",GLO,"kerosene, production et combustion, 1pkm eq",process,unit
"kerosene, production et combustion, 1tkm eq",3df4c5c6c49c4e5ba349799086139d15,"Basé sur longhaul transport passenger  GLO
105 kg par passager",GLO,"kerosene, production et combustion, 1tkm eq",process,unit
nettoyage/an,50dd4f1f79e4454fb25761f7c7f248e8,,GLO,nettoyage/an,process,unit
packaging fauteuil,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy7,,FR,packaging fauteuil,process,unit
papier fauteuil,749a418b3fed4ec492898f0ed061010c,,GLO,papier fauteuil,process,unit
production du siege,d2aba20a47ae4d05b36aaba37ced6fb3,,GLO,production du siege,process,unit
remote extender unit,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy5,hypothese telecommande --> keyboard,FR,remote extender unit,process,unit
siege cycle de vie,9fa8d29706454e0a8c9103477e59e4fc,,GLO,siege cycle de vie sans fdv,process,unit
support ecran,b52f7a34753d4dc8889b8194ca8f551b,,GLO,support ecran,process,unit
systeme IFE boitier,f3bb0f91a1884bb2831fc3cb08c7ecd7_copy6,hypothese telecommande --> keyboard,FR,systeme IFE boitier,process,unit
transport vers Hambourg,25a8e0ec1b034f4a8821f70e2dc3397f,,GLO,transport vers Hambourg,process,unit
