month_index,production_static_cumulative,sdd_inventory_delta_cumulative,production_dynamic_cumulative,cycle_dynamic_with_stelia_usage_cumulative,delta_vs_static_pct
79,193545.660347036,3294.955083553,196840.615430589,36568199.80396775,1.702417
80,195995.60541472,3352.690104613,199348.295519333,37031104.435810134,1.710595
81,198445.550482404,3404.014545389,201849.565027793,37494002.65707223,1.715339
82,200895.495550088,3449.242360361,204344.737910449,37956894.78170852,1.716934
83,203345.440617772,3495.95949134,206841.400109112,38419788.395660825,1.719222
84,205795.385685456,3546.994975606,209342.380661062,38882686.32796641,1.723554
85,208245.33075314,3587.35683784,211832.68759098,39345573.58664996,1.722659
86,210695.275820824,3621.245950925,214316.521771749,39808454.372584365,1.718712
87,213145.220888508,3655.361494904,216800.582383412,40271335.38494966,1.714963
88,215595.165956192,3686.874823258,219282.04077945,40734213.79509933,1.710092
89,218045.111023876,3711.909345357,221757.020369233,41197085.726442754,1.702358
90,220495.05609156,3732.237184533,224227.293276093,41659952.95110325,1.692663
91,222945.001159244,3807.554834993,226752.555994237,42122875.16557503,1.707845
92,225394.946226928,3882.089213394,229277.035440322,42585796.59677475,1.72235
93,227844.891294612,3947.970700739,231792.861995351,43048709.37508342,1.732745
94,230294.836362296,4011.377922838,234306.214285134,43511619.67912684,1.741844
95,232744.78142998,4056.964911977,236801.746341957,43974512.16293729,1.743096
96,235194.726497664,4089.44590208,239284.172399744,44437391.540748715,1.738749
97,237644.671565348,4129.427325325,241774.098890673,44900278.41899328,1.737648
98,240094.616633032,4164.905675147,244259.522308179,45363160.79416442,1.734693
99,242544.561700716,4191.422726655,246735.984427371,45826034.20803725,1.728104
100,244994.5067684,4224.811366569,249219.318134969,46288914.49349848,1.724451
101,247444.451836084,4263.172678536,251707.62451462,46751799.75163177,1.722881
102,249894.396903768,4317.915441477,254212.312345245,47214701.391216025,1.727896
103,252344.341971452,4393.478221132,256737.820192584,47677623.850817,1.741065
104,254794.287039136,4434.967864856,259229.254903992,48140512.237282045,1.740607
105,257244.23210682,4485.989395901,261730.221502721,48603410.15563441,1.743864
106,259694.177174504,4535.181681504,264229.358856008,49066306.244741336,1.746355
107,262144.122242188,4567.554107208,266711.676349396,49529185.51398836,1.742383
108,264594.067309872,4614.323692466,269208.391002338,49992079.18039494,1.743926
109,267044.012377556,4677.89539311,271721.907770666,50454989.6489169,1.751732
110,269493.95744524,4740.039984724,274233.997429964,50917898.690329835,1.758867
111,271943.902512924,4794.071566388,276737.974079312,51380799.61873282,1.76289
112,274393.847580608,4826.323170101,279220.170750709,51843678.76715785,1.758904
113,276843.792648292,4848.552941757,281692.345590049,52306547.893750824,1.751368
114,279293.737715976,4884.790896828,284178.528612804,52769431.028527215,1.74898
115,281743.68278366,4945.662217355,286689.345001015,53232338.79666906,1.755376
116,284193.627851344,4995.905009582,289189.532860926,53695235.936282605,1.757923
117,286643.572919028,5046.803884755,291690.376803783,54158133.731979094,1.760655
118,289093.517986712,5110.91147015,294204.429456862,54621044.73638581,1.767909
119,291543.463054396,5165.399667534,296708.86272193,55083946.12140451,1.771743
120,293993.40812208,5208.34044661,299201.74856869,55546835.95900491,1.771584
121,296443.353189764,5242.620702777,301685.973892541,56009717.136082396,1.768507
122,298893.298257448,5286.431240049,304179.729497497,56472607.84344099,1.768668
123,301343.243325132,5316.772983227,306660.016308359,56935485.082005486,1.764358
124,303793.188392816,5340.392143115,309133.580535931,57398355.59798669,1.757904
125,306243.1334605,5377.458191137,311620.591651637,57861239.56085603,1.755944
126,308693.078528184,5419.115460745,314112.193988929,58324128.114946954,1.755503
127,311143.023595868,5520.943580444,316663.967176312,58787076.83988797,1.774407
128,313592.968663552,5575.000060378,319167.96872393,59249977.79318922,1.777782
129,316042.913731236,5624.28680671,321667.200537946,59712873.97675687,1.779596
130,318492.85879892,5675.301301438,324168.160100358,60175771.888072915,1.781924
131,320942.803866604,5717.625573127,326660.429439731,60638661.10916592,1.781509
132,323392.748934288,5744.322635406,329137.071569694,61101534.70304952,1.776268
133,325842.694001972,5769.126585563,331611.820587535,61564406.40382099,1.770525
134,328292.639069656,5802.331998393,334094.971068049,62027286.50605514,1.767427
135,330742.584137339,5847.92799032,336590.51212766,62490178.99886838,1.768121
136,333192.529205023,5901.53930864,339094.068513664,62953079.50700802,1.77121
137,335642.474272707,5932.541794037,341575.016066745,63415957.40631474,1.767518
138,338092.419340391,6003.874531612,344096.293872004,63878875.63587363,1.775809
139,340542.364408075,6089.69069591,346632.055103986,64341808.34885925,1.788233
140,342992.309475759,6133.993636354,349126.303112114,64804699.548621014,1.788376
141,345442.254543443,6165.063035747,351607.317579191,65267577.51484173,1.784687
142,347892.199611127,6215.273089121,354107.472700249,65730474.62171642,1.786551
143,350342.144678811,6271.120848851,356613.265527663,66193377.36629747,1.789999
144,352792.089746495,6324.67387611,359116.763622606,66656277.816146046,1.792748
145,355242.034814179,6365.282832487,361607.317646667,67119165.32192375,1.791816
146,357691.979881863,6398.166693209,364090.146575073,67582045.10260579,1.788736
147,360141.924949547,6424.962498554,366566.887448102,68044918.79523246,1.784008
148,362591.870017231,6454.699629159,369046.569646391,68507795.42918438,1.780156
149,365041.815084915,6476.448760841,371518.263845757,68970664.07513738,1.774166
150,367491.760152599,6525.59868518,374017.35883778,69433560.12188303,1.775713
151,369941.705220283,6643.617362723,376585.322583007,69896525.0373819,1.795855
152,372391.650287967,6712.865451514,379104.515739482,70359441.18229201,1.802636
153,374841.595355651,6759.993013274,381601.588368926,70822335.2066751,1.803427
154,377291.540423335,6813.795610757,384105.336034093,71285235.9060939,1.805976
155,379741.485491019,6853.824056809,386595.309547829,71748122.83136126,1.804866
156,382191.430558703,6884.821360648,389076.251919352,72211000.72548643,1.801407
157,384641.375626387,6916.645545709,391558.021172097,72673879.4464928,1.798206
158,387091.320694071,6951.15566515,394042.476359222,73136760.85343356,1.795741
159,389541.265761755,7002.260626298,396543.526388054,73599658.85521603,1.797566
160,391991.210829439,7047.544181873,399038.755011313,74062551.03559291,1.797883
161,394441.155897123,7086.639939345,401527.795836469,74525437.0281717,1.796628
162,396891.100964807,7154.116352603,404045.217317411,74988351.40140627,1.802539
163,399341.046032491,7225.616680641,406566.662713133,75451269.79855563,1.809385
164,401790.991100175,7305.832303456,409096.823403632,75914196.91099976,1.818317
165,404240.936167859,7345.257621891,411586.193789751,76377083.23313951,1.817049
166,406690.881235543,7393.66315946,414084.544395004,76839978.5354984,1.818006
167,409140.826303227,7437.407935814,416578.234239042,77302869.17709607,1.817811
168,411590.771370911,7486.588040143,419077.359411055,77765765.25402172,1.81894
169,414040.716438595,7557.503160978,421598.219599574,78228683.06596388,1.825304
170,416490.661506279,7625.4679191,424116.12942538,78691597.92754333,1.830886
171,418940.606573963,7677.144901884,426617.751475848,79154496.50134744,1.832514
172,421390.551641647,7714.291911888,429104.843553536,79617380.54517876,1.830675
173,423840.496709331,7747.52038488,431588.017094212,80080260.67047307,1.827933
174,426290.441777015,7820.672076439,434111.113853455,80543180.71898594,1.834588
175,428740.386844699,7909.456823904,436649.843668604,81006116.40055473,1.844813
176,431190.331912383,7965.567414811,439155.899327195,81469019.40796696,1.847344
177,433640.276980067,8016.380806727,441656.657786795,81931917.11818019,1.848625
178,436090.222047751,8069.641235235,444159.863282987,82394817.27543001,1.850452
179,438540.167115435,8131.481638821,446671.648754257,82857726.01265492,1.854216
180,440990.112183119,8175.501106836,449165.613289956,83320616.92894424,1.853897
181,443440.057250803,8211.349009304,451651.406260108,83783499.67366803,1.851738
182,445890.002318487,8242.419607578,454132.421926066,84246377.64108762,1.848532
183,448339.947386171,8269.107917474,456609.055303646,84709251.22621883,1.844383
184,450789.892453855,8319.717085155,459109.609539011,85172148.73220783,1.845586
185,453239.837521539,8361.113095358,461600.950616898,85635037.02503936,1.844744
186,455689.782589223,8435.747885954,464125.530475178,86097958.55665128,1.851204
187,458139.727656907,8544.106455201,466683.834112109,86560913.81204185,1.864956
188,460589.672724591,8635.489791106,469225.162515698,87023852.09219907,1.874877
189,463039.617792275,8678.668573056,471718.286365332,87486742.16780233,1.874282
190,465489.562859959,8715.967106709,474205.529966669,87949626.3631573,1.87243
191,467939.507927643,8769.733105045,476709.241032689,88412527.02597696,1.874117
192,470389.452995327,8798.1569474,479187.609942728,88875402.34664063,1.870398
193,472839.398063011,8840.993410607,481680.391473619,89338292.07992516,1.869767
194,475289.343130695,8894.086615893,484183.429746589,89801192.06995177,1.871299
195,477739.288198379,8938.564614204,486677.852812584,90264083.44477141,1.871013
196,480189.233266063,8977.470520857,489166.703786921,90726969.24749938,1.869569
197,482639.178333747,9005.670740252,491644.849074,91189844.34454009,1.865922
198,485089.123401431,9054.864852569,494143.988254001,91652740.43547373,1.866639
199,487539.068469115,9185.515940314,496724.58440943,92115717.98338279,1.884057
200,489989.013536799,9270.746986837,499259.760523637,92578650.11125064,1.892032
201,492438.958604483,9305.474357586,501744.43296207,93041531.73544271,1.889671
202,494888.903672167,9350.638537769,504239.542209937,93504423.79644422,1.889442
203,497338.848739851,9405.051434492,506743.900174344,93967325.10616226,1.891075
204,499788.793807535,9449.735561627,509238.529369163,94430216.68711072,1.890746
205,502238.738875219,9512.837945979,511751.576821199,94893126.68631639,1.894087
206,504688.683942903,9552.26768419,514240.951627094,95356013.01287591,1.892705
207,507138.629010587,9592.208385458,516730.837396046,95818899.8503985,1.891437
208,509588.574078271,9628.722172602,519217.296250874,96281783.26100695,1.889509
209,512038.519145955,9645.377050493,521683.896196449,96744646.81270616,1.883721
210,514488.464213639,9730.606188151,524219.070401791,97207578.93866514,1.891317
211,516938.409281323,9819.226264428,526757.635545752,97670514.45556273,1.899496
212,519388.354349007,9896.649981609,529285.004330617,98133438.77610123,1.905443
213,521838.299416691,9947.135264311,531785.434681003,98596336.15820526,1.906172
214,524288.244484375,9987.725191408,534275.969675784,99059223.64495367,1.905007
215,526738.189552059,10019.108585844,536757.298137904,99522101.92516942,1.902104
216,529188.134619743,10055.801199429,539243.935819173,99984985.51460433,1.900232
217,531638.079687427,10091.580399528,541729.660086956,100447868.19062574,1.898205
218,534088.024755111,10138.052634119,544226.077389231,100910761.55968165,1.898199
219,536537.969822795,10219.339579473,546757.309402269,101373689.74344833,1.904682
220,538987.914890479,10278.723419207,549266.638309687,101836596.02410938,1.907042
221,541437.859958163,10322.941401248,551760.801359412,102299487.13891274,1.906579
222,543887.805025847,10380.511298334,554268.316324182,102762391.60563114,1.908576
223,546337.750093531,10488.915020819,556826.665114351,103225346.90617494,1.919859
224,548787.695161215,10599.238625863,559386.933787079,103688304.12660131,1.931391
225,551237.640228899,10641.534625623,561879.174854523,104151193.3194224,1.93048
226,553687.585296583,10664.660318832,564352.245615416,104614063.34193692,1.926115
227,556137.530364268,10711.168796412,566848.69916068,105076956.74723582,1.925993
228,558587.475431952,10776.73398357,569364.209415522,105539869.2092443,1.929283
229,561037.420499636,10843.202006471,571880.622506107,106002782.57408851,1.932706
230,563487.36556732,10894.401702818,574381.767270138,106465680.67060618,1.933389
231,565937.310635004,10934.039740524,576871.350375528,106928567.20546521,1.932023
232,568387.255702688,10969.455482176,579356.711184864,107391449.51802818,1.929926
233,570837.200770372,11001.364269699,581838.565040071,107854328.32363702,1.927233
234,573287.145838056,11088.034972214,584375.18081027,108317261.89116086,1.934115
235,575737.09090574,11218.233420104,586955.324325844,108780238.98643006,1.948499
236,578187.035973424,11335.170167354,589522.206140778,109243202.81999864,1.960468
237,580636.981041108,11392.680310288,592029.661351396,109706107.2269629,1.9621
238,583086.926108792,11440.801727321,594527.727836113,110169002.24520124,1.962109
239,585536.871176476,11484.808259567,597021.679436043,110631893.14855482,1.961415
240,587986.81624416,11527.584138847,599514.400383007,111094782.82125542,1.960517
