day,node_id,item_id,stock_before_production,stock_end_of_day,row_type,uom
69,M-1430,item:333362,397250.0,397250.0,stock_snapshot,
69,M-1430,item:344135,0.0,0.0,stock_snapshot,
69,M-1430,item:708073,10326.88,10326.88,stock_snapshot,
69,M-1430,item:734545,14341.0,14341.0,stock_snapshot,
69,M-1430,item:773474,20815573.0,20815573.0,stock_snapshot,
70,M-1430,item:038005,97598.5325,95712.121327,stock_snapshot,
70,M-1430,item:042342,138749996.0,132245128.4,stock_snapshot,
70,M-1430,item:333362,521250.0,413450.0,stock_snapshot,
70,M-1430,item:344135,240000.0,132200.0,stock_snapshot,
70,M-1430,item:708073,10326.88,9472.026,stock_snapshot,
70,M-1430,item:734545,14341.0,13478.6,stock_snapshot,
70,M-1430,item:773474,20815573.0,19774794.3996,stock_snapshot,
71,M-1430,item:038005,95712.121327,95712.121327,stock_snapshot,
71,M-1430,item:042342,132245128.4,132245128.4,stock_snapshot,
71,M-1430,item:333362,413450.0,413450.0,stock_snapshot,
71,M-1430,item:344135,252200.0,252200.0,stock_snapshot,
71,M-1430,item:708073,9472.026,9472.026,stock_snapshot,
71,M-1430,item:734545,13478.6,13478.6,stock_snapshot,
71,M-1430,item:773474,19774794.3996,19774794.3996,stock_snapshot,
77,M-1430,item:038005,105712.121327,105712.121327,stock_snapshot,
77,M-1430,item:042342,132245128.4,132245128.4,stock_snapshot,
77,M-1430,item:333362,458450.0,458450.0,stock_snapshot,
77,M-1430,item:344135,612200.0,612200.0,stock_snapshot,
77,M-1430,item:708073,9472.026,9472.026,stock_snapshot,
77,M-1430,item:734545,13478.6,13478.6,stock_snapshot,
77,M-1430,item:773474,19774794.3996,19774794.3996,stock_snapshot,
5,M-1430,item:734545,,6400.0,arrival,UN
10,M-1430,item:773474,,518548.0,arrival,G
11,M-1430,item:773474,,518548.0,arrival,G
12,M-1430,item:773474,,518548.0,arrival,G
13,M-1430,item:773474,,518548.0,arrival,G
14,M-1430,item:773474,,518548.0,arrival,G
15,M-1430,item:773474,,518548.0,arrival,G
16,M-1430,item:773474,,518548.0,arrival,G
17,M-1430,item:773474,,518548.0,arrival,G
18,M-1430,item:773474,,518548.0,arrival,G
19,M-1430,item:773474,,518547.0,arrival,G
20,M-1430,item:773474,,518547.0,arrival,G
21,M-1430,item:773474,,518547.0,arrival,G
34,M-1430,item:038005,,10000.0,arrival,KG
36,M-1430,item:042342,,30000000.0,arrival,UN
43,M-1430,item:038005,,10000.0,arrival,KG
45,M-1430,item:734545,,6300.0,arrival,UN
47,M-1430,item:038005,,10000.0,arrival,KG
50,M-1430,item:042342,,30000000.0,arrival,UN
54,M-1430,item:038005,,10000.0,arrival,KG
58,M-1430,item:333362,,105000.0,arrival,UN
63,M-1430,item:333362,,150000.0,arrival,UN
68,M-1430,item:038005,,10000.0,arrival,KG
69,M-1430,item:038005,,10000.0,arrival,KG
70,M-1430,item:333362,,124000.0,arrival,UN
70,M-1430,item:344135,,240000.0,arrival,UN
71,M-1430,item:344135,,120000.0,arrival,UN
73,M-1430,item:344135,,240000.0,arrival,UN
75,M-1430,item:038005,,10000.0,arrival,KG
77,M-1430,item:333362,,45000.0,arrival,UN
77,M-1430,item:344135,,120000.0,arrival,UN
82,M-1430,item:773474,,86732.0,arrival,G
83,M-1430,item:773474,,86732.0,arrival,G
84,M-1430,item:333362,,165000.0,arrival,UN
84,M-1430,item:773474,,86732.0,arrival,G
85,M-1430,item:773474,,86732.0,arrival,G
86,M-1430,item:773474,,86732.0,arrival,G
87,M-1430,item:773474,,86732.0,arrival,G
88,M-1430,item:773474,,86731.0,arrival,G
89,M-1430,item:773474,,86731.0,arrival,G
90,M-1430,item:773474,,86731.0,arrival,G
91,M-1430,item:333362,,40000.0,arrival,UN
91,M-1430,item:773474,,86731.0,arrival,G
92,M-1430,item:773474,,86731.0,arrival,G
93,M-1430,item:773474,,86731.0,arrival,G
