day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
10,3.623532,10985.365946,259.526341,236.356741,2.314088,43.898573,2.090854,1864.024245,0.362618,0.261976,1.87478,0.510223,0.110273,0.008976,0.008857,0.302455,0.014985,0.538126,284.836008,265.086888,2.635724,91.894563,618.8
11,3.623532,9476.815946,259.526341,211.356741,2.115838,47.387584,2.002854,1712.988399,0.362618,0.231526,2.004375,0.459473,0.108785,0.009848,0.008857,0.297152,0.012955,0.538126,259.836008,240.086888,2.360724,81.744563,537.6
12,3.186053,11650.153946,248.526341,211.356741,1.917588,47.327305,1.802854,1848.154451,0.322018,0.28603,1.811525,0.408723,0.096605,0.009848,0.009515,0.259597,0.014319,0.487376,259.836008,215.086888,2.360724,79.612706,537.6
13,3.186053,11651.179946,241.814341,186.356741,1.719338,52.627305,1.745987,1606.786501,0.311777,0.25558,1.95573,0.357973,0.084425,0.008833,0.009515,0.250124,0.014032,0.436626,259.836008,209.836008,2.360724,69.462706,618.8
14,3.341206,10142.629946,216.814341,161.356741,1.521088,47.327305,1.743713,1365.418551,0.29846,0.25558,1.95573,0.307223,0.08043,0.007818,0.010406,0.212569,0.014032,0.436626,234.836008,189.541288,2.085724,68.222619,618.8
15,4.21119,11145.529537,234.068741,161.356741,1.322838,49.206968,1.743713,1124.050601,0.333327,0.312181,1.76288,0.256473,0.078711,0.0085,0.009391,0.237806,0.013784,0.436626,209.836008,164.541288,1.810724,75.812383,618.8
16,3.77371,9636.979537,209.068741,136.356741,1.464719,43.906968,1.743713,1365.418551,0.292727,0.281731,1.73565,0.290577,0.066531,0.007485,0.008376,0.200251,0.015148,0.436626,184.836008,189.541288,1.777126,75.812383,537.6
17,3.624225,9619.822281,184.068741,125.356741,1.464719,47.7,1.943713,1217.759308,0.292727,0.251281,1.5428,0.239827,0.063458,0.00647,0.007361,0.200251,0.015148,0.436626,159.836008,164.541288,1.502126,75.812383,618.8
18,3.186746,9619.822281,159.068741,100.356741,1.464719,42.4,1.943713,1697.750047,0.3654,0.251281,1.34995,0.232661,0.051278,0.007229,0.006346,0.162696,0.013118,0.385876,184.836008,172.776575,1.502126,65.662383,537.6
19,3.186746,8111.272281,134.068741,100.356741,1.266469,47.7,1.875373,1456.382097,0.3248,0.220831,1.5428,0.181911,0.04872,0.009135,0.006346,0.187775,0.01624,0.335126,209.836008,200.0,1.719366,84.5292,537.6
20,2.749266,9619.822281,159.706001,91.814341,1.068219,47.7,1.675373,1541.916407,0.3248,0.220831,1.5428,0.131161,0.04872,0.01015,0.005331,0.187775,0.01827,0.335126,201.600721,175.0,1.444366,74.3792,618.8
21,2.311787,8111.272281,134.706001,66.814341,1.266469,47.7,2.0,1300.548457,0.3248,0.220831,1.5428,0.131161,0.0609,0.009135,0.004316,0.262885,0.01827,0.416659,181.306001,150.0,2.2,81.2,618.8
22,2.749266,7542.75,142.853148,91.814341,1.462464,42.4,1.8,1448.2077,0.3248,0.220831,1.73565,0.3045,0.04872,0.00812,0.004316,0.262885,0.01624,0.5075,225.0,125.0,2.475,71.05,618.8
23,2.311787,8480.641936,117.853148,67.451601,1.264214,37.1,1.6,1837.234893,0.3248,0.190381,1.73565,0.25375,0.04872,0.007105,0.006346,0.22533,0.01624,0.45675,200.0,150.0,2.75,71.05,618.8
24,3.062356,6972.091936,92.853148,59.706001,1.1895,37.1,1.6,1595.866943,0.3248,0.190381,1.73565,0.3045,0.04872,0.00609,0.006346,0.22533,0.01421,0.406,175.0,125.0,2.475,60.9,618.8
25,2.624876,5463.541936,67.853148,109.706001,1.38775,47.7,1.6,1354.498993,0.3248,0.21315,1.73565,0.35525,0.07308,0.007105,0.007105,0.187775,0.01218,0.35525,175.0,150.0,2.75,71.05,618.8
26,3.062356,6034.2,100.0,100.921594,1.1895,47.7,1.6,1354.498993,0.3654,0.21315,1.5428,0.35525,0.07308,0.00609,0.00609,0.15022,0.01421,0.45675,158.235287,183.235287,2.75,62.073763,618.8
27,2.624876,4525.65,75.0,75.921594,1.38775,42.4,1.4,1113.131043,0.3654,0.21315,1.34995,0.406,0.08526,0.00609,0.005075,0.187775,0.01421,0.406,158.235287,233.235287,2.75,51.923763,537.6
28,3.062356,9051.3,100.0,91.852854,1.38775,37.1,1.6,871.763093,0.3654,0.2436,1.34995,0.45675,0.08526,0.00609,0.005075,0.15022,0.01218,0.406,158.235287,208.235287,2.475,41.773763,537.6
29,2.624876,10559.85,125.0,66.852854,1.586,37.1,1.6,1354.498993,0.3248,0.27405,1.34995,0.406,0.08526,0.00609,0.005075,0.22533,0.01015,0.406,158.235287,183.235287,2.2,31.623763,537.6
