demand_anchor_item,component,consuming_node,source_unit,graph_seed_unit,annual_requirement_in_sim_unit,initial_stock_in_sim_unit,graph_seed_initial,sim_opening_stock,theoretical_gap_after_source_stock,sim_delivered_qty,sim_ending_stock,graph_seed_source,diagnostic,sim_received_qty
item:268091,099439,M-1810,G,KG,7260.1772599999995,4972.616,4972.616,4972.616000,2287.5612599999995,246.848000,1740.856000,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,246.848000
item:268091,338928,M-1810,UN,UN,3576442.0,404065.0,404065.0,404065.000000,3172377.0,1318200.000000,8665.000000,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap,1318200.000000
item:268091,338929,M-1810,UN,UN,3576442.0,354000.0,354000.0,354000.000000,3222442.0,1441300.000000,81700.000000,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap,1441300.000000
item:268091,426331,M-1810,UN,UN,39340.862,24159.0,24159.0,24159.000000,15181.862000000001,1086.800000,6396.200000,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,1086.800000
item:268091,693055,M-1810,G,G,1452035.452,1010000.0,1010000.0,1010000.000000,442035.45200000005,98739.200000,413017.600000,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,98739.200000
item:268967,021081,SDC-1450,KG,KG,136028.361,1142100.0,1142100.0,1142100.000000,0.0,48444.628022,1190544.628022,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,48444.628022
item:268967,038005,M-1430,G,KG,27578.456388,37598.5325,37598.5325,37598.532500,0.0,12647.104476,37040.758765,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; delivered despite zero theoretical gap; ending stock builds up,12647.104476
item:268967,042342,M-1430,UN,UN,95098147.212,78749996.0,78749996.0,78749996.000000,16348151.211999997,6031269.103197,39247191.903194,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,6031269.103197
item:268967,333362,M-1430,UN,UN,1575986.0,142250.0,142250.0,142250.000000,1433736.0,706914.285730,94564.285730,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap,706914.285730
item:268967,344135,M-1430,UN,UN,1575986.0,0.0,0.0,0.000000,1575986.0,871822.857152,117222.857152,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap,871822.857152
item:268967,708073,M-1430,G,KG,12497.56898,10326.88,10326.88,10326.880000,2170.688980000001,1056.819771,5399.721771,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,1056.819771
item:268967,730384,M-1430,M,M,334109.032,68387.0,68387.0,68387.000000,265722.032,273292.834301,181704.634301,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; roughly coherent vs source gap; ending stock builds up,273292.834301
item:268967,734545,M-1430,UN,UN,12607.888,1641.0,1641.0,1641.000000,10966.888,7099.611423,2703.811429,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,7099.611423
item:268967,773474,M-1430,G,G,15215700.402,14593000.0,14593000.0,14593000.000000,622700.4020000007,358783.113355,7666332.910554,mrp_snapshot_2025-01-01T03:03:48+00:00,graph seed matches source stock; under-delivered vs source gap; ending stock builds up,358783.113355
