capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,case_dir,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::lead_time_scale,factor::production_stock_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
0.978548,0.976123,0.989939,,0.885132,0.832089,,1.0,1.0,1.04634,1.130072,1.206483,1.044249,False,1089687.5221,0.980751,0.001922,0.017327,325.8977,1070857.1817,0.744831,12783.6976,1325317.6343,1277.1831,37822.6714,39401.2574,39401.2574,13760.2903,3095.3052,1299806.3813,1322769.8603,1100841.1264,2720.784,2547.774,951.2854,45509.1559,22963.479,0.0,run_0020,ok
1.142206,0.911561,0.885034,,0.969206,0.947132,,1.0,1.0,1.09841,0.899206,1.420414,1.120013,False,1031336.4772,0.97601,0.002119,0.021871,353.5169,1008961.3819,0.751966,11856.2022,1260434.4393,1425.2764,43093.6357,44473.0041,44473.0041,14843.2704,3517.9456,1230196.9148,1257764.1419,1046276.4919,2532.5425,2670.2974,1071.7595,50836.5816,27567.2271,0.0,run_0021,ok
1.142022,1.015498,0.795425,,1.182475,0.982424,,1.0,1.0,1.01241,0.958053,0.958555,1.027511,False,863365.7477,0.973461,0.002809,0.023731,445.328,847023.628,0.723423,14675.9511,1057280.7712,1610.1436,45149.4053,45598.8886,45598.8886,16573.43,3611.4469,1029221.4859,1054311.3177,879766.9404,2667.959,2969.4535,1164.8156,50586.866,25089.8318,0.0,run_0022,ok
0.995661,0.896149,0.968677,,1.13497,0.87302,,1.0,1.0,1.289626,1.194905,1.388638,1.201623,False,1113919.0299,0.978002,0.001879,0.020119,506.3136,1094017.6308,0.660976,12108.6974,1357545.2085,1493.4426,38959.494,40874.9795,40874.9795,14677.5703,3385.8313,1327681.6476,1354994.4897,1125842.04,2852.8835,2550.7188,987.129,47037.0007,27312.8421,0.0,run_0023,ok
0.975937,1.212348,1.271296,,1.102852,0.986184,,1.0,1.0,0.876574,0.962851,1.423342,1.013935,False,1153373.5428,0.983819,0.001827,0.014354,355.0768,1150362.3147,0.771467,17832.117,1401184.1613,1553.7205,39663.3451,40149.1505,40149.1505,17472.995,3098.5916,1378512.237,1398624.5168,1163457.1791,2582.1657,2559.6444,1198.6437,41393.3932,20112.2798,0.0,run_0024,ok
1.012938,1.087011,0.801438,,1.224951,1.024777,,1.0,1.0,1.041863,0.972252,0.892747,1.140035,False,887104.2729,0.972979,0.002689,0.024333,472.471,873668.1067,0.71763,13442.4351,1087310.9442,1673.2352,43634.9312,43857.7395,43857.7395,18681.0525,3706.188,1057930.5289,1084387.5292,904387.1373,2693.1334,2923.415,1200.7642,48269.8021,26457.0002,0.0,run_0025,ok
0.882889,1.030012,1.058211,,1.215977,0.820084,,1.0,1.0,1.050253,0.925472,1.257282,1.054579,False,1158564.5541,0.983077,0.001774,0.015149,420.6413,1145742.085,0.722224,14306.6164,1407912.7812,1514.3204,35992.7746,36613.2089,36613.2089,14402.2188,2959.7299,1384086.6408,1405415.3711,1169504.5327,2512.1515,2497.4101,1093.6791,42418.9216,21328.7303,0.0,run_0026,ok
0.974701,1.02625,1.006914,,1.02984,1.038253,,1.0,1.0,0.953364,0.956913,1.290512,0.919943,False,1005048.5857,0.982373,0.002071,0.015556,360.3018,998147.552,0.765756,14315.4967,1221708.6826,1538.1442,41729.4157,42139.9157,42139.9157,18327.8021,3003.0495,1200174.0642,1219178.4647,1016521.3773,2523.7404,2530.2179,1177.8424,42730.3909,19004.4005,0.0,run_0027,ok
0.932378,0.938562,1.08866,,0.966911,1.056904,,1.0,1.0,1.201035,0.954495,1.163068,0.95656,False,1236453.6901,0.983602,0.001779,0.01462,435.2533,1221828.0005,0.710836,16277.9805,1501582.6337,1505.2124,40839.9508,41489.1817,41489.1817,17911.0284,3123.1123,1476959.0157,1498911.9196,1250154.1543,2547.7994,2670.7141,1069.9591,47567.3279,21952.9039,0.0,run_0028,ok
0.918486,1.190395,1.153561,,0.814834,0.895877,,1.0,1.0,0.885172,1.275802,1.475136,1.039429,False,1059927.015,0.981632,0.001728,0.01664,301.1667,1051196.184,0.763297,15379.4673,1287896.5483,1272.3413,37855.9454,37915.6196,37915.6196,15784.4275,2723.7983,1264240.8744,1285671.6138,1068834.0226,2799.2992,2224.9345,971.1746,42511.1441,21430.7394,0.0,run_0029,ok
