day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
17,0.0,180.0,0.0,0.0,0.0,180.0,0.0,530.553023,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.261475
18,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,530.553023,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.859175
19,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,665.550023,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,172.456875
20,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,665.550023,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,172.054575
21,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,753.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,171.652275
22,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,798.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,171.249975
23,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,843.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,0.0,180.0,0.0,0.0,170.847675
24,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,843.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,0.0,180.0,0.0,0.0,170.445375
25,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,843.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,0.0,180.0,0.0,0.0,170.043075
26,0.0,180.0,0.0,0.0,10.50725,180.0,0.0,843.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,0.0,180.0,0.0,0.0,169.640775
27,0.0,180.0,0.0,0.0,10.50725,180.0,8.0,843.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,0.0,180.0,0.0,0.0,169.238475
28,0.0,180.0,0.0,0.0,10.50725,180.0,8.0,933.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,180.0,180.0,0.0,0.0,168.836175
29,0.0,180.0,0.0,0.0,10.50725,180.0,8.0,1068.75,0.0,3.1668,20.0564,0.0,0.0,0.0,0.0,0.0,0.0,3.29875,180.0,180.0,0.0,0.0,168.433875
