case_id,label,family,severity,impact_score,fill_rate,fill_rate_delta_pp,backlog_days_ex_startup,backlog_max_ex_startup,input_delay_count,input_delay_delta,input_delay_volume,input_delay_volume_delta,total_cost,cost_delta,external_procurement_cost,external_cost_delta,unreliable_loss_qty,loss_delta,risk_applied_rows,state_events_generated,avg_inventory,configured_events,dc_pairs_zero_or_negative,dc_zero_stock_rows,ending_backlog,ending_inventory,explicit_events_loaded,external_procured_qty,external_procured_rejected_qty,holding_cost,input_delay_days,input_pairs_zero_or_negative,input_zero_stock_rows,inventory_delta,inventory_risk_cost,produced_delta,production_cost,purchase_cost,risk_applied_suppliers,risk_family_availability_rows,risk_family_capacity_rows,risk_family_cost_rows,risk_family_delay_rows,risk_family_quality_rows,risk_family_stock_rows,service_short_days_ex_startup,shipped_delta,startup_backlog_days,state_dependent_enabled,state_events_summary,stock_zero_delta,supplier_pairs_zero_or_negative,supplier_zero_stock_rows,total_demand,total_produced,total_served,total_shipped,transport_cost,warehouse_cost,weekly_lot_delay_count
factory_dc_pf_delay_plus_7_90d,Transport usine->DC 268967 +7j 90j,transport_factory_dc,+7d,220161.06899800026,1.0,0.0,0.0,0.0,60.0,2.0,6468000.0,215600.0,69268467.602,528953.1411000043,57583714.8037,694496.3541999981,0.0,0.0,853.0,126.0,658173117.7485,1,0.0,0.0,0.0,639279701.3904,1,559016989.7019,2314907464.6811,9532244.9187,60.0,0.0,0.0,-2897310.781499982,5446997.0964,0.0,20780540.2806,15633037.4146,15.0,494.0,,72.0,312.0,,,0.0,1960911.031899929,2.0,True,126,-4.0,5.0,117.0,25762139.9999,116934000.0,25762139.9999,833490836.5988,5619904.4249,12255743.4669,2.0
dc_customer_pf_delay_plus_45_90d,Transport DC->client 268967 +45j 90j,transport_dc_customer,+45d,219472.95350300043,1.0,0.0,0.0,0.0,60.0,2.0,6468000.0,215600.0,69381714.404,642199.9431000054,57388757.6106,499539.16110000014,0.0,0.0,911.0,138.0,656154261.9512,1,0.0,0.0,0.0,635678929.075,1,551911847.3865,2376176798.3702,9508385.4433,60.0,0.0,0.0,-4916166.578799963,5433363.1104,0.0,20814514.3212,15753081.1199,15.0,491.0,,82.0,363.0,,,0.0,3328320.3486999273,61.0,True,138,-4.0,5.0,117.0,25762139.9999,116934000.0,25762139.9999,834858245.9156,5647303.4107,12225066.9985,2.0
dc_customer_pf_delay_plus_21_90d,Transport DC->client 268967 +21j 90j,transport_dc_customer,+21d,142234.32435100063,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,69411801.5116,672287.0507000089,57227045.6554,337827.20589999855,0.0,0.0,806.0,136.0,661416555.3707,1,0.0,0.0,0.0,661656309.5484,1,568743855.9841,2327353894.9486,9565849.8683,59.0,0.0,0.0,346126.8407000303,5466199.9247,14400.0,20823540.4535,15618136.4552,15.0,482.0,,72.0,277.0,,,0.0,3552840.3593000174,26.0,True,136,-4.0,5.0,117.0,25762139.9999,116948400.0,25762139.9999,835082765.9262,5639124.9793,12298949.8306,2.0
dc_customer_pf_delay_plus_7_90d,Transport DC->client 268967 +7j 90j,transport_dc_customer,+7d,133067.37904799992,1.0,0.0,0.0,0.0,58.0,0.0,6252400.0,0.0,69686042.217,946527.756099999,58036121.6207,1146903.1711999997,0.0,0.0,951.0,152.0,660012599.3109,1,0.0,0.0,0.0,640848127.4271,1,560416993.7386,2330883361.7062,9559048.8532,58.0,0.0,0.0,-1057829.2190999985,5462313.6304,0.0,20905812.6651,15847378.7204,16.0,491.0,,74.0,399.0,,,0.0,3372193.159500003,9.0,True,152,-4.0,5.0,117.0,25762139.9999,116934000.0,25762139.9999,834902118.7264,5621282.6796,12290205.6684,2.0
pf268967_availability_40_30d,PF268967 disponibilite x0.4 30j,availability,x0.4_30d,91560.0,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,63412528.114,-5326986.346899994,53113403.811,-3775814.638500005,0.0,0.0,848.0,117.0,641427329.7495,8,0.0,0.0,0.0,606524023.6549,8,515402320.9113,1741443769.8166,8330819.7052,59.0,0.0,0.0,-19643098.780499935,4760468.4029,-28800.0,19023758.4342,14965664.8815,17.0,706.0,,72.0,93.0,,,0.0,-29924711.366299987,2.0,True,117,20.0,5.0,141.0,25762139.9999,116905200.0,25762139.9999,801605214.2006,5620762.7836,10711053.9066,0.0
pf268967_availability_40_90d,PF268967 disponibilite x0.4 90j,availability,x0.4_90d,71560.0,1.0,0.0,0.0,0.0,59.0,1.0,6360200.0,107800.0,63505415.6996,-5234098.76129999,53775164.4949,-3114053.954599999,0.0,0.0,914.0,118.0,641160616.276,8,0.0,0.0,0.0,600158624.26,8,518489550.5164,1740968836.1428,8320996.1905,59.0,0.0,0.0,-19909812.25399995,4754854.966,-28800.0,19051624.7099,15096031.1129,17.0,714.0,,77.0,147.0,,,0.0,-31157408.052299976,2.0,True,118,-12.0,4.0,109.0,25762139.9999,116905200.0,25762139.9999,800372517.5146,5583485.0467,10698423.6735,0.0
pf268967_availability_70_90d,PF268967 disponibilite x0.7 90j,availability,x0.7_90d,37652.322089999914,1.0,0.0,0.0,0.0,56.0,-2.0,6036800.0,-215600.0,64824015.7807,-3915498.6801999956,57642264.8913,753046.4417999983,0.0,0.0,997.0,130.0,649608656.8118,8,0.0,0.0,0.0,634588215.1089,8,559701594.3654,2288903327.39,8491530.4343,56.0,0.0,0.0,-11461771.718199968,4852303.1053,-28800.0,19447204.7342,15522620.3824,17.0,745.0,,93.0,190.0,,,0.0,1005800.8932000399,2.0,True,130,-12.0,4.0,109.0,25762139.9999,116905200.0,25762139.9999,832535726.4601,5592675.1375,10917681.987,0.0
baseline_nominal,Nominal sans risque,reference,baseline,0.0,1.0,0.0,0.0,0.0,58.0,0.0,6252400.0,0.0,68739514.4609,0.0,56889218.4495,0.0,0.0,0.0,0.0,0.0,661070428.53,0,0.0,0.0,0.0,655535999.6294,0,575010702.9409,2198709020.378,9568463.5963,58.0,0.0,0.0,0.0,5467693.4836,0.0,20621854.3383,15164094.1571,0.0,,,,,,,0.0,0.0,2.0,False,0,0.0,6.0,121.0,25762139.9999,116934000.0,25762139.9999,831529925.5669,5615098.5475,12302310.3381,2.0
state_only,State-dependent seul,state-dependent,auto,0.0,1.0,0.0,0.0,0.0,58.0,0.0,6252400.0,0.0,68562478.6393,-177035.82159999013,55253165.2168,-1636053.2327000052,0.0,0.0,717.0,130.0,659392296.9081,0,0.0,0.0,0.0,645623857.5564,0,554272820.6527,2377380782.8707,9556249.0887,58.0,0.0,0.0,-1678131.6218999624,5460713.765,-14400.0,20568743.5918,15073177.4366,14.0,439.0,,82.0,221.0,,,0.0,790162.6421999931,2.0,True,130,-4.0,5.0,117.0,25762139.9999,116919600.0,25762139.9999,832320088.2091,5616988.7861,12286605.9712,2.0
pf268967_capacity_70_30d,PF268967 capacite x0.7 30j,capacity,x0.7_30d,0.0,1.0,0.0,0.0,0.0,58.0,0.0,6252400.0,0.0,68562478.6393,-177035.82159999013,55253165.2168,-1636053.2327000052,0.0,0.0,921.0,130.0,659392296.9081,8,0.0,0.0,0.0,645623857.5564,8,554272820.6527,2377380782.8707,9556249.0887,58.0,0.0,0.0,-1678131.6218999624,5460713.765,-14400.0,20568743.5918,15073177.4366,17.0,439.0,204.0,82.0,221.0,,,0.0,790162.6421999931,2.0,True,130,-4.0,5.0,117.0,25762139.9999,116919600.0,25762139.9999,832320088.2091,5616988.7861,12286605.9712,2.0
