policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,scrap,total
baseline,Reference,30,243.45148870674058,9.239683491477766,57.68283387072254,19.477026059335955,0.0,0.0,329.85103212827687
baseline,Reference,31,222.92165405569918,8.876427867562228,55.10273119287692,18.952673269162904,0.0,0.0,305.85348638530127
baseline,Reference,32,246.27277620431914,9.597756397982698,60.36386610357365,20.90369223171392,0.0,0.0,337.1380909375894
baseline,Reference,33,232.7559798239252,8.894391466287145,57.37115333228148,19.82611082079451,0.0,0.0,318.8476354432883
baseline,Reference,34,416.930625,15.651900000000001,104.625,35.7399,0.02133774871839062,0.0,572.9687627487184
baseline,Reference,35,244.67216783236316,9.066043726395792,64.83146370875684,21.17877153499534,0.0,0.0,339.7484468025111
baseline,Reference,36,241.93790301120538,8.902530034776234,63.66657843052095,21.15270566114188,0.0,0.0,335.6597171376444
baseline,Reference,37,228.7605795537409,8.400021281043117,61.32015535161476,20.195051163174497,0.0,0.0,318.67580734957323
baseline,Reference,38,399.3933207224157,14.704236762925392,108.11818160968295,35.51985784293833,0.0,0.0,557.7355969379623
baseline,Reference,39,246.57596705297166,9.156531902975622,68.66123644236873,22.024137320945545,0.0,0.0,346.4178727192616
baseline,Reference,40,252.9488967709798,11.078412473290788,62.58934585797101,23.286773890642277,0.0,0.0,349.90342899288385
baseline,Reference,41,239.18083070645196,10.615709956078717,62.9460158629161,21.95628116466501,0.0,0.0,334.6988376901118
baseline,Reference,42,255.24315,11.487825000000003,64.2816,23.276970000000002,0.25178560667884764,0.0,354.5413306066788
baseline,Reference,43,214.40966975999999,9.779159808,52.86261657599999,19.378009728,0.18198371396192617,0.0,296.61143958596193
baseline,Reference,44,351.5683300114097,13.054707089452853,73.26015009235122,28.293936784235836,0.0,0.0,466.17712397744964
baseline,Reference,45,232.5301584504138,8.703344587174886,43.261424827983966,18.474299443709892,0.0,0.0,302.96922730928253
baseline,Reference,46,264.26265331604037,9.919272808519606,45.91962025490677,20.751118715423015,0.0,0.0,340.85266509488974
baseline,Reference,47,226.79051660217425,9.123475268832074,40.01610064292031,18.968512254636124,0.0,0.0,294.8986047685628
baseline,Reference,48,293.78213292096734,11.717670349125372,49.97848029829929,24.40256382585108,0.0,0.0,379.8808473942431
baseline,Reference,49,239.34597195714838,9.403846272589131,39.992181401010924,19.828164874209225,0.0,0.0,308.57016450495763
baseline,Reference,50,338.1829632781172,13.021065346234668,52.52194425371967,28.011703601983825,0.0,0.0,431.7376764800553
baseline,Reference,51,231.57043802271716,8.69168526127269,36.71208236612166,19.228950750190084,0.0,0.0,296.2031564003016
baseline,Reference,52,292.40460408543436,10.690060794521255,47.79086002256561,20.18676578430065,0.16181746668976293,0.0,371.23410815351156
