week,classical_material,classical_inbound_transport,classical_production_energy,classical_outbound_transport,classical_storage,classical_scrap,classical_total,dynamic_material,dynamic_inbound_transport,dynamic_production_energy,dynamic_outbound_transport,dynamic_storage,dynamic_scrap,dynamic_total,sdd_material,sdd_inbound_transport,sdd_production_energy,sdd_outbound_transport,sdd_storage,sdd_scrap,sdd_total,backup_sourcing_premium,energy_premium,air_premium,scrap_premium,total_premium_vs_dynamic,backlog_end,good_output_units,outbound_shipments,grid_factor,average_grid_factor,total_stock_units,backup_output_units,capacity_utilization_pct,air_shipments_units,other_premium
38,427.19743754964014,18.092789554124167,123.42661563472619,38.5471543077011,0.0,0.0,607.2639970461917,399.3933207224157,14.704236762925392,108.11818160968295,35.51985784293833,0.0,0.0,557.7355969379623,399.3933207224157,14.704236762925392,162.17727241452442,205.08001064052152,0.0,64.0305366555406,845.3853771959276,0.0,54.059090804841475,169.56015279758319,64.0305366555406,287.6497802579653,28.92798602525417,20.508001064052152,20.508001064052152,0.659,0.7523076923076923,0.0,0.0,98.00717354385735,20.508001064052152,2.842170943040401e-14
39,265.6512576950716,11.250938975276133,76.75241655119056,23.970415368460394,0.0,0.0,377.6250285899987,246.57596705297166,9.156531902975622,68.66123644236873,22.024137320945545,0.0,0.0,346.4178727192616,246.57596705297166,9.156531902975622,68.66123644236873,127.52829948434014,0.0,0.0,451.9220348826562,0.0,0.0,105.5041621633946,0.0,105.5041621633946,29.17515607682016,12.752829948434014,12.752829948434014,0.6729999999999999,0.7523076923076923,0.0,0.0,64.92765328911094,12.752829948434014,0.0
40,255.84462713347645,10.835605718588782,73.9190680462452,23.085537163982636,0.0,0.0,363.684838062293,252.9488967709798,11.078412473290788,62.58934585797101,23.286773890642277,0.0,0.0,349.90342899288385,252.9488967709798,11.078412473290788,74.32484820634058,122.8205373979023,0.0,0.0,461.1726948485134,0.0,11.735502348369565,99.53376350726002,0.0,111.26926585562956,29.89310233702993,12.28205373979023,12.28205373979023,0.637,0.7523076923076923,0.0,0.0,88.04339598415935,12.28205373979023,-2.842170943040401e-14
41,243.53899153728534,10.31443387718289,70.36370272480505,21.975167127819674,0.0,0.0,346.19229526709296,239.18083070645196,10.615709956078717,62.9460158629161,21.95628116466501,0.0,0.0,334.6988376901118,239.18083070645196,10.615709956078717,74.74839383721286,116.91310524315767,0.0,0.0,441.4580397429012,0.0,11.80237797429676,94.95682407849266,0.0,106.75920205278936,31.201791812714163,11.691310524315767,11.691310524315767,0.673,0.7523076923076923,0.0,0.0,83.8086775936614,11.691310524315767,-5.684341886080802e-14
42,261.5303076923077,11.07640730769231,75.56178461538462,23.598571153846155,0.25178560667884764,0.0,372.0188563759096,255.24315,11.487825000000003,64.2816,23.276970000000002,0.25178560667884764,0.0,354.5413306066788,255.24315,11.487825000000003,96.4224,125.55000000000001,0.25178560667884764,40.350375,529.3055356066789,0.0,32.1408,102.27303,40.350375,174.76420500000006,31.646791812714163,12.555000000000001,12.555000000000001,0.6399999999999999,0.7523076923076923,8.392853555961588,0.0,100.0,12.555000000000001,4.263256414560601e-14
43,220.9408039384615,9.357348893538463,63.83459564307692,19.936072910769226,0.18198371396192617,0.0,314.250805099808,214.40966975999999,9.779159808,52.86261657599999,19.378009728,0.18198371396192617,0.0,296.61143958596193,214.40966975999999,9.779159808,79.29392486399999,106.06464,0.18198371396192617,33.720306048,443.4496841939619,0.0,26.431308287999997,86.686630272,33.720306048,146.83824460799997,32.04032781271417,10.606463999999999,10.606463999999999,0.623,0.7523076923076923,6.066123798730873,0.0,100.0,10.606463999999999,-2.842170943040401e-14
44,364.04229016824553,15.418024468019237,105.17972224063344,32.84849837614875,0.0,0.0,517.488535253047,351.5683300114097,13.054707089452853,73.26015009235122,28.293936784235836,0.0,0.0,466.17712397744964,351.5683300114097,13.054707089452853,86.99642823466708,174.76180842641037,0.0,0.0,626.3812737619401,0.0,13.736278142315854,146.46787164217454,0.0,160.20414978449043,25.564146970073132,17.476180842641035,17.476180842641035,0.524,0.7523076923076923,0.0,0.0,88.97534234808282,17.476180842641035,2.842170943040401e-14
45,241.72981684173936,10.237811186698336,69.84099287185262,21.811920511550596,0.0,0.0,343.6205414118409,232.5301584504138,8.703344587174886,43.261424827983966,18.474299443709892,0.0,0.0,302.96922730928253,232.5301584504138,8.703344587174886,43.261424827983966,116.04459449566514,0.0,0.0,400.5395223612378,0.0,0.0,97.57029505195524,0.0,97.57029505195527,24.95968752050662,11.604459449566514,11.604459449566514,0.466,0.7523076923076923,0.0,0.0,49.911653546522636,11.604459449566514,2.842170943040401e-14
46,275.5014437484214,11.668116906760142,79.59834918344349,24.859223700120673,0.0,0.0,391.6271335387457,264.26265331604037,9.919272808519606,45.91962025490677,20.751118715423015,0.0,0.0,340.85266509488974,264.26265331604037,9.919272808519606,45.91962025490677,132.2569707802614,0.0,0.0,452.3585171597282,0.0,0.0,111.5058520648384,0.0,111.50585206483845,22.733990442480476,13.225697078026142,13.225697078026142,0.434,0.7523076923076923,0.0,0.0,56.88471861516621,13.225697078026142,5.684341886080802e-14
47,254.75738325425093,10.78955845104507,73.60493968173041,22.987432274068027,0.0,0.0,362.13931366109443,226.79051660217425,9.123475268832074,40.01610064292031,18.968512254636124,0.0,0.0,294.8986047685628,226.79051660217425,9.123475268832074,40.01610064292031,122.2985960969447,0.0,0.0,398.22868861087136,0.0,0.0,103.33008384230858,0.0,103.33008384230857,21.504130832786004,12.22985960969447,12.22985960969447,0.40900000000000003,0.7523076923076923,0.0,0.0,52.60154670836331,12.22985960969447,-1.4210854715202004e-14
48,330.295110913204,13.988754161977612,95.42942938644417,29.803401163826216,0.0,0.0,469.516695625452,293.78213292096734,11.717670349125372,49.97848029829929,24.40256382585108,0.0,0.0,379.8808473942431,293.78213292096734,11.717670349125372,49.97848029829929,158.56116845907135,0.0,0.0,514.0394520274634,0.0,0.0,134.15860463322028,0.0,134.1586046332203,16.64801398687887,15.856116845907135,15.856116845907135,0.394,0.7523076923076923,0.0,0.0,68.19835202540703,15.856116845907135,2.842170943040401e-14
49,269.07877965100766,11.396102377464578,77.74270206755851,24.27968973697331,0.0,0.0,382.49727383300404,239.34597195714838,9.403846272589131,39.992181401010924,19.828164874209225,0.0,0.0,308.57016450495763,239.34597195714838,9.403846272589131,39.992181401010924,129.173712535565,0.0,0.0,417.91571216631337,0.0,0.0,109.34554766135577,0.0,109.34554766135574,13.73064273332237,12.9173712535565,12.9173712535565,0.387,0.7523076923076923,0.0,0.0,55.55858603680215,12.9173712535565,-2.842170943040401e-14
50,379.88628482658345,16.089053916824547,109.75739632508085,34.27814390597329,0.0,0.0,540.0108789744621,338.1829632781172,13.021065346234668,52.52194425371967,28.011703601983825,0.0,0.0,431.7376764800553,338.1829632781172,13.021065346234668,62.3698088012921,182.36786199208217,0.0,0.0,595.9416994177261,0.0,9.847864547572435,154.35615839009836,0.0,164.2040229376708,5.493856534114151,18.23678619920822,18.23678619920822,0.36,0.7523076923076923,0.0,0.0,72.94714479683287,18.23678619920822,0.0
51,259.7625393171443,11.00153826967625,75.05103794746444,23.439060739344242,0.0,0.0,369.2541762736292,231.57043802271716,8.69168526127269,36.71208236612166,19.228950750190084,0.0,0.0,296.2031564003016,231.57043802271716,8.69168526127269,36.71208236612166,124.70136673275022,0.0,0.0,401.67557238286173,0.0,0.0,105.47241598256014,0.0,105.47241598256011,3.0237198608391296,12.470136673275022,12.470136673275022,0.368,0.7523076923076923,0.0,0.0,49.88054669310009,12.470136673275022,-2.842170943040401e-14
52,327.4738080493615,13.869265526285554,94.61429372888496,24.479584215354162,0.16181746668976293,0.0,460.5987689865759,292.40460408543436,10.690060794521255,47.79086002256561,20.18676578430065,0.16181746668976293,0.0,371.23410815351156,292.40460408543436,10.690060794521255,47.79086002256561,130.23719860839128,0.16181746668976293,0.0,481.2845409776022,0.0,0.0,110.05043282409063,0.0,110.05043282409065,0.0,15.720677639001845,13.02371986083913,0.38,0.7523076923076923,2.696957778162716,0.0,62.88271055600738,13.02371986083913,1.4210854715202004e-14
