policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,backlog_penalty,total
low_carbon,Discipline carbone,10,180.0,7.2,6.048000000000001,86.4,3.5,338.4,621.548
low_carbon,Discipline carbone,11,180.0,7.2,6.048000000000001,86.4,3.15,633.5999999999999,916.3979999999999
low_carbon,Discipline carbone,12,180.0,7.2,6.048000000000001,86.4,2.8,928.8,1211.248
low_carbon,Discipline carbone,13,180.0,7.2,6.048000000000001,86.4,2.8,1224.0,1506.448
low_carbon,Discipline carbone,14,180.0,7.2,6.048000000000001,86.4,2.8,1519.2,1801.6480000000001
low_carbon,Discipline carbone,15,180.0,7.2,6.048000000000001,86.4,2.8,1814.4,2096.848
low_carbon,Discipline carbone,16,180.0,7.2,6.048000000000001,86.4,2.8,2109.6000000000004,2392.0480000000002
low_carbon,Discipline carbone,17,360.0,14.4,12.096000000000002,172.8,1.4,2088.0000000000005,2648.6960000000004
low_carbon,Discipline carbone,18,360.0,14.4,12.096000000000002,172.8,0.0,2066.4,2625.696
low_carbon,Discipline carbone,19,200.0,8.0,4.48,96.0,0.0,2102.4,2410.88
low_carbon,Discipline carbone,20,200.0,8.0,4.48,96.0,0.0,2138.4,2446.88
service_first,Service prioritaire,1,150.0,6.0,3.3600000000000003,18.0,17.15,0.0,194.51000000000002
service_first,Service prioritaire,2,150.0,6.0,3.3600000000000003,18.0,16.1,0.0,193.46
service_first,Service prioritaire,3,150.0,6.0,3.3600000000000003,18.0,15.05,0.0,192.41000000000003
service_first,Service prioritaire,4,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
service_first,Service prioritaire,5,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
service_first,Service prioritaire,6,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
service_first,Service prioritaire,7,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
service_first,Service prioritaire,8,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
service_first,Service prioritaire,9,180.0,7.2,6.048000000000001,105.60000000000001,6.6499999999999995,43.199999999999974,348.698
service_first,Service prioritaire,10,180.0,7.2,6.048000000000001,86.4,6.3,338.4,624.348
service_first,Service prioritaire,11,180.0,7.2,6.048000000000001,86.4,5.949999999999999,633.5999999999999,919.1979999999999
service_first,Service prioritaire,12,180.0,7.2,6.048000000000001,86.4,5.6,928.8,1214.048
service_first,Service prioritaire,13,180.0,7.2,6.048000000000001,86.4,5.6,1224.0,1509.248
service_first,Service prioritaire,14,180.0,7.2,6.048000000000001,86.4,5.6,1519.2,1804.448
service_first,Service prioritaire,15,180.0,7.2,6.048000000000001,86.4,5.6,1814.4,2099.648
service_first,Service prioritaire,16,180.0,7.2,6.048000000000001,86.4,5.6,2109.6000000000004,2394.8480000000004
service_first,Service prioritaire,17,360.0,14.4,12.096000000000002,172.8,4.199999999999999,2088.0000000000005,2651.4960000000005
service_first,Service prioritaire,18,360.0,14.4,12.096000000000002,172.8,2.8,2066.4,2628.496
service_first,Service prioritaire,19,360.0,14.4,12.096000000000002,172.8,1.4,2044.8000000000002,2605.496
service_first,Service prioritaire,20,360.0,14.4,12.096000000000002,172.8,0.0,2023.2,2582.496
