capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::external_procurement_cost_multiplier_scale,factor::external_procurement_daily_cap_days_scale,factor::external_procurement_lead_days_scale,factor::external_procurement_transport_cost_scale,factor::fg_target_days_scale,factor::holding_cost_scale,factor::lead_time_scale,factor::production_gap_gain_scale,factor::production_smoothing_scale,factor::production_stock_scale,factor::purchase_cost_floor_scale,factor::review_period_scale,factor::safety_stock_days_scale,factor::supplier_reliability_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,is_corner_case,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1006945.8369,0.980381,0.00242,0.017199,449.6445,994778.3813,0.644374,13477.9118,1225861.2236,1264.375,42803.2146,53934.197,53934.197,124312.839,4091.2186,1201811.1551,1222894.9009,1023071.2186,2499.3661,2966.3226,814.7305,42405.804,21083.7458,7483.3772,full_run_0010,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,710680.4136,0.979235,0.002599,0.018166,1093.2648,704120.1007,0.387527,11312.8506,865942.767,1785.0,30846.4675,40325.0423,40325.0423,186930.3694,3023.3081,847961.1004,863691.7794,724622.9465,2369.3044,2250.9875,691.7352,32099.4425,15730.6791,5664.6075,full_run_0011,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1002778.4025,0.980504,0.002464,0.017032,826.5459,995031.5629,0.536949,13103.4363,1221919.9764,1785.0,43477.5896,53125.936,53125.936,232010.2596,4066.0502,1198097.1696,1218908.6149,1023071.2186,2704.5239,3011.3615,958.4541,42403.498,20811.4453,7482.9702,full_run_0012,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,720823.2028,0.978514,0.002867,0.018619,590.7836,721987.244,0.532747,18803.1001,878846.171,1264.375,41768.8141,41940.4477,41940.4477,23365.3204,3292.4294,859963.6953,876326.6013,724622.9465,2327.7552,2519.5697,673.5914,33192.1324,16362.906,5857.4351,full_run_0013,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1015321.199,0.980497,0.002459,0.017044,437.2402,1005808.177,0.654185,16595.4524,1235963.1568,1264.375,50997.8836,51188.3331,51188.3331,14785.149,4021.1568,1211858.6853,1232923.9512,1023071.2186,2499.3661,3039.2056,827.1348,42635.3121,21065.2659,7523.8786,full_run_0014,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,717568.6657,0.978104,0.00295,0.018946,1090.4024,720755.3203,0.38913,17608.637,875394.3781,1785.0,42782.1239,42942.9885,42942.9885,25594.5079,3373.6943,856227.0029,872812.0089,724622.9465,2365.3426,2582.3692,694.5976,33693.7089,16585.006,5945.9486,full_run_0015,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1012306.3394,0.979715,0.002795,0.01749,853.9457,1014094.4135,0.521599,18289.7032,1234570.1498,1785.0,59201.4411,59645.7617,59645.7617,32884.2698,4665.0291,1209527.1173,1231120.0394,1023071.2186,2712.4475,3450.1104,931.0543,43517.1461,21592.9221,7679.4964,full_run_0016,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,971410.8292,0.982864,0.001996,0.015139,622.4228,954519.9757,0.507723,10689.3601,1178843.3764,1264.375,36066.249,40198.4426,40198.4426,119795.2029,3021.1572,1158643.2709,1176490.3196,986563.4098,2491.2726,2353.0568,641.9522,36569.8044,17847.0488,6453.4949,full_run_0017,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1377166.8956,0.98504,0.001711,0.013249,594.9775,1359956.1111,0.52943,12929.0856,1667634.2279,1264.375,45781.0408,49082.2101,49082.2101,15791.4373,3719.7829,1642686.5132,1664780.7607,1392869.5197,2556.7971,2853.4672,669.3975,45043.6946,22094.2474,7948.8873,full_run_0018,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,970266.0524,0.982674,0.002018,0.015308,1109.4625,953631.9928,0.378452,11094.4235,1177972.0393,1785.0,36350.0475,40489.0112,40489.0112,143960.867,3044.4197,1157562.836,1175595.1594,986563.4098,2536.7836,2376.8799,675.5375,37028.0327,18032.3234,6534.3587,full_run_0019,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1367882.2579,0.983049,0.002,0.014951,876.5553,1344263.0644,0.508933,13177.3274,1661617.3484,1785.0,51290.0691,57372.5151,57372.5151,169026.7838,4363.6716,1633451.2787,1658294.2267,1392869.5197,2966.6004,3323.1217,908.4447,50760.9442,24842.9481,8957.8137,full_run_0020,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,973552.8325,0.979564,0.002307,0.018129,578.6811,958085.173,0.542318,15104.7458,1185430.9622,1264.375,44677.1656,45344.0937,45344.0937,0.089,3507.5677,1161205.3586,1182695.8621,986563.4098,2501.4987,2735.1001,685.6939,43955.3124,21490.5035,7756.8198,full_run_0021,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1378144.3479,0.984812,0.001717,0.013471,548.1437,1359640.007,0.566471,12607.9092,1669196.9495,1264.375,46947.9821,47659.2551,47659.2551,0.0,3687.9381,1643844.84,1666331.0161,1392869.5197,2556.7971,2865.9333,716.2313,45991.4745,22486.1761,8116.1426,full_run_0022,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,971932.2741,0.97932,0.0024,0.01828,1063.4031,957301.4604,0.404256,12434.6756,1184027.8298,1785.0,46905.8894,47521.7145,47521.7145,320.5141,3673.317,1159542.2092,1181185.7166,986563.4098,2532.8218,2842.1132,721.5969,44221.4243,21643.5074,7803.7808,full_run_0023,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1371429.0477,0.980289,0.002325,0.017386,884.1457,1359516.4117,0.50468,25226.5528,1670639.3845,1785.0,63832.9032,64815.4112,64815.4112,0.2512,5063.9173,1637709.3272,1666754.5815,1392869.5197,2958.6768,3884.803,900.8543,59185.1208,29045.2544,10444.4331,full_run_0024,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,970130.1719,0.984726,0.001927,0.013347,608.2356,948465.266,0.518944,5368.1345,1175037.0033,1264.375,30562.669,40199.4941,40199.4941,236867.5548,3021.2203,1157089.6692,1172773.0208,986563.4098,2501.4987,2263.9825,656.1394,31883.9129,15683.3516,5626.5729,full_run_0025,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1375229.9599,0.985444,0.001821,0.012735,609.1859,1353923.4511,0.518192,6814.9602,1664509.069,1264.375,42803.2146,56416.5146,56416.5146,129225.2232,4248.278,1640280.6198,1661478.1713,1392869.5197,2555.5412,3030.8977,655.1891,42460.3715,21197.5516,7493.0067,full_run_0026,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,968778.1761,0.984551,0.001949,0.0135,1124.8156,948610.9911,0.369851,6576.6134,1173838.3661,1785.0,30846.4675,40490.3475,40490.3475,262929.1294,3044.4999,1155703.9027,1171551.1236,986563.4098,2544.7073,2287.2425,660.1844,32310.9303,15847.221,5701.9289,full_run_0027,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1366153.6467,0.984891,0.001929,0.01318,840.8057,1338608.9534,0.52896,7058.2696,1656469.7865,1785.0,43494.8691,57372.5151,57372.5151,332691.4435,4363.6716,1631442.2866,1653274.5032,1392869.5197,2958.6768,3195.2834,944.1943,44189.254,21832.2165,7798.1037,full_run_0028,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,973836.0802,0.980557,0.002346,0.017096,608.2356,951057.4998,0.518944,7641.0492,1184565.4064,1264.375,41768.8141,47703.1042,47703.1042,23365.3204,3638.1887,1161534.4841,1181786.0213,986563.4098,2501.4987,2779.3851,656.1394,41137.715,20251.5372,7259.5968,full_run_0029,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1382678.2231,0.984599,0.001848,0.013553,609.1859,1360379.3749,0.518192,9475.194,1675015.8563,1264.375,50997.8836,51210.632,51210.632,14785.149,4022.4948,1649218.1572,1671919.6072,1392869.5197,2555.5412,3096.2491,655.1891,46199.5037,22701.45,8152.8536,full_run_0030,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,971826.9555,0.979951,0.002443,0.017606,1124.8156,951124.9195,0.369851,8813.8431,1183084.3376,1785.0,42789.8536,50595.8614,50595.8614,25594.5079,3834.9012,1159365.1959,1180194.3246,986563.4098,2544.7073,2890.013,660.1844,42227.6146,20829.1287,7451.932,full_run_0031,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1370724.3545,0.980908,0.002252,0.01684,862.4807,1339346.978,0.516818,7410.1336,1668779.3065,1785.0,59231.8914,63573.7436,63573.7436,32973.9203,4900.708,1636918.8882,1665020.98,1392869.5197,2958.6768,3758.3265,922.5193,57255.9102,28102.0918,10103.9842,full_run_0032,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,731517.2193,0.992863,0.000881,0.006256,809.3853,716929.8368,0.359853,6228.6352,877329.6814,1264.375,8939.9646,10315.8596,10315.8596,71445.326,753.8984,871068.2875,876557.0309,740782.0361,1807.4128,772.6505,454.9897,12054.8455,5488.7434,2127.3257,full_run_0033,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1036985.9988,0.993647,0.000763,0.00559,808.4366,1022877.8071,0.360604,7137.7221,1243154.7861,1264.375,12247.9196,14190.3596,14190.3596,57483.9189,1038.9008,1235256.9459,1242205.9171,1045884.0509,1808.9009,948.869,455.9384,14871.4468,6948.9712,2624.373,full_run_0034,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,727270.5476,0.992413,0.000955,0.006632,1093.8875,714534.049,0.387178,7485.0589,873588.3086,1785.0,9274.1275,10650.0225,10650.0225,96276.7169,792.0957,866960.0529,872754.0302,740782.0361,1972.2746,834.2785,691.1125,13078.2196,5793.9773,2307.9211,full_run_0035,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1029386.0993,0.993094,0.000854,0.006051,1142.6617,1008738.0769,0.359853,8462.2446,1236333.5936,1785.0,12790.128,14737.1843,14737.1843,101731.7169,1100.3643,1227795.8069,1235277.3638,1045884.0509,2176.1107,1056.2298,642.3383,16469.4936,7481.5569,2906.3812,full_run_0036,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,733378.7182,0.984195,0.001821,0.013984,809.3853,721002.3553,0.359853,10301.1537,887326.2608,1264.375,24624.831,28748.2352,28748.2352,5059.8791,2114.4063,873302.0862,885710.5741,740782.0361,1807.4128,1615.6866,454.9897,25386.9819,12408.4879,4480.0556,full_run_0037,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1038534.829,0.988219,0.001347,0.010434,808.4366,1026051.4199,0.360604,10311.3349,1251863.5909,1264.375,26111.8518,30393.8674,30393.8674,0.0,2231.1916,1237115.5421,1250177.643,1045884.0509,1808.9009,1685.9479,455.9384,26655.7891,13062.1009,4703.9628,full_run_0038,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,729192.373,0.983401,0.001971,0.014628,1093.8875,718929.8835,0.387178,11880.8934,883938.352,1785.0,25475.5265,29603.2115,29603.2115,27163.0207,2219.159,869265.5024,882195.9187,740782.0361,1972.2746,1742.4333,691.1125,26849.4087,12930.4163,4738.131,full_run_0039,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1032020.4128,0.984299,0.001853,0.013848,1142.6617,1014487.5147,0.359853,14211.6824,1250591.0382,1785.0,35122.9201,40953.9451,40953.9451,7098.8882,3078.3331,1230955.4798,1248274.1908,1045884.0509,2176.1107,2316.8474,642.3383,35452.3669,17318.7111,6256.3,full_run_0040,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,730852.232,0.993493,0.000856,0.005651,722.3963,716119.4758,0.428653,5505.2632,876029.0617,1264.375,7572.6971,10315.8596,10315.8596,79249.386,753.8984,870328.3649,875278.8771,740782.0361,1807.4128,750.1846,541.9787,10892.6681,4950.5122,1922.2356,full_run_0041,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1036137.4246,0.994276,0.000739,0.004986,721.489,1022060.1084,0.429371,6406.9711,1241403.0039,1264.375,10317.6596,14190.3596,14190.3596,68184.1896,1038.9008,1234296.7362,1240485.8516,1045884.0509,1808.9009,917.1523,542.886,13230.7258,6189.1154,2334.834,full_run_0042,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,726673.4759,0.993077,0.00093,0.005993,1133.0729,714218.1595,0.365225,6300.5659,872316.1771,1785.0,7898.2325,10650.0225,10650.0225,103680.6718,792.0957,866277.3538,871504.8298,740782.0361,1961.2794,811.3474,651.9271,11869.5239,5227.4759,2094.6219,full_run_0043,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1028443.3291,0.993761,0.000829,0.00541,1081.2576,1007919.0132,0.394253,7458.8666,1234412.1578,1785.0,10847.688,14737.1843,14737.1843,112894.6917,1100.3643,1226710.8044,1233388.3622,1045884.0509,2173.6757,1023.7956,703.7424,14757.0155,6677.5578,2604.1792,full_run_0044,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,731877.9491,0.985838,0.001765,0.012397,722.3963,720479.1853,0.428653,9864.9727,884079.4432,1264.375,20905.3721,29130.5788,29130.5788,24869.9443,2137.9388,871559.2254,882519.4142,740782.0361,1807.4128,1560.029,541.9787,22225.4419,10960.1888,3922.1368,full_run_0045,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1037449.819,0.987788,0.001492,0.01072,721.489,1027706.2688,0.429371,12053.1315,1251150.7673,1264.375,26596.1248,34346.9658,34346.9658,2890.4213,2570.7762,1235871.6094,1249284.3708,1045884.0509,1808.9009,1866.3965,542.886,27067.4212,13412.7614,4776.6037,full_run_0046,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,727703.0908,0.985281,0.001902,0.012817,1133.0729,718577.869,0.365225,10660.2754,880472.6983,1785.0,21347.8415,29603.2115,29603.2115,48750.9332,2219.159,867512.8402,878798.2747,740782.0361,1961.2794,1674.4236,651.9271,23301.6915,11285.4345,4112.0632,full_run_0047,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1029896.9297,0.985983,0.001796,0.012222,1081.2576,1014073.8972,0.394253,13613.7506,1245919.173,1785.0,29836.169,41495.4253,41495.4253,35374.3856,3111.6575,1228454.5636,1243681.7849,1045884.0509,2173.6757,2237.3881,703.7424,30897.2244,15227.2213,5452.4514,full_run_0048,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,992404.0775,0.994755,0.00065,0.004595,852.9151,975837.7177,0.325426,3101.3116,1187907.446,1264.375,8939.9646,10315.8596,10315.8596,71445.326,753.8984,1181676.7711,1187135.2308,1002722.4994,1807.4128,772.2152,411.4599,12011.3158,5458.4597,2119.644,full_run_0049,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,1405446.132,0.995322,0.000564,0.004114,852.4407,1388739.4593,0.325801,3105.2996,1681751.2081,1264.375,12247.9196,14190.3596,14190.3596,57483.9189,1038.9008,1673884.4216,1680802.7792,1415682.3521,1808.9009,948.4289,411.9343,14827.4427,6918.3575,2616.6075,full_run_0050,ok
