pair_key,edge_id,supplier_id,supplier_name,factory_id,factory_name,item_id,lead_mean_days,otif,uom,is_assumed_edge,assumption_label,supplier_count_for_item,criticality_score,cover_days,total_consumed,avg_cons_per_day,downstream_outputs,downstream_demand_total,outage5d_fill_rate,outage5d_backlog,outage5d_total_cost,delayx3_fill_rate,delayx3_backlog,delayx3_total_cost,otif50_fill_rate,otif50_backlog,otif50_total_cost,baseline_fill_rate,baseline_backlog,baseline_total_cost,mono_source_risk,demand_exposure_norm,volume_exposure_norm,cover_risk_norm,lead_time_risk_norm,criticality_norm,uncertainty_penalty,outage5d_fill_loss,delayx3_fill_loss,otif50_fill_loss,outage5d_backlog_delta,delayx3_backlog_delta,otif50_backlog_delta,expected_fill_loss_proxy,expected_backlog_delta_proxy,structural_proxy_score,impact_proxy_score,combined_proxy_risk_score,p_incident_30d_proxy,p_service_hit_30d_proxy,p_major_service_hit_30d_proxy,expected_fill_loss_30d_proxy,expected_backlog_30d_proxy,incident_probability_band,service_hit_probability_band
SDC-VD0519670A|item:029313|M-1810,edge:SDC-VD0519670A_TO_M-1810_029313,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,M-1810,Manufacturer of Cosmetics - D1810,item:029313,56.0,1.0,KG,False,,1,0.413938,95.299945,0.028842,0.000961,item:268091,743.75,0.754052,365.8476,1272059.7718,0.787666,315.8476,1273360.3276,0.787666,315.8476,1273360.2988,0.787666,315.8476,1273360.3167,1.0,0.5,0.0,0.733441,0.359477,0.324835,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.544871,0.47908,0.508686,0.096282,0.046127,0.016182,0.000809,1.203525,medium,low
SDC-VD0520132A|item:049371|M-1810,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,M-1810,Manufacturer of Cosmetics - D1810,item:049371,147.0,1.0,KG,False,,1,0.422265,270.569613,1.067223,0.035574,item:268091,743.75,0.754052,365.8476,1272059.7919,0.787666,315.8476,1273361.4419,0.787666,315.8476,1273359.6551,0.787666,315.8476,1273360.3167,1.0,0.5,0.06659,0.194111,0.954248,0.339132,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.541543,0.47908,0.507188,0.095816,0.045904,0.016104,0.000805,1.197701,medium,low
SDC-VD1095770A|item:734545|M-1430,edge:SDC-VD1095770A_TO_M-1430_734545,SDC-VD1095770A,Supplier of Packaging - VD1095770A,M-1430,Manufacturer of Drugs - D1430,item:734545,21.0,1.0,UN,False,,1,0.407269,35.520913,4.84829,0.16161,item:268967,743.75,0.757184,361.1881,1272013.8602,0.787666,315.8476,1273360.5655,0.787666,315.8476,1273356.9082,0.787666,315.8476,1273360.3167,1.0,0.5,0.165835,0.917389,0.130719,0.313386,0.0,0.030482,0.0,0.0,45.3405,0.0,0.0,0.007621,11.335125,0.577026,0.434438,0.498603,0.100784,0.043784,0.01536,0.000768,1.142395,high,low
SDC-VD0520115A|item:708073|M-1430,edge:SDC-VD0520115A_TO_M-1430_708073,SDC-VD0520115A,Supplier of Packaging - VD0520115A,M-1430,Manufacturer of Drugs - D1430,item:708073,28.0,1.0,KG,False,,1,0.407097,50.760353,4.805864,0.160195,item:268967,743.75,0.757184,361.1881,1272012.8222,0.787666,315.8476,1273360.9327,0.787666,315.8476,1273356.938,0.787666,315.8476,1273360.3167,1.0,0.5,0.16514,0.870495,0.176471,0.31309,0.0,0.030482,0.0,0.0,45.3405,0.0,0.0,0.007621,11.335125,0.574896,0.434438,0.497644,0.100485,0.043655,0.015315,0.000766,1.139015,high,low
SDC-VD0520132A|item:038005|M-1430,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,M-1430,Manufacturer of Drugs - D1430,item:038005,154.0,1.0,KG,False,,1,0.400116,333.651256,10.605128,0.353504,item:268967,743.75,0.757184,361.1881,1273191.3983,0.787666,315.8476,1273373.966,0.787666,315.8476,1273352.861,0.787666,315.8476,1273360.3167,1.0,0.5,0.231235,0.0,1.0,0.301105,0.0,0.030482,0.0,0.0,45.3405,0.0,0.0,0.007621,11.335125,0.546678,0.434438,0.484946,0.096535,0.041938,0.014713,0.000736,1.094235,medium,low
SDC-VD0993480A|item:344135|M-1430,edge:SDC-VD0993480A_TO_M-1430_344135,SDC-VD0993480A,Supplier of Packaging - VD0993480A,M-1430,Manufacturer of Drugs - D1430,item:344135,35.0,1.0,UN,False,,1,0.413992,64.937738,606.036241,20.201208,item:268967,743.75,0.784531,320.51,1273321.0911,0.787666,315.8476,1273514.3167,0.784418,320.6784,1273120.581,0.787666,315.8476,1273360.3167,1.0,0.5,0.608877,0.826869,0.222222,0.324928,0.0,0.003135,0.0,0.003248,4.6624,0.0,4.8308,0.001758,2.61484,0.653828,0.100225,0.349346,0.111536,0.011179,0.003922,0.000196,0.291649,high,very_low
SDC-VD0525412A|item:333362|M-1430,edge:SDC-VD0525412A_TO_M-1430_333362,SDC-VD0525412A,Supplier of Packaging - VD0525412A,M-1430,Manufacturer of Drugs - D1430,item:333362,60.0,1.0,UN,False,,1,0.412721,120.792483,606.036241,20.201208,item:268967,743.75,0.784531,320.51,1273251.1052,0.787666,315.8476,1273660.3167,0.784418,320.6784,1273398.7863,0.787666,315.8476,1273360.3167,1.0,0.5,0.608877,0.654997,0.385621,0.322746,0.0,0.003135,0.0,0.003248,4.6624,0.0,4.8308,0.001758,2.61484,0.645997,0.100225,0.345822,0.11044,0.011069,0.003883,0.000194,0.288782,high,very_low
SDC-VD0914360C|item:338929|M-1810,edge:SDC-VD0914360C_TO_M-1810_338929,SDC-VD0914360C,Supplier of Packaging - VD0914360C,M-1810,Manufacturer of Cosmetics - D1810,item:338929,42.0,1.0,UN,False,,1,0.420512,68.155583,710.44043,23.681348,item:268091,743.75,0.801339,295.5085,1273323.8505,0.787666,315.8476,1273561.5167,0.784418,320.6784,1273505.9205,0.787666,315.8476,1273360.3167,1.0,0.5,0.624022,0.816968,0.267974,0.336122,0.0,0.0,0.0,0.003248,0.0,0.0,4.8308,0.000974,1.44924,0.660303,0.055547,0.327687,0.112442,0.006246,0.002191,0.00011,0.162956,high,very_low
SDC-VD0901566A|item:338928|M-1810,edge:SDC-VD0901566A_TO_M-1810_338928,SDC-VD0901566A,Supplier of Packaging - VD0901566A,M-1810,Manufacturer of Cosmetics - D1810,item:338928,70.0,1.0,UN,False,,1,0.422936,122.37547,710.44043,23.681348,item:268091,743.75,0.801339,295.5085,1273314.9416,0.787666,315.8476,1273706.7167,0.784418,320.6784,1273390.7045,0.787666,315.8476,1273360.3167,1.0,0.5,0.624022,0.650125,0.45098,0.340284,0.0,0.0,0.0,0.003248,0.0,0.0,4.8308,0.000974,1.44924,0.655454,0.055547,0.325505,0.111764,0.006208,0.002178,0.000109,0.161972,high,very_low
SDC-VD0951020A|item:001848|M-1810,edge:SDC-VD0951020A_TO_M-1810_001848,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,M-1810,Manufacturer of Cosmetics - D1810,item:001848,56.0,1.0,KG,False,,2,0.287755,97.882504,0.865318,0.028844,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.6455,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.6,0.5,0.056782,0.725494,0.359477,0.108197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423147,0.0,0.190416,0.079241,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0964290A|item:055703|M-1810,edge:SDC-VD0964290A_TO_M-1810_055703,SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,M-1810,Manufacturer of Cosmetics - D1810,item:055703,42.0,1.0,KG,False,,2,0.286864,70.057616,0.057692,0.001923,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3337,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.6,0.5,0.002639,0.811115,0.267974,0.106667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416162,0.0,0.187273,0.078263,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0914320A|item:055703|M-1810,edge:SDC-VD0914320A_TO_M-1810_055703,SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,M-1810,Manufacturer of Cosmetics - D1810,item:055703,21.0,1.0,KG,False,,2,0.286864,70.057616,0.057692,0.001923,item:268091,743.75,0.787666,315.8476,1273360.5933,0.787666,315.8476,1273360.313,0.787666,315.8476,1273360.2809,0.787666,315.8476,1273360.3167,0.6,0.5,0.002639,0.811115,0.130719,0.106667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402436,0.0,0.181096,0.076341,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0519670A|item:001848|M-1810,edge:SDC-VD0519670A_TO_M-1810_001848,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,M-1810,Manufacturer of Cosmetics - D1810,item:001848,21.0,1.0,KG,False,,2,0.287755,97.882504,0.865318,0.028844,item:268091,743.75,0.787666,315.8476,1273359.9978,0.787666,315.8476,1273360.2271,0.787666,315.8476,1273359.7803,0.787666,315.8476,1273360.3167,0.6,0.5,0.056782,0.725494,0.130719,0.108197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400272,0.0,0.180122,0.076038,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0518684A|item:001893|M-1810,edge:SDC-VD0518684A_TO_M-1810_001893,SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,M-1810,Manufacturer of Cosmetics - D1810,item:001893,56.0,1.0,KG,False,,3,0.246778,96.49797,5.480341,0.182678,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273362.3995,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.3,0.5,0.175629,0.729754,0.359477,0.037845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351619,0.0,0.158228,0.069227,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD1091642A|item:001893|M-1810,edge:SDC-VD1091642A_TO_M-1810_001893,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,M-1810,Manufacturer of Cosmetics - D1810,item:001893,42.0,1.0,KG,False,,3,0.246778,96.49797,5.480341,0.182678,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.3,0.5,0.175629,0.729754,0.267974,0.037845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342468,0.0,0.154111,0.067946,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0910216A|item:001893|M-1810,edge:SDC-VD0910216A_TO_M-1810_001893,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,M-1810,Manufacturer of Cosmetics - D1810,item:001893,28.0,1.0,KG,False,,3,0.246778,96.49797,5.480341,0.182678,item:268091,743.75,0.787666,315.8476,1273361.1012,0.787666,315.8476,1273360.0527,0.787666,315.8476,1273356.9194,0.787666,315.8476,1273360.3167,0.3,0.5,0.175629,0.729754,0.176471,0.037845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333318,0.0,0.149993,0.066665,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0910216A|item:002612|M-1810,edge:SDC-VD0910216A_TO_M-1810_002612,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,M-1810,Manufacturer of Cosmetics - D1810,item:002612,35.0,1.0,KG,False,,4,0.224735,54.417576,1.442194,0.048073,item:268091,743.75,0.787666,315.8476,1273360.4926,0.787666,315.8476,1273360.665,0.787666,315.8476,1273359.4227,0.787666,315.8476,1273360.3167,0.15,0.5,0.082498,0.859241,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292366,0.0,0.131565,0.060931,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0990780A|item:002612|M-1810,edge:SDC-VD0990780A_TO_M-1810_002612,SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,M-1810,Manufacturer of Cosmetics - D1810,item:002612,35.0,1.0,KG,False,,4,0.224735,54.417576,1.442194,0.048073,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.6821,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.15,0.5,0.082498,0.859241,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292366,0.0,0.131565,0.060931,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD1091642A|item:002612|M-1810,edge:SDC-VD1091642A_TO_M-1810_002612,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,M-1810,Manufacturer of Cosmetics - D1810,item:002612,35.0,1.0,KG,False,,4,0.224735,54.417576,1.442194,0.048073,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.6821,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.15,0.5,0.082498,0.859241,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292366,0.0,0.131565,0.060931,0.0,0.0,0.0,0.0,medium,very_low
SDC-VD0500655A|item:002612|M-1810,edge:SDC-VD0500655A_TO_M-1810_002612,SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,M-1810,Manufacturer of Cosmetics - D1810,item:002612,28.0,1.0,KG,False,,4,0.224735,54.417576,1.442194,0.048073,item:268091,743.75,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.787666,315.8476,1273360.3167,0.15,0.5,0.082498,0.859241,0.176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287791,0.0,0.129506,0.060291,0.0,0.0,0.0,0.0,medium,very_low
