record_index,system,component,supplier,role_hint,action,detail
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",TATA Steel,tier4_raw_material,clean_supplier,name_normalized:TATA Steel->Tata Steel
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Nucor Corp,tier4_raw_material,clean_supplier,source/site normalization
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Thyssen group,tier3_first_transformation,clean_supplier,name_normalized:Thyssen group->thyssenkrupp Materials France
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Aubert&Duval,tier3_first_transformation,clean_supplier,name_normalized:Aubert&Duval->Aubert & Duval
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Lauak Group,tier1,clean_supplier,name_normalized:Lauak Group->Groupe LAUAK
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",GATTEFIN,tier1,clean_supplier,name_normalized:GATTEFIN->ETS Gattefin
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",thyssenkrupp Materials France,tier3_first_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Saarstahl,tier4_raw_material,resolve_multiple_primary,kept Saarstahl as baseline primary; 1 suppliers retained as alternatives
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,normalize_transport,"mine_to_refinery: ['Bateau', 'Pipeline'] -> ['ship', 'pipeline']"
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Mitsubishi Chemical,tier4_raw_material,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Krohne,tier2_second_transformation,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,DuPont de Nemours,tier2_second_transformation,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Ensinger,tier2_second_transformation,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,BASF,tier4_raw_material,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,DuPont de Nemours,tier2_second_transformation,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Toray,tier3_first_transformation,clean_supplier,name_normalized:Toray->Toray Industries
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Bayer,tier4_raw_material,clean_supplier,source/site normalization
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Baulé - Exsto polymère,tier3_first_transformation,clean_supplier,name_normalized:Baulé - Exsto polymère->EXSTO / Baule-Exsto Polymere
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,DuPont de Nemours,tier2_second_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,normalize_transport,"mine_to_refinery: ['Bateau', 'Camion'] -> ['ship', 'truck']"
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,Kuehne-Nagel,logistics,clean_supplier,source/site normalization
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,Kuehne-Nagel,logistics,move_logistics_out_of_suppliers,logistics provider moved to logistics_providers
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,GEODIS,logistics,move_logistics_out_of_suppliers,logistics provider moved to logistics_providers
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,XPO Logistic,logistics,clean_supplier,coordinates_removed_unverified_or_centroid
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,XPO Logistic,logistics,move_logistics_out_of_suppliers,logistics provider moved to logistics_providers
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,CEVA Logistics,logistics,move_logistics_out_of_suppliers,logistics provider moved to logistics_providers
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,SIKA,tier2_second_transformation,clean_supplier,source/site normalization
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,HENKEL,tier3_first_transformation,clean_supplier,source/site normalization
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,KEMKO Aerospace,tier1,clean_supplier,coordinates_removed_unverified_or_centroid
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
5,Bumper version porte,alliage Cu,,,normalize_transport,"from_supplier_to_safran: ['Camion', 'Bateau'] -> ['truck', 'ship']"
5,Bumper version porte,alliage Cu,,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
5,Bumper version porte,alliage Cu,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
5,Bumper version porte,alliage Cu,Saarstahl,tier4_raw_material,clean_supplier,source/site normalization
5,Bumper version porte,alliage Cu,Arcelor Mittal,material,clean_supplier,name_normalized:Arcelor Mittal->ArcelorMittal
5,Bumper version porte,alliage Cu,China Baowu,material,clean_supplier,name_normalized:China Baowu->China Baowu / Baosteel
5,Bumper version porte,alliage Cu,TATA Steel,tier4_raw_material,clean_supplier,name_normalized:TATA Steel->Tata Steel
5,Bumper version porte,alliage Cu,Nucor Corp,tier4_raw_material,clean_supplier,source/site normalization
5,Bumper version porte,alliage Cu,Aurubis,tier3_first_transformation,clean_supplier,source/site normalization
5,Bumper version porte,alliage Cu,Zijin Mining Group,tier4_raw_material,clean_supplier,source/site normalization
5,Bumper version porte,alliage Cu,Thyssen group,tier3_first_transformation,clean_supplier,name_normalized:Thyssen group->thyssenkrupp Materials France
5,Bumper version porte,alliage Cu,SUMPAR,tier2_second_transformation,clean_supplier,role_normalized:tier2_second_transformation->tier1
5,Bumper version porte,alliage Cu,Segnere Aero SAS,tier1,clean_supplier,name_normalized:Segnere Aero SAS->Groupe Segnere / SEGNERE Ade
5,Bumper version porte,alliage Cu,SENIOR AEROSPACE,tier1,clean_supplier,name_normalized:SENIOR AEROSPACE->Senior Aerospace Thailand
5,Bumper version porte,alliage Cu,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
5,Bumper version porte,alliage Cu,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
5,Bumper version porte,alliage Cu,Saarstahl,tier4_raw_material,resolve_multiple_primary,kept Saarstahl as baseline primary; 1 suppliers retained as alternatives
5,Bumper version porte,alliage Cu,SUMPAR,tier1,resolve_multiple_primary,kept SUMPAR as baseline primary; 1 suppliers retained as alternatives
6,Ens. Stowage latéral,cuir,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
6,Ens. Stowage latéral,cuir,,,normalize_transport,to_first_transformation: ['Interne entreprise'] -> []
6,Ens. Stowage latéral,cuir,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
6,Ens. Stowage latéral,cuir,"Gruppo Mastrotto (Arzignano, Italie)",tier3_first_transformation,clean_supplier,source/site normalization
6,Ens. Stowage latéral,cuir,"Gruppo Mastrotto (Arzignano, Italie)",tier3_first_transformation,clean_supplier,source/site normalization
6,Ens. Stowage latéral,cuir,ACH,tier1,clean_supplier,source/site normalization
6,Ens. Stowage latéral,cuir,Celso,tier1,clean_supplier,name_normalized:Celso->Celso SAS
6,Ens. Stowage latéral,cuir,MGR FOAMTEX,tier2_second_transformation,clean_supplier,name_normalized:MGR FOAMTEX->MGR Foamtex Ltd
6,Ens. Stowage latéral,cuir,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
6,Ens. Stowage latéral,cuir,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
6,Ens. Stowage latéral,cuir,La Filière Française du cuir,tier3_first_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
6,Ens. Stowage latéral,cuir,Maison Fichet,tier2_second_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
6,Ens. Stowage latéral,cuir,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
6,Ens. Stowage latéral,cuir,"Gruppo Mastrotto (Arzignano, Italie)",tier3_first_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
6,Ens. Stowage latéral,cuir,MGA Villeneuve St Lot,tier1,resolve_multiple_primary,kept MGA Villeneuve St Lot as baseline primary; 1 suppliers retained as alternatives
7,lightning,lightning,,,normalize_transport,"from_supplier_to_safran: ['Camion', 'Bateau'] -> ['truck', 'ship']"
7,lightning,lightning,,,normalize_transport,"to_first_transformation: ['Bateau', 'Camion'] -> ['ship', 'truck']"
7,lightning,lightning,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
7,lightning,lightning,Diodes Incorporated,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
7,lightning,lightning,Infineon Technologies AG,tier2_second_transformation,clean_supplier,source/site normalization
7,lightning,lightning,ROHM Co. Ltd,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
7,lightning,lightning,E2IP,tier2_second_transformation,clean_supplier,name_normalized:E2IP->e2ip technologies
7,lightning,lightning,SAFRAN,oem,clean_supplier,name_normalized:SAFRAN->Safran Seats / Safran internal group
7,lightning,lightning,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
7,lightning,lightning,MGR FOAMTEX,tier2_second_transformation,clean_supplier,name_normalized:MGR FOAMTEX->MGR Foamtex Ltd
7,lightning,lightning,SCHOTT,tier1,clean_supplier,source/site normalization
7,lightning,lightning,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
7,lightning,lightning,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
7,lightning,lightning,Safran Seats / Safran internal group,oem,dedupe_oem,merged duplicate supplier/site/role entry
7,lightning,lightning,Diodes Incorporated,tier2_second_transformation,resolve_multiple_primary,kept Diodes Incorporated as baseline primary; 1 suppliers retained as alternatives
8,Padding (rembourrage),AIRVOLT LAMINAT,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
8,Padding (rembourrage),AIRVOLT LAMINAT,,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
8,Padding (rembourrage),AIRVOLT LAMINAT,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
8,Padding (rembourrage),AIRVOLT LAMINAT,Group Mondi,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
8,Padding (rembourrage),AIRVOLT LAMINAT,Klabin S.A.,tier4_raw_material,clean_supplier,source/site normalization
8,Padding (rembourrage),AIRVOLT LAMINAT,Billerudkorsnäs,tier4_raw_material,clean_supplier,source/site normalization
8,Padding (rembourrage),AIRVOLT LAMINAT,Daio Paper Corporation,tier3_first_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
8,Padding (rembourrage),AIRVOLT LAMINAT,Nordic Paper Oyj,tier4_raw_material,clean_supplier,name_normalized:Nordic Paper Oyj->Nordic Paper; country_normalized:Finland->Sweden
8,Padding (rembourrage),AIRVOLT LAMINAT,Glatfelter,tier2_second_transformation,clean_supplier,source/site normalization
8,Padding (rembourrage),AIRVOLT LAMINAT,Kronotex GmbH & Co,tier3_first_transformation,clean_supplier,source/site normalization
8,Padding (rembourrage),AIRVOLT LAMINAT,Pergo,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
8,Padding (rembourrage),AIRVOLT LAMINAT,Balterio,tier2_second_transformation,clean_supplier,source/site normalization
8,Padding (rembourrage),AIRVOLT LAMINAT,MGR FOAMTEX,tier2_second_transformation,clean_supplier,name_normalized:MGR FOAMTEX->MGR Foamtex Ltd
8,Padding (rembourrage),AIRVOLT LAMINAT,Celso,tier1,clean_supplier,name_normalized:Celso->Celso SAS
8,Padding (rembourrage),AIRVOLT LAMINAT,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
8,Padding (rembourrage),AIRVOLT LAMINAT,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
8,Padding (rembourrage),AIRVOLT LAMINAT,Group Mondi,tier2_second_transformation,resolve_multiple_primary,kept Group Mondi as baseline primary; 1 suppliers retained as alternatives
9,Stowage assemblé avec porte,Silicone,,,normalize_transport,"from_supplier_to_safran: ['Camion', 'Bateau'] -> ['truck', 'ship']"
9,Stowage assemblé avec porte,Silicone,,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
9,Stowage assemblé avec porte,Silicone,,,normalize_transport,"mine_to_refinery: ['Bateau', 'Camion', 'Train'] -> ['ship', 'truck', 'rail']"
9,Stowage assemblé avec porte,Silicone,General Electric,tier1,clean_supplier,source/site normalization
9,Stowage assemblé avec porte,Silicone,Toschiba-Shinetsu,tier3_first_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
9,Stowage assemblé avec porte,Silicone,Silicon Engineering,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
9,Stowage assemblé avec porte,Silicone,General Electric,tier1,clean_supplier,source/site normalization
9,Stowage assemblé avec porte,Silicone,Toschiba-Shinetsu,tier3_first_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
9,Stowage assemblé avec porte,Silicone,Silicon Engineering,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
9,Stowage assemblé avec porte,Silicone,GATTEFIN,tier1,clean_supplier,name_normalized:GATTEFIN->ETS Gattefin
9,Stowage assemblé avec porte,Silicone,Plastiservice,tier2_second_transformation,clean_supplier,name_normalized:Plastiservice->Plastiservice Charleroi; country_normalized:France->Belgium
9,Stowage assemblé avec porte,Silicone,ACH,tier1,clean_supplier,source/site normalization
9,Stowage assemblé avec porte,Silicone,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
9,Stowage assemblé avec porte,Silicone,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
9,Stowage assemblé avec porte,Silicone,General Electric,tier1,dedupe_supplier,merged duplicate supplier/site/role entry
9,Stowage assemblé avec porte,Silicone,Saint-Gobain,tier3_first_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
9,Stowage assemblé avec porte,Silicone,Rhône Poulenc,tier2_second_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
9,Stowage assemblé avec porte,Silicone,Toschiba-Shinetsu,tier3_first_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
9,Stowage assemblé avec porte,Silicone,Silicon Engineering,tier2_second_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
9,Stowage assemblé avec porte,Silicone,General Electric,tier1,resolve_multiple_primary,kept General Electric as baseline primary; 1 suppliers retained as alternatives
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,normalize_transport,"from_supplier_to_safran: ['Camion', 'Bateau'] -> ['truck', 'ship']"
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,normalize_transport,"to_first_transformation: ['Bateau', 'Camion'] -> ['ship', 'truck']"
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,3M,tier2_second_transformation,clean_supplier,source/site normalization
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,NVIDIA,tier2_second_transformation,clean_supplier,source/site normalization
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Intel --> fondée en 1968 qui est le deuxième fabricant mondial de semi-conducteurs.,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,TSMC,tier2_second_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,JAMMY Inc,tier1,clean_supplier,coordinates_removed_unverified_or_centroid
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,BT Electronics,tier2_second_transformation,resolve_multiple_primary,kept BT Electronics as baseline primary; 1 suppliers retained as alternatives
11,Coussin ottoman,tissu,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
11,Coussin ottoman,tissu,,,normalize_transport,"to_first_transformation: ['Bateau', 'Camion'] -> ['ship', 'truck']"
11,Coussin ottoman,tissu,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
11,Coussin ottoman,tissu,DuPont de Nemours,tier2_second_transformation,clean_supplier,source/site normalization
11,Coussin ottoman,tissu,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,clean_supplier,source/site normalization
11,Coussin ottoman,tissu,Paragon Textiles,tier3_first_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
11,Coussin ottoman,tissu,Toray,tier3_first_transformation,clean_supplier,name_normalized:Toray->Toray Industries
11,Coussin ottoman,tissu,Tissu Huddersfield,tier3_first_transformation,clean_supplier,coordinates_removed_unverified_or_centroid
11,Coussin ottoman,tissu,FRANKLIN,tier2_second_transformation,clean_supplier,source/site normalization
11,Coussin ottoman,tissu,GATTEFIN,tier1,clean_supplier,name_normalized:GATTEFIN->ETS Gattefin
11,Coussin ottoman,tissu,Celso,tier1,clean_supplier,name_normalized:Celso->Celso SAS
11,Coussin ottoman,tissu,ACH,tier1,clean_supplier,source/site normalization
11,Coussin ottoman,tissu,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
11,Coussin ottoman,tissu,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
11,Coussin ottoman,tissu,DuPont de Nemours,tier2_second_transformation,resolve_multiple_primary,kept DuPont de Nemours as baseline primary; 1 suppliers retained as alternatives
11,Coussin ottoman,tissu,"Zhejiang Yuxin Textile Co.,Ltd.",tier3_first_transformation,resolve_multiple_primary,"kept Zhejiang Yuxin Textile Co.,Ltd. as baseline primary; 1 suppliers retained as alternatives"
11,Coussin ottoman,tissu,ETS Gattefin,tier1,resolve_multiple_primary,kept ETS Gattefin as baseline primary; 1 suppliers retained as alternatives
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,normalize_transport,to_first_transformation: ['Bateau'] -> ['ship']
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,DuPont de Nemours,tier2_second_transformation,clean_supplier,source/site normalization
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,clean_supplier,source/site normalization
