case_id,case_input,case_output_dir,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,level,parameter_group,parameter_key,parameter_label,realism_focus,status
supplier_reliability_scale_0_95,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_0_95/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_0_95/simulation_output,8252921.222,0.995621,0.000735,0.003644,2414.224,8024021.2583,0.861251,154570.287,19254888.544,17400.0,51251.3702,0.0,49596.717,0.0,0.0,0.0,0.0,0.0,19170568.8666,19240735.4621,8523781.9898,98538.8907,14153.0819,14985.776,157439.8024,0.0,70166.5955,8286.3054,0.95,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_reliability_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_1_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_stock_scale_0_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_0_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_0_5/simulation_output,8248242.667,0.995799,0.000665,0.003536,794.332,8016707.716,0.954349,150395.5945,19247485.2996,17400.0,41625.0148,0.0,40365.6883,0.0,0.0,0.0,0.0,0.0,19166630.5636,19234681.5625,8523781.9898,94206.5106,12803.7371,16605.668,152578.7449,0.0,68050.9989,0.0,0.5,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_0_75,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_0_75/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_0_75/simulation_output,8250882.4271,0.995678,0.000692,0.00363,805.4043,8020704.7745,0.953712,154051.9606,19252015.2477,17400.0,45696.8801,0.0,44296.4347,0.0,0.0,0.0,0.0,0.0,19168815.8795,19238695.2854,8523781.9898,94341.5463,13319.9623,16594.5957,156792.946,0.0,69879.4059,0.0,0.75,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_1_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_1_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_1_25/simulation_output,8256078.7072,0.99544,0.000745,0.003815,760.0276,8028233.3317,0.95632,161180.8966,19260674.6915,17400.0,53445.1541,0.0,51593.8595,0.0,0.0,0.0,0.0,0.0,19172852.7221,19246327.1018,8523781.9898,94600.5141,14347.5896,16639.9724,164860.5183,0.0,73474.3797,0.0,1.25,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_1_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_stock_scale_1_5/simulation_output,8258833.5399,0.995325,0.000771,0.003904,795.5956,8032035.4175,0.954276,164319.324,19265048.2469,17400.0,57318.0166,0.0,55242.4235,0.0,0.0,0.0,0.0,0.0,19174990.1744,19250191.329,8523781.9898,94699.4015,14856.9179,16604.4044,168781.4488,0.0,75201.1546,0.0,1.5,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
production_stock_scale_0_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_0_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_0_5/simulation_output,8251712.7325,0.99557,0.000718,0.003712,792.7266,8021811.4281,0.954441,156455.7847,19254467.1703,17400.0,48099.0605,0.0,46552.4968,0.0,0.0,0.0,0.0,0.0,19169165.9502,19240647.5272,8524311.9898,94476.2572,13819.643,16607.2734,159356.2537,0.0,71481.577,0.0,0.5,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_0_75,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_0_75/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_0_75/simulation_output,8252597.0769,0.995565,0.000718,0.003717,771.9595,8023002.4399,0.955635,156905.3571,19255353.7598,17400.0,48850.9357,0.0,47270.0947,0.0,0.0,0.0,0.0,0.0,19169958.996,19241528.0392,8524046.9898,94464.302,13825.7205,16628.0405,160094.797,0.0,71569.0432,0.0,0.75,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_1_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_1_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_1_25/simulation_output,8254431.4566,0.995557,0.000719,0.003725,745.2266,8025541.0165,0.957171,157921.0556,19257225.8443,17400.0,50091.2457,0.0,48432.9727,0.0,0.0,0.0,0.0,0.0,19171662.5512,19243386.5844,8523516.9898,94476.9301,13839.2599,16654.7734,161310.5791,0.0,71724.0332,0.0,1.25,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_1_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/production_stock_scale_1_5/simulation_output,8255226.4566,0.995557,0.000719,0.003724,745.2266,8026336.0165,0.957171,157921.0556,19257909.5443,17400.0,50091.2457,0.0,48432.9727,0.0,0.0,0.0,0.0,0.0,19172346.2512,19244070.2844,8523251.9898,94476.9301,13839.2599,16654.7734,161310.5791,0.0,71724.0332,0.0,1.5,global,production_stock_scale,Stock production global,buffer_policy,ok
safety_stock_days_scale_0_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_0_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_0_25/simulation_output,8251245.0649,0.995562,0.000718,0.00372,843.2095,8021999.8752,0.95154,157401.3961,19254080.44,17400.0,49570.0998,0.0,47944.0258,0.0,0.0,0.0,0.0,0.0,19168634.8941,19240250.4545,8521183.5898,94445.1316,13829.9855,16556.7905,160731.6542,0.0,71615.5604,0.0,0.25,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_0_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_0_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_0_5/simulation_output,8251569.8649,0.995562,0.000718,0.003719,843.2095,8022324.6752,0.95154,157401.3961,19254359.768,17400.0,49570.0998,0.0,47944.0258,0.0,0.0,0.0,0.0,0.0,19168914.2221,19240529.7825,8521508.3898,94445.1316,13829.9855,16556.7905,160731.6542,0.0,71615.5604,0.0,0.5,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_0_75,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_0_75/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_0_75/simulation_output,8252706.6649,0.995563,0.000718,0.003719,843.2095,8023461.4752,0.95154,157401.3961,19255337.416,17400.0,49570.0998,0.0,47944.0258,0.0,0.0,0.0,0.0,0.0,19169891.8701,19241507.4305,8522645.1898,94445.1316,13829.9855,16556.7905,160731.6542,0.0,71615.5604,0.0,0.75,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_1_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_1_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_1_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_1_25/simulation_output,8254647.8415,0.995563,0.000718,0.003719,843.2095,8025733.2229,0.95154,157399.3277,19257303.5139,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19171857.9646,19243473.5264,8524918.7898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.25,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_1_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_1_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_1_5/simulation_output,8255784.6415,0.995563,0.000718,0.003719,843.2095,8026870.0229,0.95154,157399.3277,19258281.1619,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19172835.6126,19244451.1744,8526055.5898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.5,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_2_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_2_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/safety_stock_days_scale_2_0/simulation_output,8258058.2415,0.995564,0.000718,0.003718,843.2095,8029143.6229,0.95154,157399.3277,19260236.4579,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19174790.9086,19246406.4704,8528329.1898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,2.0,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
review_period_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_1_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,global,review_period_scale,Periode de revue,planning_policy,ok
review_period_scale_2_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_2_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_2_0/simulation_output,8338487.3223,0.995828,0.000675,0.003498,2381.4861,8100566.4666,0.863133,144440.4858,19342286.3403,17400.0,45730.4144,0.0,44119.3407,0.0,0.0,0.0,0.0,0.0,19261582.61,19329237.459,8576408.1164,88304.6493,13048.8813,15018.5139,150314.0257,258.5364,67654.849,0.0,2.0,global,review_period_scale,Periode de revue,planning_policy,ok
review_period_scale_3_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_3_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_3_0/simulation_output,8419163.4053,0.996309,0.000596,0.003096,4084.0355,8208608.2366,0.765285,128431.4416,19423883.7994,17400.0,41436.4388,0.0,39866.024,0.0,0.0,0.0,0.0,0.0,19352181.921,19412311.781,8629034.243,78229.7848,11572.0184,13315.9645,133699.4175,467.3119,60129.86,0.0,3.0,global,review_period_scale,Periode de revue,planning_policy,ok
review_period_scale_5_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_5_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_5_0/simulation_output,8568567.9564,0.997075,0.000478,0.002447,6847.2947,8402349.5012,0.606477,103127.7017,19590573.9136,17400.0,33692.3994,0.0,32529.8927,0.0,0.0,0.0,0.0,0.0,19533268.6777,19581213.1027,8734286.4962,62200.0647,9360.8109,10552.7053,106598.1434,7418.5906,47944.425,0.0,5.0,global,review_period_scale,Periode de revue,planning_policy,ok
review_period_scale_7_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_7_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/review_period_scale_7_0/simulation_output,8708616.9734,0.997608,0.00039,0.002002,8979.5676,8572490.7103,0.483933,82796.5885,19762532.2576,17400.0,27925.3747,0.0,26823.2036,0.0,0.0,0.0,0.0,0.0,19715263.9615,19754820.8211,8840837.9494,50101.4951,7711.4364,8420.4324,87985.4137,9726.527,39556.8597,0.0,7.0,global,review_period_scale,Periode de revue,planning_policy,ok
opening_stock_bootstrap_scale_0_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_0_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_0_25/simulation_output,1030979.3977,0.891607,0.06003,0.048363,11634.354,1038577.3993,0.331359,80467.8647,2719922.0366,17400.0,50323.8498,0.0,48382.9584,0.0,0.0,0.0,0.0,0.0,2425100.6411,2556645.0071,1064676.8487,30391.8495,163277.0295,5765.646,86481.5367,5606.3887,131544.366,0.0,0.25,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,ok
opening_stock_bootstrap_scale_0_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_0_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_0_5/simulation_output,2036185.7957,0.941364,0.031828,0.026808,8684.354,2030157.37,0.500899,95847.5187,5114962.5046,17400.0,55764.4454,0.0,53815.2822,0.0,0.0,0.0,0.0,0.0,4815043.0023,4952163.4429,2130150.4975,38168.8967,162799.0616,8715.646,102649.4913,4057.9191,137120.4407,0.0,0.5,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,ok
opening_stock_bootstrap_scale_0_75,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_0_75/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_0_75/simulation_output,3050323.7417,0.959399,0.021611,0.01899,5787.4669,3023075.4689,0.667387,111860.4705,7510608.4176,17400.0,60908.4952,0.0,58916.6838,0.0,0.0,0.0,0.0,0.0,7205670.6603,7348296.7138,3195755.7462,45864.8371,162311.7038,11612.5331,118385.8744,2776.7131,142626.0535,0.0,0.75,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,ok
opening_stock_bootstrap_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_1_0/simulation_output,4069925.3319,0.994517,0.0009,0.004583,4771.9595,4011849.7138,0.725749,109876.9316,9642818.5061,17400.0,48243.1323,0.0,46618.7151,0.0,0.0,0.0,0.0,0.0,9589947.7294,9634138.5863,4261360.9949,51826.4101,8679.9198,12628.0405,112833.3141,0.0,44190.8569,0.0,1.0,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,ok
opening_stock_bootstrap_scale_1_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_1_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/opening_stock_bootstrap_scale_1_25/simulation_output,5104927.8259,0.994932,0.000828,0.00424,3745.2266,5014995.2754,0.784757,121991.668,12046188.5027,17400.0,48575.8613,0.0,46951.1896,0.0,0.0,0.0,0.0,0.0,11985141.3733,12036217.1287,5326966.2436,62512.6727,9971.374,13654.7734,124855.5279,0.0,51075.7554,0.0,1.25,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,ok
external_procurement_enabled_0_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/external_procurement_enabled_0_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/external_procurement_enabled_0_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,0.0,global,external_procurement_enabled,Appro externe activee,model_protection,ok
