severity,category,record_index,tier,supplier_index,system,component,supplier_name,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,detail
MEDIUM,TRANSPORT_MODES_EMPTY,8,,,Ens. Stowage latéral,cuir,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,8,,,Ens. Stowage latéral,cuir,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,8,,,Ens. Stowage latéral,cuir,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,COMPONENT_IS_NOT_A_MATERIAL_OR_PART,9,,,Brackets set,Transport,,,,,,,,,component is a logistics/package placeholder rather than a material or part
LOW,MISSING_SUPPLIER_TIER,9,primary_material,,Brackets set,Transport,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,9,,,Brackets set,Transport,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,9,,,Brackets set,Transport,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,9,,,Brackets set,Transport,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,10,primary_material,,lightning,lightning,,,,,,,,,primary_material supplier list is empty
HIGH,MASS_INVALID,10,,,lightning,lightning,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,10,,,lightning,lightning,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,11,primary_material,,Padding (rembourrage),AIRVOLT LAMINAT,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,11,,,Padding (rembourrage),AIRVOLT LAMINAT,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,11,,,Padding (rembourrage),AIRVOLT LAMINAT,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,11,,,Padding (rembourrage),AIRVOLT LAMINAT,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,12,primary_material,,Stowage assemblé avec porte,Silicone,,,,,,,,,primary_material supplier list is empty
HIGH,MASS_INVALID,12,,,Stowage assemblé avec porte,Silicone,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,12,,,Stowage assemblé avec porte,Silicone,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,13,primary_material,,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,,,,,,,primary_material supplier list is empty
HIGH,MASS_INVALID,13,,,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,13,,,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,14,primary_material,,Coussin ottoman,tissu,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,14,,,Coussin ottoman,tissu,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,14,,,Coussin ottoman,tissu,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,14,,,Coussin ottoman,tissu,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,15,primary_material,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,15,,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,15,,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,15,,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
HIGH,EMPTY_SYSTEM_OR_COMPONENT,16,,,,,,,,,,,,,system and/or component is empty
MEDIUM,RAW_MATERIALS_EMPTY,16,,,,,,,,,,,,,raw_materials list is empty
HIGH,MISSING_SUPPLIER_TIER,16,tier1,,,,,,,,,,,,tier1 supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,16,first_transformation,,,,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,16,raw_material,,,,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,16,primary_material,,,,,,,,,,,,primary_material supplier list is empty
HIGH,TRANSPORT_MODES_EMPTY,16,,,,,,,,,,,,,from_supplier_to_safran.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,16,,,,,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,16,,,,,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,16,,,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,16,,,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,17,,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,17,first_transformation,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,17,raw_material,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,17,primary_material,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,17,,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,17,,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,17,,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,17,,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,18,,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,18,first_transformation,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,18,raw_material,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,18,primary_material,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,18,,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,18,,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,18,,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,18,,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,19,,,Ens. Equipements latéraux,acier,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,19,first_transformation,,Ens. Equipements latéraux,acier,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,19,raw_material,,Ens. Equipements latéraux,acier,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,19,primary_material,,Ens. Equipements latéraux,acier,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,19,,,Ens. Equipements latéraux,acier,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,19,,,Ens. Equipements latéraux,acier,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,19,,,Ens. Equipements latéraux,acier,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,19,,,Ens. Equipements latéraux,acier,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,20,,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,20,first_transformation,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,20,raw_material,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,20,primary_material,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,20,,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,20,,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,20,,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,20,,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,21,,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,21,first_transformation,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,21,raw_material,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,21,primary_material,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,21,,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,21,,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,21,,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,21,,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,22,,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,22,first_transformation,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,22,raw_material,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,22,primary_material,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,22,,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,22,,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,22,,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,22,,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,23,,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,23,first_transformation,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,23,raw_material,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,23,primary_material,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,23,,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,23,,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,23,,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,23,,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,24,,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,24,first_transformation,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,24,raw_material,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,24,primary_material,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,24,,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,24,,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,24,,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,24,,,Ens. Tablette cocktail,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,25,,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,25,first_transformation,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,25,raw_material,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,25,primary_material,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,25,,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,25,,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,25,,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,25,,,Ens. Tablette repas,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,26,,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,26,first_transformation,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,26,raw_material,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,26,primary_material,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,26,,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,26,,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,26,,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,26,,,Ens. Têtière,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,27,,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,27,first_transformation,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,27,raw_material,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,27,primary_material,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,27,,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,27,,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,27,,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,27,,,Stowage assemblé avec porte,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,28,,,Support écran,A2017 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,28,first_transformation,,Support écran,A2017 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,28,raw_material,,Support écran,A2017 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,28,primary_material,,Support écran,A2017 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,28,,,Support écran,A2017 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,28,,,Support écran,A2017 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,28,,,Support écran,A2017 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,28,,,Support écran,A2017 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,29,,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,29,first_transformation,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,29,raw_material,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,29,primary_material,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,29,,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,29,,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,29,,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,29,,,Accoudoir allée,A2024 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,30,,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,30,first_transformation,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,30,raw_material,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,30,primary_material,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,30,,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,30,,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,30,,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
