case_id,case_input,case_output_dir,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,notes,parameter_group,parameter_key,parameter_label,status,study
local_supplier_capacity_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_scale_low/simulation_output,low,0.95,1028717.6848,0.973644,0.00362,0.022736,1622.8364,1029940.8916,0.906734,670024.8554,15310280.7784,17400.0,605433.9659,615004.0191,615004.0191,567865.8137,56419.0918,14906767.7123,15254864.3364,1064676.8487,103536.9683,55416.442,15777.1636,702138.8708,900260.6542,348096.6241,29255.7863,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,local
local_supplier_capacity_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_scale_high/simulation_output,high,1.05,1028201.2507,0.973658,0.003623,0.022719,1666.6124,1021481.4074,0.904218,661613.6913,15301266.2943,17400.0,604110.6804,616992.0907,616992.0907,551830.9391,56524.6254,14898203.1061,15245829.1618,1064676.8487,103536.9683,55437.1325,15733.3876,700956.929,495623.9961,347626.0558,29206.5387,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,local
local_safety_stock_days_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_safety_stock_days_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_safety_stock_days_scale_low/simulation_output,low,0.9,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,safety_stock,safety_stock_days_scale,Safety stock global,ok,local
local_safety_stock_days_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_safety_stock_days_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_safety_stock_days_scale_high/simulation_output,high,1.1,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,safety_stock,safety_stock_days_scale,Safety stock global,ok,local
local_supplier_reliability_scale_adverse,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_reliability_scale_adverse/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_reliability_scale_adverse/simulation_output,adverse,0.95,1029562.5735,0.973408,0.003835,0.022757,3180.8638,1029872.8736,0.817192,663095.0399,15327996.4158,17400.0,643246.2986,651812.8282,651812.8282,608804.145,60826.6209,14920390.0302,15269211.5868,1064676.8487,108074.0157,58784.8289,14219.1362,700780.5317,872636.8168,348821.5566,67619.1741,One-sided local sensitivity because reliability is upper bounded.,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,ok,local
local_demand_item_item_268091_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268091_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268091_low/simulation_output,low,0.9,1029891.3154,0.973869,0.003544,0.022587,1583.9052,1020904.0529,0.90418,654515.0167,15322362.6363,16530.0,600784.4017,610125.9202,610125.9202,544124.6453,55540.4032,14921978.7632,15268063.4019,1064676.8487,102694.576,54299.2344,14946.0948,696045.1651,668460.4642,346084.6387,29001.8819,,demand_item,demand_item::item:268091,Demande 268091,ok,local
local_demand_item_item_268091_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268091_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268091_high/simulation_output,high,1.1,1028792.2812,0.973551,0.003656,0.022793,2110.4136,1029534.9319,0.884487,673144.8841,15313549.2309,18270.0,607949.9536,618132.167,618132.167,560591.2064,56906.9372,14908524.0767,15257565.6895,1064676.8487,103983.1737,55983.5415,16159.5864,705566.5732,675506.8271,349041.6127,29398.6072,,demand_item,demand_item::item:268091,Demande 268091,ok,local
local_demand_item_item_268967_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268967_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268967_low/simulation_output,low,0.9,1033224.6289,0.976107,0.003289,0.020604,1579.5276,1028174.6587,0.904445,605571.2829,15334251.0694,16530.0,550350.6912,561425.6575,561425.6575,428036.3348,51147.6116,14967869.525,15283819.1724,1064676.8487,94318.1794,50431.897,14950.4724,639516.5395,401144.3401,315949.6475,26646.5225,,demand_item,demand_item::item:268967,Demande 268967,ok,local
local_demand_item_item_268967_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268967_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_demand_item_item_268967_high/simulation_output,high,1.1,1026750.041,0.972329,0.003805,0.023866,2131.1496,1025005.5823,0.883353,695407.4304,15305486.2139,18270.0,637125.4444,650309.7076,650309.7076,632537.9527,59694.3044,14881974.1081,15247253.6811,1064676.8487,108420.3752,58232.5328,16138.8504,735025.1877,838990.8547,365279.573,30626.0495,,demand_item,demand_item::item:268967,Demande 268967,ok,local
local_capacity_node_M-1430_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1430_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1430_low/simulation_output,low,0.95,1025137.1371,0.973589,0.003633,0.022778,1685.0444,1024826.4033,0.903158,664248.4484,15265618.9347,17400.0,607309.4513,619880.1897,619880.1897,600251.6436,56722.6845,14862435.3679,15210160.2783,1060922.3371,103315.8283,55458.6564,15714.9556,700935.7645,796639.4228,347724.9103,29205.6569,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,local
local_capacity_node_M-1430_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1430_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1430_high/simulation_output,high,1.05,1032435.7072,0.973588,0.003617,0.022796,1653.0331,1035268.1164,0.904998,667627.2949,15361139.2722,17400.0,614687.6948,616971.9491,616971.9491,512004.37,56601.8944,14955415.5142,15305580.8321,1068431.3603,103699.8877,55558.4401,15746.9669,706373.2329,586287.9413,350165.3179,29432.218,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,local
local_capacity_node_M-1810_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1810_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1810_low/simulation_output,low,0.95,1028557.0747,0.973657,0.003616,0.022728,1641.2684,1024959.2979,0.905674,665411.0133,15310360.7023,17400.0,605139.1378,615383.7981,615383.7981,557971.8446,56410.6054,14907038.0337,15255005.3891,1064349.5179,103516.9683,55355.3132,15758.7316,702002.2244,674842.2268,347967.3554,29250.0927,,capacity_node,capacity_node::M-1810,Capacite M-1810,ok,local
local_capacity_node_M-1810_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1810_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_M-1810_high/simulation_output,high,1.05,1029200.6883,0.973658,0.00362,0.022722,1674.9211,1024519.4981,0.90374,664358.769,15317011.4653,17400.0,605603.8412,615599.3698,615599.3698,551897.6842,56494.771,14913529.1435,15261558.7231,1065004.1796,103551.7028,55452.7423,15725.0789,702365.0605,671167.3379,348029.5795,29265.2109,,capacity_node,capacity_node::M-1810,Capacite M-1810,ok,local
local_capacity_node_SDC-1450_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_SDC-1450_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_SDC-1450_low/simulation_output,low,0.95,979599.1852,0.972355,0.003798,0.023847,1710.3884,978102.0898,0.901702,667254.1516,14593076.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14189650.2588,14537656.3195,1015506.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,capacity_node,capacity_node::SDC-1450,Capacite SDC-1450,ok,local
local_capacity_node_SDC-1450_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_SDC-1450_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_node_SDC-1450_high/simulation_output,high,1.05,1077939.1852,0.974831,0.003458,0.021711,1710.3884,1076442.0898,0.901702,667254.1516,16028840.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,15625414.2588,15973420.3195,1113846.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,capacity_node,capacity_node::SDC-1450,Capacite SDC-1450,ok,local
local_supplier_stock_node_SDC-VD0914690A_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-VD0914690A_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-VD0914690A_low/simulation_output,low,0.9,1028768.7355,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310953.2177,17400.0,605261.1648,615243.5196,615243.5196,555312.0428,56432.4249,14907525.6924,15255532.4371,1064676.8487,103536.9683,55420.7806,15689.6116,701942.7897,672742.3959,348006.7447,29247.6162,,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,ok,local
local_supplier_stock_node_SDC-VD0914690A_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-VD0914690A_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-VD0914690A_high/simulation_output,high,1.1,1028769.635,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310964.2985,17400.0,605226.9648,615209.3196,615209.3196,555182.0828,56430.3729,14907538.8252,15255544.2019,1064676.8487,103536.9683,55420.0966,15689.6116,701942.7897,672742.3959,348005.3767,29247.6162,,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,ok,local
local_supplier_capacity_node_SDC-VD0914690A_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-VD0914690A_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-VD0914690A_low/simulation_output,low,0.9,1028449.2881,0.973641,0.00362,0.022739,1644.7244,1016760.6626,0.905476,656785.5884,15307569.1473,17400.0,605471.2442,614945.0512,614945.0512,568939.7693,56414.5168,14904071.361,15252152.3741,1064676.8487,103536.9683,55416.7732,15755.2756,702138.9939,1117132.97,348081.0131,29255.7914,,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,ok,local
local_supplier_capacity_node_SDC-VD0914690A_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-VD0914690A_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-VD0914690A_high/simulation_output,high,1.1,1029352.2067,0.973673,0.003621,0.022706,1644.7244,1030640.7741,0.905476,670349.0761,15318774.3014,17400.0,604953.1253,617910.4257,617910.4257,546900.5444,56592.4392,14915474.2679,15263306.2342,1064676.8487,103536.9683,55468.0672,15755.2756,701337.641,341256.0637,347831.9663,29222.4017,,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,ok,local
local_supplier_lead_time_node_SDC-VD0914690A_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-VD0914690A_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-VD0914690A_low/simulation_output,low,0.9,1025344.0981,0.973565,0.003632,0.022804,1710.3884,1023048.1498,0.901702,669064.4116,15260952.4866,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14857525.9874,15205532.048,1058642.6487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914690A,Lead time fournisseur SDC-VD0914690A,ok,local
local_supplier_lead_time_node_SDC-VD0914690A_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-VD0914690A_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-VD0914690A_high/simulation_output,high,1.1,1030762.7593,0.973701,0.003613,0.022686,1710.3884,1024556.6998,0.901702,660013.1116,15340064.9398,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14936638.4405,15284644.5012,1069202.4987,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914690A,Lead time fournisseur SDC-VD0914690A,ok,local
local_supplier_reliability_node_SDC-VD0914690A_adverse,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_reliability_node_SDC-VD0914690A_adverse/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_reliability_node_SDC-VD0914690A_adverse/simulation_output,adverse,0.95,1028279.7663,0.97348,0.003664,0.022856,1666.6124,1023881.3018,0.904218,659200.8071,15305892.565,17400.0,639462.7812,647961.4844,647961.4844,605628.1286,58395.5028,14899982.2443,15249806.6985,1064676.8487,103536.9683,56085.8665,15733.3876,703015.454,866599.7014,349824.4542,57687.3359,One-sided local sensitivity because reliability is upper bounded.,supplier_reliability_node,supplier_reliability_node::SDC-VD0914690A,Fiabilite fournisseur SDC-VD0914690A,ok,local
local_supplier_stock_node_SDC-1450_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-1450_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-1450_low/simulation_output,low,0.9,1029330.9248,0.973664,0.003618,0.022718,1666.6124,1021582.8282,0.904218,661631.466,15320161.0095,17400.0,605662.505,615705.5085,615705.5085,555853.6437,56460.1442,14916684.0578,15264729.806,1064712.8487,103536.9683,55431.2034,15733.3876,702061.1003,672742.3959,348045.7482,29252.5458,,supplier_stock_node,supplier_stock_node::SDC-1450,Stock fournisseur SDC-1450,ok,local
local_supplier_stock_node_SDC-1450_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-1450_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_node_SDC-1450_high/simulation_output,high,1.1,1029030.7802,0.97366,0.003618,0.022722,1644.7244,1022634.8463,0.905476,662659.7721,15314989.4742,17400.0,605257.5257,614703.9605,614703.9605,554720.4042,56400.0513,14911589.8321,15259576.5217,1064640.8487,103536.9683,55412.9525,15755.2756,702239.1042,672742.3959,347986.6896,29259.9627,,supplier_stock_node,supplier_stock_node::SDC-1450,Stock fournisseur SDC-1450,ok,local
local_supplier_capacity_node_SDC-1450_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-1450_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-1450_low/simulation_output,low,0.9,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_capacity_node,supplier_capacity_node::SDC-1450,Debit fournisseur SDC-1450,ok,local
local_supplier_capacity_node_SDC-1450_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-1450_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_capacity_node_SDC-1450_high/simulation_output,high,1.1,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_capacity_node,supplier_capacity_node::SDC-1450,Debit fournisseur SDC-1450,ok,local
local_supplier_lead_time_node_SDC-1450_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-1450_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-1450_low/simulation_output,low,0.9,1027926.3587,0.973651,0.00362,0.022729,1710.3884,1026429.2004,0.901702,667508.684,15310946.4528,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907519.9536,15255526.0142,1063579.4269,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-1450,Lead time fournisseur SDC-1450,ok,local
local_supplier_lead_time_node_SDC-1450_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-1450_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_lead_time_node_SDC-1450_high/simulation_output,high,1.1,1029592.1251,0.973651,0.00362,0.022729,1710.3884,1028073.5127,0.901702,666968.3027,15310970.773,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907544.2738,15255550.3344,1065764.1205,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-1450,Lead time fournisseur SDC-1450,ok,local
local_supplier_reliability_node_SDC-1450_adverse,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_reliability_node_SDC-1450_adverse/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_reliability_node_SDC-1450_adverse/simulation_output,adverse,0.95,1027477.1546,0.9735,0.003716,0.022784,1644.7244,1022368.8211,0.905476,662449.5719,15294404.9249,17400.0,607553.8158,616982.959,616982.959,555998.5389,57414.7961,14889104.2146,15237569.658,1064676.8487,108074.0157,56835.2669,15755.2756,702437.931,672742.3959,348465.4434,35591.7371,One-sided local sensitivity because reliability is upper bounded.,supplier_reliability_node,supplier_reliability_node::SDC-1450,Fiabilite fournisseur SDC-1450,ok,local
