baseline::avg_inventory,baseline::ending_backlog,baseline::fill_rate,baseline::total_cost,baseline::total_external_procured_ordered_qty,case_id,case_input,case_output_dir,delta::avg_inventory,delta::ending_backlog,delta::fill_rate,delta::total_cost,delta::total_external_procured_ordered_qty,delta_pct::avg_inventory,delta_pct::ending_backlog,delta_pct::fill_rate,delta_pct::total_cost,delta_pct::total_external_procured_ordered_qty,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,notes,parameter_group,parameter_key,parameter_label,status,study
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_capacity_node_M-1810_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_capacity_node_M-1810_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_capacity_node_M-1810_stress/simulation_output,1178.1110000000335,808.9747,-0.04649300000000001,15710.063599999994,-5367.6554999999935,0.11451655210405631,47.29771904439951,-5.156138058915253,0.1026066613345742,-0.8724683025624723,stress,0.85,1029947.2962,0.973903,0.003533,0.022564,2519.3631,1023008.7384,0.855209,657189.1305,15326668.8217,17400.0,599807.7184,609858.7641,609858.7641,553043.5705,55436.8824,14926690.9259,15272524.9858,1063694.8562,102622.9246,54143.8359,14880.6369,695096.3636,673555.3355,345834.0599,28962.3485,,capacity_node,capacity_node::M-1810,Capacite M-1810,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_capacity_node_SDC-1450_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_capacity_node_SDC-1450_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_capacity_node_SDC-1450_stress/simulation_output,-147510.0,0.0,0.0,-2153646.0,0.0,-14.33849323269952,0.0,0.0,-14.066042721594105,0.0,stress,0.85,881259.1852,0.969338,0.004212,0.02645,1710.3884,879762.0898,0.901702,667254.1516,13157312.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,12753886.2588,13101892.3195,917166.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,capacity_node,capacity_node::SDC-1450,Capacite SDC-1450,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_stock_node_SDC-VD0914690A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-VD0914690A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-VD0914690A_stress/simulation_output,-1.1243999999715015,0.0,0.0,-13.850999999791384,42.75,-0.000109295653111238,0.0,0.0,-9.046461569536755e-05,0.006948661279500098,stress,0.75,1028768.0608,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310944.9071,17400.0,605286.8148,615269.1696,615269.1696,555409.5128,56433.9639,14907515.8428,15255523.6135,1064676.8487,103536.9683,55421.2936,15689.6116,701942.7897,672742.3959,348007.7707,29247.6162,,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_capacity_node_SDC-VD0914690A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-VD0914690A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-VD0914690A_stress/simulation_output,1603.1209000000963,-8.216900000000123,0.00047200000000002795,8708.886200001463,-4937.761400000076,0.1558290161741614,-0.48041134984311884,0.052345453375952145,0.05688008398163946,-0.8025925484816543,stress,0.75,1030372.3061,0.974591,0.003582,0.021827,1702.1715,1028847.5024,0.902174,638129.6379,15319667.6443,17400.0,603579.6475,610288.6582,610288.6582,560954.3864,56039.6042,14930407.6875,15264786.4825,1064676.8487,103110.394,54881.1617,15697.8285,673134.8497,6422206.146,334378.7951,28047.2854,,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_lead_time_node_SDC-VD0914690A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-VD0914690A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-VD0914690A_stress/simulation_output,-6574.311599999899,0.0,0.0,-95984.95019999892,0.0,-0.6390463181225443,0.0,0.0,-0.6269035905358946,0.0,stress,1.5,1022194.8736,0.973485,0.003642,0.022873,1710.3884,1017144.812,0.901702,652601.2238,15214973.8079,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14811547.3087,15159553.3693,1069202.4987,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914690A,Lead time fournisseur SDC-VD0914690A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_reliability_node_SDC-VD0914690A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-VD0914690A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-VD0914690A_stress/simulation_output,-1442.9287999999942,-65.66399999999999,0.003773999999999944,-15493.627299999818,100730.42849999992,-0.1402577780087259,-3.8391280015697014,0.4185418242390439,-0.10119305750074718,16.37290358328427,stress,0.85,1027326.2564,0.97328,0.003754,0.022966,1644.7244,1029580.2105,0.905476,664876.0038,15295465.1308,17400.0,702999.5477,715956.8481,715956.8481,754334.8826,62475.2246,14886775.6607,15238046.5193,1064676.8487,103536.9683,57418.6115,15755.2756,700299.2309,1326981.2927,351270.8586,123894.7255,,supplier_reliability_node,supplier_reliability_node::SDC-VD0914690A,Fiabilite fournisseur SDC-VD0914690A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_stock_node_SDC-1450_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-1450_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-1450_stress/simulation_output,256.8190000000177,-87.55200000000013,0.0050320000000000364,6122.468100000173,1033.8303000000305,0.024963714280583773,-5.118837335426277,0.5580557656520709,0.03998748998498338,0.16804062164173525,stress,0.75,1029026.0042,0.973655,0.00362,0.022725,1622.8364,1024272.1461,0.906734,664364.5599,15317081.2262,17400.0,606455.4871,616260.2499,616260.2499,556219.8277,56493.4287,14913551.2263,15261635.8945,1064766.8487,103536.9683,55445.3317,15777.1636,702364.4432,672742.3959,348084.6681,29265.1851,,supplier_stock_node,supplier_stock_node::SDC-1450,Stock fournisseur SDC-1450,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_capacity_node_SDC-1450_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-1450_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-1450_stress/simulation_output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stress,0.75,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_capacity_node,supplier_capacity_node::SDC-1450,Debit fournisseur SDC-1450,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_lead_time_node_SDC-1450_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-1450_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-1450_stress/simulation_output,1324.472000000067,0.0,0.0,19.337300000712276,0.0,0.12874335847671997,0.0,0.0,0.00012629712029288962,0.0,stress,1.5,1030093.6572,0.973651,0.00362,0.022729,1710.3884,1029256.4806,0.901702,666703.0629,15310978.0954,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907551.5961,15255557.6568,1067212.3282,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-1450,Lead time fournisseur SDC-1450,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_reliability_node_SDC-1450_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-1450_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-1450_stress/simulation_output,-1069.5523999999277,-43.77600000000007,0.0025159999999999627,-4850.000499999151,6230.401899999939,-0.103964272587733,-2.5594186677131385,0.2790278828260293,-0.0316766609891973,1.0127006418304891,stress,0.85,1027699.6328,0.973247,0.003923,0.02283,1666.6124,1028045.4078,0.904218,668409.617,15306108.7576,17400.0,611433.8767,621456.8215,621456.8215,556867.5249,59639.6938,14896622.2725,15246059.9637,1064676.8487,118749.4213,60048.7939,15733.3876,702356.4085,672742.3959,349437.6912,50438.6344,,supplier_reliability_node,supplier_reliability_node::SDC-1450,Fiabilite fournisseur SDC-1450,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_stock_node_SDC-VD0525412A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-VD0525412A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-VD0525412A_stress/simulation_output,198.8021000000881,-21.888000000000147,0.0012579999999999814,2596.925100000575,-6.729200000059791,0.019324266595469573,-1.279709333856576,0.13951394141301465,0.01696121804669297,-0.0010937761750275444,stress,0.75,1028967.9873,0.973656,0.003619,0.022725,1688.5004,1027186.3141,0.90296,667193.9931,15313555.6832,17400.0,605283.0856,615219.6904,615219.6904,555276.568,56427.4528,14910133.1301,15258138.9216,1064676.8487,103536.9683,55416.7616,15711.4996,701942.7897,672742.3959,348005.7915,29247.6162,,supplier_stock_node,supplier_stock_node::SDC-VD0525412A,Stock fournisseur SDC-VD0525412A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_capacity_node_SDC-VD0525412A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-VD0525412A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-VD0525412A_stress/simulation_output,-486.87779999990016,-65.66399999999999,0.003773999999999944,-6739.549199998379,-72.53260000003502,-0.04732624256287844,-3.8391280015697014,0.4185418242390439,-0.044017813034947506,-0.011789578225069288,stress,0.75,1028282.3074,0.973643,0.003619,0.022738,1644.7244,1023885.8993,0.905476,663933.4027,15304219.2089,17400.0,605218.1822,615153.887,615153.887,555083.3608,56388.8643,14900852.6587,15248839.4893,1064676.8487,103536.9683,55379.7196,15755.2756,701917.729,678484.0159,347986.8306,29246.572,,supplier_capacity_node,supplier_capacity_node::SDC-VD0525412A,Debit fournisseur SDC-VD0525412A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_lead_time_node_SDC-VD0525412A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-VD0525412A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-VD0525412A_stress/simulation_output,-179.6009999999078,0.0,0.0,-2622.174699999392,0.0,-0.01745785182756928,0.0,0.0,-0.017126129992428955,0.0,stress,1.5,1028589.5842,0.973647,0.00362,0.022733,1710.3884,1026923.1238,0.901702,666655.1856,15308336.5834,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14904910.0842,15252916.1449,1064926.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0525412A,Lead time fournisseur SDC-VD0525412A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_reliability_node_SDC-VD0525412A_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-VD0525412A_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-VD0525412A_stress/simulation_output,794.1007000000682,0.0,0.0,13306.329900000244,1554.1980999999214,0.0771893940277468,0.0,0.0,0.08690722841220351,0.25262213235420056,stress,0.85,1029563.2859,0.973614,0.003672,0.022714,1710.3884,1024811.9234,0.901702,664844.7019,15324265.088,17400.0,606807.1297,616780.6177,616780.6177,555488.3302,57342.8118,14919912.8083,15267995.6607,1064676.8487,103536.9683,56269.4273,15689.6116,701962.9386,672742.3959,348082.8524,30841.249,,supplier_reliability_node,supplier_reliability_node::SDC-VD0525412A,Fiabilite fournisseur SDC-VD0525412A,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_stock_node_SDC-VD0914360C_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-VD0914360C_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_node_SDC-VD0914360C_stress/simulation_output,151.71900000004098,-21.888000000000147,0.0012579999999999814,2694.2010000012815,-6.729200000059791,0.014747622905379475,-1.279709333856576,0.13951394141301465,0.01759655317846089,-0.0010937761750275444,stress,0.75,1028920.9042,0.973656,0.003619,0.022725,1688.5004,1027368.3932,0.90296,667376.0722,15313652.9591,17400.0,605283.0856,615219.6904,615219.6904,555276.568,56428.2247,14910229.634,15258235.4255,1064676.8487,103536.9683,55417.5336,15711.4996,701942.7897,672742.3959,348005.7915,29247.6162,,supplier_stock_node,supplier_stock_node::SDC-VD0914360C,Stock fournisseur SDC-VD0914360C,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_capacity_node_SDC-VD0914360C_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-VD0914360C_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_node_SDC-VD0914360C_stress/simulation_output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stress,0.75,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_capacity_node,supplier_capacity_node::SDC-VD0914360C,Debit fournisseur SDC-VD0914360C,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_lead_time_node_SDC-VD0914360C_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-VD0914360C_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_lead_time_node_SDC-VD0914360C_stress/simulation_output,-141.10459999996237,0.0,0.0,-2060.127299999818,0.0,-0.01371586571894945,0.0,0.0,-0.013455246876097445,0.0,stress,1.5,1028628.0806,0.973648,0.00362,0.022732,1710.3884,1027105.1558,0.901702,666912.2176,15308898.6308,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14905472.1316,15253478.1922,1064851.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914360C,Lead time fournisseur SDC-VD0914360C,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_reliability_node_SDC-VD0914360C_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-VD0914360C_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_node_SDC-VD0914360C_stress/simulation_output,775.4651000000304,0.0,0.0,12767.31220000051,1554.1980999999214,0.07537794785807805,0.0,0.0,0.08338675847615475,0.25262213235420056,stress,0.85,1029544.6503,0.973624,0.00366,0.022715,1710.3884,1024436.4663,0.901702,664469.2447,15323726.0703,17400.0,606807.1297,616780.6177,616780.6177,555488.3302,57164.5142,14919552.0133,15267634.8409,1064676.8487,103536.9683,56091.2294,15689.6116,701962.9386,672742.3959,348082.8276,30841.249,,supplier_reliability_node,supplier_reliability_node::SDC-VD0914360C,Fiabilite fournisseur SDC-VD0914360C,ok,stress
