shock_name,type,target,exogenous_severity,amplitude_rel,lost_area_rel,area_rel_norm,recovery_time,cost_delta_rel,score
"leadtime_spike+3::('PLANT_FR', 'DC_FR', 'road')",leadtime_spike,"('PLANT_FR', 'DC_FR', 'road')",3.302752293577982,0.15,0.01500007499850003,0.004541689374545842,13,0.0009375046874062794,0.8631926888805974
"leadtime_spike+3::('DC_FR', 'FR', 'road')",leadtime_spike,"('DC_FR', 'FR', 'road')",2.7522935779816518,0.15,0.01500007499850003,0.00545002724945501,13,0.0009375046874062794,0.8631926888805974
"leadtime_spike+3::('PLANT_UK', 'DC_UK', 'sea')",leadtime_spike,"('PLANT_UK', 'DC_UK', 'sea')",2.2018348623853212,0.15,0.01500007499850003,0.006812534061818763,13,0.0009375046874062794,0.8631926888805974
"leadtime_spike+3::('DC_UK', 'UK', 'road')",leadtime_spike,"('DC_UK', 'UK', 'road')",2.4770642201834865,0.15,0.01500007499850003,0.006055585832727789,13,0.0009375046874062794,0.8631926888805974
"leadtime_spike+3::('PLANT_US', 'DC_US', 'road')",leadtime_spike,"('PLANT_US', 'DC_US', 'road')",2.7522935779816518,0.15,0.01500007499850003,0.00545002724945501,13,0.0009375046874062794,0.8631926888805974
"leadtime_spike+3::('DC_US', 'US', 'road')",leadtime_spike,"('DC_US', 'US', 'road')",2.7522935779816518,0.15,0.01500007499850003,0.00545002724945501,13,0.0009375046874062794,0.8631926888805974
site_drop40::PLANT_US,site_capacity_drop,PLANT_US,1.263157894736842,0.1263157894736841,0.01263164210400002,0.010000049999000017,13,0.0007894776315000248,0.8721622643205031
node_closed::DC_FR,node_closed,DC_FR,10.0,0.1211009174311927,0.012110152292367,0.0012110152292367,12,0.0007568845182728031,0.8795194797078829
node_closed::DC_US,node_closed,DC_US,10.0,0.110091743119266,0.011009229356697266,0.0011009229356697266,12,0.0006880768347936813,0.8831995270071663
site_drop40::PLANT_UK,site_capacity_drop,PLANT_UK,1.0526315789473684,0.10526315789473685,0.010526368420000022,0.010000049999000022,12,0.0006578980262499575,0.8856907758226414
node_closed::DC_UK,node_closed,DC_UK,10.0,0.09357798165137624,0.009357844953192685,0.0009357844953192685,12,0.0005848653095745248,0.8887195979560913
"route_blocked::('PLANT_FR', 'DC_FR', 'road')",route_blocked,"('PLANT_FR', 'DC_FR', 'road')",1.1009174311926606,0.07706422018348619,0.007706460549688086,0.007000034999300011,11,0.00048165378435555795,0.9009063355716831
"route_drop60::('PLANT_FR', 'DC_FR', 'road')",capacity_drop,"('PLANT_FR', 'DC_FR', 'road')",0.6605504587155964,0.06605504587155962,0.0066055376140183595,0.010000049999000015,11,0.00041284610087624667,0.9045863828709664
"route_blocked::('DC_FR', 'FR', 'road')",route_blocked,"('DC_FR', 'FR', 'road')",0.9174311926605505,0.06422018348623865,0.006422050458073418,0.007000034999300025,11,0.00040137815362944215,0.9051997240875136
"route_blocked::('PLANT_US', 'DC_US', 'road')",route_blocked,"('PLANT_US', 'DC_US', 'road')",0.9174311926605505,0.06422018348623865,0.006422050458073418,0.007000034999300025,11,0.00040137815362944215,0.9051997240875136
"route_blocked::('DC_US', 'US', 'road')",route_blocked,"('DC_US', 'US', 'road')",0.9174311926605505,0.06422018348623865,0.006422050458073418,0.007000034999300025,11,0.00040137815362944215,0.9051997240875136
"route_blocked::('DC_UK', 'UK', 'road')",route_blocked,"('DC_UK', 'UK', 'road')",0.8256880733944955,0.057798165137614745,0.0057798454122660724,0.007000034999300021,10,0.00036124033826657375,0.9140130850120957
"route_drop60::('DC_FR', 'FR', 'road')",capacity_drop,"('DC_FR', 'FR', 'road')",0.5504587155963303,0.05504587155963307,0.005504614678348638,0.010000049999000026,10,0.0003440384173969354,0.9149330968369165
"route_drop60::('PLANT_US', 'DC_US', 'road')",capacity_drop,"('PLANT_US', 'DC_US', 'road')",0.5504587155963303,0.05504587155963307,0.005504614678348638,0.010000049999000026,10,0.0003440384173969354,0.9149330968369165
"route_drop60::('DC_US', 'US', 'road')",capacity_drop,"('DC_US', 'US', 'road')",0.5504587155963303,0.05504587155963307,0.005504614678348638,0.010000049999000026,10,0.0003440384173969354,0.9149330968369165
node_closed::FR,node_closed,FR,10.0,0.05504587155963307,0.005504614678348638,0.0005504614678348639,10,0.0003440384173969354,0.9149330968369165
node_closed::PLANT_US,node_closed,PLANT_US,10.0,0.05504587155963307,0.005504614678348638,0.0005504614678348639,10,0.0003440384173969354,0.9149330968369165
node_closed::US,node_closed,US,10.0,0.05504587155963307,0.005504614678348638,0.0005504614678348639,10,0.0003440384173969354,0.9149330968369165
"route_blocked::('PLANT_UK', 'DC_UK', 'sea')",route_blocked,"('PLANT_UK', 'DC_UK', 'sea')",0.7339449541284404,0.051376146788990835,0.005137640366458726,0.007000034999300014,10,0.0003211025229038948,0.9161597792700109
"route_drop60::('DC_UK', 'UK', 'road')",capacity_drop,"('DC_UK', 'UK', 'road')",0.4954128440366973,0.04954128440366972,0.00495415321051377,0.010000049999000017,0,0.00030963457565709023,0.9834397871532248
node_closed::UK,node_closed,UK,10.0,0.04954128440366972,0.00495415321051377,0.000495415321051377,0,0.00030963457565709023,0.9834397871532248
"route_drop60::('PLANT_UK', 'DC_UK', 'sea')",capacity_drop,"('PLANT_UK', 'DC_UK', 'sea')",0.44036697247706424,0.04403669724770637,0.004403691742678903,0.010000049999000008,0,0.0002752307339174346,0.9852798108028665
mode_ban::sea,mode_ban,sea,10.0,0.04403669724770637,0.004403691742678903,0.0004403691742678903,0,0.0002752307339174346,0.9852798108028665
node_closed::PLANT_UK,node_closed,PLANT_UK,10.0,0.04403669724770637,0.004403691742678903,0.0004403691742678903,0,0.0002752307339174346,0.9852798108028665
material_block::Ti,material_block,Ti,0.2702702702702703,0.021621621621621612,0.002162172972756762,0.008000039999200018,0,0.00013513581079735104,0.9929526998987047
material_drop50::Ti,material_capacity_drop,Ti,0.13513513513513514,0.013513513513513544,0.0013513581079729786,0.010000049999000041,0,8.445988174836809e-05,0.9955954374366904
