day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,opening_open_order_transport_cost_day,external_procurement_transport_cost_day,operational_transport_cost_day,purchase_cost_day,opening_open_order_purchase_cost_day,external_procurement_purchase_cost_day,operational_purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
26,15580.2857,15580.2857,0.0,11088718.8145,514400.0,395358.8571,2248279725.967,67840.0537,87222.9262,38765.745,193828.7249,3332.7322,177.9245,0.0,3154.8077,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,774885.0
27,15580.2857,15580.2857,0.0,11051160.5288,514400.0,489088.8571,2259685407.3255,68973.5985,88680.341,39413.4849,197067.4244,3334.0623,179.0505,0.0,3155.0118,14590.0,5177.4,0.0,9412.6,0.0,0.0,0.0,0.0,0.0,0.0,739285.0
28,15257.7143,15257.7143,0.0,11038118.8145,514400.0,346352.8571,2271074836.541,70098.5312,90126.6829,40056.3035,200281.5177,3826.9832,179.1904,0.0,3647.7928,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,703685.0
29,15257.7143,15257.7143,0.0,11077017.1002,514400.0,313645.4286,2282509601.4709,71253.801,91612.0299,40716.4577,203582.2886,3471.7473,180.4563,0.0,3291.291,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,668085.0
30,15257.7143,15257.7143,0.0,11063878.3859,514400.0,283532.8571,2293940069.2579,72409.3889,93097.7857,41376.7937,206883.9683,2936.2495,180.4535,0.0,2755.796,15472.45,8996.95,0.0,6475.5,0.0,0.0,0.0,0.0,0.0,0.0,632485.0
31,15257.7143,15257.7143,0.0,11037040.2431,514400.0,260635.4286,2305340327.3306,73538.8826,94549.9919,42022.2186,210111.0931,3253.9284,181.51,0.0,3072.4184,14106.4,4098.15,0.0,10008.25,0.0,0.0,0.0,0.0,0.0,0.0,596885.0
32,15257.7143,15257.7143,0.0,10492650.1002,414400.0,354365.4286,2316092088.2604,74188.8968,95385.7245,42393.6553,211968.2766,3255.2585,182.9159,0.0,3072.3426,14590.0,7630.9,0.0,6959.1,0.0,0.0,0.0,0.0,0.0,0.0,561285.0
33,15257.7143,15257.7143,0.0,10454563.2431,514400.0,208095.4286,2326904869.3331,74879.5532,96273.7113,42788.3161,213941.5807,3256.4586,184.0419,0.0,3072.4167,14106.4,4098.15,0.0,10008.25,0.0,0.0,0.0,0.0,0.0,0.0,525685.0
34,15257.7143,15257.7143,0.0,10437848.5288,622200.0,366604.4286,2328745254.226,74042.6557,95197.7002,42310.089,211550.4448,3257.9732,185.6544,0.0,3072.3188,33906.05,10559.8,0.0,23346.25,0.0,0.0,0.0,0.0,0.0,0.0,490085.0
35,13279.4286,13279.4286,0.0,10879543.3859,514400.0,200077.7143,2340000250.4415,75050.9482,96494.0763,42886.2561,214431.2807,1136.1015,185.5171,0.0,950.5844,15472.45,8996.95,0.0,6475.5,0.0,0.0,0.0,0.0,0.0,0.0,454485.0
36,13279.4286,13279.4286,0.0,10438468.2431,500000.0,274922.1429,2350864552.1132,75752.5054,97396.0784,43287.146,216435.7298,1087.6192,184.1818,0.0,903.4374,13510.75,7630.9,0.0,5879.85,0.0,0.0,0.0,0.0,0.0,0.0,404485.0
37,13279.4286,13279.4286,0.0,10469551.2431,500000.0,142687.7143,2361750492.2134,76466.6983,98314.3264,43695.2562,218476.2808,1751.3579,184.1818,0.0,1567.1761,13027.15,7630.9,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,354485.0
38,13279.4286,13279.4286,0.0,10428129.8145,514400.0,157176.5714,2372550329.0003,77151.2135,99194.4173,44086.4077,220432.0385,1883.2512,184.1818,0.0,1699.0694,16792.972,7630.9,0.0,9162.072,0.0,0.0,0.0,0.0,0.0,0.0,318885.0
39,13279.4286,13279.4286,0.0,1153591.4123,200000.0,154711.4286,2373816013.5555,77603.7848,99776.2948,44345.0199,221725.0995,2413.6239,182.9853,0.0,2230.6386,14393.2,8996.95,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,268885.0
40,13279.4286,13279.4286,0.0,1084317.5552,514400.0,288476.8571,2375264482.7974,78237.7702,100591.4188,44707.2972,223536.4862,2831.1547,184.1836,0.0,2646.9711,17035.3,6543.45,0.0,10491.85,0.0,0.0,0.0,0.0,0.0,0.0,233285.0
41,13279.4286,13279.4286,0.0,1143861.4123,514400.0,163522.8571,2376772496.8965,78830.2171,101353.1362,45045.8383,225229.1916,2832.2862,184.1141,0.0,2648.1721,15185.65,5177.4,0.0,10008.25,0.0,0.0,0.0,0.0,0.0,0.0,197685.0
42,13912.4286,13912.4286,0.0,1010120.5551,500000.0,189337.5714,2378151861.4516,79371.106,102048.5648,45354.9177,226774.5885,7815.401,184.0419,0.0,7631.3591,13027.15,4098.15,0.0,8929.0,0.0,0.0,0.0,0.0,0.0,0.0,147685.0
43,13912.4286,13912.4286,0.0,1002851.4123,500000.0,182910.2857,2379530384.1496,79911.366,102743.1849,45663.6377,228318.1886,6643.548,184.0419,0.0,6459.5061,13027.15,4098.15,0.0,8929.0,0.0,0.0,0.0,0.0,0.0,0.0,97685.0
44,13912.4286,13912.4286,0.0,1043149.9837,500000.0,145668.2857,2380991447.419,80509.0919,103511.6896,46005.1954,230025.977,1918.4273,184.2512,0.0,1734.1761,14393.2,8996.95,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,47685.0
45,13912.4286,13912.4286,0.0,1044392.698,500000.0,270668.2857,2382453753.4027,81115.4099,104291.2413,46351.6628,231758.314,1918.5646,184.3235,0.0,1734.2411,15956.05,10076.2,0.0,5879.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,13912.4286,13912.4286,0.0,1013870.2694,200000.0,142589.7143,2383611297.5293,81462.3138,104737.2606,46549.8936,232749.468,2185.7055,184.0419,0.0,2001.6636,13027.15,4098.15,0.0,8929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,13912.4286,13912.4286,0.0,1022573.5551,500000.0,129650.0,2385092802.6559,82010.9847,105442.6946,46863.4198,234317.0991,2973.2884,182.7759,0.0,2790.5124,10573.65,4098.15,0.0,6475.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,13912.4286,13912.4286,0.0,1057350.5551,607800.0,30684566.8571,2347288263.4598,80799.3274,103884.8495,46171.0442,230855.2211,3167.8066,182.8885,0.0,2984.9181,82423.3,8877.4,0.0,73545.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,18721.8571,18721.8571,0.0,1061400.5551,514400.0,295485.4286,2348661234.7016,81309.0336,104540.186,46462.3049,232311.5245,17204.4258,184.0419,0.0,17020.384,11652.9,4098.15,0.0,7554.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,18721.8571,18721.8571,0.0,1026798.1266,514400.0,375566.0,2350039566.9435,81862.2115,105251.4148,46778.4066,233892.033,3864.6845,184.296,0.0,3680.3885,17035.3,10076.2,0.0,6959.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,18721.8571,18721.8571,0.0,1122671.698,514400.0,220520.0,2351543865.7569,82513.0128,106088.1593,47150.293,235751.4651,2728.3356,185.4896,0.0,2542.8459,15472.45,8996.95,0.0,6475.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,18721.8571,18721.8571,0.0,1135353.2098,514400.0,195566.0,2353085845.082,83078.7432,106815.527,47473.5675,237367.8377,2729.4644,185.2803,0.0,2544.1841,11652.9,4098.15,0.0,7554.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,18721.8571,18721.8571,0.0,942017.3527,214400.0,165835.0,2354112171.55,83374.5918,107195.9038,47642.6239,238213.1195,2730.8657,184.0143,0.0,2546.8513,15472.45,4098.15,0.0,11374.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,18721.8571,18721.8571,0.0,993472.3527,514400.0,262481.0,2355512271.018,83927.4685,107906.7452,47958.5534,239792.7671,2732.1958,184.0143,0.0,2548.1814,35576.5,4098.15,0.0,31478.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,18721.8571,18721.8571,0.0,988380.3527,514400.0,190127.0,2356863077.486,84455.9555,108586.2285,48260.546,241302.73,2733.5428,182.8178,0.0,2550.7249,26227.156,5464.2,0.0,20762.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,20152.1429,20152.1429,0.0,1215080.3527,514400.0,195054.1429,2358434273.5255,84965.7332,109241.657,48551.8475,242759.2377,6085.3859,184.156,0.0,5901.2299,16551.7,6543.45,0.0,10008.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,20152.1429,20152.1429,0.0,1032410.067,514400.0,180738.8572,2359837159.5649,85520.6364,109955.1039,48868.9351,244344.6754,7340.0842,185.3525,0.0,7154.7317,11652.9,5177.4,0.0,6475.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,20152.1429,20152.1429,0.0,991075.067,514400.0,298533.8571,2361195962.6043,86064.1353,110653.8882,49179.5059,245897.5293,4293.2582,185.4202,0.0,4107.838,15669.25,7630.9,0.0,8038.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,20152.1429,20152.1429,0.0,983709.7812,514400.0,158579.8571,2362572400.358,86602.8099,111346.4698,49487.3199,247436.5996,4294.3886,182.8207,0.0,4111.5679,13018.95,5177.4,0.0,7841.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,20152.1429,20152.1429,0.0,1029114.4955,214400.0,178625.8571,2363671923.826,86949.8627,111792.6806,49685.6358,248428.1792,4295.7222,182.8884,0.0,4112.8338,15472.45,7630.9,0.0,7841.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,20152.1429,20152.1429,0.0,1155673.2098,14400.0,158671.8571,2364724795.0083,87157.2913,112059.3745,49804.1664,249020.8322,4296.9204,182.8178,0.0,4114.1026,13018.95,5464.2,0.0,7554.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,20152.1429,20152.1429,0.0,1006432.6384,14400.0,178717.8571,2365603424.6192,87345.6345,112301.53,49911.7911,249558.9557,4298.2569,182.7484,0.0,4115.5085,15185.65,4098.15,0.0,11087.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,15352.0,15352.0,0.0,31004017.067,14400.0,278611.7143,2396504591.9443,87567.0561,112586.2149,50038.3178,250191.5888,1495.6186,184.0143,0.0,1311.6043,15669.25,4098.15,0.0,11571.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,15352.0,15352.0,0.0,882462.9073,14400.0,132098.0,2397315763.8241,87801.6962,112887.8951,50172.3978,250861.9891,763.0913,182.8207,0.0,580.2706,13018.95,5177.4,0.0,7841.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,15352.0,15352.0,0.0,871504.193,14400.0,159378.0,2398088741.9896,88018.8023,113167.0316,50296.4585,251482.2924,1075.3359,182.7484,0.0,892.5875,16551.7,4098.15,0.0,12453.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,15352.0,15352.0,0.0,1009793.3359,14400.0,143516.0,2399020918.2979,88211.2353,113414.4454,50406.4202,252032.1008,2341.5227,182.8178,0.0,2158.7049,13018.95,5464.2,0.0,7554.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,15352.0,15352.0,0.0,804409.0502,14400.0,108785.0,2399717709.3206,88356.9065,113601.7369,50489.6609,252448.3043,2342.8575,181.6224,0.0,2161.235,15185.65,7630.9,0.0,7554.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,15352.0,15352.0,0.0,815142.3359,14400.0,83831.0,2400450234.6289,88536.3266,113832.42,50592.1866,252960.9332,2343.9835,182.5402,0.0,2161.4433,11652.9,0.0,0.0,11652.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,15352.0,15352.0,0.0,771942.3359,14400.0,103877.0,2401114559.9373,88682.7995,114020.7422,50675.8854,253379.427,2345.317,181.4142,0.0,2163.9029,14106.4,3532.75,0.0,10573.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,15738.0,15738.0,0.0,900016.3359,14400.0,136669.8571,2401888825.3885,88818.3775,114195.0568,50753.3586,253766.7928,4816.0918,181.2742,0.0,4634.8175,17917.75,0.0,0.0,17917.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,15738.0,15738.0,0.0,841388.3359,14400.0,101454.7143,2402634724.9825,88964.9656,114383.5272,50837.1232,254185.6161,4391.1939,182.7458,0.0,4208.4481,36458.95,24806.05,0.0,11652.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,15738.0,15738.0,0.0,849580.0501,122200.0,274336.1429,2394435075.3967,87664.5812,112711.6045,50094.0464,250470.2321,2324.106,181.4142,0.0,2142.6919,15956.05,3532.75,0.0,12423.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,15738.0,15738.0,0.0,796599.6216,14400.0,138139.2857,2395144371.7051,87815.3448,112905.4433,50180.197,250900.9852,3259.0721,180.0083,0.0,3079.0638,49087.65,0.0,0.0,49087.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,15738.0,15738.0,0.0,905753.3359,14400.0,159635.0,2395941372.0134,87949.8533,113078.3829,50257.0591,251285.2953,3473.7924,178.7424,0.0,3295.05,13027.15,0.0,0.0,13027.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,15738.0,15738.0,0.0,842672.193,0.0,134635.0,2396736830.2064,88102.1759,113274.2262,50344.1005,251720.5027,3473.6496,178.7424,0.0,3294.9072,9781.2,0.0,0.0,9781.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,15738.0,15738.0,0.0,762983.4787,14400.0,149681.0,2397411059.6576,88220.0527,113425.7821,50411.4587,252057.2935,3475.1295,176.2106,0.0,3298.919,13305.75,0.0,0.0,13305.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16263.2857,16263.2857,0.0,623140.4833,14400.0,168991.8571,2397895656.9705,88318.3005,113552.1007,50467.6003,252338.0015,6852.3168,174.9446,0.0,6677.3722,10076.2,0.0,0.0,10076.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16263.2857,16263.2857,0.0,511710.4833,14400.0,169886.7143,2398272974.4263,88393.9311,113649.34,50510.8178,252554.0888,3359.3129,175.0846,0.0,3184.2284,10868.65,3532.75,0.0,7335.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16263.2857,16263.2857,0.0,694072.1976,14400.0,116516.7143,2398886070.5964,88502.1481,113788.4761,50572.6561,252863.2803,2286.3141,172.4128,0.0,2113.9013,7335.9,0.0,0.0,7335.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16263.2857,16263.2857,0.0,518334.1976,14400.0,131562.7143,2399298428.7664,88596.9527,113910.3678,50626.8301,253134.1506,2287.5754,171.2868,0.0,2116.2886,8710.15,3532.75,0.0,5177.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16263.2857,16263.2857,0.0,683300.1976,14400.0,118928.8571,2399898431.7937,88731.3836,114083.2075,50703.6478,253518.2389,2611.6649,169.881,0.0,2441.7839,7909.5,0.0,0.0,7909.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16263.2857,16263.2857,0.0,524967.0547,14400.0,148651.2857,2400310426.2494,88829.3895,114209.215,50759.6511,253798.2556,3200.4555,169.881,0.0,3030.5746,11442.25,0.0,0.0,11442.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16263.2857,16263.2857,0.0,589097.3404,14400.0,121153.5714,2400814093.7052,88974.3193,114395.5534,50842.4682,254212.3408,3465.2205,12.6592,0.0,3452.5613,6799.65,0.0,0.0,6799.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16805.4286,16805.4286,0.0,673924.1976,14400.0,149231.7143,2401364014.7324,89061.1681,114507.2162,50892.0961,254460.4804,4597.929,12.7991,0.0,4585.1299,8710.15,3532.75,0.0,5177.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16805.4286,16805.4286,0.0,580233.4833,14400.0,154819.8572,2401819702.9025,89159.7037,114633.9047,50948.4021,254742.0105,3657.4517,11.3933,0.0,3646.0584,9789.4,0.0,0.0,9789.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16805.4286,16805.4286,0.0,584056.4833,14400.0,132275.8571,2402311803.0725,89282.6865,114792.0254,51018.678,255093.3899,3552.0766,12.6592,0.0,3539.4174,8988.75,0.0,0.0,8988.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16805.4286,16805.4286,0.0,605171.0547,14400.0,152421.8571,2402799918.814,89405.4155,114949.8199,51088.8089,255444.0443,3553.5444,11.3933,0.0,3542.1511,11698.45,0.0,0.0,11698.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16805.4286,16805.4286,0.0,681689.9119,14400.0,132366.8571,2403389652.4127,89510.7798,115085.2883,51149.017,255745.0851,3554.6113,10.1274,0.0,3544.4839,8701.95,0.0,0.0,8701.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16805.4286,16805.4286,0.0,640564.6262,14400.0,152410.8571,2403913261.7256,89671.0477,115291.347,51240.5987,256202.9934,3555.8927,8.9739,0.0,3546.9188,10868.65,3532.75,0.0,7335.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16805.4286,16805.4286,0.0,673067.8852,14400.0,152456.8571,2404469374.2975,89830.0358,115495.7604,51331.4491,256657.2453,3557.1586,8.8339,0.0,3548.3247,10868.65,0.0,0.0,10868.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,13732.8571,13732.8571,0.0,1001262.4566,14400.0,65426.5714,2405389052.2981,90260.6574,116049.4166,51577.5185,257887.5926,2542.6574,10.0998,0.0,2532.5576,7622.7,0.0,0.0,7622.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,13732.8571,13732.8571,0.0,765768.5994,0.0,58457.2857,2406126745.7547,90430.7407,116268.0951,51674.709,258373.5448,1987.5945,10.0998,0.0,1977.4947,8988.75,0.0,0.0,8988.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,13732.8571,13732.8571,0.0,601702.7423,0.0,48786.2857,2406705043.3541,90578.7163,116458.3496,51759.2665,258796.3323,1465.1114,10.0998,0.0,1455.0115,7622.7,0.0,0.0,7622.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,13732.8571,13732.8571,0.0,638933.7423,0.0,43786.2857,2407320571.9536,90740.0888,116665.8285,51851.4793,259257.3967,1465.042,10.0998,0.0,1454.9421,6256.65,0.0,0.0,6256.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,13732.8571,13732.8571,0.0,601675.8852,0.0,38786.2857,2407898842.6959,90891.5724,116860.5931,51938.0414,259690.2068,1464.9697,10.0998,0.0,1454.8698,5177.4,0.0,0.0,5177.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,13732.8571,13732.8571,0.0,639182.3137,0.0,54478.5714,2408508925.581,91056.7591,117072.976,52032.4338,260162.1689,2257.3593,8.8339,0.0,2248.5253,7622.7,0.0,0.0,7622.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,13732.8571,13732.8571,0.0,702429.1709,0.0,68375.2857,2409173358.6091,91190.115,117244.4335,52108.6371,260543.1857,2918.2586,7.568,0.0,2910.6906,8988.75,0.0,0.0,8988.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,12238.4286,12238.4286,0.0,626937.5995,107800.0,257226.2857,2400804038.0287,89816.5723,115478.4501,51323.7556,256618.7779,3160.7716,7.6079,0.0,3153.1636,55172.35,45700.0,0.0,9472.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
