active_days,avg_capacity_utilization,avg_procurement_lead_days,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
18,0.004932,31.5,7925.6449,sourcing_share,1,M-1810,0,360.0,2,1784,0.211057,1.0,2892.4455,1.0,0.116081,17,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,0.0,0.7,"001893, 002612",140708.569
132,1e-05,3.0,4606.4628,sourcing_share,1,M-1810,1632,180.0,1,1817,0.169668,0.000248,4104.0754,0.7,0.093317,18,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0956464A,Supplier of Raw Materials - VD0956464A,0.0,0.7,007923,4893.2821
5,7.8e-05,21.0,210.2938,sourcing_share,1,M-1810,615,180.0,1,1728,0.124076,0.028544,0.0,1.0,0.068242,19,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,0.0,0.7,055703,1115.6575
0,0.0,28.0,2892.4455,sourcing_share,1,M-1810,,180.0,1,,0.0,0.0,2892.4455,0.0,0.0,20,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,0.0,0.0,002612,0.0
0,0.0,56.0,14655.0572,sourcing_share,1,M-1810,,180.0,1,,0.0,0.0,14655.0572,0.0,0.0,21,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,0.0,0.1,001893,0.0
0,0.0,61.5,125160.0,sourcing_share,2,"M-1450, SDC-1450",,180.0,1,,0.0,0.0,125160.0,0.0,0.0,22,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,0.0,0.0,021081,0.0
0,0.0,61.5,125160.0,sourcing_share,2,"M-1450, SDC-1450",,180.0,1,,0.0,0.0,125160.0,0.0,0.0,23,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,0.0,0.0,021081,0.0
0,0.0,42.0,231.3956,sourcing_share,1,M-1810,,180.0,1,,0.0,0.0,231.3956,0.0,0.0,24,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,0.0,0.3,055703,0.0
0,0.0,61.5,125160.0,sourcing_share,2,"M-1450, SDC-1450",,180.0,1,,0.0,0.0,125160.0,0.0,0.0,25,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,0.0,0.0,021081,0.0
0,0.0,61.5,125160.0,sourcing_share,2,"M-1450, SDC-1450",,180.0,1,,0.0,0.0,125160.0,0.0,0.0,26,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,0.0,0.0,021081,0.0
0,0.0,35.0,2892.4455,sourcing_share,1,M-1810,,180.0,1,,0.0,0.0,2892.4455,0.0,0.0,27,1,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,0.0,0.0,002612,0.0
0,0.0,38.5,8773.7514,sourcing_share,1,M-1810,,360.0,2,,0.0,0.0,2892.4455,0.0,0.0,28,2,0,0.0,0,0.0,,0.0,0.0,,0.0,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,0.0,0.2,"001893, 002612",0.0
