day,node_id,item_id,produced_qty,cum_produced_qty,stock_end_of_day
64,M-1430,item:268967,107800.0,431200.0,107800.0
64,M-1810,item:268091,0.0,302400.0,347212.653052
64,SDC-1450,item:773474,0.0,25600000.0,10386312.0
65,M-1430,item:268967,0.0,431200.0,45365.57142
65,M-1810,item:268091,0.0,302400.0,344782.571435
65,SDC-1450,item:773474,0.0,25600000.0,10386312.0
66,M-1430,item:268967,107800.0,539000.0,107800.0
66,M-1810,item:268091,0.0,302400.0,344782.571435
66,SDC-1450,item:773474,0.0,25600000.0,10386312.0
67,M-1430,item:268967,0.0,539000.0,98673.632654
67,M-1810,item:268091,0.0,302400.0,342661.510205
67,SDC-1450,item:773474,0.0,25600000.0,10386312.0
68,M-1430,item:268967,0.0,539000.0,98673.632654
68,M-1810,item:268091,0.0,302400.0,335631.306123
68,SDC-1450,item:773474,0.0,25600000.0,10386312.0
69,M-1430,item:268967,0.0,539000.0,98673.632654
69,M-1810,item:268091,0.0,302400.0,319011.306123
69,SDC-1450,item:773474,0.0,25600000.0,10386312.0
70,M-1430,item:268967,0.0,539000.0,98673.632654
70,M-1810,item:268091,0.0,302400.0,299098.12245
70,SDC-1450,item:773474,0.0,25600000.0,10386312.0
71,M-1430,item:268967,0.0,539000.0,98673.632654
71,M-1810,item:268091,0.0,302400.0,285734.244898
71,SDC-1450,item:773474,0.0,25600000.0,10386312.0
72,M-1430,item:268967,0.0,539000.0,98673.632654
72,M-1810,item:268091,0.0,302400.0,282465.551021
72,SDC-1450,item:773474,0.0,25600000.0,10386312.0
73,M-1430,item:268967,0.0,539000.0,98673.632654
73,M-1810,item:268091,0.0,302400.0,279967.918368
73,SDC-1450,item:773474,0.0,25600000.0,10386312.0
74,M-1430,item:268967,0.0,539000.0,96730.897951
74,M-1810,item:268091,0.0,302400.0,267856.204082
74,SDC-1450,item:773474,0.0,25600000.0,10386312.0
75,M-1430,item:268967,0.0,539000.0,94203.653055
75,M-1810,item:268091,0.0,302400.0,257181.102041
75,SDC-1450,item:773474,0.0,25600000.0,10386312.0
76,M-1430,item:268967,0.0,539000.0,89364.081629
76,M-1810,item:268091,0.0,302400.0,293738.306122
76,SDC-1450,item:773474,0.0,25600000.0,10386312.0
77,M-1430,item:268967,0.0,539000.0,84954.346937
77,M-1810,item:268091,0.0,302400.0,255847.857141
77,SDC-1450,item:773474,0.0,25600000.0,10386312.0
78,M-1430,item:268967,0.0,539000.0,84954.346937
78,M-1810,item:268091,0.0,302400.0,228052.591834
78,SDC-1450,item:773474,0.0,25600000.0,10386312.0
79,M-1430,item:268967,0.0,539000.0,84954.346937
79,M-1810,item:268091,0.0,302400.0,223815.204079
79,SDC-1450,item:773474,0.0,25600000.0,10386312.0
80,M-1430,item:268967,0.0,539000.0,81939.97959
80,M-1810,item:268091,0.0,302400.0,223815.204079
80,SDC-1450,item:773474,0.0,25600000.0,10386312.0
81,M-1430,item:268967,0.0,539000.0,77660.938772
81,M-1810,item:268091,0.0,302400.0,223815.204079
81,SDC-1450,item:773474,0.0,25600000.0,10386312.0
82,M-1430,item:268967,0.0,539000.0,68822.408155
82,M-1810,item:268091,0.0,302400.0,223389.897957
82,SDC-1450,item:773474,0.0,25600000.0,10386312.0
83,M-1430,item:268967,0.0,539000.0,55247.081619
83,M-1810,item:268091,0.0,302400.0,213773.97959
83,SDC-1450,item:773474,0.0,25600000.0,10386312.0
84,M-1430,item:268967,0.0,539000.0,45798.326516
84,M-1810,item:268091,0.0,302400.0,191053.081631
84,SDC-1450,item:773474,0.0,25600000.0,10386312.0
85,M-1430,item:268967,0.0,539000.0,45798.326516
85,M-1810,item:268091,0.0,302400.0,187036.428569
85,SDC-1450,item:773474,0.0,25600000.0,10386312.0
86,M-1430,item:268967,0.0,539000.0,45798.326516
86,M-1810,item:268091,0.0,302400.0,169284.918364
86,SDC-1450,item:773474,0.0,25600000.0,10386312.0
87,M-1430,item:268967,0.0,539000.0,45798.326516
87,M-1810,item:268091,0.0,302400.0,150546.081629
87,SDC-1450,item:773474,0.0,25600000.0,10386312.0
88,M-1430,item:268967,0.0,539000.0,43185.46938
88,M-1810,item:268091,0.0,302400.0,146028.693873
88,SDC-1450,item:773474,0.0,25600000.0,10386312.0
89,M-1430,item:268967,0.0,539000.0,34942.224489
89,M-1810,item:268091,0.0,302400.0,137480.510199
89,SDC-1450,item:773474,0.0,25600000.0,10386312.0
90,M-1430,item:268967,0.0,539000.0,21020.938783
90,M-1810,item:268091,0.0,302400.0,137480.510199
90,SDC-1450,item:773474,0.0,25600000.0,10386312.0
91,M-1430,item:268967,0.0,539000.0,12230.061227
91,M-1810,item:268091,0.0,302400.0,137480.510199
91,SDC-1450,item:773474,0.0,25600000.0,10386312.0
92,M-1430,item:268967,0.0,539000.0,12230.061227
92,M-1810,item:268091,0.0,302400.0,137480.510199
92,SDC-1450,item:773474,0.0,25600000.0,10386312.0
93,M-1430,item:268967,0.0,539000.0,12230.061227
93,M-1810,item:268091,0.0,302400.0,279275.510199
93,SDC-1450,item:773474,0.0,25600000.0,10386312.0
94,M-1430,item:268967,0.0,539000.0,12230.061227
94,M-1810,item:268091,0.0,302400.0,279275.510199
94,SDC-1450,item:773474,0.0,25600000.0,10386312.0
95,M-1430,item:268967,0.0,539000.0,6559.448975
95,M-1810,item:268091,0.0,302400.0,279275.510199
95,SDC-1450,item:773474,0.0,25600000.0,10386312.0
96,M-1430,item:268967,107800.0,646800.0,107800.0
96,M-1810,item:268091,0.0,302400.0,277852.897956
96,SDC-1450,item:773474,0.0,25600000.0,10386312.0
97,M-1430,item:268967,0.0,646800.0,94871.285716
97,M-1810,item:268091,0.0,302400.0,254825.265305
97,SDC-1450,item:773474,0.0,25600000.0,10386312.0
98,M-1430,item:268967,0.0,646800.0,81898.102041
98,M-1810,item:268091,0.0,302400.0,220299.142858
98,SDC-1450,item:773474,0.0,25600000.0,10386312.0
99,M-1430,item:268967,0.0,646800.0,81898.102041
99,M-1810,item:268091,0.0,302400.0,208831.306123
99,SDC-1450,item:773474,0.0,25600000.0,10386312.0
100,M-1430,item:268967,0.0,646800.0,81339.857143
100,M-1810,item:268091,0.0,302400.0,208831.306123
100,SDC-1450,item:773474,0.0,25600000.0,10386312.0
101,M-1430,item:268967,0.0,646800.0,80781.612245
101,M-1810,item:268091,0.0,302400.0,208831.306123
101,SDC-1450,item:773474,0.0,25600000.0,10386312.0
102,M-1430,item:268967,0.0,646800.0,80781.612245
102,M-1810,item:268091,0.0,302400.0,208831.306123
102,SDC-1450,item:773474,0.0,25600000.0,10386312.0
103,M-1430,item:268967,0.0,646800.0,80781.612245
103,M-1810,item:268091,0.0,302400.0,200588.734693
103,SDC-1450,item:773474,0.0,25600000.0,10386312.0
104,M-1430,item:268967,0.0,646800.0,80781.612245
104,M-1810,item:268091,0.0,302400.0,179924.081632
104,SDC-1450,item:773474,0.0,25600000.0,10386312.0
105,M-1430,item:268967,0.0,646800.0,80781.612245
105,M-1810,item:268091,0.0,302400.0,145754.469386
105,SDC-1450,item:773474,0.0,25600000.0,10386312.0
106,M-1430,item:268967,0.0,646800.0,80781.612245
106,M-1810,item:268091,0.0,302400.0,249355.244896
106,SDC-1450,item:773474,0.0,25600000.0,10386312.0
107,M-1430,item:268967,0.0,646800.0,80781.612245
107,M-1810,item:268091,0.0,302400.0,327364.591836
107,SDC-1450,item:773474,0.0,25600000.0,10386312.0
108,M-1430,item:268967,0.0,646800.0,80781.612245
108,M-1810,item:268091,0.0,302400.0,327364.591836
108,SDC-1450,item:773474,0.0,25600000.0,10386312.0
109,M-1430,item:268967,0.0,646800.0,80781.612245
109,M-1810,item:268091,0.0,302400.0,327364.591836
109,SDC-1450,item:773474,0.0,25600000.0,10386312.0
110,M-1430,item:268967,0.0,646800.0,80781.612245
110,M-1810,item:268091,0.0,302400.0,327364.591836
110,SDC-1450,item:773474,0.0,25600000.0,10386312.0
111,M-1430,item:268967,0.0,646800.0,80781.612245
111,M-1810,item:268091,0.0,302400.0,376164.591836
111,SDC-1450,item:773474,0.0,25600000.0,10386312.0
112,M-1430,item:268967,0.0,646800.0,80781.612245
112,M-1810,item:268091,0.0,302400.0,376164.591836
112,SDC-1450,item:773474,0.0,25600000.0,10386312.0
113,M-1430,item:268967,0.0,646800.0,80781.612245
113,M-1810,item:268091,0.0,302400.0,517959.591836
113,SDC-1450,item:773474,0.0,25600000.0,10386312.0
114,M-1430,item:268967,0.0,646800.0,80781.612245
114,M-1810,item:268091,0.0,302400.0,517959.591836
114,SDC-1450,item:773474,0.0,25600000.0,10386312.0
115,M-1430,item:268967,0.0,646800.0,80781.612245
115,M-1810,item:268091,0.0,302400.0,517959.591836
115,SDC-1450,item:773474,0.0,25600000.0,10386312.0
116,M-1430,item:268967,0.0,646800.0,80781.612245
116,M-1810,item:268091,0.0,302400.0,517959.591836
116,SDC-1450,item:773474,0.0,25600000.0,10386312.0
117,M-1430,item:268967,0.0,646800.0,80781.612245
117,M-1810,item:268091,0.0,302400.0,517959.591836
117,SDC-1450,item:773474,0.0,25600000.0,10386312.0
118,M-1430,item:268967,0.0,646800.0,80781.612245
118,M-1810,item:268091,0.0,302400.0,517959.591836
118,SDC-1450,item:773474,0.0,25600000.0,10386312.0
119,M-1430,item:268967,0.0,646800.0,80781.612245
119,M-1810,item:268091,0.0,302400.0,554754.591836
119,SDC-1450,item:773474,0.0,25600000.0,10386312.0
120,M-1430,item:268967,0.0,646800.0,80781.612245
120,M-1810,item:268091,0.0,302400.0,554754.591836
120,SDC-1450,item:773474,0.0,25600000.0,10386312.0
121,M-1430,item:268967,0.0,646800.0,80781.612245
121,M-1810,item:268091,0.0,302400.0,554754.591836
121,SDC-1450,item:773474,0.0,25600000.0,10386312.0
122,M-1430,item:268967,0.0,646800.0,80781.612245
122,M-1810,item:268091,0.0,302400.0,554754.591836
122,SDC-1450,item:773474,0.0,25600000.0,10386312.0
123,M-1430,item:268967,0.0,646800.0,80781.612245
123,M-1810,item:268091,0.0,302400.0,554754.591836
123,SDC-1450,item:773474,0.0,25600000.0,10386312.0
124,M-1430,item:268967,0.0,646800.0,80781.612245
124,M-1810,item:268091,0.0,302400.0,554754.591836
124,SDC-1450,item:773474,0.0,25600000.0,10386312.0
125,M-1430,item:268967,0.0,646800.0,80781.612245
125,M-1810,item:268091,0.0,302400.0,554754.591836
125,SDC-1450,item:773474,0.0,25600000.0,10386312.0
126,M-1430,item:268967,0.0,646800.0,80781.612245
126,M-1810,item:268091,0.0,302400.0,554754.591836
126,SDC-1450,item:773474,0.0,25600000.0,10386312.0
127,M-1430,item:268967,0.0,646800.0,80781.612245
127,M-1810,item:268091,0.0,302400.0,554754.591836
127,SDC-1450,item:773474,0.0,25600000.0,10386312.0
128,M-1430,item:268967,0.0,646800.0,80781.612245
128,M-1810,item:268091,0.0,302400.0,554754.591836
128,SDC-1450,item:773474,0.0,25600000.0,10386312.0
129,M-1430,item:268967,0.0,646800.0,80781.612245
129,M-1810,item:268091,0.0,302400.0,546229.530606
129,SDC-1450,item:773474,0.0,25600000.0,10386312.0
130,M-1430,item:268967,0.0,646800.0,80781.612245
