record_index,system,component,mass_kg,role_hint,primary_supplier,primary_country,primary_region,primary_distance_to_downstream_km,alternate_supplier,alternate_country,alternate_region,alternate_distance_to_downstream_km,distance_delta_vs_primary_km,downstream_supplier,downstream_role,locality_gain_flag,distance_gain_flag,coordinate_status
98,Ens. Tablette cocktail,inox,0.012,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
99,Ens. Tablette repas,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
100,Ens. Têtière,inox,0.001,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
101,Stowage assemblé avec porte,inox,0.00928,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
102,Support écran,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
138,Ens. Structure fixe,inox,0.027,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
130,Remote extender unit,télécommande,0.07,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,Ampco Metal France,France,France,430.052,-9040.705,Ensinger,tier2_second_transformation,yes,yes,ok
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,0.0001731,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
79,Accoudoir allée,Ertalon,0.01,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
80,Ens. Stowage latéral,Ertalon,0.003,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
82,Ensemble porte,Ertalon,0.002,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
83,Ens. Tablette repas,Ertalon,0.007,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
84,Stowage assemblé avec porte,Ertalon,0.02,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
85,Structure ottoman horizontale,Ertalon,0.0002725,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,0.081,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
103,Capot NFC,kydex,0.069,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
104,Coussin ottoman,kydex,0.037,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
105,Ens. Stowage latéral,kydex,1.161,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
106,Ensemble porte,kydex,1.384,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
107,Ens. Tablette cocktail,kydex,0.715,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
108,Ens. Tablette repas,kydex,0.059,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
109,Stowage assemblé avec porte,kydex,0.226,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),8.439,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,0.392,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
159,Siége,Moulage plastique,6.69155662,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
163,Siége,11% Moulage plastique,12.756301898,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
172,Siége,Moulage plastique,6.69155662,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
173,Siége,Moulage plastique,6.69155662,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,EXSTO / Baule-Exsto Polymere,France,France,477.548,-8993.209,Ensinger,tier2_second_transformation,yes,yes,ok
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",1.928,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,Total,France,France,396.348,-8986.97,Aurubis,tier3_first_transformation,yes,yes,ok
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",2.378,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,Total,France,France,396.348,-8986.97,Aurubis,tier3_first_transformation,yes,yes,ok
126,Powerbox,powerbox,1.5,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,Total,France,France,396.348,-8986.97,Aurubis,tier3_first_transformation,yes,yes,ok
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",0.45,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,Total,France,France,396.348,-8986.97,Aurubis,tier3_first_transformation,yes,yes,ok
130,Remote extender unit,télécommande,0.07,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,thyssenkrupp Materials France,France,France,507.348,-8963.409,Ensinger,tier2_second_transformation,yes,yes,ok
81,Ens. Structure fauteuil,inox,0.045,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
94,Accoudoir allée,inox,0.018054,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
95,Ens. Palette optimisée,inox,0.023743,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
96,Ensemble porte,inox,0.0047592,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
98,Ens. Tablette cocktail,inox,0.012,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
99,Ens. Tablette repas,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
100,Ens. Têtière,inox,0.001,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
101,Stowage assemblé avec porte,inox,0.00928,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
102,Support écran,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
138,Ens. Structure fixe,inox,0.027,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe Segnere / SEGNERE Ade,France,France,646.869,-8917.904,Safran Seats / Safran internal group,oem,yes,yes,ok
33,Ens. Structure fauteuil,4140 (acier),0.002,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),1.417,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
81,Ens. Structure fauteuil,inox,0.045,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
94,Accoudoir allée,inox,0.018054,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
95,Ens. Palette optimisée,inox,0.023743,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
96,Ensemble porte,inox,0.0047592,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
98,Ens. Tablette cocktail,inox,0.012,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
99,Ens. Tablette repas,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
100,Ens. Têtière,inox,0.001,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
101,Stowage assemblé avec porte,inox,0.00928,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
102,Support écran,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
138,Ens. Structure fixe,inox,0.027,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Groupe LAUAK,France,France,654.295,-8910.477,Safran Seats / Safran internal group,oem,yes,yes,ok
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,0.039,tier3_first_transformation,"Zhejiang Yuxin Textile Co.,Ltd.",China,Outside_Europe,9234.979,thyssenkrupp Materials France,France,France,390.003,-8844.976,MGR Foamtex Ltd,tier2_second_transformation,yes,yes,ok
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,0.039,tier3_first_transformation,"Zhejiang Yuxin Textile Co.,Ltd.",China,Outside_Europe,9234.979,thyssenkrupp Materials France,France,France,390.003,-8844.976,MGR Foamtex Ltd,tier2_second_transformation,yes,yes,ok
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,0.039,tier3_first_transformation,"Zhejiang Yuxin Textile Co.,Ltd.",China,Outside_Europe,9234.979,Euralliage Ile de France,France,France,390.352,-8844.627,MGR Foamtex Ltd,tier2_second_transformation,yes,yes,ok
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,0.039,tier3_first_transformation,"Zhejiang Yuxin Textile Co.,Ltd.",China,Outside_Europe,9234.979,Euralliage Ile de France,France,France,390.352,-8844.627,MGR Foamtex Ltd,tier2_second_transformation,yes,yes,ok
159,Siége,Moulage plastique,6.69155662,tier1,JAMCO Aircraft Interiors - Niigata,Japan,Outside_Europe,9489.625,COLLINS,France,France,667.607,-8822.018,Safran Seats / Safran internal group,oem,yes,yes,ok
172,Siége,Moulage plastique,6.69155662,tier1,JAMCO Aircraft Interiors - Niigata,Japan,Outside_Europe,9489.625,COLLINS,France,France,667.607,-8822.018,Safran Seats / Safran internal group,oem,yes,yes,ok
173,Siége,Moulage plastique,6.69155662,tier1,JAMCO Aircraft Interiors - Niigata,Japan,Outside_Europe,9489.625,COLLINS,France,France,667.607,-8822.018,Safran Seats / Safran internal group,oem,yes,yes,ok
111,Ceinture de sécurité,nylon,0.18,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
112,Support clamps,nylon,1.284,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
113,Ens. Stowage latéral,nylon,0.016416667,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
114,Ens. Palette optimisée,nylon,0.0021875,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
115,Ensemble porte,nylon,0.0004003,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
117,Ens. Tablette cocktail,nylon,0.002,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
118,Ens. Tablette repas,nylon,0.0002,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
119,Ens. Têtière,nylon,0.003,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
120,Stowage assemblé avec porte,nylon,0.000375,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
139,Ens. Structure fixe,nylon,0.0145416,tier1,AmSafe,United States,Outside_Europe,8786.682,Anjou Aeronautique,France,France,19.155,-8767.527,Safran Seats / Safran internal group,oem,yes,yes,ok
111,Ceinture de sécurité,nylon,0.18,tier1,AmSafe,United States,Outside_Europe,8786.682,SUMPAR,France,France,83.803,-8702.879,Safran Seats / Safran internal group,oem,yes,yes,ok
112,Support clamps,nylon,1.284,tier1,AmSafe,United States,Outside_Europe,8786.682,SUMPAR,France,France,83.803,-8702.879,Safran Seats / Safran internal group,oem,yes,yes,ok
113,Ens. Stowage latéral,nylon,0.016416667,tier1,AmSafe,United States,Outside_Europe,8786.682,SUMPAR,France,France,83.803,-8702.879,Safran Seats / Safran internal group,oem,yes,yes,ok
114,Ens. Palette optimisée,nylon,0.0021875,tier1,AmSafe,United States,Outside_Europe,8786.682,SUMPAR,France,France,83.803,-8702.879,Safran Seats / Safran internal group,oem,yes,yes,ok
