day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_replenished_qty,supplier_capacity_binding_qty
13,45.0,67.3916,267.1059,413.9808,287.3826,383.4917,1046831.6608,41475.0127,169.0318,35.4198,0.0,0.0,0.0,0.0,0.0
14,40.0,46.08,261.0259,175.4051,281.4339,367.9171,1045250.0319,41421.2967,170.4939,34.5977,0.0,0.0,0.0,0.0,0.0
15,47.5,0.0,308.5259,287.3379,279.6867,402.6071,1043593.6341,41367.8212,181.729,34.7691,0.0,0.0,0.0,0.0,0.0
16,52.5,23.04,337.9859,426.2963,281.9126,408.627,1041902.9787,41302.7496,176.4972,35.0845,0.0,0.0,0.0,0.0,0.0
17,60.0,46.08,351.9059,437.2795,285.5101,454.8468,1040155.6861,41237.6832,209.1562,35.9403,0.0,0.0,0.0,0.0,0.0
18,55.0,63.3467,343.5592,408.5712,289.4125,400.8498,1038422.533,41172.6226,177.2801,35.8272,0.0,0.0,0.0,0.0,0.0
19,50.0,44.3409,349.2182,378.5953,292.5955,379.5667,1036703.7342,41108.7371,162.6978,35.9626,0.0,0.0,0.0,0.0,0.0
20,45.0,40.3173,353.9009,632.5809,291.224,395.4537,1035372.045,41048.5734,182.8617,35.9597,0.0,0.0,0.0,0.0,0.0
21,40.0,0.0,393.9009,346.7855,284.2136,382.6092,1033995.3271,40994.8829,185.584,35.0487,0.0,0.0,0.0,0.0,0.0
22,47.5,44.3516,397.0493,159.709,281.6981,397.2707,1032174.501,40934.6823,183.3981,34.9358,0.0,0.0,0.0,0.0,0.0
23,52.5,46.08,403.4693,630.7811,283.368,422.0861,1030652.7129,40869.6398,191.628,35.3783,0.0,0.0,0.0,0.0,0.0
24,60.0,69.12,394.3493,645.2978,286.5632,445.1759,1029101.5163,40805.571,207.9169,35.9588,0.0,0.0,0.0,0.0,0.0
25,55.0,21.3009,428.0484,493.693,290.1746,444.6308,1027450.6808,40740.528,207.7922,36.3484,0.0,0.0,0.0,0.0,0.0
26,50.0,21.3116,456.7368,369.4867,293.1469,444.6574,1025678.5465,40675.4477,208.0203,36.6739,0.0,0.0,0.0,0.0,0.0
27,45.0,109.4373,392.2995,713.8711,291.623,397.1857,1024357.6189,40615.703,184.0948,36.0207,0.0,0.0,0.0,0.0,0.0
28,40.0,46.08,386.2195,433.5407,284.5023,380.8727,1023023.6711,40562.023,184.3963,35.063,0.0,0.0,0.0,0.0,0.0
29,47.5,63.3467,370.3728,327.6307,281.907,372.4935,1021377.7881,40501.8433,166.1753,34.7108,0.0,0.0,0.0,0.0,0.0
30,47.5,44.3409,373.5318,383.8039,280.769,396.7388,1019741.7178,40440.3527,180.5208,34.8319,0.0,0.0,0.0,0.0,0.0
31,47.5,67.3809,353.6509,389.8259,281.3567,381.553,1018097.2339,40378.663,169.5091,34.745,0.0,0.0,0.0,0.0,0.0
32,47.5,59.3231,341.8278,669.127,282.4133,380.7999,1016740.3813,40318.7494,169.7157,34.8532,0.0,0.0,0.0,0.0,0.0
33,47.5,0.0,389.3278,371.235,283.4006,399.2247,1015126.4339,40258.1536,184.3179,35.1455,0.0,0.0,0.0,0.0,0.0
34,47.5,21.7727,415.055,144.9184,284.1863,399.358,1013264.9746,40196.5414,184.4622,35.2328,0.0,0.0,0.0,0.0,0.0
35,47.5,43.6377,418.9174,122.3557,284.7764,355.6136,1011405.2271,40134.9737,154.0701,34.8599,0.0,0.0,0.0,0.0,0.0
36,47.5,0.0,466.4174,146.9553,285.2098,421.2726,1009545.7491,40073.3993,199.7794,35.5639,0.0,0.0,0.0,0.0,0.0
37,47.5,43.752,470.1654,637.5117,285.5253,355.2732,1008202.137,40011.8045,182.3758,34.9384,0.0,0.0,0.0,0.0,0.0
38,47.5,43.7712,473.8942,441.359,285.754,343.5705,1006674.7699,39951.0063,195.5697,34.8464,0.0,0.0,0.0,0.0,0.0
39,47.5,43.7714,477.6228,558.955,285.9197,322.2604,1005287.3608,39889.3983,180.756,34.6514,0.0,0.0,0.0,0.0,0.0
40,47.5,86.9754,438.1474,183.1662,286.0396,322.2615,1003481.0767,39829.7901,180.7651,34.6646,0.0,0.0,0.0,0.0,0.0
41,47.5,43.7751,441.8723,334.4696,286.1264,278.4863,1001914.9815,39770.1409,150.3169,34.2363,0.0,0.0,0.0,0.0,0.0
42,47.5,0.0,489.3723,756.9444,269.8757,148.5536,1002112.7584,39750.3513,93.2871,31.1246,0.0,0.0,0.0,0.0,0.0
43,47.5,21.888,514.9843,589.0211,229.6716,90.9644,1002678.0256,39749.5101,66.1194,26.1345,0.0,0.0,0.0,0.0,0.0
44,47.5,109.4399,453.0444,132.8419,181.9338,46.7616,1002698.2952,39747.4677,32.0023,20.4698,0.0,0.0,0.0,0.0,0.0
45,47.5,0.0,500.5444,158.9147,140.7494,90.1695,1002768.0448,39745.4691,59.2979,16.3982,0.0,0.0,0.0,0.0,0.0
46,47.5,21.888,526.1564,329.6988,97.2954,63.1793,1003038.7773,39745.4668,44.1026,11.3255,0.0,0.0,0.0,0.0,0.0
47,47.5,87.552,486.1044,108.7169,61.9628,0.5539,1003120.774,39745.4594,4.7533,6.7845,0.0,0.0,0.0,0.0,0.0
48,47.5,0.0,533.6044,31.152,44.8903,0.4013,1003195.9969,39746.6745,3.4436,4.9152,0.0,0.0,0.0,0.0,0.0
49,47.5,50.6294,530.475,106.3593,32.4977,33.1757,1003249.376,39746.6999,25.3712,3.8871,0.0,0.0,0.0,0.0,0.0
50,47.5,0.0,577.975,254.91,23.5196,0.2103,1003527.3763,39747.7173,1.8042,2.5752,0.0,0.0,0.0,0.0,0.0
51,47.5,0.0,625.475,484.401,17.0201,0.1522,1004028.4868,39748.756,1.3057,1.8636,0.0,0.0,0.0,0.0,0.0
52,47.5,32.8852,640.0898,33.1832,12.3162,0.1101,1004040.8762,39748.7594,0.9448,1.3485,0.0,0.0,0.0,0.0,0.0
53,47.5,0.0,687.5898,235.4465,8.9122,0.0797,1004285.0721,39749.0083,0.6837,0.9758,0.0,0.0,0.0,0.0,0.0
54,47.5,0.0,735.0898,1.3502,6.4489,0.0577,1004292.7535,39749.0579,0.4947,0.7061,0.0,0.0,0.0,0.0,0.0
55,47.5,0.0,782.5898,10.7918,4.6665,0.0417,1004308.1266,39749.1114,0.358,0.5109,0.0,0.0,0.0,0.0,0.0
56,47.5,0.0,830.0898,36.5472,3.3767,0.0302,1004347.9889,39750.1653,0.259,0.3697,0.0,0.0,0.0,0.0,0.0
57,47.5,0.0,877.5898,0.8502,2.4434,0.0218,1004351.2379,39750.1976,0.1874,0.2675,0.0,0.0,0.0,0.0,0.0
58,47.5,0.0,925.0898,0.8428,1.7681,0.0158,1004353.8165,39750.2301,0.1356,0.1936,0.0,0.0,0.0,0.0,0.0
59,47.5,0.0,972.5898,0.7909,1.2794,0.0114,1004355.8635,39750.2609,0.0981,0.1401,0.0,0.0,0.0,0.0,0.0
60,47.5,0.0,1020.0898,22.5376,0.9258,0.0083,1004379.31,39751.1618,0.071,0.1014,0.0,0.0,0.0,0.0,0.0
61,47.5,0.0,1067.5898,8.6979,0.6699,0.006,1004388.6655,39751.1746,0.0514,0.0733,0.0,0.0,0.0,0.0,0.0
62,47.5,0.0,1115.0898,30.2484,0.4847,0.0043,1004419.3898,39752.3842,0.0372,0.0531,0.0,0.0,0.0,0.0,0.0
63,47.5,0.0,1162.5898,0.6558,0.3508,0.0031,1004420.3899,39752.4102,0.0269,0.0384,0.0,0.0,0.0,0.0,0.0
64,47.5,0.0,1210.0898,19.6308,0.2538,0.0023,1004440.2699,39752.8221,0.0195,0.0278,0.0,0.0,0.0,0.0,0.0
65,47.5,0.0,1257.5898,27.172,0.1837,0.0016,1004467.6222,39753.9089,0.0141,0.0201,0.0,0.0,0.0,0.0,0.0
66,47.5,0.0,1305.0898,16.3005,0.1329,0.0012,1004484.0532,39754.1552,0.0102,0.0146,0.0,0.0,0.0,0.0,0.0
67,47.5,0.0,1352.5898,24.6518,0.0962,0.0009,1004508.7994,39755.1412,0.0074,0.0105,0.0,0.0,0.0,0.0,0.0
68,47.5,0.0,1400.0898,6.379,0.0696,0.0006,1004515.2468,39755.3963,0.0053,0.0076,0.0,0.0,0.0,0.0,0.0
69,47.5,0.0,1447.5898,20.454,0.0504,0.0005,1004535.7502,39755.8395,0.0039,0.0055,0.0,0.0,0.0,0.0,0.0
70,47.5,0.0,1495.0898,6.3078,0.0364,0.0003,1004542.0938,39756.0918,0.0028,0.004,0.0,0.0,0.0,0.0,0.0
71,47.5,0.0,1542.5898,10.1408,0.0264,0.0002,1004552.2604,39756.4974,0.002,0.0029,0.0,0.0,0.0,0.0,0.0
72,47.5,0.0,1590.0898,0.6611,0.0191,0.0002,1004552.9402,39756.5238,0.0015,0.0021,0.0,0.0,0.0,0.0,0.0
73,47.5,0.0,1637.5898,0.2729,0.0138,0.0001,1004553.2267,39756.5347,0.0011,0.0015,0.0,0.0,0.0,0.0,0.0
74,47.5,0.0,1685.0898,0.5831,0.01,0.0001,1004553.8196,39756.558,0.0008,0.0011,0.0,0.0,0.0,0.0,0.0
75,47.5,0.0,1732.5898,5.3371,0.0072,0.0001,1004559.1638,39756.7715,0.0006,0.0008,0.0,0.0,0.0,0.0,0.0
76,47.5,0.0,1780.0898,0.2737,0.0052,0.0,1004559.4426,39756.7825,0.0004,0.0006,0.0,0.0,0.0,0.0,0.0
77,47.5,0.0,1827.5898,0.3367,0.0038,0.0,1004559.783,39756.7959,0.0003,0.0004,0.0,0.0,0.0,0.0,0.0
78,47.5,0.0,1875.0898,17.7677,0.0027,0.0,1004577.5533,39757.101,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0
79,47.5,0.0,1922.5898,3.9404,0.002,0.0,1004581.4957,39757.2587,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0
80,47.5,0.0,1970.0898,6.3329,0.0014,0.0,1004587.8301,39757.512,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0
81,47.5,0.0,2017.5898,11.616,0.001,0.0,1004599.4471,39757.9766,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
82,47.5,0.0,2065.0898,5.1757,0.0008,0.0,1004604.6235,39758.1836,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
83,47.5,0.0,2112.5898,5.0077,0.0005,0.0,1004609.6317,39758.3839,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
84,47.5,0.0,2160.0898,4.5596,0.0004,0.0,1004614.1917,39758.5663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,47.5,0.0,2207.5898,0.1961,0.0003,0.0,1004614.3881,39758.5742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,47.5,0.0,2255.0898,5.551,0.0002,0.0,1004619.9393,39758.7962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,47.5,0.0,2302.5898,0.1063,0.0001,0.0,1004620.0457,39758.8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,47.5,0.0,2350.0898,0.3107,0.0001,0.0,1004620.3565,39758.8129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,47.5,0.0,2397.5898,20.003,0.0001,0.0,1004640.3595,39759.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,47.5,0.0,2445.0898,1.8025,0.0001,0.0,1004642.1621,39759.6851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,47.5,0.0,2492.5898,5.4654,0.0,0.0,1004647.6275,39759.9037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,47.5,0.0,2540.0898,0.3777,0.0,0.0,1004648.0053,39759.9188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,47.5,0.0,2587.5898,22.7923,0.0,0.0,1004670.7976,39760.8305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,47.5,0.0,2635.0898,0.4236,0.0,0.0,1004671.2212,39760.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,47.5,0.0,2682.5898,0.2995,0.0,0.0,1004671.5207,39760.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,47.5,0.0,2730.0898,12.0147,0.0,0.0,1004683.5354,39760.9344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,47.5,0.0,2777.5898,1.1639,0.0,0.0,1004684.6993,39760.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,47.5,0.0,2825.0898,0.1089,0.0,0.0,1004684.8082,39760.9854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,47.5,0.0,2872.5898,21.2372,0.0,0.0,1004706.0455,39761.8348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,47.5,0.0,2920.0898,1.3522,0.0,0.0,1004707.3977,39761.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,47.5,0.0,2967.5898,0.1209,0.0,0.0,1004707.5186,39761.8938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,47.5,0.0,3015.0898,0.6459,0.0,0.0,1004708.1645,39761.9196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,47.5,0.0,3062.5898,0.0364,0.0,0.0,1004708.2009,39761.9211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,47.5,0.0,3110.0898,0.0407,0.0,0.0,1004708.2416,39761.9227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,47.5,0.0,3157.5898,0.8077,0.0,0.0,1004709.0494,39761.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,47.5,0.0,3205.0898,2.5547,0.0,0.0,1004711.6041,39762.0572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,47.5,0.0,3252.5898,0.7721,0.0,0.0,1004712.3762,39762.0881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,47.5,0.0,3300.0898,1.3302,0.0,0.0,1004713.7064,39762.1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,47.5,0.0,3347.5898,1.5499,0.0,0.0,1004715.2563,39762.2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,47.5,0.0,3395.0898,5.4301,0.0,0.0,1004720.6864,39762.4205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,47.5,0.0,3442.5898,25.2914,0.0,0.0,1004745.9779,39763.4321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,47.5,0.0,3490.0898,2.7997,0.0,0.0,1004748.7776,39763.5441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,47.5,0.0,3537.5898,0.6249,0.0,0.0,1004749.4025,39763.5691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,47.5,0.0,3585.0898,5.9995,0.0,0.0,1004755.4019,39763.8091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,47.5,0.0,3632.5898,2.1047,0.0,0.0,1004757.5066,39763.8933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,47.5,0.0,3680.0898,30.0458,0.0,0.0,1004787.5524,39765.0951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,47.5,0.0,3727.5898,5.4081,0.0,0.0,1004792.9605,39765.3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,47.5,0.0,3775.0898,0.2031,0.0,0.0,1004793.1635,39765.3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,47.5,0.0,3822.5898,0.0456,0.0,0.0,1004793.2091,39765.3214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,47.5,0.0,3870.0898,0.0358,0.0,0.0,1004793.2448,39765.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,47.5,0.0,3917.5898,1.6315,0.0,0.0,1004794.8763,39765.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,47.5,0.0,3965.0898,0.0741,0.0,0.0,1004794.9504,39765.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,47.5,0.0,4012.5898,27.928,0.0,0.0,1004822.8784,39766.5082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,47.5,0.0,4060.0898,1.555,0.0,0.0,1004824.4334,39766.5704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,47.5,0.0,4107.5898,0.5918,0.0,0.0,1004825.0252,39766.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,47.5,0.0,4155.0898,2.1066,0.0,0.0,1004827.1318,39766.6783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,47.5,0.0,4202.5898,0.1071,0.0,0.0,1004827.2389,39766.6826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,47.5,0.0,4250.0898,0.0578,0.0,0.0,1004827.2967,39766.6849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,47.5,0.0,4297.5898,0.4601,0.0,0.0,1004827.7568,39766.7033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,47.5,0.0,4345.0898,0.6604,0.0,0.0,1004828.4172,39766.7297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,47.5,0.0,4392.5898,0.0924,0.0,0.0,1004828.5096,39766.7334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,47.5,0.0,4440.0898,9.0035,0.0,0.0,1004837.5131,39766.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,47.5,0.0,4487.5898,0.4375,0.0,0.0,1004837.9506,39766.7765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,47.5,0.0,4535.0898,1.6427,0.0,0.0,1004839.5932,39766.8422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,47.5,0.0,4582.5898,1.0257,0.0,0.0,1004840.6189,39766.8832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,47.5,0.0,4630.0898,0.7855,0.0,0.0,1004841.4044,39766.9146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,47.5,0.0,4677.5898,2.0177,0.0,0.0,1004843.4221,39766.9953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,47.5,0.0,4725.0898,0.0348,0.0,0.0,1004843.4569,39766.9967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,47.5,0.0,4772.5898,0.5482,0.0,0.0,1004844.0051,39767.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,47.5,0.0,4820.0898,0.0087,0.0,0.0,1004844.0138,39767.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,47.5,0.0,4867.5898,1.9428,0.0,0.0,1004845.9566,39767.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,47.5,0.0,4915.0898,27.9831,0.0,0.0,1004873.9397,39768.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,47.5,0.0,4962.5898,11.9626,0.0,0.0,1004885.9024,39768.2889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,47.5,0.0,5010.0898,0.4882,0.0,0.0,1004886.3905,39768.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,47.5,0.0,5057.5898,1.1233,0.0,0.0,1004887.5139,39768.3534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,47.5,0.0,5105.0898,0.4488,0.0,0.0,1004887.9627,39768.3714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,47.5,0.0,5152.5898,0.7084,0.0,0.0,1004888.6711,39768.3997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,47.5,0.0,5200.0898,1.5133,0.0,0.0,1004890.1844,39768.4602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,47.5,0.0,5247.5898,1.9081,0.0,0.0,1004892.0925,39768.5366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,47.5,0.0,5295.0898,1.1867,0.0,0.0,1004893.2792,39768.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,47.5,0.0,5342.5898,0.018,0.0,0.0,1004893.2972,39768.5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,47.5,0.0,5390.0898,0.4521,0.0,0.0,1004893.7493,39768.6028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,47.5,0.0,5437.5898,0.1311,0.0,0.0,1004893.8804,39768.6081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,47.5,0.0,5485.0898,0.08,0.0,0.0,1004893.9605,39768.6113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,47.5,0.0,5532.5898,0.5682,0.0,0.0,1004894.5286,39768.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,47.5,0.0,5580.0898,0.0771,0.0,0.0,1004894.6057,39768.6371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,47.5,0.0,5627.5898,0.4558,0.0,0.0,1004895.0615,39768.6553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,47.5,0.0,5675.0898,0.107,0.0,0.0,1004895.1685,39768.6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,47.5,0.0,5722.5898,0.2125,0.0,0.0,1004895.381,39768.6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,47.5,0.0,5770.0898,0.1932,0.0,0.0,1004895.5742,39768.6758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,47.5,0.0,5817.5898,0.1058,0.0,0.0,1004895.68,39768.6801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,47.5,0.0,5865.0898,0.0,0.0,0.0,1004895.68,39768.6801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,47.5,0.0,5912.5898,0.5617,0.0,0.0,1004896.2417,39768.7025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,47.5,0.0,5960.0898,0.0496,0.0,0.0,1004896.2913,39768.7045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,47.5,0.0,6007.5898,1.7107,0.0,0.0,1004898.002,39768.7729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,47.5,0.0,6055.0898,0.0355,0.0,0.0,1004898.0375,39768.7744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,47.5,0.0,6102.5898,0.4315,0.0,0.0,1004898.469,39768.7916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,47.5,0.0,6150.0898,0.0,0.0,0.0,1004898.469,39768.7916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,47.5,0.0,6197.5898,1.4525,0.0,0.0,1004899.9215,39768.8497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,47.5,0.0,6245.0898,0.0088,0.0,0.0,1004899.9302,39768.8501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,47.5,0.0,6292.5898,0.0083,0.0,0.0,1004899.9386,39768.8504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,47.5,0.0,6340.0898,0.5288,0.0,0.0,1004900.4673,39768.8715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,47.5,0.0,6387.5898,0.1342,0.0,0.0,1004900.6016,39768.8769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,47.5,0.0,6435.0898,0.0145,0.0,0.0,1004900.6161,39768.8775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,47.5,0.0,6482.5898,0.1393,0.0,0.0,1004900.7554,39768.8831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,47.5,0.0,6530.0898,0.1475,0.0,0.0,1004900.9029,39768.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,47.5,0.0,6577.5898,0.0,0.0,0.0,1004900.9029,39768.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,47.5,0.0,6625.0898,0.4156,0.0,0.0,1004901.3185,39768.9056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,47.5,0.0,6672.5898,0.0387,0.0,0.0,1004901.3572,39768.9071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,47.5,0.0,6720.0898,0.0,0.0,0.0,1004901.3572,39768.9071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,47.5,0.0,6767.5898,0.5513,0.0,0.0,1004901.9086,39768.9292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,47.5,0.0,6815.0898,0.1639,0.0,0.0,1004902.0725,39768.9358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,47.5,0.0,6862.5898,0.4917,0.0,0.0,1004902.5642,39768.9554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,47.5,0.0,6910.0898,0.0,0.0,0.0,1004902.5642,39768.9554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,47.5,0.0,6957.5898,0.1077,0.0,0.0,1004902.6719,39768.9597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,47.5,0.0,7005.0898,0.0,0.0,0.0,1004902.6719,39768.9597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,47.5,0.0,7052.5898,1.0717,0.0,0.0,1004903.7436,39769.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,47.5,0.0,7100.0898,0.0,0.0,0.0,1004903.7436,39769.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,47.5,0.0,7147.5898,0.494,0.0,0.0,1004904.2376,39769.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,47.5,0.0,7195.0898,0.0707,0.0,0.0,1004904.3083,39769.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,47.5,0.0,7242.5898,0.1061,0.0,0.0,1004904.4144,39769.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,47.5,0.0,7290.0898,0.8826,0.0,0.0,1004905.297,39769.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
