avg_inventory_max,avg_inventory_min,baseline_avg_inventory,baseline_backlog,baseline_external_procured_qty,baseline_fill_rate,baseline_total_cost,ending_backlog_cross_threshold_at,ending_backlog_max,ending_backlog_min,ending_backlog_monotonicity,external_procured_qty_max,external_procured_qty_min,fill_rate_cross_service_threshold_at,fill_rate_cross_soft_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,levels,max_backlog_increase,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,realism_focus,safe_band_high,safe_band_low,steepest_fill_segment,total_cost_cross_threshold_at,total_cost_max,total_cost_min,total_cost_monotonicity
19969537.7436,19490468.3142,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,607375.9018,588673.1008,non_monotonic,0.0,0.0,0.6,,0.888981,0.885454,non_monotonic,"[0.6, 0.8, 1.0, 1.2, 1.4]",13897.705199999968,0.0026209999999999845,38282.57330000028,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,supplier_capacity,,,"[0.6, 0.8]",,27959179.1342,27611228.8081,non_monotonic
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.6,,0.888075,0.888075,flat,"[0.6, 0.8, 1.0, 1.2, 1.5]",0.0,0.0,0.0,global,external_procurement_lead_days_scale,Delai appro externe,model_protection,,,"[0.6, 0.8]",,27920896.5609,27920896.5609,flat
19766472.3371,19766458.4034,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.6,,0.888075,0.888075,flat,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,16.94150000065565,supplier_stock_node,supplier_stock_node::SDC-1450,Stock fournisseur SDC-1450,supplier_buffer,,,"[0.6, 0.8]",,27920913.5024,27920879.7131,increasing
19766548.003,19766382.6146,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.6,,0.888075,0.888075,flat,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,17.911700002849102,supplier_stock_node,supplier_stock_node::SDC-VD0901566A,Stock fournisseur SDC-VD0901566A,supplier_buffer,,,"[0.6, 0.8]",,27920914.4726,27920878.6468,decreasing
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.6,,0.888075,0.888075,flat,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,0.0,supplier_stock_node,supplier_stock_node::SDC-VD0914360C,Stock fournisseur SDC-VD0914360C,supplier_buffer,,,"[0.6, 0.8]",,27920896.5609,27920896.5609,flat
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.6,,0.888075,0.888075,flat,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,0.0,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,supplier_buffer,,,"[0.6, 0.8]",,27920896.5609,27920896.5609,flat
20387381.9865,19101501.66,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,0.7,1166018.99,421104.3456,decreasing,0.0,0.0,0.7,0.7,0.920583,0.780098,increasing,"[0.7, 0.85, 1.0, 1.15, 1.3]",572540.7934,0.10797699999999999,468133.24020000175,capacity_node,capacity_node::M-1810,Capacite M-1810,operations_capacity,1.3,1.15,"[0.7, 0.85]",,28389029.8011,26978089.6335,increasing
25628415.7937,14899034.3178,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,0.7,865091.9973,428833.5863,decreasing,0.0,0.0,0.7,0.7,0.919125,0.836851,increasing,"[0.7, 0.85, 1.0, 1.15, 1.3]",271613.8007,0.051223999999999936,1565316.2723000012,capacity_node,capacity_node::M-1430,Capacite M-1430,operations_capacity,1.3,1.15,"[0.7, 0.85]",,29486212.8332,25014503.1206,increasing
20552270.0295,19544649.9333,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,635459.1883,572238.1118,non_monotonic,0.0,0.0,0.7,,0.89208,0.880158,non_monotonic,"[0.7, 0.85, 1.0, 1.2, 1.5]",41980.99170000001,0.007916999999999952,0.0,supplier_lead_time_node,supplier_lead_time_node::SDC-1450,Lead time fournisseur SDC-1450,supplier_lead_time,,,"[1.2, 1.5]",,27920896.5609,27616343.1293,non_monotonic
20027513.8225,16909523.7843,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,627099.7334,588942.717,non_monotonic,0.0,0.0,0.7,,0.88893,0.881734,non_monotonic,"[0.7, 0.85, 1.0, 1.2, 1.5]",33621.5368,0.00634099999999993,109759.34920000285,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914690A,Lead time fournisseur SDC-VD0914690A,supplier_lead_time,,,"[1.0, 1.2]",,28030655.9101,27624533.4518,non_monotonic
20009505.7643,19242489.3516,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,603499.2599,574838.8613,non_monotonic,0.0,0.0,0.7,,0.89159,0.886185,non_monotonic,"[0.7, 0.85, 1.0, 1.2, 1.5]",10021.063299999922,0.0018899999999999473,9555.660700000823,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0901566A,Lead time fournisseur SDC-VD0901566A,supplier_lead_time,,,"[0.85, 1.0]",,27930452.2216,27537930.0963,non_monotonic
19788762.3605,19335584.8866,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,602092.4976,585029.9397,non_monotonic,0.0,0.0,0.7,,0.889668,0.88645,non_monotonic,"[0.7, 0.85, 1.0, 1.2, 1.5]",8614.300999999978,0.0016249999999999876,0.0,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914360C,Lead time fournisseur SDC-VD0914360C,supplier_lead_time,,,"[0.7, 0.85]",,27920896.5609,27744913.719,non_monotonic
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.7,,0.888075,0.888075,flat,"[0.7, 1.0, 1.5, 2.0, 3.0]",0.0,0.0,0.0,global,external_procurement_cost_multiplier_scale,Surcout appro externe,economic_penalty,,,"[0.7, 1.0]",,27920896.5609,27920896.5609,flat
20975883.7987,15625784.001,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,638472.8165,577878.1369,non_monotonic,0.0,0.0,0.75,,0.891017,0.879589,non_monotonic,"[0.75, 0.9, 1.0, 1.1, 1.25, 1.5]",44994.61989999993,0.008485999999999994,637574.9089000002,global,lead_time_scale,Lead time global,exogenous_network,,,"[1.1, 1.25]",,28558471.4698,25654463.5969,non_monotonic
19766465.3509,18650639.4515,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,0.85,1883908.2504,593478.1966,decreasing,0.0,0.0,0.85,0.85,0.888075,0.64471,increasing,"[0.85, 0.9, 0.95, 1.0]",1290430.0537999999,0.24336499999999994,0.0,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,,,"[0.95, 1.0]",,27920896.5609,27245018.5595,non_monotonic
20310984.3017,19718716.7736,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,715528.6798,583921.8147,non_monotonic,0.0,0.0,0.85,,0.889877,0.865057,non_monotonic,"[0.85, 0.9, 0.95, 1.0]",122050.48320000002,0.023017999999999983,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0914360C,Fiabilite fournisseur SDC-VD0914360C,supplier_reliability,,,"[0.85, 0.9]",,27920896.5609,27756679.1674,non_monotonic
19766465.3509,19109708.6699,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,689527.716,593478.1966,non_monotonic,0.0,0.0,0.85,,0.888075,0.869961,non_monotonic,"[0.85, 0.9, 0.95, 1.0]",96049.51939999999,0.018113999999999963,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0901566A,Fiabilite fournisseur SDC-VD0901566A,supplier_reliability,,,"[0.85, 0.9]",,27920896.5609,27561589.6807,increasing
20070168.0178,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,610407.1364,574891.8827,non_monotonic,0.0,0.0,0.85,,0.89158,0.884882,non_monotonic,"[0.85, 0.9, 0.95, 1.0]",16928.939799999935,0.0031930000000000014,166464.40619999915,supplier_reliability_node,supplier_reliability_node::SDC-1450,Fiabilite fournisseur SDC-1450,supplier_reliability,,,"[0.9, 0.95]",,28087360.9671,27920896.5609,non_monotonic
19766465.3509,19139032.738,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,595488.092,555711.4088,non_monotonic,0.0,0.0,0.85,,0.895197,0.887696,non_monotonic,"[0.85, 0.9, 0.95, 1.0]",2009.8953999999212,0.0003789999999999072,102608.68670000136,supplier_reliability_node,supplier_reliability_node::SDC-VD0914690A,Fiabilite fournisseur SDC-VD0914690A,supplier_reliability,,,"[0.9, 0.95]",,28023505.2476,27736962.0994,non_monotonic
20407384.5385,19564212.9718,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,1.2,915486.9256,451789.1181,increasing,0.0,0.0,0.9,1.2,0.901438,0.847954,decreasing,"[0.8, 0.9, 1.0, 1.1, 1.2]",322008.72899999993,0.04012099999999996,97777.82809999958,demand_item,demand_item::item:268091,Demande 268091,market_demand,0.8,0.8,"[1.1, 1.2]",,28018674.389,27200550.356,non_monotonic
21603231.3432,17144369.7688,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,2.0,4161703.3164,593478.1966,increasing,0.0,0.0,1.0,2.0,0.888075,0.215136,decreasing,"[1.0, 2.0, 3.0, 5.0, 7.0]",3568225.1198,0.672939,0.0,global,review_period_scale,Periode de revue,planning_policy,,,"[1.0, 2.0]",,27920896.5609,18189413.5696,decreasing
21271148.8237,18701599.9895,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,1.2,798979.1048,425739.5461,increasing,0.0,0.0,1.0,,0.914176,0.858444,decreasing,"[0.8, 0.9, 1.0, 1.1, 1.2]",205500.90819999995,0.029630999999999963,969935.2944000028,demand_item,demand_item::item:268967,Demande 268967,market_demand,0.9,0.8,"[1.1, 1.2]",,28890831.8553,26311141.1677,increasing
