scope,owner_id,owner_type,panel_block,tab_label,asset_kind,classification,figure_kind,series_count,point_count,title,why
node,M-1810,factory,fourth,MRP detaille,figure,variable,line_multi,3,5475,M-1810 - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (5588 lignes node_id, 1264 src, 5588 dst)"
node,DC-1920,distribution_center,incoming,,figure,variable,line_multi,2,3650,DC-1920 - stock DC par item,serie issue de production_dc_stocks_daily.csv (3650 lignes)
node,DC-1920,distribution_center,outgoing,,figure,step_variable,line_multi,2,3641,DC-1920 - receptions journalieres par item,serie issue des receptions du DC via production_supplier_shipments_daily.csv par dst_node_id (2001 lignes)
node,DC-1920,distribution_center,third,,figure,step_variable,line_multi,2,3641,DC-1920 - expeditions journalieres par item,serie issue des expeditions du DC via production_supplier_shipments_daily.csv par src_node_id (1923 lignes) ou carnet html
node,DC-1920,distribution_center,fourth,Reappro amont,figure,variable,line_multi,2,2758,DC-1920 - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (2001 lignes node_id, 1923 src, 2001 dst)"
node,DC-1920,distribution_center,fourth,Carnet,html,text,,0,0,,serie issue des expeditions du DC via production_supplier_shipments_daily.csv par src_node_id (1923 lignes) ou carnet html
node,DC-1920,distribution_center,fourth,Risque,figure,variable,line_multi,4,7300,DC-1920 - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (2001 lignes node_id, 1923 src, 2001 dst)"
node,DC-1920,distribution_center,fourth,MRP detaille,figure,variable,line_multi,3,5475,DC-1920 - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (2001 lignes node_id, 1923 src, 2001 dst)"
node,SDC-VD0520132A,supplier_dc,incoming,,figure,step_variable,line_multi,2,3650,SDC-VD0520132A - stock fournisseur par item,serie issue de production_supplier_stocks_daily.csv (3650 lignes)
node,SDC-VD0520132A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,2,3514,SDC-VD0520132A - expeditions journalieres par item,serie issue de production_supplier_shipments_daily.csv par src_node_id (32 lignes)
node,SDC-VD0520132A,supplier_dc,third,,figure,sparse_pulses,line_multi,2,3650,SDC-VD0520132A - utilisation capacite par item,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD0520132A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,62,SDC-VD0520132A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 32 src, 0 dst)"
node,SDC-VD0520132A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD0520132A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0520132A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 32 src, 0 dst)"
node,SDC-VD0520132A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0520132A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 32 src, 0 dst)"
node,SDC-VD0914690A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0914690A - stock fournisseur par item - 042342,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0914690A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1740,SDC-VD0914690A - expeditions journalieres par item - 042342,serie issue de production_supplier_shipments_daily.csv par src_node_id (16 lignes)
node,SDC-VD0914690A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0914690A - utilisation capacite par item - 042342,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0914690A,supplier_dc,fourth,Reappro amont,figure,constant,line_multi,2,32,SDC-VD0914690A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 16 src, 0 dst)"
node,SDC-VD0914690A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0914690A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0914690A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 16 src, 0 dst)"
node,SDC-VD0914690A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0914690A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 16 src, 0 dst)"
node,SDC-VD0525412A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0525412A - stock fournisseur par item - 333362,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0525412A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1809,SDC-VD0525412A - expeditions journalieres par item - 333362,serie issue de production_supplier_shipments_daily.csv par src_node_id (74 lignes)
node,SDC-VD0525412A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0525412A - utilisation capacite par item - 333362,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0525412A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,148,SDC-VD0525412A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 74 src, 0 dst)"
node,SDC-VD0525412A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0525412A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0525412A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 74 src, 0 dst)"
node,SDC-VD0525412A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0525412A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 74 src, 0 dst)"
node,SDC-VD0993480A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0993480A - stock fournisseur par item - 344135,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0993480A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1809,SDC-VD0993480A - expeditions journalieres par item - 344135,serie issue de production_supplier_shipments_daily.csv par src_node_id (67 lignes)
node,SDC-VD0993480A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0993480A - utilisation capacite par item - 344135,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0993480A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,134,SDC-VD0993480A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 67 src, 0 dst)"
node,SDC-VD0993480A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0993480A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0993480A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 67 src, 0 dst)"
node,SDC-VD0993480A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0993480A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 67 src, 0 dst)"
node,SDC-VD0520115A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0520115A - stock fournisseur par item - 708073,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0520115A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1154,SDC-VD0520115A - expeditions journalieres par item - 708073,serie issue de production_supplier_shipments_daily.csv par src_node_id (2 lignes)
node,SDC-VD0520115A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0520115A - utilisation capacite par item - 708073,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0520115A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,4,SDC-VD0520115A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 2 src, 0 dst)"
node,SDC-VD0520115A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0520115A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0520115A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 2 src, 0 dst)"
node,SDC-VD0520115A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0520115A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 2 src, 0 dst)"
node,SDC-VD0508918A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0508918A - stock fournisseur par item - 730384,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0508918A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1634,SDC-VD0508918A - expeditions journalieres par item - 730384,serie issue de production_supplier_shipments_daily.csv par src_node_id (6 lignes)
node,SDC-VD0508918A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0508918A - utilisation capacite par item - 730384,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0508918A,supplier_dc,fourth,Reappro amont,figure,constant,line_multi,2,12,SDC-VD0508918A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 6 src, 0 dst)"
node,SDC-VD0508918A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0508918A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0508918A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 6 src, 0 dst)"
node,SDC-VD0508918A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0508918A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 6 src, 0 dst)"
node,SDC-VD1095770A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD1095770A - stock fournisseur par item - 734545,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD1095770A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1809,SDC-VD1095770A - expeditions journalieres par item - 734545,serie issue de production_supplier_shipments_daily.csv par src_node_id (11 lignes)
node,SDC-VD1095770A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD1095770A - utilisation capacite par item - 734545,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD1095770A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,22,SDC-VD1095770A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 11 src, 0 dst)"
node,SDC-VD1095770A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD1095770A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD1095770A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 11 src, 0 dst)"
node,SDC-VD1095770A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD1095770A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 11 src, 0 dst)"
node,SDC-VD0951020A,supplier_dc,incoming,,figure,step_variable,line_multi,3,5475,SDC-VD0951020A - stock fournisseur par item,serie issue de production_supplier_stocks_daily.csv (5475 lignes)
node,SDC-VD0951020A,supplier_dc,outgoing,,figure,step_variable,line_multi,3,3450,SDC-VD0951020A - expeditions journalieres par item,serie issue de production_supplier_shipments_daily.csv par src_node_id (1373 lignes)
node,SDC-VD0951020A,supplier_dc,third,,figure,step_variable,line_multi,3,5475,SDC-VD0951020A - utilisation capacite par item,serie issue de production_supplier_capacity_daily.csv (5475 lignes) ou carnet MRP html
node,SDC-VD0951020A,supplier_dc,fourth,Reappro amont,figure,variable,line_multi,2,2198,SDC-VD0951020A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 1373 src, 0 dst)"
node,SDC-VD0951020A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (5475 lignes) ou carnet MRP html
node,SDC-VD0951020A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0951020A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 1373 src, 0 dst)"
node,SDC-VD0951020A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0951020A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 1373 src, 0 dst)"
node,SDC-VD0519670A,supplier_dc,incoming,,figure,step_variable,line_multi,2,3650,SDC-VD0519670A - stock fournisseur par item,serie issue de production_supplier_stocks_daily.csv (3650 lignes)
node,SDC-VD0519670A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,2,2497,SDC-VD0519670A - expeditions journalieres par item,serie issue de production_supplier_shipments_daily.csv par src_node_id (8 lignes)
node,SDC-VD0519670A,supplier_dc,third,,figure,sparse_pulses,line_multi,2,3650,SDC-VD0519670A - utilisation capacite par item,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD0519670A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,16,SDC-VD0519670A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 8 src, 1 dst)"
node,SDC-VD0519670A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD0519670A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0519670A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 8 src, 1 dst)"
node,SDC-VD0519670A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0519670A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 8 src, 1 dst)"
node,SDC-VD0518684A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0518684A - stock fournisseur par item - 001893,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0518684A,supplier_dc,outgoing,,figure,constant,line_multi,1,1,SDC-VD0518684A - expeditions journalieres par item - 001893,serie issue de production_supplier_shipments_daily.csv par src_node_id (2 lignes)
node,SDC-VD0518684A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0518684A - utilisation capacite par item - 001893,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0518684A,supplier_dc,fourth,Reappro amont,figure,constant,line_multi,2,2,SDC-VD0518684A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 2 src, 1 dst)"
node,SDC-VD0518684A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0518684A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0518684A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 2 src, 1 dst)"
node,SDC-VD0518684A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0518684A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 2 src, 1 dst)"
node,SDC-VD0910216A,supplier_dc,incoming,,figure,step_variable,line_multi,2,3650,SDC-VD0910216A - stock fournisseur par item,serie issue de production_supplier_stocks_daily.csv (3650 lignes)
node,SDC-VD0910216A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,2,1608,SDC-VD0910216A - expeditions journalieres par item,serie issue de production_supplier_shipments_daily.csv par src_node_id (8 lignes)
node,SDC-VD0910216A,supplier_dc,third,,figure,sparse_pulses,line_multi,2,3650,SDC-VD0910216A - utilisation capacite par item,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD0910216A,supplier_dc,fourth,Reappro amont,figure,quasi_constant,line_multi,2,16,SDC-VD0910216A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 8 src, 1 dst)"
node,SDC-VD0910216A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD0910216A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0910216A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 8 src, 1 dst)"
node,SDC-VD0910216A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0910216A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 8 src, 1 dst)"
node,SDC-VD1091642A,supplier_dc,incoming,,figure,step_variable,line_multi,2,3650,SDC-VD1091642A - stock fournisseur par item,serie issue de production_supplier_stocks_daily.csv (3650 lignes)
node,SDC-VD1091642A,supplier_dc,outgoing,,figure,constant,line_multi,1,1,SDC-VD1091642A - expeditions journalieres par item - 001893,serie issue de production_supplier_shipments_daily.csv par src_node_id (2 lignes)
node,SDC-VD1091642A,supplier_dc,third,,figure,sparse_pulses,line_multi,2,3650,SDC-VD1091642A - utilisation capacite par item,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD1091642A,supplier_dc,fourth,Reappro amont,figure,constant,line_multi,2,2,SDC-VD1091642A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 2 src, 1 dst)"
node,SDC-VD1091642A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (3650 lignes) ou carnet MRP html
node,SDC-VD1091642A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD1091642A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 2 src, 1 dst)"
node,SDC-VD1091642A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD1091642A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (1 lignes node_id, 2 src, 1 dst)"
node,SDC-VD0500655A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0500655A - stock fournisseur par item - 002612,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0500655A,supplier_dc,outgoing,,none,,,0,0,,serie issue de production_supplier_shipments_daily.csv par src_node_id (0 lignes)
node,SDC-VD0500655A,supplier_dc,third,,figure,all_zero,line_multi,1,1825,SDC-VD0500655A - utilisation capacite par item - 002612,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0500655A,supplier_dc,fourth,Reappro amont,none,,,0,0,,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 0 src, 0 dst)"
node,SDC-VD0500655A,supplier_dc,fourth,Carnet,html,text_empty,,0,0,html vide ou message d'absence,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0500655A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0500655A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 0 src, 0 dst)"
node,SDC-VD0500655A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0500655A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 0 src, 0 dst)"
node,SDC-VD0990780A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0990780A - stock fournisseur par item - 002612,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0990780A,supplier_dc,outgoing,,none,,,0,0,,serie issue de production_supplier_shipments_daily.csv par src_node_id (0 lignes)
node,SDC-VD0990780A,supplier_dc,third,,figure,all_zero,line_multi,1,1825,SDC-VD0990780A - utilisation capacite par item - 002612,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0990780A,supplier_dc,fourth,Reappro amont,none,,,0,0,,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 0 src, 0 dst)"
node,SDC-VD0990780A,supplier_dc,fourth,Carnet,html,text_empty,,0,0,html vide ou message d'absence,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0990780A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0990780A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 0 src, 0 dst)"
node,SDC-VD0990780A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0990780A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 0 src, 0 dst)"
node,SDC-VD0514881A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD0514881A - stock fournisseur par item - 016332,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD0514881A,supplier_dc,outgoing,,figure,sparse_pulses,line_multi,1,1613,SDC-VD0514881A - expeditions journalieres par item - 016332,serie issue de production_supplier_shipments_daily.csv par src_node_id (8 lignes)
node,SDC-VD0514881A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD0514881A - utilisation capacite par item - 016332,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0514881A,supplier_dc,fourth,Reappro amont,figure,constant,line_multi,2,16,SDC-VD0514881A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 8 src, 0 dst)"
node,SDC-VD0514881A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD0514881A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD0514881A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 8 src, 0 dst)"
node,SDC-VD0514881A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD0514881A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 8 src, 0 dst)"
node,SDC-VD1096202A,supplier_dc,incoming,,figure,step_variable,line_multi,1,1825,SDC-VD1096202A - stock fournisseur par item - 039668,serie issue de production_supplier_stocks_daily.csv (1825 lignes)
node,SDC-VD1096202A,supplier_dc,outgoing,,figure,constant,line_multi,1,1,SDC-VD1096202A - expeditions journalieres par item - 039668,serie issue de production_supplier_shipments_daily.csv par src_node_id (1 lignes)
node,SDC-VD1096202A,supplier_dc,third,,figure,sparse_pulses,line_multi,1,1825,SDC-VD1096202A - utilisation capacite par item - 039668,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD1096202A,supplier_dc,fourth,Reappro amont,figure,constant,line_multi,2,2,SDC-VD1096202A - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 1 src, 0 dst)"
node,SDC-VD1096202A,supplier_dc,fourth,Carnet,html,text,,0,0,,serie issue de production_supplier_capacity_daily.csv (1825 lignes) ou carnet MRP html
node,SDC-VD1096202A,supplier_dc,fourth,Risque,figure,variable,line_multi,4,7300,SDC-VD1096202A - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 1 src, 0 dst)"
node,SDC-VD1096202A,supplier_dc,fourth,MRP detaille,figure,quasi_constant,line_multi,3,5475,SDC-VD1096202A - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (0 lignes node_id, 1 src, 0 dst)"
