day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
141,74.834142,32566.534894,1351.605954,636.369099,5.2338,302.963956,3.82,2075.76437,2.985344,2.255586,13.918949,1.71738,376.824,0.599256,0.053491,0.034155,6.149876,0.105306,1.466675,1279.13623,995.24055,7.26,626.432854,983182.720878
142,74.834142,32943.672394,1353.528547,702.619099,5.2338,297.928956,3.82,2305.063922,3.023914,2.246907,13.735741,1.690863,424.4072,0.587685,0.053491,0.033191,6.185553,0.105885,1.514887,1315.38623,971.49055,7.7825,616.790354,983180.796609
143,74.418537,33320.809894,1329.778547,708.869099,5.422137,292.893956,3.63,2534.363475,3.062484,2.255586,13.717421,1.645061,347.2672,0.587685,0.053491,0.032226,6.185553,0.105306,1.514887,1321.63623,947.74055,8.305,617.297854,983179.078519
144,74.002931,31922.525997,1306.028547,715.119099,5.2338,287.858956,3.82,2305.063922,3.094964,2.275833,13.717421,1.633008,394.8504,0.599256,0.053491,0.033191,6.185553,0.103378,1.5631,1331.944608,924.726838,8.04375,648.933249,983177.589446
145,73.587326,30489.403497,1282.278547,691.369099,5.2338,282.823956,3.63,2075.76437,3.093929,2.296082,13.809024,1.666757,442.4336,0.599256,0.054455,0.033191,6.149876,0.103378,1.611312,1308.194608,900.976838,7.7825,654.881149,983176.927534
146,73.947766,30866.540997,1258.528547,727.619099,5.422137,285.929756,3.63,1846.464817,3.132498,2.267155,13.790704,1.64024,490.0168,0.587685,0.054455,0.033191,6.149876,0.105499,1.5631,1284.444608,915.626838,7.52125,645.238649,983179.381223
147,73.532161,29433.418497,1259.771713,763.869099,5.422137,280.894756,3.63,1617.165265,3.093928,2.275833,13.6991,1.596849,622.86,0.599256,0.054455,0.035119,6.114199,0.106849,1.659525,1318.800985,891.876838,7.7825,635.596149,983178.062519
148,73.554035,28000.295997,1236.021713,770.119099,5.2338,275.859756,3.63,2534.363475,3.055358,2.29319,13.607496,1.647472,622.86,0.587685,0.055419,0.035119,6.109501,0.108778,1.804162,1325.050985,890.953425,7.52125,625.953649,983176.247712
149,73.13843,26567.173497,1289.071713,746.369099,5.045462,270.824756,4.01,2763.663027,3.016788,2.284511,13.46093,1.628187,622.86,0.599256,0.054455,0.034155,6.111378,0.108199,1.75595,1331.300985,887.96114,7.52125,641.544049,983174.221096
150,72.722824,26944.310997,1265.321713,752.619099,5.045462,265.789756,3.82,2992.96258,3.016788,2.264262,13.46093,1.633008,622.86,0.599256,0.056383,0.034155,6.111378,0.109549,1.707737,1307.550985,887.623639,7.7825,657.927078,983172.621246
151,72.307219,27321.448497,1266.670499,818.869099,5.045462,260.754756,3.82,3222.262132,3.016788,2.296082,13.570855,1.599259,545.72,0.587685,0.056383,0.033191,6.075701,0.108778,1.707737,1342.88423,863.873639,8.04375,657.812533,983172.621242
152,71.891613,25888.325997,1243.656787,795.119099,5.045462,255.719756,3.63,2992.96258,3.016788,2.287404,13.6991,1.60167,545.72,0.576114,0.055419,0.033191,6.040024,0.109549,1.659525,1412.227853,955.323639,7.7825,648.170033,983172.876098
153,71.476008,24455.203497,1258.306787,771.369099,5.422137,254.499202,3.63,2763.663027,3.016788,2.258477,13.515892,1.592028,469.664832,0.576114,0.055419,0.033191,6.075701,0.108778,1.611312,1388.477853,953.024852,7.7825,663.760433,983172.665501
154,71.060402,23221.892896,1272.956787,747.619099,5.610475,249.464202,3.63,2763.663027,2.978218,2.238227,13.589175,1.659525,392.524832,0.587685,0.054455,0.032226,6.077579,0.106849,1.611312,1364.727853,929.274852,8.04375,673.625303,983172.01509
155,70.644797,21788.770396,1249.206787,753.869099,5.422137,249.464202,3.44,2763.663027,3.055358,2.2093,13.552534,1.628187,315.384832,0.587685,0.053491,0.031262,6.077579,0.104921,1.659525,1370.977853,929.852259,8.8275,664.47241,983171.908122
156,70.229192,23976.167896,1263.856787,730.119099,5.2338,252.570002,3.63,2763.663027,3.016788,2.206407,13.644138,1.587206,238.244832,0.576114,0.053491,0.031262,6.041902,0.104342,1.707737,1375.28623,906.102259,9.08875,654.82991,983169.77277
157,69.813586,24353.305396,1240.106787,735.548345,5.2338,255.675802,3.63,3222.262132,3.055358,2.246906,13.644137,1.587206,234.0744,0.564543,0.055419,0.032226,6.006224,0.103763,1.707737,1381.53623,920.752259,8.8275,660.77781,983169.452451
158,69.397981,24730.442896,1240.106787,711.798345,5.610475,258.781602,3.63,2992.96258,3.093928,2.258477,13.515892,1.606491,281.6576,0.564543,0.054455,0.032226,6.006224,0.105692,1.804162,1387.78623,897.002259,9.61125,651.13531,983167.956386
159,68.982375,23297.320396,1216.356787,718.048345,5.422137,261.887402,3.44,2992.96258,3.055358,2.278726,13.351005,1.661936,329.2408,0.564543,0.053491,0.032226,5.970547,0.103763,1.804162,1454.03623,911.652259,9.61125,641.49281,983167.635787
160,68.982375,23674.457896,1192.606787,757.583968,5.2338,256.852402,3.25,2763.663027,3.055358,2.278726,13.570854,1.645061,252.1008,0.552972,0.052526,0.032226,5.93487,0.103185,1.852375,1490.28623,887.902259,9.35,641.210357,983166.08215
161,68.982375,24051.595396,1168.856787,763.833968,5.045462,251.817402,3.25,2992.96258,3.016788,2.258477,13.479251,1.633008,424.4072,0.541401,0.052526,0.034155,5.934682,0.104342,1.852375,1556.53623,864.152259,9.35,647.158257,983165.868614
162,68.56677,26076.752794,1145.106787,800.083968,5.422137,246.782402,3.06,3222.262132,3.016788,2.238227,13.497571,1.608902,347.2672,0.541401,0.051562,0.034155,5.899005,0.107813,1.852375,1592.78623,864.152259,9.35,637.515757,983165.548271
163,68.151164,28264.150294,1159.756787,776.333968,5.610475,250.393149,3.06,2992.96258,3.093928,2.2093,13.607496,1.616134,519.5736,0.52983,0.052526,0.033191,5.898065,0.108392,1.852375,1599.03623,878.802259,9.35,627.873257,983165.373187
164,68.173038,26831.027794,1174.406787,840.594345,5.798812,245.358149,3.06,2763.663027,3.093928,2.238227,13.625817,1.599259,567.1568,0.518259,0.052526,0.033191,5.899943,0.107042,1.852375,1605.28623,979.352259,9.35,618.230757,983166.546815
165,67.757433,25397.905294,1227.456787,844.806722,5.798812,244.353083,3.06,2534.363475,3.055358,2.229549,13.772383,1.565511,614.74,0.518259,0.051562,0.035119,5.864266,0.11167,1.804162,1581.53623,979.352259,9.61125,608.588257,983164.838533
166,67.757432,23964.782794,1225.158,885.115099,5.610475,247.458883,2.87,2534.363475,3.016788,2.238227,13.93727,1.60167,622.86,0.506688,0.051562,0.036083,5.828588,0.111477,1.804162,1587.78623,955.602259,9.35,598.945757,983166.323434
167,67.341827,24341.920294,1226.989164,861.365099,5.798812,247.458883,2.87,2534.363475,3.093725,2.229549,14.010553,1.604081,545.72,0.52983,0.050598,0.036083,5.792911,0.111477,1.75595,1564.03623,970.252259,9.08875,620.640902,983168.779087
168,68.173038,22908.797794,1203.239164,867.615099,5.98715,242.423883,3.25,2992.96258,3.095755,2.229549,14.212081,1.589617,545.72,0.52983,0.050598,0.035119,5.757234,0.112827,1.75595,1570.28623,984.902259,9.35,642.179202,983166.854241
169,67.757432,26947.086729,1183.205714,843.865099,5.798812,237.388883,3.06,2763.663027,3.057185,2.2093,14.376968,1.657114,545.72,0.518259,0.051562,0.034155,5.721557,0.110899,1.707737,1605.715476,1024.545424,9.08875,642.179202,983169.847638
170,67.341827,29134.484229,1236.255714,820.115099,5.98715,233.373038,3.06,2534.363475,3.057185,2.200622,14.212081,1.664346,622.86,0.52983,0.052526,0.035119,5.685879,0.109549,1.659525,1641.965476,1000.795424,9.08875,632.784409,983168.779959
171,66.926221,31321.881729,1274.655714,796.365099,5.798812,240.699091,2.87,2763.663027,3.057185,2.200622,14.43193,1.642651,545.72,0.564543,0.052526,0.035119,5.650202,0.109549,1.611312,1648.215476,977.045424,8.8275,633.810707,983167.178445
172,66.948095,29888.759229,1250.905714,772.615099,5.610475,243.571428,3.44,2992.96258,3.018615,2.217978,14.596816,1.645061,468.58,0.552972,0.051562,0.036083,5.650195,0.10897,1.659525,1654.465476,953.295424,9.35,680.581907,983167.536558
173,66.53249,28455.636729,1342.355714,748.865099,5.610475,238.536428,3.63,3451.561685,2.980045,2.258477,14.505213,1.633008,392.524832,0.564543,0.050598,0.037048,5.650195,0.107042,1.659525,1690.715476,1068.495424,9.08875,686.529807,983165.61577
174,66.554364,28832.774229,1341.432301,755.115099,5.422137,233.501428,3.44,3222.262132,2.980045,2.249798,14.340326,1.620955,315.384832,0.552972,0.051562,0.038012,5.614517,0.107042,1.611312,1666.965476,1083.145424,8.8275,686.529807,983166.986994
175,66.554364,29044.775212,1320.509798,761.365099,5.422137,228.466428,3.82,3222.262132,2.980045,2.238227,14.358647,1.661936,238.244832,0.552972,0.050598,0.037048,5.57884,0.107042,1.611312,1702.106722,1059.395424,8.56625,676.887307,983168.11003
