real_mean,sim_mean,bias,mae,corr,sim_over_real,calibrated_scale,calibrated_sim_mean,calibrated_bias,calibrated_mae,rule
930695.2119230769,1023172.7298781846,92477.5179551077,169233.57870632864,0.36802485683787267,1.0993639128797315,0.904995059782308,925966.2658437347,-4728.946079341986,111509.84571716526,physical_minus_future_need_lead_only_eur
930695.2119230769,1033434.7906062414,102739.57868316442,176619.58292257966,0.37386632332575304,1.1103901442351636,0.8956334405080847,925578.75705142,-5116.454871656908,111240.82191345547,physical_minus_future_need_45d_eur
930695.2119230769,1044374.0632675075,113678.85134443041,181820.89280086753,0.3910827577045477,1.122144016524527,0.8866541995022762,925998.6490473914,-4696.56287568566,111283.77519462197,physical_minus_future_need_30d_eur
930695.2119230769,1050553.4475397074,119858.2356166304,185890.0068232368,0.39810286882478396,1.1287835524252563,0.8816220137983,926191.0460227033,-4504.165900373476,110498.85587280136,physical_minus_future_need_21d_eur
930695.2119230769,1055658.3050673688,124963.09314429194,189184.33696782138,0.3994474804394058,1.1342685462903406,0.8775028363381094,926343.1569004972,-4352.055022579508,110768.53506782615,physical_minus_future_need_14d_eur
930695.2119230769,1056760.2402914227,126065.02836834578,190003.53507499828,0.3981944945286488,1.135452537794688,0.8766074701633657,926363.9208110945,-4331.291111982403,110601.34475857134,physical_minus_future_need_safety_only_eur
930695.2119230769,1060638.4373753073,129943.22545223038,191659.3454013444,0.40566890660209354,1.1396195271959457,0.8736223289722062,926597.4218572576,-4097.790065819532,110132.7814991981,physical_minus_future_need_7d_eur
930695.2119230769,1065466.6865527765,134771.47462969966,194553.5916492181,0.4135370815441761,1.1448073149008944,0.8699023668033301,926851.9923823623,-3843.2195407147565,109753.90558752362,physical_stock_value_eur
930695.2119230769,300078.2675691755,-630616.9443539014,630616.9443539014,-0.5358764900101481,0.3224237792618808,2.9173891593996535,875445.0847777415,-55250.12714533562,225250.23588724306,useful_for_future_need_730d_eur
930695.2119230769,265485.90453525865,-665209.3073878182,665209.3073878182,-0.5181146815429001,0.285255474761378,3.2788394692562,870485.6623213895,-60209.549601687366,229970.38980069387,useful_for_future_need_540d_eur
930695.2119230769,226174.46492222926,-704520.7470008477,704520.7470008477,-0.4782254727982589,0.24301668475857902,3.7998977422566753,859439.8386140905,-71255.37330898657,241137.87335622872,useful_for_future_need_365d_eur
930695.2119230769,190223.27259680114,-740471.9393262757,740471.9393262757,-0.22681659086559197,0.2043883649124471,4.504193051504119,856802.3426648856,-73892.86925819136,236909.50432437306,useful_for_future_need_270d_eur
930695.2119230769,128180.85901419385,-802514.352908883,802514.352908883,0.3054428012651824,0.1377259250634118,5.979085145191041,766404.2700295935,-164290.94189348345,326542.1697017035,useful_for_future_need_180d_eur
930695.2119230769,84109.00734438268,-846586.2045786942,846586.2045786942,0.2782002913128725,0.0903722360090259,7.710801924022769,648547.8956587112,-282147.3162643656,434560.1088578216,useful_for_future_need_120d_eur
930695.2119230769,63299.610392526534,-867395.6015305505,867395.6015305505,0.25387560881135124,0.06801325458818233,9.020854080476203,571016.5487019768,-359678.66322110005,512183.021990958,useful_for_future_need_90d_eur
930695.2119230769,51798.00551892115,-878897.2064041557,878897.2064041557,0.197474706927734,0.05565517567442081,10.773778986084986,558060.2633808667,-372634.94854221016,535842.0690027935,useful_for_future_need_lead_plus_safety_eur
930695.2119230769,42629.35489929347,-888065.8570237833,888065.8570237833,0.15609652879032004,0.04580377587976335,10.726187636507216,457250.45947307977,-473444.75244999706,615055.2564024846,useful_for_future_need_60d_eur
930695.2119230769,42293.956674591915,-888401.255248485,888401.255248485,0.1852473800934462,0.04544340202116304,12.141562546678673,513514.7203110757,-417180.4916120014,569914.1245126252,useful_for_future_need_lead_only_eur
930695.2119230769,32031.895946535187,-898663.3159765417,898663.3159765417,0.1259433117846636,0.03441717066573097,12.141823898694152,388925.63972412527,-541769.5721989516,666697.9623588303,useful_for_future_need_45d_eur
930695.2119230769,21092.623285269226,-909602.5886378079,909602.5886378079,0.0812996242014512,0.02266329837636745,14.50212783977116,305887.9193591083,-624807.2925639686,730783.9655230753,useful_for_future_need_30d_eur
930695.2119230769,14913.23901306923,-915781.9729100076,915781.9729100076,0.06263468616434419,0.016023762475638293,17.83489892630735,265976.1104619533,-664719.1014611237,756315.3806077053,useful_for_future_need_21d_eur
930695.2119230769,9808.38148540769,-920886.8304376694,920886.8304376694,0.08315924139651888,0.010538768610553854,23.159892521931877,227161.06101614868,-703534.1509069283,775395.0881847726,useful_for_future_need_14d_eur
930695.2119230769,8706.446261353845,-921988.7656617232,921988.7656617232,0.12045230134490721,0.009354777106206327,30.58483888330333,266285.256149646,-664409.955773431,763614.3733654673,useful_for_future_need_safety_only_eur
930695.2119230769,4828.249177469231,-925866.9627456076,925866.9627456076,0.08561670487168208,0.005187787704948773,36.82403533910104,177795.61833711245,-752899.5935859644,811168.6537434789,useful_for_future_need_7d_eur
