snapshot_dt,day,sim_day,real_value_eur,day_sim,physical_stock_value_eur,mrp_target_excess_eur,physical_minus_future_need_7d_eur,useful_for_future_need_7d_eur,physical_minus_future_need_14d_eur,useful_for_future_need_14d_eur,physical_minus_future_need_21d_eur,useful_for_future_need_21d_eur,physical_minus_future_need_30d_eur,useful_for_future_need_30d_eur,physical_minus_future_need_45d_eur,useful_for_future_need_45d_eur,physical_minus_future_need_60d_eur,useful_for_future_need_60d_eur,physical_minus_future_need_90d_eur,useful_for_future_need_90d_eur,physical_minus_future_need_120d_eur,useful_for_future_need_120d_eur,physical_minus_future_need_180d_eur,useful_for_future_need_180d_eur,physical_minus_future_need_270d_eur,useful_for_future_need_270d_eur,physical_minus_future_need_365d_eur,useful_for_future_need_365d_eur,physical_minus_future_need_540d_eur,useful_for_future_need_540d_eur,physical_minus_future_need_730d_eur,useful_for_future_need_730d_eur,physical_minus_future_need_lead_only_eur,useful_for_future_need_lead_only_eur,physical_minus_future_need_safety_only_eur,useful_for_future_need_safety_only_eur,physical_minus_future_need_lead_plus_safety_eur,useful_for_future_need_lead_plus_safety_eur
2025-03-17 00:06:59,75,74,899331.26,74,1032767.842601315,968217.303729895,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,950278.199119715,82489.6434816,855812.993897315,176954.84870399997,782755.763133085,250012.07946823,740682.0454330851,292085.79716822994,701828.607483165,330939.23511814995,1032767.842601315,0.0,1032767.842601315,0.0,1026746.664473315,6021.178128
2025-03-24 00:06:50,82,81,826291.24,81,1032767.842601315,968595.164107115,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,1032767.842601315,0.0,902159.2404221151,130608.6021792,844515.3030269151,188252.5395744,782755.763133085,250012.07946823,740682.0454330851,292085.79716822994,699718.165933165,333049.67666814994,1032767.842601315,0.0,1032767.842601315,0.0,1026244.899629315,6522.942971999999
2025-03-31 00:07:56,89,88,860620.24,88,1043627.842601315,980136.230017715,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,902135.1902405149,141492.65236079998,851138.668950515,192489.1736508,793615.763133085,250012.07946823,748566.113833165,295061.7287681499,710578.165933165,333049.67666814994,1043627.842601315,0.0,1043627.842601315,0.0,1037104.899629315,6522.942971999999
2025-04-07 00:06:16,96,95,844469.28,95,1043627.842601315,980100.929314155,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,902135.1902405149,141492.65236079998,847843.509113315,195784.33348799997,793615.763133085,250012.07946823,747510.724256515,296117.11834479996,708467.724383165,335160.11821814993,1042043.322041315,1584.5205599999997,1043627.842601315,0.0,1037104.899629315,6522.942971999999
2025-04-14 00:06:44,103,102,949947.4,102,1043627.842601315,979805.095094735,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,1043627.842601315,0.0,902135.1902405149,141492.65236079998,835447.431630515,208180.41097079997,790610.497583085,253017.34501822997,744978.194396515,298649.6482047999,708467.724383165,335160.11821814993,1040775.7055933151,2852.1370080000006,1043627.842601315,0.0,1037104.899629315,6522.942971999999
2025-04-21 00:06:39,110,109,986757.36,109,1096367.842601315,1033033.103597915,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,954875.190240515,141492.65236079998,881649.416080515,214718.42652079999,840345.232033085,256022.61056822998,796603.881258115,299763.96134319995,761207.724383165,335160.11821814993,1091931.185033315,4436.657568000002,1096367.8426013151,0.0,1089624.827329315,6743.015271999998
2025-04-28 00:07:06,117,116,950013.26,116,1096367.842601315,1033419.568079675,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,1096367.8426013151,0.0,952259.984020515,144107.85858079998,876419.003640515,219948.8389608,840345.232033085,256022.61056822998,794974.7891831651,301393.05341814994,759097.282833165,337270.5597681499,1089844.8996293151,6522.942971999999,1096367.8426013151,0.0,1088854.574279315,7513.268321999995
2025-05-05 00:06:41,124,123,952816.2,123,1122737.8426013151,1059328.060677815,1122737.8426013151,0.0,1122737.8426013151,0.0,1122737.8426013151,0.0,1122737.8426013151,0.0,1122737.8426013151,0.0,1122737.8426013151,0.0,1122737.8426013151,0.0,1081493.020860515,41244.8217408,969476.762250515,153261.08035079998,891020.575650515,231717.26695079997,863709.9664830851,259027.87611822996,821344.7891831651,301393.05341814994,785467.282833165,337270.5597681499,1116214.8996293151,6522.942971999999,1122737.8426013151,0.0,1115004.501979315,7733.340621999998
2025-05-12 00:06:56,131,130,904276.21,130,1149107.8426013151,1084814.003950355,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1080366.473033315,68741.369568,993231.556030515,155876.28657079997,909637.9942949151,239469.8483064,885403.532899715,263704.3097016,847714.7891831651,301393.05341814994,811659.8369413151,337448.0056599999,1142584.8996293151,6522.942971999999,1149107.8426013151,0.0,1141374.501979315,7733.340621999998
2025-05-19 00:07:01,138,137,977680.69,137,1149107.8426013151,1084227.0874868715,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1045995.7882493151,103112.05435199999,993231.556030515,155876.28657079997,908111.559783085,240996.28281822999,883167.6153305151,265940.2272708,845697.0382597151,303410.8043415999,805995.7073221151,343112.1352792,1142584.8996293151,6522.942971999999,1149107.8426013151,0.0,1140536.458297315,8571.384303999996
