output_dir,case_dir,size_bytes,size_mb,file_count,keep,sim_days,fill_rate,ending_backlog,total_cost,total_produced,lot_count,archive_destination,action
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_25,47411792,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_5,47415451,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_75,47415455,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_01,47435015,45.238,20,False,1825,1.0,0,61416348.0551,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_05,47442073,45.244,20,False,1825,1.0,0,61416347.7721,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_1,47415511,45.219,20,False,1825,1.0,0,61416153.9895,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_25,47415452,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_5,47415453,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_0_75,47415469,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0518684A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_01,47413811,45.217,20,False,1825,1.0,0,61416206.3786,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_05,47439047,45.241,20,False,1825,1.0,0,61416206.3035,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_1,47439009,45.241,20,False,1825,1.0,0,61416205.9364,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_25,47415432,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_5,47415430,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_0_75,47415435,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0519670A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_01,47421699,45.225,20,False,1825,1.0,0,61451175.0912,106327600.0,,,deleted
