active_days,avg_capacity_utilization,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
365,0.011137,121.2236,sourcing_share,1,M-1810,0,171.0,1,364,0.404858,0.011726,71.696,1.0,0.222672,11,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0989480A,Supplier of Packaging - VD0989480A,0.0,1.0,426331,95.3319
365,0.0081,134.799,sourcing_share,1,M-1430,0,171.0,1,364,0.396489,0.008528,98.7789,1.0,0.218069,12,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD1095770A,Supplier of Packaging - VD1095770A,0.0,1.0,734545,69.3323
365,0.008029,135.1157,sourcing_share,1,M-1430,0,171.0,1,364,0.396259,0.008454,99.4108,1.0,0.217942,13,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0520115A,Supplier of Packaging - VD0520115A,0.0,1.0,708073,68.7258
365,0.000765,161.814,sourcing_share,1,M-1810,0,171.0,1,364,0.361093,0.000806,152.6739,1.0,0.198601,14,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,0.0,1.0,099439,17.5929
365,0.0009,166.4989,sourcing_share,1,M-1810,0,342.0,2,364,0.360585,0.001731,156.3391,0.700001,0.198322,15,1,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,0.0,0.700003,"001757, 001848",17.2411
365,0.000452,168.9791,sourcing_share,1,M-1810,0,342.0,2,364,0.341012,0.000909,163.303,0.709679,0.187557,16,1,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,0.0,0.709675,"001848, 029313",7.7408
365,0.000493,168.7954,sourcing_share,1,M-1810,0,171.0,1,364,0.327309,0.000519,166.6017,1.0,0.18002,17,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,0.0,1.0,016332,4.2223
364,3.4e-05,145.7075,sourcing_share,1,SDC-1450,1,171.0,1,364,0.311573,0.000378,101.5744,0.086482,0.171365,18,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,0.0,0.05,021081,66.6487
365,0.003453,155.5675,sourcing_share,1,M-1810,0,342.0,2,364,0.308978,0.005756,122.2526,0.699999,0.169938,19,2,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,0.0,0.7,"001893, 002612",59.1127
364,2e-05,151.0988,sourcing_share,1,SDC-1450,1,171.0,1,364,0.297281,2e-05,130.8613,0.05,0.163505,20,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,0.0,0.05,021081,38.5333
365,4.1e-05,170.8163,sourcing_share,1,M-1810,0,171.0,1,364,0.291352,4.3e-05,170.6335,1.0,0.160244,21,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,0.0,1.0,039668,0.3518
365,0.000832,167.2797,sourcing_share,1,M-1810,0,342.0,2,364,0.272487,0.001645,157.0722,0.16875,0.149868,22,2,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,0.0,0.16875,"001893, 002612",14.2504
365,0.000781,167.5093,sourcing_share,1,M-1810,0,171.0,1,364,0.254256,0.000822,164.0361,0.100001,0.139841,23,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,0.0,0.1,001893,6.6854
365,0.000411,169.1628,sourcing_share,1,M-1810,0,171.0,1,364,0.240124,0.000433,167.3348,0.199989,0.132068,24,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,0.0,0.2,002612,3.5184
365,0.000103,170.5407,sourcing_share,1,M-1810,0,171.0,1,364,0.216792,0.000108,170.0837,0.050006,0.119235,25,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,0.0,0.05,002612,0.8798
365,5.8e-05,170.7428,sourcing_share,1,M-1810,0,171.0,1,364,0.210656,6.1e-05,170.4869,0.699861,0.115861,26,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,0.0,0.7,055703,0.4926
365,2.5e-05,170.8898,sourcing_share,1,M-1810,0,171.0,1,364,0.205099,2.6e-05,170.7801,0.300139,0.112805,27,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,0.0,0.3,055703,0.2113
