role,supplier,family,path_count,switch_ready_topology,candidate_requires_validation,blocked_until_transport_fixed,blocked,components,status_examples,best_verdict,issue_codes
T1,Anjou Aeronautique,textile_leather,160,0,160,0,0,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=160;lca_mass_requires_review=48
T1,COLLINS,textile_leather,258,0,258,0,0,"158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)",baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=258;lca_mass_low_confidence=258
T1,COLLINS,polymer_plastic,48,0,48,0,0,159:Moulage plastique | 172:Moulage plastique | 173:Moulage plastique,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=48;lca_mass_low_confidence=48
T1,Celso SAS,textile_leather,735,0,735,0,0,"11:tissu | 12:FRMC55:EU28 polyuréthane flexible traité UL | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 149:velcro | 150:velours | 152:FRMC55:EU28 polyuréthane flexible traité UL | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique) | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 6:cuir | 76:cuir | 77:cuir",alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=735;baseline_node_is_assumption=375;lca_mass_low_confidence=285;raw_material_source_missing=105;lca_mass_requires_review=42
T1,Celso SAS,general,23,0,23,0,0,8:AIRVOLT LAMINAT,baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=23
T1,Celso SAS,polymer_plastic,420,0,420,0,0,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=420
T1,ESPACE,aluminium,210,0,210,0,0,1:A5086 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 69:A5086 - Aluminium,baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=210;baseline_node_is_assumption=210;material_certificate_required=75
T1,ESPACE,polymer_plastic,436,0,436,0,0,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 3:Ertalon par moulage par injection plastique,baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=436
T1,ESPACE,steel,370,0,370,0,0,122:acier | 151:Z10CNT18 | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier,alternate | baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=370;material_certificate_required=313;baseline_node_is_assumption=8
T1,ESPACE,textile_leather,116,0,116,0,0,"144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ? | 91:FRMC55 (C55 = % de carbone) et FMR = ? | 92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?",alternate_demoted_by_researched_correction | alternate_requires_allocation_source | baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=116;baseline_node_is_assumption=116
T1,ETS Gattefin,aluminium,504,0,504,0,0,123:Alu | 167:A2024 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 1:A5086 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 54:A2017 - Aluminium | 55:A2024 - Aluminium,alternate | alternate_requires_allocation_source | baseline_primary_lca_exact_supplier,switch_possible_after_validation,inactive_alternate_requires_allocation=504;baseline_node_is_assumption=504;material_certificate_required=165;lca_mass_requires_review=24
T1,ETS Gattefin,steel,611,0,611,0,0,"100:inox | 101:inox | 102:inox | 116:35NC6 (nickel-chrome) | 122:acier | 138:inox | 151:Z10CNT18 | 15:acier | 2:15CDV6 (chrome, molibdene, vanadium) | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier | 81:inox | 94:inox | 95:inox",alternate | alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=611;material_certificate_required=490;baseline_node_is_assumption=229
T1,ETS Gattefin,rubber_silicone,9,0,9,0,0,129:Silicone50 shore | 9:Silicone,alternate | baseline_primary_inferred_after_review,switch_possible_after_validation,inactive_alternate_requires_allocation=9;baseline_node_is_assumption=9
T1,ETS Gattefin,textile_leather,516,0,516,0,0,"111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 11:tissu | 120:nylon | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 139:nylon | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 149:velcro | 150:velours | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 86:FRMC55 (C55 = % de carbone) et FMR = ?",alternate | alternate_requires_allocation_source | baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=516;baseline_node_is_assumption=356;raw_material_source_missing=105;lca_mass_requires_review=88;lca_mass_low_confidence=21
T1,ETS Gattefin,polymer_plastic,486,0,486,0,0,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 124:caoutchouc,alternate | alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=486;baseline_node_is_assumption=33
T1,FRANKLIN,textile_leather,10,0,10,0,0,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?,baseline_primary_lca_exact_supplier,switch_possible_after_validation,inactive_alternate_requires_allocation=10;baseline_node_is_assumption=10
T1,Figeac Aero,aluminium,510,0,510,0,0,123:Alu | 167:A2024 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 1:A5086 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 54:A2017 - Aluminium | 55:A2024 - Aluminium,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=510;baseline_node_is_assumption=510;material_certificate_required=165;lca_mass_requires_review=24
T1,Figeac Aero,steel,202,0,202,0,0,100:inox | 101:inox | 102:inox | 138:inox | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=202;baseline_node_is_assumption=202;material_certificate_required=162
T1,Groupe LAUAK,aluminium,360,0,360,0,0,17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 1:A5086 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 54:A2017 - Aluminium | 69:A5086 - Aluminium,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=360;baseline_node_is_assumption=360;material_certificate_required=120
T1,Groupe LAUAK,steel,652,0,652,0,0,"100:inox | 101:inox | 102:inox | 116:35NC6 (nickel-chrome) | 122:acier | 138:inox | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 151:Z10CNT18 | 155:de: aluminium cast part machining glo: steel sheet stamping and bending | 15:acier | 16:35NC6 (nickel-chrome) | 2:15CDV6 (chrome, molibdene, vanadium) | 33:4140 (acier) | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 51:35NC6 (nickel-chrome) | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier",alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=652;material_certificate_required=523;baseline_node_is_assumption=270
T1,Groupe LAUAK,textile_leather,24,0,24,0,0,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ? | 91:FRMC55 (C55 = % de carbone) et FMR = ? | 92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=24;baseline_node_is_assumption=24
T1,Groupe Segnere / SEGNERE Ade,aluminium,524,0,524,0,0,123:Alu | 167:A2024 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 1:A5086 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 44:A6060 - Aluminium | 54:A2017 - Aluminium,alternate | alternate_requires_allocation_source | baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=524;baseline_node_is_assumption=524;material_certificate_required=170;lca_mass_requires_review=24
T1,Groupe Segnere / SEGNERE Ade,copper,3,0,3,0,0,5:alliage Cu,alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=3;baseline_node_is_assumption=3
T1,Groupe Segnere / SEGNERE Ade,steel,609,0,609,0,0,100:inox | 101:inox | 102:inox | 122:acier | 138:inox | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier | 81:inox,alternate | alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=609;material_certificate_required=488;baseline_node_is_assumption=227
T1,Groupe Segnere / SEGNERE Ade,textile_leather,160,0,160,0,0,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=160;lca_mass_requires_review=48
T1,Groupe Segnere / SEGNERE Ade,polymer_plastic,18,0,18,0,0,125:Polychloroprene,alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=18;baseline_node_is_assumption=9
T1,Honeywell Aerospace,general,24,0,24,0,0,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=24;baseline_node_is_assumption=24;material_certificate_required=16
T1,J&C Aero,steel,382,0,382,0,0,122:acier | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=382;material_certificate_required=305
T1,J&C Aero,textile_leather,220,0,220,0,0,"111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique)",alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=220;lca_mass_requires_review=108
T1,J&C Aero,aluminium,12,0,12,0,0,161:65% aluminium,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=12;baseline_node_is_assumption=12;lca_mass_requires_review=12;material_certificate_required=3
T1,JAMCO Aircraft Interiors - Miyazaki,steel,582,0,582,0,0,100:inox | 101:inox | 102:inox | 122:acier | 138:inox | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=582;material_certificate_required=465;baseline_node_is_assumption=200
T1,JAMCO Aircraft Interiors - Miyazaki,aluminium,237,0,237,0,0,161:65% aluminium | 167:A2024 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 54:A2017 - Aluminium | 55:A2024 - Aluminium,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=237;baseline_node_is_assumption=237;material_certificate_required=78;lca_mass_requires_review=12
T1,JAMCO Aircraft Interiors - Miyazaki,polymer_plastic,738,0,738,0,0,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 124:caoutchouc | 159:Moulage plastique | 172:Moulage plastique | 173:Moulage plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=738;lca_mass_low_confidence=48;baseline_node_is_assumption=33
T1,JAMCO Aircraft Interiors - Miyazaki,textile_leather,484,0,484,0,0,"111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)",alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=484;lca_mass_low_confidence=264;lca_mass_requires_review=108
T1,JAMCO Aircraft Interiors - Miyazaki,rubber_silicone,6,0,6,0,0,129:Silicone50 shore,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=6;baseline_node_is_assumption=6
T1,JAMCO Aircraft Interiors - Niigata,steel,582,0,582,0,0,100:inox | 101:inox | 102:inox | 122:acier | 138:inox | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=582;material_certificate_required=465;baseline_node_is_assumption=200
T1,JAMCO Aircraft Interiors - Niigata,aluminium,236,0,236,0,0,161:65% aluminium | 167:A2024 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 54:A2017 - Aluminium | 55:A2024 - Aluminium,alternate | baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=236;baseline_node_is_assumption=236;material_certificate_required=77;lca_mass_requires_review=11
T1,JAMCO Aircraft Interiors - Niigata,polymer_plastic,769,0,769,0,0,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 110:NIDA - GLO (moulage par injection plastique) | 124:caoutchouc | 159:Moulage plastique | 163:11% Moulage plastique | 172:Moulage plastique | 173:Moulage plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique,alternate | baseline_primary | baseline_primary_assumed_program_supplier,switch_possible_after_validation,inactive_alternate_requires_allocation=769;baseline_node_is_assumption=67;lca_mass_low_confidence=45;lca_mass_requires_review=15
T1,JAMCO Aircraft Interiors - Niigata,textile_leather,564,0,564,0,0,"111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique) | 165:16 % Tissu, mousse | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)",alternate | baseline_primary | baseline_primary_assumed_program_supplier,switch_possible_after_validation,inactive_alternate_requires_allocation=564;lca_mass_low_confidence=264;lca_mass_requires_review=188;baseline_node_is_assumption=82
T1,JAMCO Aircraft Interiors - Niigata,adhesive_composite,9,0,9,0,0,128:Résine BR623 - composite,baseline_primary_assumed_program_supplier,switch_possible_after_validation,inactive_alternate_requires_allocation=9;baseline_node_is_assumption=9
T1,JAMCO Aircraft Interiors - Niigata,rubber_silicone,6,0,6,0,0,129:Silicone50 shore,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=6;baseline_node_is_assumption=6
T1,JAMCO Philippines Inc.,steel,582,0,582,0,0,100:inox | 101:inox | 102:inox | 122:acier | 138:inox | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=582;material_certificate_required=465;baseline_node_is_assumption=200
T1,JAMCO Philippines Inc.,aluminium,237,0,237,0,0,161:65% aluminium | 167:A2024 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 54:A2017 - Aluminium | 55:A2024 - Aluminium,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=237;baseline_node_is_assumption=237;material_certificate_required=78;lca_mass_requires_review=12
T1,JAMCO Philippines Inc.,polymer_plastic,738,0,738,0,0,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 124:caoutchouc | 159:Moulage plastique | 172:Moulage plastique | 173:Moulage plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=738;lca_mass_low_confidence=48;baseline_node_is_assumption=33
T1,JAMCO Philippines Inc.,textile_leather,484,0,484,0,0,"111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)",alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=484;lca_mass_low_confidence=264;lca_mass_requires_review=108
T1,JAMCO Philippines Inc.,rubber_silicone,6,0,6,0,0,129:Silicone50 shore,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=6;baseline_node_is_assumption=6
T1,JV Group,aluminium,240,0,240,0,0,1:A5086 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 44:A6060 - Aluminium | 69:A5086 - Aluminium,alternate | alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=240;baseline_node_is_assumption=240;material_certificate_required=80
T1,JV Group,steel,382,0,382,0,0,122:acier | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier,alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=382;material_certificate_required=305
