record_index,system,component,mass_kg_before,mass_kg_after,mass_status,method,confidence,equipment_match,material_match,source
23,Stowage assemblé avec porte,A2017 - Aluminium,,3.956,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
24,Support écran,A2017 - Aluminium,,1.45,estimated,bom_exact_system_material,high,SUPPORT ECRAN ASSEMBLE,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
25,Accoudoir allée,A2024 - Aluminium,,0.18,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,a2024,C:/dev/lca-simu/data/quantity_material.xlsx
26,Ens. Tablette cocktail,A2024 - Aluminium,,0.084,estimated,bom_exact_system_material,high,ENS TABLETTE COCKTAIL,a2024,C:/dev/lca-simu/data/quantity_material.xlsx
27,Ens. Tablette repas,A2024 - Aluminium,,1.259,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,a2024,C:/dev/lca-simu/data/quantity_material.xlsx
28,Ens. Têtière,A2024 - Aluminium,,0.029,estimated,bom_exact_system_material,high,ENSEMBLE TETIERE,a2024,C:/dev/lca-simu/data/quantity_material.xlsx
29,Accoudoir allée,A5086 - Aluminium,,0.316,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
30,Bumper version porte,A5086 - Aluminium,,0.024,estimated,bom_exact_system_material,high,BUMPER VERSION PORTE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
31,Ens. Stowage latéral,A5086 - Aluminium,,0.216,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,0.008,estimated,bom_exact_system_material,high,ENSEMBLE EQUIPEMENTS LATERALES,velour,C:/dev/lca-simu/data/quantity_material.xlsx
33,Ens. Structure fauteuil,4140 (acier),,0.002,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,4140 uns g41400,C:/dev/lca-simu/data/quantity_material.xlsx
34,Habillage sous fauteuil,A5086 - Aluminium,,1.03,estimated,bom_exact_system_material,high,HABILLAGE SOUS FAUTEUIL,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
35,Manchette acc. Mobile,A5086 - Aluminium,,0.105,estimated,bom_exact_system_material,high,MANCHETTE ACC MOBILE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
36,Manchette équipée,A5086 - Aluminium,,0.17,estimated,bom_exact_system_material,high,MANCHETTE EQUIPEE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
37,Renfort tubulaire,A5086 - Aluminium,,0.931,estimated,bom_exact_system_material,high,RENFORT TUBULAIRE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
38,Stowage assemblé avec porte,A5086 - Aluminium,,2.457,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
39,Structure ottoman horizontale,A5086 - Aluminium,,1.928,estimated,bom_exact_system_material,high,Structure Ottoman (horizontale),a5086,C:/dev/lca-simu/data/quantity_material.xlsx
40,Support écran,A5086 - Aluminium,,0.506,estimated,bom_exact_system_material,high,SUPPORT ECRAN ASSEMBLE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
41,Support équipé,A5086 - Aluminium,,0.099,estimated,bom_exact_system_material,high,SUPPORT EQUIPE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
42,Support manchette équipée,A5086 - Aluminium,,0.117,estimated,bom_exact_system_material,high,SUPPORT MANCHETTE EQUIPEE,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
43,Support NFC,A5086 - Aluminium,,0.01,estimated,bom_exact_system_material,high,SUPPORT NFC,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
44,Renfort tubulaire,A6060 - Aluminium,,0.404,estimated,bom_exact_system_material,high,RENFORT TUBULAIRE,a6060,C:/dev/lca-simu/data/quantity_material.xlsx
45,Ceinture de sécurité,acier,,0.72,estimated,bom_mixed_material_share,medium_high,CEINTURE DE SECURITE,steel share of 80%INOX 20%Nylon,C:/dev/lca-simu/data/quantity_material.xlsx
46,Support clamps,acier,,1.284,estimated,bom_mixed_material_share,medium_high,SUPPORT + CLAMPS,steel share of 50% INOX 50% PA66,C:/dev/lca-simu/data/quantity_material.xlsx
47,Accoudoir allée,acier,,0.7096766,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
48,Bumper version porte,acier,,0.024,estimated,bom_exact_system_material,high,BUMPER VERSION PORTE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
49,Ens. Stowage latéral,acier,,0.0151984,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,acier,C:/dev/lca-simu/data/quantity_material.xlsx
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,,0.496,estimated,bom_exact_system_material,high,ENSEMBLE COQUE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),,1.417,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,35nc6,C:/dev/lca-simu/data/quantity_material.xlsx
52,Ens. Palette optimisée,acier,,0.58,estimated,bom_exact_system_material,high,ENSEMBLE PALETTE OPTIMISEE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
53,Ensemble porte,acier,,0.0430761,estimated,bom_exact_system_material,high,ENSEMBLE PORTE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
54,Ens. Structure fauteuil,A2017 - Aluminium,,12.7611,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
55,Ens. Structure fauteuil,A2024 - Aluminium,,5.659,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,a2024,C:/dev/lca-simu/data/quantity_material.xlsx
56,Ens. Tablette cocktail,acier,,1.133,estimated,bom_exact_system_material,high,ENS TABLETTE COCKTAIL,acier,C:/dev/lca-simu/data/quantity_material.xlsx
57,Ens. Tablette repas,acier,,0.1165,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,acier,C:/dev/lca-simu/data/quantity_material.xlsx
58,Habillage sous fauteuil,acier,,0.0270916,estimated,bom_exact_system_material,high,HABILLAGE SOUS FAUTEUIL,acier,C:/dev/lca-simu/data/quantity_material.xlsx
59,Manchette équipée,acier,,0.0191495,estimated,bom_exact_system_material,high,MANCHETTE EQUIPEE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
60,Renfort tubulaire,acier,,0.003,estimated,bom_exact_system_material,high,RENFORT TUBULAIRE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
61,Stowage assemblé avec porte,acier,,0.0943581,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
62,Structure ottoman horizontale,acier,,0.0666443,estimated,bom_exact_system_material,high,Structure Ottoman (horizontale),acier,C:/dev/lca-simu/data/quantity_material.xlsx
63,Support écran,acier,,0.05736,estimated,bom_exact_system_material,high,SUPPORT ECRAN ASSEMBLE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
64,Support équipé,acier,,0.003,estimated,bom_exact_system_material,high,SUPPORT EQUIPE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
65,Support manchette équipée,acier,,0.006,estimated,bom_exact_system_material,high,SUPPORT MANCHETTE EQUIPEE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
66,Accoudoir allée,Alu,,3.0435071,estimated,bom_system_material_family_sum,medium_high,ACCOUDOIR ALLEE,aluminium (4 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
67,Ens. Palette optimisée,Alu,,12.5475707,estimated,bom_system_material_family_sum,medium_high,ENSEMBLE PALETTE OPTIMISEE,aluminium (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
68,Ensemble porte,Alu,,6.872,estimated,bom_system_material_family_sum,medium,ENSEMBLE PORTE,aluminium (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
69,Ens. Structure fauteuil,A5086 - Aluminium,,0.458,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
70,Manchette acc. Mobile,Alu,,0.106,estimated,bom_system_material_family_sum,medium_high,MANCHETTE ACC MOBILE,aluminium (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,3.365,estimated,bom_exact_system_material,high,BRACKETS-SET (cables),cable model,C:/dev/lca-simu/data/quantity_material.xlsx
72,Ens. Structure fauteuil,acier,,1.687,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,acier,C:/dev/lca-simu/data/quantity_material.xlsx
73,SFCU (Seat Function Control Unit),Clavier,,0.2,estimated,bom_exact_system_material,high,SFCU,keyboard glo market for apos u,C:/dev/lca-simu/data/quantity_material.xlsx
74,Commande actionnement ECU,Commande actionnement ECU,,0.75,estimated,bom_exact_system_material,high,COMMANDE ACTIONNEMENT,70 al 6000 30 analog pcb,C:/dev/lca-simu/data/quantity_material.xlsx
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,0.151,estimated,bom_exact_system_material,high,BUMPER VERSION PORTE,copolimer lexan fst 9705,C:/dev/lca-simu/data/quantity_material.xlsx
76,Manchette acc. Mobile,cuir,,0.039,estimated,bom_exact_system_material,high,MANCHETTE ACC MOBILE,ultra leather 330,C:/dev/lca-simu/data/quantity_material.xlsx
77,Manchette équipée,cuir,,0.06,estimated,bom_exact_system_material,high,MANCHETTE EQUIPEE,ultra leather 330,C:/dev/lca-simu/data/quantity_material.xlsx
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,1.928,estimated,bom_exact_system_material,high,"ECRAN 17,3 INCH PNR 00-5155-02",screen display cots,C:/dev/lca-simu/data/quantity_material.xlsx
79,Accoudoir allée,Ertalon,,0.01,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
80,Ens. Stowage latéral,Ertalon,,0.003,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
81,Ens. Structure fauteuil,inox,,0.045,estimated,bom_exact_system_material,high,ENS STRUCTURE FAUTEUIL,inox,C:/dev/lca-simu/data/quantity_material.xlsx
82,Ensemble porte,Ertalon,,0.002,estimated,bom_exact_system_material,high,ENSEMBLE PORTE,ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
83,Ens. Tablette repas,Ertalon,,0.007,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
84,Stowage assemblé avec porte,Ertalon,,0.02,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
85,Structure ottoman horizontale,Ertalon,0.0424456,0.0002725,estimated,bom_exact_system_material,high,Structure Ottoman (horizontale),ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,1.005,estimated,bom_exact_system_material,high,"COUSSIN OTTOMAN STD PITCH 38"" QTU",frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,0.121,estimated,bom_exact_system_material,high,COUSSIN TETIERE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,0.871,estimated,bom_exact_system_material,high,ENS COUSSIN ASSISE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,0.854,estimated,bom_exact_system_material,high,ENS COUSSIN DOSSIER VERSION TETIERE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,,1.091,estimated,bom_exact_system_material,high,ENS COUSSIN DOSSIER,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,,0.016,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,,0.039,estimated,bom_exact_system_material,high,MANCHETTE ACC MOBILE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,,0.039,estimated,bom_exact_system_material,high,MANCHETTE EQUIPEE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
94,Accoudoir allée,inox,,0.018054,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
95,Ens. Palette optimisée,inox,,0.023743,estimated,bom_exact_system_material,high,ENSEMBLE PALETTE OPTIMISEE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
96,Ensemble porte,inox,,0.0047592,estimated,bom_exact_system_material,high,ENSEMBLE PORTE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,,0.081,estimated,bom_system_material_family_sum,medium_high,ENS STRUCTURE FAUTEUIL,plastic (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
98,Ens. Tablette cocktail,inox,,0.012,estimated,bom_exact_system_material,high,ENS TABLETTE COCKTAIL,inox,C:/dev/lca-simu/data/quantity_material.xlsx
99,Ens. Tablette repas,inox,,0.014,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,inox,C:/dev/lca-simu/data/quantity_material.xlsx
100,Ens. Têtière,inox,,0.001,estimated,bom_exact_system_material,high,ENSEMBLE TETIERE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
101,Stowage assemblé avec porte,inox,,0.00928,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
102,Support écran,inox,,0.014,estimated,bom_exact_system_material,high,SUPPORT ECRAN ASSEMBLE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
103,Capot NFC,kydex,,0.069,estimated,bom_exact_system_material,high,CAPOT NFC,kydex,C:/dev/lca-simu/data/quantity_material.xlsx
104,Coussin ottoman,kydex,,0.037,estimated,bom_exact_system_material,high,"COUSSIN OTTOMAN STD PITCH 38"" QTU",kydex,C:/dev/lca-simu/data/quantity_material.xlsx
105,Ens. Stowage latéral,kydex,,1.161,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,kydex,C:/dev/lca-simu/data/quantity_material.xlsx
106,Ensemble porte,kydex,,1.384,estimated,bom_exact_system_material,high,ENSEMBLE PORTE,kydex 5555,C:/dev/lca-simu/data/quantity_material.xlsx
107,Ens. Tablette cocktail,kydex,,0.715,estimated,bom_system_material_family_sum,medium_high,ENS TABLETTE COCKTAIL,plastic (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
108,Ens. Tablette repas,kydex,,0.059,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,kydex 5555,C:/dev/lca-simu/data/quantity_material.xlsx
109,Stowage assemblé avec porte,kydex,1.493,0.226,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,kydex,C:/dev/lca-simu/data/quantity_material.xlsx
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),,8.439,estimated,bom_exact_system_material,high,ENSEMBLE COQUE,panneau nida lamina ep12 7,C:/dev/lca-simu/data/quantity_material.xlsx
111,Ceinture de sécurité,nylon,,0.18,estimated,bom_mixed_material_share,medium_high,CEINTURE DE SECURITE,nylon share of 80%INOX 20%Nylon,C:/dev/lca-simu/data/quantity_material.xlsx
112,Support clamps,nylon,,1.284,estimated,bom_mixed_material_share,medium_high,SUPPORT + CLAMPS,PA66 share of 50% INOX 50% PA66,C:/dev/lca-simu/data/quantity_material.xlsx
113,Ens. Stowage latéral,nylon,,0.016416667,estimated,bom_system_material_family_sum,medium_high,ENS STOWAGE LATERAL,textile_foam_polyethylene (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
114,Ens. Palette optimisée,nylon,,0.0021875,estimated,bom_system_material_family_sum,medium,ENSEMBLE PALETTE OPTIMISEE,textile_foam_polyethylene (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
115,Ensemble porte,nylon,,0.0004003,estimated,bom_exact_system_material,high,ENSEMBLE PORTE,nylon,C:/dev/lca-simu/data/quantity_material.xlsx
116,Ens. Structure fixe,35NC6 (nickel-chrome),,0.029,estimated,bom_exact_system_material,high,ENSEMBLE STRUCTURE FIXE,35nc6,C:/dev/lca-simu/data/quantity_material.xlsx
117,Ens. Tablette cocktail,nylon,,0.002,estimated,bom_exact_system_material,high,ENS TABLETTE COCKTAIL,nylon,C:/dev/lca-simu/data/quantity_material.xlsx
118,Ens. Tablette repas,nylon,,0.0002,estimated,bom_system_material_family_sum,medium,ENS TABLETTE REPAS,textile_foam_polyethylene (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
119,Ens. Têtière,nylon,,0.003,estimated,bom_exact_system_material,high,ENSEMBLE TETIERE,nylon,C:/dev/lca-simu/data/quantity_material.xlsx
120,Stowage assemblé avec porte,nylon,,0.000375,estimated,bom_system_material_family_sum,medium,STOWAGE ASSEMBLE AVEC PORTE,textile_foam_polyethylene (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",,2.378,estimated,bom_global_material_total,medium_low,manual_alias,screen display cots,C:/dev/lca-simu/data/quantity_material.xlsx
122,Ens. Structure fixe,acier,6.929846599999996,1.4326471,estimated,bom_exact_system_material,high,ENSEMBLE STRUCTURE FIXE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
123,Ens. Structure fixe,Alu,10.7460895,3.5410117,estimated,bom_system_material_family_sum,medium,ENSEMBLE STRUCTURE FIXE,aluminium (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
124,Ens. Structure fixe,caoutchouc,0.01,0.01,estimated,bom_exact_system_material,high,ENSEMBLE STRUCTURE FIXE,caoutchouc,C:/dev/lca-simu/data/quantity_material.xlsx
125,Ens. Palette optimisée,Polychloroprene,0.0049932,0.0049932,estimated,bom_exact_system_material,high,ENSEMBLE PALETTE OPTIMISEE,polychloroprene,C:/dev/lca-simu/data/quantity_material.xlsx
126,Powerbox,powerbox,,1.5,estimated,bom_exact_system_material,high,00-5136-51 Rev F Seat Power Box 4 (SPB4),power box cots,C:/dev/lca-simu/data/quantity_material.xlsx
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,,0.392,estimated,bom_global_material_total,medium_low,manual_alias,film decor aerfilm ep0 33 714g m2,C:/dev/lca-simu/data/quantity_material.xlsx
128,Ens. Coque,Résine BR623 - composite,,0.488,estimated,bom_exact_system_material,high,ENSEMBLE COQUE,resine br623 p4,C:/dev/lca-simu/data/quantity_material.xlsx
129,Ens. Tablette repas,Silicone50 shore,,0.0007,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,silicone 50 shore,C:/dev/lca-simu/data/quantity_material.xlsx
130,Remote extender unit,télécommande,,0.07,estimated,bom_exact_system_material,high,REMOTE EXTENDER UNIT 3 (REU3),50 ptfe 50 analog pcb,C:/dev/lca-simu/data/quantity_material.xlsx
131,Coussin têtière,tissu,,0.191,estimated,bom_system_material_family_sum,medium_high,COUSSIN TETIERE,textile (3 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
132,Ens. Coussin assise,tissu,,0.42,estimated,bom_system_material_family_sum,medium_high,ENS COUSSIN ASSISE,textile (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
133,Ens.coussin dossier version têtière,tissu,,0.748,estimated,bom_system_material_family_sum,medium_high,ENS COUSSIN DOSSIER VERSION TETIERE,textile (3 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
134,Ens. Coussin dossier,tissu,,0.743,estimated,bom_system_material_family_sum,medium_high,ENS COUSSIN DOSSIER,textile (3 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
135,Ens. Tablette cocktail,tissu,,0.002,estimated,bom_system_material_family_sum,medium,ENS TABLETTE COCKTAIL,textile (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
136,Ens. Têtière,tissu,,0.002,estimated,bom_system_material_family_sum,medium,ENSEMBLE TETIERE,textile (1 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
137,Padding (rembourrage),ULTRA LEATHER SMOKE,0.3,0.099,estimated,bom_global_material_total,medium_low,manual_alias,ultra leather 330,C:/dev/lca-simu/data/quantity_material.xlsx
138,Ens. Structure fixe,inox,0.16883620000000002,0.027,estimated,bom_exact_system_material,high,ENSEMBLE STRUCTURE FIXE,inox,C:/dev/lca-simu/data/quantity_material.xlsx
139,Ens. Structure fixe,nylon,0.0259419,0.0145416,estimated,bom_exact_system_material,high,ENSEMBLE STRUCTURE FIXE,nylon,C:/dev/lca-simu/data/quantity_material.xlsx
140,Coussin têtière,velcro,,0.007,estimated,bom_exact_system_material,high,COUSSIN TETIERE,velcro,C:/dev/lca-simu/data/quantity_material.xlsx
141,Ens.coussin dossier version têtière,velcro,,0.005,estimated,bom_exact_system_material,high,ENS COUSSIN DOSSIER VERSION TETIERE,velcro,C:/dev/lca-simu/data/quantity_material.xlsx
142,Ens. Coussin dossier,velcro,,0.006,estimated,bom_exact_system_material,high,ENS COUSSIN DOSSIER,velcro,C:/dev/lca-simu/data/quantity_material.xlsx
143,Manchette équipée,velcro,,0.006,estimated,bom_exact_system_material,high,MANCHETTE EQUIPEE,velcro,C:/dev/lca-simu/data/quantity_material.xlsx
144,Coussin ottoman,velours,,0.034,estimated,bom_exact_system_material,high,"COUSSIN OTTOMAN STD PITCH 38"" QTU",velours,C:/dev/lca-simu/data/quantity_material.xlsx
145,Coussin têtière,velours,,0.003,estimated,bom_exact_system_material,high,COUSSIN TETIERE,velours,C:/dev/lca-simu/data/quantity_material.xlsx
146,Ens. Coussin assise,velours,,0.025,estimated,bom_exact_system_material,high,ENS COUSSIN ASSISE,velours,C:/dev/lca-simu/data/quantity_material.xlsx
147,Ens.coussin dossier version têtière,velours,,0.008,estimated,bom_exact_system_material,high,ENS COUSSIN DOSSIER VERSION TETIERE,velours,C:/dev/lca-simu/data/quantity_material.xlsx
148,Ens. Coussin dossier,velours,,0.022,estimated,bom_exact_system_material,high,ENS COUSSIN DOSSIER,velours,C:/dev/lca-simu/data/quantity_material.xlsx
149,Ens. Structure porte,velcro,0.08499999999999999,0.085,estimated,bom_global_material_total,medium_low,manual_alias,velcro,C:/dev/lca-simu/data/quantity_material.xlsx
