key,site_id,role_hint,lat,lon,occurrences,record_count,records,location,status,queries,source_ids,systems,components,descriptions
constellium,"constellium@45.3094,5.6076",tier3_first_transformation,45.30942,5.6076,31,31,"1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,54,55,69...",France (31),source_backed_site (31),"C-TEC Voreppe, France fallback; choose actual production site",SRC_CONSTELLIUM_001 (31),Accoudoir allée (4) | Ens. Structure fauteuil (3) | Ens. Stowage latéral (2) | Ens. Tablette cocktail (2),A5086 - Aluminium (15) | A2017 - Aluminium (9) | A2024 - Aluminium (6) | A6060 - Aluminium (1),Aluminium laminé / extrudé (31)
huddersfield_textiles,"huddersfield_textiles@53.6458,-1.785",tier3_first_transformation,53.6458,-1.785,29,29,"11,12,131,132,133,134,135,136,140,141,142,143,144,145,146,147,148,149,150,152,158,160,162,164,165,168,169,170,171","Huddersfield, United Kingdom (29)",source_backed_city_or_hq (29),"Huddersfield, West Yorkshire, United Kingdom",SRC_HUDDERSFIELD_001 (29),Siége (9) | Coussin têtière (3) | Ens.coussin dossier version têtière (3) | Ens. Coussin dossier (3),"tissu (7) | velours (6) | velcro (5) | Tissu, mousse, polyéthylène (3) | autre (silicium, cuirs synthétique) (3) | FRMC55:EU28 polyuréthane flexible traité UL (2)",Laine et tissus (29)
mitsubishi_chemical,"mitsubishi_chemical@35.6812,139.7671",tier4_raw_material,35.6812,139.7671,28,28,"3,78,79,80,82,83,84,85,110,111,112,113,114,115,117,118,119,120,121,125,126,130,139,153,159,163,172,173",Japan (28),fallback_site_needs_source (28),Tokyo fallback; choose actual chemical site,,Siége (4) | Ens. Stowage latéral (2) | Ensemble porte (2) | Ens. Tablette repas (2),"nylon (10) | Ertalon (6) | Display, liquid crystal, 17 pouces (3) | Moulage plastique (3) | Ertalon par moulage par injection plastique (1) | NIDA - GLO (moulage par injection plastique) (1)",Polymères / plastiques techniques (28)
xpo_logistic,"xpo_logistic@41.0262,-73.6282",logistics,41.0262,-73.6282,16,16,"4,17,18,19,20,21,22,23,24,25,26,27,28,54,55,167","Greenwich, United States (16)",source_backed_city_or_hq (16),"Greenwich, Connecticut, United States",,Accoudoir allée (3) | Ens. Tablette cocktail (2) | Ens. Tablette repas (2) | Ens. Têtière (2),A2017 - Aluminium (9) | A2024 - Aluminium (6) | FILM DECOR AERFILM - Ep0.33 714g-m2 (1),Transport (déjà listé) (16)
shin_etsu_silicones,"shin_etsu_silicones@35.6812,139.7671",tier3_first_transformation,35.6812,139.7671,2,2,"9,129","Tokyo, Japan (2)",source_backed_city_or_hq (2),"Marunouchi, Chiyoda-ku, Tokyo, Japan",SRC_SHINETSU_001 (2),Stowage assemblé avec porte (1) | Ens. Tablette repas (1),Silicone (1) | Silicone50 shore (1),Chimie de spécialité — silicones (2)
silicone_engineering,"silicone_engineering@53.7486,-2.4875",tier2_second_transformation,53.7486,-2.4875,2,2,"9,129","Blackburn, United Kingdom (2)",source_backed_city_or_hq (2),"Greenbank Business Park, Blakewater Road, Blackburn, Lancashire BB1 3HU, United Kingdom",SRC_SILICONE_ENGINEERING_001 (2),Stowage assemblé avec porte (1) | Ens. Tablette repas (1),Silicone (1) | Silicone50 shore (1),Design électronique — sous-ensembles (2)
daio_paper_corporation,"daio_paper_corporation@33.9803,133.5498",tier3_first_transformation,33.9803,133.5498,1,1,8,"Shikokuchuo, Japan (1)",source_backed_city_or_hq (1),"Shikokuchuo-shi, Ehime, Japan",SRC_DAIO_001 (1),Padding (rembourrage) (1),AIRVOLT LAMINAT (1),Cellulose / textile (1)
kemko_aerospace,"kemko_aerospace@38.627,-90.1994",tier1,38.627,-90.1994,1,1,4,"St. Louis, United States (1)",source_backed_city_or_hq (1),"St. Louis, Missouri, United States",SRC_KEMKO_001 (1),Ensemble porte (1),FILM DECOR AERFILM - Ep0.33 714g-m2 (1),Systèmes de fixation et composants cabine (1)
liebherr_aerospace,"liebherr_aerospace@47.6031,9.8896",tier1,47.6031,9.8896,1,1,74,"Lindenberg im Allgau, Germany (1)",source_backed_city_or_hq (1),"Liebherr-Aerospace Lindenberg GmbH, Lindenberg im Allgau, Germany",SRC_LIEBHERR_001 (1),Commande actionnement ECU (1),Commande actionnement ECU (1),Systèmes hydrauliques — Tier 1 (1)
nordic_paper,"nordic_paper@59.132,12.928",tier4_raw_material,59.132,12.928,1,1,8,Sweden (1),source_backed_site (1),"Saffle/Amotfors/Backhammar, Sweden fallback; choose actual mill",SRC_NORDIC_PAPER_001 (1),Padding (rembourrage) (1),AIRVOLT LAMINAT (1),Matière première — pâte à papier (1)
te_connectivity,"te_connectivity@40.044,-75.4388",tier1,40.044,-75.4388,1,1,71,"Berwyn, United States (1)",source_backed_city_or_hq (1),"Berwyn, Pennsylvania, United States",SRC_TE_001 (1),Brackets set (1),cables FJKL1-3K1J01-01ATAB_BRACKETS-SET (1),Connectique / câblage aéronautique (1)
toray_industries,"toray_industries@35.6866,139.7746",tier2_second_transformation,35.6866,139.7746,1,1,166,Japan (1),source_backed_site (1),"Tokyo 103-8666, Japan fallback; choose actual production site",SRC_TORAY_001 (1),siege (1),titane fibre de carbone (1),Fibre carbone / préimprégnés (1)
