record_index,system,component,family,mass_kg,lca_use_class,total_secondary_paths,switch_ready_topology,candidate_requires_validation,blocked_until_transport_fixed,blocked,best_verdict,switch_policy,top_issue_codes
49,Ens. Stowage latéral,acier,steel,0.0151984,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
52,Ens. Palette optimisée,acier,steel,0.58,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
53,Ensemble porte,acier,steel,0.0430761,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
56,Ens. Tablette cocktail,acier,steel,1.133,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
57,Ens. Tablette repas,acier,steel,0.1165,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
58,Habillage sous fauteuil,acier,steel,0.0270916,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
59,Manchette équipée,acier,steel,0.0191495,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
60,Renfort tubulaire,acier,steel,0.003,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
61,Stowage assemblé avec porte,acier,steel,0.0943581,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
62,Structure ottoman horizontale,acier,steel,0.0666443,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
63,Support écran,acier,steel,0.05736,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
64,Support équipé,acier,steel,0.003,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
65,Support manchette équipée,acier,steel,0.006,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
72,Ens. Structure fauteuil,acier,steel,1.687,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
122,Ens. Structure fixe,acier,steel,1.4326471,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
124,Ens. Structure fixe,caoutchouc,polymer_plastic,0.01,quantitative_ready,329,0,329,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=329;baseline_node_is_assumption=164
111,Ceinture de sécurité,nylon,textile_leather,0.18,usable_for_baseline,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
112,Support clamps,nylon,textile_leather,1.284,usable_for_baseline,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
113,Ens. Stowage latéral,nylon,textile_leather,0.016416667,usable_for_baseline,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
114,Ens. Palette optimisée,nylon,textile_leather,0.0021875,usable_with_review,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223;lca_mass_requires_review=223
115,Ensemble porte,nylon,textile_leather,0.0004003,quantitative_ready,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
117,Ens. Tablette cocktail,nylon,textile_leather,0.002,quantitative_ready,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
118,Ens. Tablette repas,nylon,textile_leather,0.0002,usable_with_review,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223;lca_mass_requires_review=223
119,Ens. Têtière,nylon,textile_leather,0.003,quantitative_ready,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
120,Stowage assemblé avec porte,nylon,textile_leather,0.000375,usable_with_review,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223;lca_mass_requires_review=223
139,Ens. Structure fixe,nylon,textile_leather,0.0145416,quantitative_ready,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223
160,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.099,scenario_only_review_required,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223;lca_mass_low_confidence=223
170,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.099,scenario_only_review_required,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223;lca_mass_low_confidence=223
171,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.099,scenario_only_review_required,223,0,223,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=223;lca_mass_low_confidence=223
81,Ens. Structure fauteuil,inox,steel,0.045,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
94,Accoudoir allée,inox,steel,0.018054,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
95,Ens. Palette optimisée,inox,steel,0.023743,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
96,Ensemble porte,inox,steel,0.0047592,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
98,Ens. Tablette cocktail,inox,steel,0.012,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
99,Ens. Tablette repas,inox,steel,0.014,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
100,Ens. Têtière,inox,steel,0.001,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
101,Stowage assemblé avec porte,inox,steel,0.00928,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
102,Support écran,inox,steel,0.014,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
138,Ens. Structure fixe,inox,steel,0.027,quantitative_ready,199,0,199,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=199;baseline_node_is_assumption=199;material_certificate_required=160
79,Accoudoir allée,Ertalon,polymer_plastic,0.01,quantitative_ready,179,0,179,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=179
80,Ens. Stowage latéral,Ertalon,polymer_plastic,0.003,quantitative_ready,179,0,179,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=179
82,Ensemble porte,Ertalon,polymer_plastic,0.002,quantitative_ready,179,0,179,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=179
83,Ens. Tablette repas,Ertalon,polymer_plastic,0.007,quantitative_ready,179,0,179,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=179
84,Stowage assemblé avec porte,Ertalon,polymer_plastic,0.02,quantitative_ready,179,0,179,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=179
85,Structure ottoman horizontale,Ertalon,polymer_plastic,0.0002725,quantitative_ready,179,0,179,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=179
162,Siége,"16 % Tissu, mousse, polyéthylène",textile_leather,18.554620942,usable_with_review,167,0,167,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=167;lca_mass_requires_review=167
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
17,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.1033805,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
21,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
22,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
24,Support écran,A2017 - Aluminium,aluminium,1.45,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
40,Support écran,A5086 - Aluminium,aluminium,0.506,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
41,Support équipé,A5086 - Aluminium,aluminium,0.099,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
43,Support NFC,A5086 - Aluminium,aluminium,0.01,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,quantitative_ready,149,0,149,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=149;baseline_node_is_assumption=149;material_certificate_required=50
25,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,quantitative_ready,134,0,134,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=134;baseline_node_is_assumption=134;material_certificate_required=45
26,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,quantitative_ready,134,0,134,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=134;baseline_node_is_assumption=134;material_certificate_required=45
27,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,quantitative_ready,134,0,134,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=134;baseline_node_is_assumption=134;material_certificate_required=45
28,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,quantitative_ready,134,0,134,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=134;baseline_node_is_assumption=134;material_certificate_required=45
55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,quantitative_ready,134,0,134,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=134;baseline_node_is_assumption=134;material_certificate_required=45
167,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,quantitative_ready,134,0,134,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=134;baseline_node_is_assumption=134;material_certificate_required=45
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,quantitative_ready,95,0,95,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=95
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,polymer_plastic,0.081,usable_for_baseline,95,0,95,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=95
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,quantitative_ready,95,0,95,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=95
11,Coussin ottoman,tissu,textile_leather,0.339,usable_for_baseline,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83
131,Coussin têtière,tissu,textile_leather,0.191,usable_for_baseline,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83
132,Ens. Coussin assise,tissu,textile_leather,0.42,usable_for_baseline,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83
133,Ens.coussin dossier version têtière,tissu,textile_leather,0.748,usable_for_baseline,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83
134,Ens. Coussin dossier,tissu,textile_leather,0.743,usable_for_baseline,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83
135,Ens. Tablette cocktail,tissu,textile_leather,0.002,usable_with_review,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;lca_mass_requires_review=83
136,Ens. Têtière,tissu,textile_leather,0.002,usable_with_review,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;lca_mass_requires_review=83
140,Coussin têtière,velcro,textile_leather,0.007,quantitative_ready,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;raw_material_source_missing=83
141,Ens.coussin dossier version têtière,velcro,textile_leather,0.005,quantitative_ready,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;raw_material_source_missing=83
142,Ens. Coussin dossier,velcro,textile_leather,0.006,quantitative_ready,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;raw_material_source_missing=83
143,Manchette équipée,velcro,textile_leather,0.006,quantitative_ready,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;raw_material_source_missing=83
149,Ens. Structure porte,velcro,textile_leather,0.085,scenario_only_review_required,83,0,83,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=83;baseline_node_is_assumption=83;raw_material_source_missing=83;lca_mass_low_confidence=83
165,Siége,"16 % Tissu, mousse",textile_leather,18.554620942,usable_with_review,82,0,82,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=82;baseline_node_is_assumption=82;lca_mass_requires_review=82
159,Siége,Moulage plastique,polymer_plastic,6.69155662,scenario_only_review_required,79,0,79,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=79;lca_mass_low_confidence=79
172,Siége,Moulage plastique,polymer_plastic,6.69155662,scenario_only_review_required,79,0,79,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=79;lca_mass_low_confidence=79
