case_id,case_input,case_output_dir,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,notes,parameter_group,parameter_key,parameter_label,status,study
local_capacity_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_scale_low\simulation_output,low,0.95,18534022.0969,0.146476,0.083701,0.174934,0.406562,0.188327,692806.1629,17731328.5116,0.869342,5302452.7143,0.0,122980532.1622,26872034.2524,5302452.7143,102417926.0213,18024161.1235,100835214.3308,0.0,34875.5446,0.0,0.0,0.0,0.0,0.0,3936120.7398,11246059.2566,2249211.8513,22171194.6038,0.0,17490598.6702,4700839.6486,4609646.5513,124382059.3407,1613068.5031,10925135.3472,0.0,5060726.6655,2011616.9026,,capacity_global,capacity_scale,Capacite globale,ok,local
local_capacity_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_scale_high\simulation_output,high,1.05,21599917.502,0.153642,0.087795,0.167511,0.393512,0.197539,526865.7146,20081483.6947,0.900637,5302452.7143,0.0,126787819.7702,28912305.698,5302452.7143,106620850.3824,17663501.9837,104922073.7266,0.0,35277.1808,0.0,0.0,0.0,0.0,0.0,4442139.4452,12691826.9863,2538365.3973,24069171.6028,0.0,18219736.2286,4843134.0953,4775586.9997,129434940.0541,5574724.9682,11377344.6165,0.0,5711322.1438,2408016.6434,,capacity_global,capacity_scale,Capacite globale,ok,local
local_supplier_capacity_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_capacity_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_capacity_scale_low\simulation_output,low,0.95,20187388.5116,0.151379,0.086502,0.169631,0.397857,0.19463,595383.9033,19492609.2237,0.887715,5302452.7143,0.0,126261132.3464,27981751.4285,5302452.7143,104411326.7452,11227728.6426,102758750.2731,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4235854.6927,12102441.9791,2420488.3958,23235171.92,0.0,17857231.1785,4746579.5085,4707068.811,126788282.0216,9764953.81,11132729.9409,0.0,5446098.8906,2497336.9158,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,local
local_supplier_capacity_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_capacity_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_capacity_scale_high\simulation_output,high,1.05,19865358.1117,0.149095,0.085197,0.172521,0.401493,0.191694,594555.6572,18060655.3119,0.887872,5302452.7143,0.0,124215918.1837,27822882.5932,5302452.7143,104629627.9357,22737944.7383,101335176.9903,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4148259.2245,11852169.2129,2370433.8426,23022848.621,0.0,17843454.8879,4800033.9722,4707897.0571,127043676.7725,995382.9775,11170679.4081,0.0,5333476.1458,1971716.182,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,local
local_safety_stock_days_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_safety_stock_days_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_safety_stock_days_scale_low\simulation_output,low,0.9,19791963.8385,0.149805,0.085603,0.171658,0.400328,0.192606,608602.4343,18432194.7301,0.885222,5302452.7143,0.0,125145076.8732,27872573.323,5302452.7143,104577590.5436,27400747.4013,103002699.9422,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4175445.2443,11929843.555,2385968.711,23088019.1969,0.0,17851782.6566,4784554.1262,4693850.28,126945499.2788,1578467.8458,11158175.6418,0.0,5368429.5998,2131948.5513,,safety_stock,safety_stock_days_scale,Safety stock global,ok,local
local_safety_stock_days_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_safety_stock_days_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_safety_stock_days_scale_high\simulation_output,high,1.1,20207887.8249,0.149079,0.085188,0.171731,0.402328,0.191673,570825.4286,19285170.2037,0.892347,5302452.7143,0.0,126431180.0387,27733780.3038,5302452.7143,104590678.439,10901888.3355,102977520.0636,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4134531.7287,11812947.7962,2362589.5592,22971028.8182,0.0,17875841.6357,4762751.4856,4731627.2857,127013219.5214,4857541.9631,11158081.0221,0.0,5315826.5083,2374191.0985,,safety_stock,safety_stock_days_scale,Safety stock global,ok,local
local_supplier_reliability_scale_adverse,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_reliability_scale_adverse\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_reliability_scale_adverse\simulation_output,adverse,0.95,19468639.644,0.148688,0.084965,0.175067,0.400109,0.191171,1088539.9927,19004969.1176,0.79471,5302452.7143,0.0,126263995.1225,27703114.3764,5302452.7143,109936083.5844,41318000.0,108190782.639,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4119133.8428,11768953.8367,2353790.7673,22853218.0849,0.0,18545536.7235,4849896.2915,4213912.7216,126242589.7253,0.0,11084264.2482,6644346.8276,5296029.2265,2428359.6615,One-sided local sensitivity because reliability is upper bounded.,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,ok,local
local_demand_item_item_268091_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268091_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268091_low\simulation_output,low,0.9,20246032.2074,0.150724,0.086128,0.168566,0.400794,0.193788,518617.9334,19631330.6968,0.895083,4943121.8857,0.0,124391564.1211,27513605.8008,4943121.8857,102942037.5034,12743733.1635,101332451.5463,0.0,33746.3627,0.0,0.0,0.0,0.0,0.0,4146959.0875,11848454.5357,2369690.9071,22875742.6585,0.0,17574923.9945,4637863.1424,4424503.9523,124807677.9482,2035401.2621,11027288.1228,0.0,5331804.5411,1964674.9321,,demand_item,demand_item::item:268091,Demande 268091,ok,local
local_demand_item_item_268091_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268091_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268091_high\simulation_output,high,1.1,19564212.9718,0.148378,0.084787,0.174633,0.401431,0.190772,689273.0901,17065358.09,0.878259,5661783.5428,0.0,126125562.154,28018674.389,5661783.5428,105681525.2244,41318000.0,104069237.2669,0.0,36406.3627,0.0,0.0,0.0,0.0,0.0,4157351.8743,11878148.2123,2375629.6425,23125702.1911,0.0,18078543.3742,4892972.1979,4972510.4527,128615872.8936,0.0,11247553.9788,0.0,5345166.6955,2313271.7157,,demand_item,demand_item::item:268091,Demande 268091,ok,local
local_demand_item_item_268967_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268967_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268967_low\simulation_output,low,0.9,20580456.2608,0.155318,0.088753,0.168779,0.387455,0.199694,499313.6709,19816697.3144,0.902697,5131538.2714,0.0,120397209.9574,27312139.0586,5131538.2714,99484120.7717,28390727.5699,97973750.1714,0.0,33282.3627,0.0,0.0,0.0,0.0,0.0,4242064.8882,12120185.3949,2424037.079,22702412.3085,0.0,16984509.7268,4609726.7501,4632224.6005,120943125.3488,1576034.2816,10582226.9136,0.0,5454083.4277,2028901.9936,,demand_item,demand_item::item:268967,Demande 268967,ok,local
local_demand_item_item_268967_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268967_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_demand_item_item_268967_high\simulation_output,high,1.1,19260738.7519,0.145974,0.083414,0.173452,0.409479,0.187681,663703.797,18145921.457,0.878739,5473367.1571,0.0,131852033.5218,28468050.7012,5473367.1571,108948983.6506,27533104.3089,107185861.287,0.0,36870.3627,0.0,0.0,0.0,0.0,0.0,4155596.9857,11873134.2447,2374626.8489,23530199.7875,0.0,18593278.5132,4937850.9137,4809663.3601,132152414.2778,1580070.6283,11657065.5428,0.0,5342910.4101,2255756.601,,demand_item,demand_item::item:268967,Demande 268967,ok,local
local_capacity_node_M-1430_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1430_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1430_low\simulation_output,low,0.95,18939083.1706,0.153325,0.087614,0.170913,0.391015,0.197132,645164.3471,17611127.889,0.878327,5302452.7143,0.0,121161331.3961,27229751.0571,5302452.7143,99913853.5929,41318000.0,98218854.4447,0.0,34875.5446,0.0,0.0,0.0,0.0,0.0,4175006.4316,11928589.8047,2385717.9609,22575828.9707,0.0,17053673.2942,4653922.0864,4657288.3672,121558470.1163,0.0,10647239.1661,0.0,5367865.4121,1822772.3593,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,local
local_capacity_node_M-1430_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1430_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1430_high\simulation_output,high,1.05,20701905.8844,0.148371,0.084783,0.172855,0.403229,0.190762,546659.4682,18955910.0036,0.896904,5302452.7143,0.0,127228006.6345,28231683.0442,5302452.7143,106426953.9476,41318000.0,104778055.9797,0.0,35277.1808,0.0,0.0,0.0,0.0,0.0,4188749.861,11967856.7456,2393571.3491,23351687.7404,0.0,18161010.9887,4879995.3037,4755793.2461,129256153.6907,0.0,11383830.9948,0.0,5385535.5355,1821197.8852,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,local
local_capacity_node_M-1810_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1810_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1810_low\simulation_output,low,0.95,19880854.06,0.149466,0.085409,0.171248,0.401706,0.19217,631704.4814,18601343.7157,0.880866,5302452.7143,0.0,126348716.4021,27680812.7482,5302452.7143,104163186.5682,12270150.2341,102572613.7414,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4137336.7508,11820962.145,2364192.429,22940517.9993,0.0,17794622.4474,4740294.7489,4670748.2329,126443855.7867,2504724.8377,11119555.8543,0.0,5319432.9653,2243382.1592,,capacity_node,capacity_node::M-1810,Capacite M-1810,ok,local
local_capacity_node_M-1810_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1810_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_M-1810_high\simulation_output,high,1.05,20292342.1511,0.150117,0.085781,0.171222,0.399872,0.193008,528974.563,19473285.0002,0.90024,5302452.7143,0.0,125694987.4939,27852166.3238,5302452.7143,104539474.6805,12319145.7067,102970632.0843,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4181089.8016,11945970.8618,2389194.1724,23083262.1041,0.0,17877207.5876,4768904.2197,4773478.1513,126963401.994,6247946.6834,11137291.2424,0.0,5375686.8878,2453505.6598,,capacity_node,capacity_node::M-1810,Capacite M-1810,ok,local
local_capacity_node_SDC-1450_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_SDC-1450_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_SDC-1450_low\simulation_output,low,0.95,19550766.4194,0.146135,0.083506,0.174851,0.407621,0.187888,593478.1966,18720245.7433,0.888075,5302452.7143,0.0,125755770.2774,27397826.652,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4003780.0769,11439371.6482,2287874.3296,22607293.1126,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5147717.2417,2131254.1763,,capacity_node,capacity_node::SDC-1450,Capacite SDC-1450,ok,local
local_capacity_node_SDC-1450_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_SDC-1450_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_capacity_node_SDC-1450_high\simulation_output,high,1.05,19982164.2824,0.153633,0.08779,0.16842,0.392629,0.197528,593478.1966,19163669.7433,0.888075,5302452.7143,0.0,125869129.4774,28443966.4698,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4369929.0131,12485511.466,2497102.2932,23653432.9304,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5618480.1597,2131254.1763,,capacity_node,capacity_node::SDC-1450,Capacite SDC-1450,ok,local
local_supplier_stock_node_SDC-VD0914690A_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_node_SDC-VD0914690A_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_node_SDC-VD0914690A_low\simulation_output,low,0.9,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,ok,local
local_supplier_stock_node_SDC-VD0914690A_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_node_SDC-VD0914690A_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_node_SDC-VD0914690A_high\simulation_output,high,1.1,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,ok,local
local_supplier_capacity_node_SDC-VD0914690A_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_capacity_node_SDC-VD0914690A_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_capacity_node_SDC-VD0914690A_low\simulation_output,low,0.9,19621971.07,0.148867,0.085067,0.172861,0.401806,0.1914,581661.5188,19252880.9865,0.890303,5302452.7143,0.0,126599389.1097,27811510.0535,5302452.7143,104630766.6524,38517702.2107,103060475.5739,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4140209.4228,11829169.7794,2365833.9559,23003992.7935,0.0,17859860.7916,4807517.26,4720791.1954,127088562.2788,1455017.3512,11174823.0141,0.0,5323126.4007,1970678.0371,,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,ok,local
