capacity_node::M-1430,capacity_node::M-1810,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::external_procurement_cost_multiplier_scale,factor::external_procurement_daily_cap_days_scale,factor::external_procurement_lead_days_scale,factor::external_procurement_transport_cost_scale,factor::fg_target_days_scale,factor::holding_cost_scale,factor::lead_time_scale,factor::production_gap_gain_scale,factor::production_smoothing_scale,factor::production_stock_scale,factor::purchase_cost_floor_scale,factor::review_period_scale,factor::safety_stock_days_scale,factor::supplier_reliability_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,is_corner_case,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,27251.4057,0.807637,0.082747,0.109616,439.395,21810.2024,0.655376,31296.4842,33547.5903,1275.0,51686.9572,52470.2395,52470.2395,18.4243,3930.0115,27094.273,30771.6114,34910.9903,1211.3738,2775.9788,835.605,48335.284,3677.3385,8529.756,full_run_0021,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,40017.3682,0.856683,0.061708,0.081609,402.6478,31484.506,0.684198,29114.9941,47337.3978,1275.0,53898.6095,55481.1907,55481.1907,0.0,4150.3458,40553.1286,44416.2898,49286.1039,1273.9463,2921.1081,872.3522,50306.4204,3863.1612,8877.6036,full_run_0022,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,27281.847,0.802088,0.085795,0.112117,920.8875,18216.2309,0.488396,30741.4091,34455.311,1800.0,54033.5043,55058.2931,55058.2931,356.4555,4158.5756,27636.1866,31499.217,34910.9903,1275.0,2956.094,879.1125,50822.7448,3863.0304,8968.7197,full_run_0023,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,34774.58,0.790981,0.091391,0.117628,780.5244,29056.9097,0.566375,44357.7674,44608.0688,1800.0,74201.5383,75354.4767,75354.4767,31.9112,5741.956,35284.1492,40531.31,49286.1039,1710.1748,4076.7589,1019.4756,68382.5294,5247.1607,12067.5052,full_run_0024,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,20666.3465,0.793714,0.089031,0.117255,529.4871,8885.4152,0.584716,18508.5964,25439.159,1275.0,35115.9374,46189.3631,46189.3631,270153.6575,3377.0541,20191.4144,23174.2878,34910.9903,1211.3738,2264.8712,745.5129,34442.86,2982.8734,6078.1518,full_run_0025,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,35759.3144,0.832897,0.071656,0.095448,450.8281,28940.2618,0.646409,26822.82,43091.1179,1275.0,49135.6124,64798.0785,64798.0785,148755.456,4742.1434,35890.4517,40003.3966,49286.1039,1273.9463,3087.7213,824.1719,46513.0858,4112.9449,8208.1916,full_run_0026,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,19476.1654,0.781198,0.094639,0.124163,966.9469,10511.0339,0.462807,22271.9343,24262.2023,1800.0,35452.6434,46556.4827,46556.4827,304222.5179,3408.468,18953.574,21966.04,34910.9903,1267.5625,2296.1623,833.0531,34868.9114,3012.4661,6153.3373,full_run_0027,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,24828.8671,0.767306,0.101391,0.131303,753.3523,4382.0323,0.581471,16841.9817,32163.4612,1800.0,50033.5867,66384.7575,66384.7575,382168.3875,4896.8722,24679.2157,28902.3789,49286.1039,1658.6245,3261.0823,1046.6477,47873.2712,4223.1632,8448.2243,full_run_0028,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,28185.2221,0.813625,0.080992,0.105382,529.4871,20542.6433,0.584716,29832.0343,34940.1579,1275.0,47731.7888,55384.9015,55384.9015,27342.0828,4096.8435,28428.1993,32110.2801,34910.9903,1211.3738,2829.8777,745.5129,44882.6119,3682.0808,7920.4609,full_run_0029,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,46704.2964,0.868462,0.057887,0.073652,450.8281,40382.4759,0.646409,34348.2186,54629.3112,1275.0,58664.4051,58782.379,58782.379,18169.5861,4475.3542,47443.4594,51467.0086,49286.1039,1273.9463,3162.3026,824.1719,51283.2664,4023.5492,9049.9882,full_run_0030,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,26718.9373,0.794296,0.089124,0.11658,966.9469,23744.9808,0.462807,35763.8547,33432.5122,1800.0,49300.666,59527.307,59527.307,29958.7231,4370.7879,26555.3211,30452.8851,34910.9903,1275.0,2979.6271,833.0531,46408.6241,3897.564,8189.7572,full_run_0031,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,1.8,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,33695.8107,0.784405,0.093535,0.122061,753.3523,13811.1063,0.581471,28844.4458,43054.8809,1800.0,67664.1474,80490.3903,80490.3903,39877.4447,5920.3794,33772.4547,39027.7575,49286.1039,1698.6806,4027.1234,1046.6477,62621.0016,5255.3027,11050.765,full_run_0032,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,16361.4247,0.904059,0.042682,0.05326,578.5412,4901.0072,0.546242,8069.7472,16728.5381,1275.0,10216.0217,11797.0794,11797.0794,80078.6803,846.9404,15123.5791,16014.5363,25389.8111,862.9878,714.0019,696.4588,12274.9676,890.9572,2166.1707,full_run_0033,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,27146.1111,0.92656,0.032069,0.041371,578.0627,13867.466,0.546617,9711.4475,28389.9003,1275.0,14036.08,16268.1616,16268.1616,66105.509,1168.1016,26304.9345,27479.4641,35844.4392,906.9831,910.4362,696.9373,15557.3205,1174.5296,2745.4095,full_run_0034,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,13234.5641,0.877129,0.054936,0.067935,934.3164,4908.4218,0.480935,8050.0941,13772.7833,1800.0,10574.132,12155.1897,12155.1897,100625.0391,882.4057,12080.5102,13016.1637,25389.8111,910.775,756.6196,865.6836,13039.8714,935.6534,2301.1538,full_run_0035,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,20289.6334,0.896097,0.046161,0.057742,951.164,4159.7917,0.471576,11214.2481,21840.4656,1800.0,14627.8705,16859.952,16859.952,114031.881,1227.7303,19571.1691,20832.2782,35844.4392,1218.3358,1008.1875,848.836,17151.0299,1261.109,3026.6523,full_run_0036,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,19334.4284,0.823752,0.074338,0.10191,578.5412,9642.7594,0.546242,15835.9513,21991.7478,1275.0,28440.7382,33183.9115,33183.9115,4736.1779,2380.337,18115.7434,20356.9294,25389.8111,904.9473,1634.8185,696.4588,27795.8713,2241.1859,4905.1538,full_run_0037,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,29805.7918,0.876769,0.051847,0.071384,578.0627,20039.7673,0.546617,15883.7488,33068.8835,1275.0,29829.0476,35223.0682,35223.0682,0.0,2525.6118,28993.7593,31354.3512,35844.4392,906.9831,1714.5323,696.9373,28981.3429,2360.592,5114.3546,full_run_0038,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,15052.1031,0.773038,0.097938,0.129024,991.0305,5330.4541,0.449428,17105.9325,18017.8692,1800.0,29265.3519,34008.5251,34008.5251,33869.1593,2486.6093,13928.5006,16253.2391,25389.8111,1077.7165,1764.6301,808.9695,29157.8734,2324.7385,5145.5071,full_run_0039,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,24537.9682,0.811162,0.08076,0.108077,951.164,11004.6119,0.471576,22320.0674,29409.01,1800.0,40530.6319,47232.4041,47232.4041,6806.4127,3446.7418,23855.4838,27033.9287,35844.4392,1277.5726,2375.0814,848.836,39203.0882,3178.4449,6918.192,full_run_0040,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,16077.305,0.907096,0.041564,0.05134,494.8575,5755.4898,0.611876,7670.7486,16492.1401,1275.0,8634.9639,11797.0794,11797.0794,86537.5327,846.9404,14959.9533,15806.6628,25389.8111,844.9253,685.4774,780.1425,10888.2679,846.7094,1921.459,full_run_0041,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,26376.7888,0.928081,0.031661,0.040258,493.8527,13274.3865,0.612665,9196.2658,27671.1849,1275.0,11803.9985,16268.1616,16268.1616,78370.9892,1168.1016,25681.093,26795.0845,35844.4392,906.9831,876.1004,781.1473,13654.6858,1113.9915,2409.6504,full_run_0042,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,13278.346,0.884247,0.052098,0.063655,906.531,5823.1,0.496372,7322.6414,13905.027,1800.0,8993.0742,12155.1897,12155.1897,105861.971,882.4057,12295.4735,13180.6046,25389.8111,856.5875,724.4224,893.469,11514.0926,885.1311,2031.8987,full_run_0043,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,19853.2988,0.899238,0.045016,0.055746,833.0224,5427.8062,0.53721,8832.5961,21501.7819,1800.0,12395.7889,16859.952,16859.952,123324.7248,1227.7303,19335.2226,20533.8643,35844.4392,1153.8,967.9176,966.9776,15193.3362,1198.6416,2681.177,full_run_0044,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,17953.1142,0.821135,0.075967,0.102898,494.8575,10570.1392,0.611876,15052.3662,20733.5655,1275.0,24019.2665,33505.6131,33505.6131,26325.7636,2404.6097,17025.0608,19158.5043,25389.8111,880.3034,1575.0612,780.1425,24004.4975,2133.4435,4236.0878,full_run_0045,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,29117.9774,0.865636,0.057358,0.077006,493.8527,22728.7937,0.612665,18650.673,33181.6401,1275.0,30863.722,39382.8407,39382.8407,3753.0606,2875.612,28723.2066,31278.4034,35844.4392,906.9831,1903.2367,781.1473,29855.4507,2555.1969,5268.609,full_run_0046,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,14651.6886,0.782098,0.094561,0.12334,896.1223,7948.6899,0.502154,12326.1736,17723.5406,1800.0,24522.1786,34008.5251,34008.5251,48734.9747,2486.6093,13861.551,16047.5766,25389.8111,917.279,1675.964,903.8777,24865.8934,2186.0256,4388.0988,full_run_0047,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,22418.2398,0.806157,0.083736,0.110107,833.0224,8662.4303,0.53721,15829.6668,27502.687,1800.0,34319.4533,47711.9425,47711.9425,37465.7386,3490.534,22171.4915,25199.7201,35844.4392,1218.3358,2302.9669,966.9776,33884.3178,3028.2286,5979.5855,full_run_0048,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,29589.8365,0.947526,0.023436,0.029038,578.5412,15563.6858,0.546242,7371.6122,30571.1596,1275.0,10216.0217,11797.0794,11797.0794,82043.4956,846.9404,28966.9662,29854.6952,39671.5798,904.9473,716.4644,696.4588,12216.89,887.729,2155.9218,full_run_0049,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,46392.7373,0.95712,0.018753,0.024128,578.0627,33318.6317,0.546617,8896.0001,48502.3313,1275.0,14036.08,16268.1616,16268.1616,66105.509,1168.1016,46422.5353,47592.7801,56006.9362,906.9831,909.5512,696.9373,15468.8218,1170.2448,2729.7921,full_run_0050,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,24142.1045,0.931649,0.030982,0.037369,991.0305,5266.7649,0.449428,8361.302,25318.8358,1800.0,10574.132,12155.1897,12155.1897,121275.3626,882.4057,23588.2643,24534.4038,39671.5798,1171.2228,784.432,808.9695,13330.8424,946.1396,2352.5016,full_run_0051,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,4.0,1.0,0.85,0.8,1.0,False,True,38991.8451,0.945216,0.024434,0.03035,951.164,19304.7403,0.471576,10311.5859,41404.5848,1800.0,14627.8705,16865.4796,16865.4796,116805.738,1228.062,39136.2623,40392.8851,56006.9362,1277.5726,1011.6997,848.836,17061.5451,1256.6228,3010.8609,full_run_0052,ok
