active_days,avg_capacity_utilization,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
244,0.007148,657.5582,sourcing_share,1,M-1810,121,180.0,1,364,0.345727,0.010694,204.4286,1.0,0.190458,11,0,0,0.0,1,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0989480A,Supplier of Packaging - VD0989480A,0.000686,1.0,426331,63.7347
365,0.00346,662.5225,sourcing_share,1,M-1810,0,360.0,2,364,0.327705,0.267464,197.8948,0.699998,0.180546,12,2,0,0.0,0,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,0.000686,0.7,"001893, 002612",61.6906
197,0.004174,640.9167,sourcing_share,1,M-1430,121,180.0,1,333,0.303708,0.007778,204.4286,1.0,0.167348,13,0,0,0.0,1,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD1095770A,Supplier of Packaging - VD1095770A,0.000686,1.0,734545,37.2148
197,0.004137,664.1374,sourcing_share,1,M-1430,121,180.0,1,333,0.303444,0.00771,204.4286,1.0,0.167203,14,0,0,0.0,1,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0520115A,Supplier of Packaging - VD0520115A,0.000686,1.0,708073,36.8892
244,0.000491,1516.4213,sourcing_share,1,M-1810,121,180.0,1,364,0.295616,0.000735,245.625,1.0,0.162589,15,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,0.0,1.0,099439,11.7618
365,0.000889,674.5552,sourcing_share,1,M-1810,0,360.0,2,364,0.287147,0.076418,202.5618,0.179772,0.158971,16,2,0,0.0,0,2.983,lead time sortant local,0.000171,2.983,lead time sortant local,0.000171,SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,0.002312,0.179773,"001893, 002612",15.8433
365,0.000855,674.6559,sourcing_share,1,M-1810,0,180.0,1,364,0.266492,0.038209,203.4952,0.100001,0.147611,17,1,0,0.0,0,2.983,lead time sortant local,0.000171,2.983,lead time sortant local,0.000171,SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,0.002312,0.1,001893,7.6246
244,0.000317,677.9979,sourcing_share,1,M-1810,121,180.0,1,364,0.258415,0.000474,204.4286,1.0,0.142128,18,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,0.0,1.0,016332,2.8229
244,2.6e-05,678.8663,sourcing_share,1,M-1810,121,180.0,1,364,0.22355,3.9e-05,204.4286,1.0,0.122953,19,0,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,0.0,1.0,039668,0.2352
355,5.4e-05,655.6202,sourcing_share,1,M-1810,10,180.0,1,364,0.20663,6.8e-05,204.4286,0.699858,0.114687,20,1,0,0.0,0,2.983,lead time sortant local,0.000171,2.983,lead time sortant local,0.000171,SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,0.002312,0.7,055703,0.4805
355,2.3e-05,678.8445,sourcing_share,1,M-1810,10,180.0,1,364,0.200303,2.9e-05,204.4286,0.300142,0.110475,21,1,0,0.0,0,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,0.000686,0.3,055703,0.2061
247,0.000267,678.1394,sourcing_share,1,M-1810,118,180.0,1,364,0.172897,0.000395,204.4286,0.200001,0.096134,22,1,0,0.0,0,2.983,lead time sortant local,0.000171,2.983,lead time sortant local,0.000171,SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,0.002312,0.2,002612,2.3768
247,6.7e-05,678.7438,sourcing_share,1,M-1810,118,180.0,1,364,0.149736,9.9e-05,204.4286,0.050006,0.082355,23,1,0,0.0,0,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,0.0,0.05,002612,0.5943
0,0.0,114302.774,sourcing_share,1,SDC-1450,,180.0,1,,0.0,0.0,5767.5,0.0,0.000308,24,1,0,0.0,0,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,0.000686,0.0,021081,0.0
0,0.0,114302.774,sourcing_share,1,SDC-1450,,180.0,1,,0.0,0.0,5767.5,0.0,0.000308,25,1,0,0.0,0,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,0.000686,0.0,021081,0.0
0,0.0,114302.774,sourcing_share,1,SDC-1450,,180.0,1,,0.0,0.0,5767.5,0.0,0.000308,26,1,0,0.0,0,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,0.000686,0.0,021081,0.0
0,0.0,114302.774,sourcing_share,1,SDC-1450,,180.0,1,,0.0,0.0,5767.5,0.0,0.000308,27,1,0,0.0,0,0.0,stock fournisseur local,0.0,2.983,lead time sortant local,0.000171,SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,0.000686,0.0,021081,0.0
