capacity_node_scale_json,case_input,case_output_dir,category,demand_item_scale_json,description,error,factors_json,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,mutators_json,policy::review_period_days,policy::safety_stock_days,scenario_id,status
{},etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_stock_scale_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_stock_scale_down/simulation_output,single_factor_global,{},supplier_stock_scale -> 0.7,,"{""supplier_stock_scale"": 0.7}",20900.7593,0.747119,0.10922,0.143661,265.2224,13552.7364,0.823185,37740.1554,27563.4443,1500.0,49598.3353,53986.0555,53986.0555,20100.5161,4031.5553,20593.1838,24552.9638,29870.366,1425.1456,3010.4805,1234.7776,55059.7847,3959.7799,0.0,[],1.0,7.0,supplier_stock_scale_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_stock_scale_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_stock_scale_up/simulation_output,single_factor_global,{},supplier_stock_scale -> 1.2,,"{""supplier_stock_scale"": 1.2}",23617.5199,0.767307,0.099823,0.13287,31.1581,20997.1125,0.979228,40047.4657,28717.5411,1500.0,48727.5718,50195.5629,50195.5629,19971.5638,3771.383,22035.1755,25850.8764,29870.366,1396.676,2866.6647,1468.8419,55160.1271,3815.7009,0.0,[],1.0,7.0,supplier_stock_scale_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_stock_scale_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_stock_scale_up_severe/simulation_output,single_factor_global,{},supplier_stock_scale -> 1.6,,"{""supplier_stock_scale"": 1.6}",25600.0258,0.775504,0.092142,0.132355,0.0,16384.1059,1.0,34741.8154,29496.6895,1500.0,48270.9098,52166.058,52166.058,19753.0319,3712.533,22874.79,26778.8118,29870.366,1425.1456,2717.8778,1500.0,55402.6272,3904.0217,0.0,[],1.0,7.0,supplier_stock_scale_up_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/production_stock_scale_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/production_stock_scale_down/simulation_output,single_factor_global,{},production_stock_scale -> 0.7,,"{""production_stock_scale"": 0.7}",22570.1116,0.757859,0.104591,0.13755,81.8736,14523.9045,0.945418,37280.0003,28723.5609,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.4084,25719.3353,29948.766,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,7.0,production_stock_scale_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/production_stock_scale_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/production_stock_scale_up/simulation_output,single_factor_global,{},production_stock_scale -> 1.2,,"{""production_stock_scale"": 1.2}",22841.7116,0.757862,0.10459,0.137548,81.8736,14795.5045,0.945418,37280.0003,28723.8868,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.7343,25719.6612,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,7.0,production_stock_scale_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/production_stock_scale_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/production_stock_scale_up_severe/simulation_output,single_factor_global,{},production_stock_scale -> 1.4,,"{""production_stock_scale"": 1.4}",22981.7116,0.757863,0.104589,0.137548,81.8736,14935.5045,0.945418,37280.0003,28724.0548,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.9023,25719.8292,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,7.0,production_stock_scale_up_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_scale_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_scale_down/simulation_output,single_factor_global,{},capacity_scale -> 0.8,,"{""capacity_scale"": 0.8}",18521.2606,0.744513,0.109347,0.14614,232.0,16643.5065,0.845333,35774.2809,22692.4945,1500.0,40772.2821,44950.2852,44950.2852,17807.9323,3345.4167,16894.8496,20211.1409,23896.2928,1200.0,2481.3536,1268.0,46305.0003,3316.2913,0.0,[],1.0,7.0,capacity_scale_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_scale_down_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_scale_down_severe/simulation_output,single_factor_global,{},capacity_scale -> 0.7,,"{""capacity_scale"": 0.7}",16468.6847,0.748212,0.1059,0.145888,339.5,9771.8255,0.773667,25571.2531,19803.6861,1500.0,35453.1218,39033.4569,39033.4569,15550.0858,2855.3238,14817.3632,17706.4804,20909.2562,1050.0,2097.2057,1160.5,40469.2502,2889.1171,0.0,[],1.0,7.0,capacity_scale_down_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_scale_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_scale_up/simulation_output,single_factor_global,{},capacity_scale -> 1.2,,"{""capacity_scale"": 1.2}",28803.7916,0.792503,0.089795,0.117702,33.885,18316.6074,0.97741,38095.5984,35386.3776,1500.0,52945.8234,55338.5552,55338.5552,15217.6778,4177.5613,28043.8127,32208.8722,35844.4392,1498.7604,3177.5054,1466.115,59535.5796,4165.0595,0.0,[],1.0,7.0,capacity_scale_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/safety_stock_days_scale_low/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/safety_stock_days_scale_low/simulation_output,single_factor_global,{},safety_stock_days_scale -> 0.5,,"{""safety_stock_days_scale"": 0.5}",22701.7116,0.75786,0.10459,0.137549,81.8736,14655.5045,0.945418,37280.0003,28723.7188,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.5663,25719.4932,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,3.5,safety_stock_days_scale_low,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/safety_stock_days_scale_high/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/safety_stock_days_scale_high/simulation_output,single_factor_global,{},safety_stock_days_scale -> 1.8,,"{""safety_stock_days_scale"": 1.8}",23024.8316,0.757864,0.104589,0.137547,81.8736,14978.6245,0.945418,37280.0003,28724.1066,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.954,25719.881,30193.486,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,12.6,safety_stock_days_scale_high,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/safety_stock_days_scale_high_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/safety_stock_days_scale_high_severe/simulation_output,single_factor_global,{},safety_stock_days_scale -> 2.5,,"{""safety_stock_days_scale"": 2.5}",26223.0584,0.780128,0.094972,0.1249,81.8736,18176.8513,0.945418,37280.0003,31632.7206,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,24677.5681,28628.495,33391.7128,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,17.5,safety_stock_days_scale_high_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/review_period_scale_2d/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/review_period_scale_2d/simulation_output,single_factor_global,{},review_period_scale -> 2.0,,"{""review_period_scale"": 2.0}",22715.9254,0.783284,0.091126,0.12559,352.8708,13803.7955,0.764753,29354.5468,27719.4332,1500.0,41187.5521,48581.3064,48581.3064,12679.2021,3506.9095,21712.2009,25193.4825,31737.2639,1311.719,2525.9507,1147.1292,46889.6164,3481.2816,0.0,[],2.0,7.0,review_period_scale_2d,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/review_period_scale_4d/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/review_period_scale_4d/simulation_output,single_factor_global,{},review_period_scale -> 4.0,,"{""review_period_scale"": 4.0}",26360.0854,0.878602,0.051263,0.070135,567.6723,12499.4936,0.621552,13721.7485,28198.8649,1500.0,22827.5728,26547.7087,26547.7087,40169.7249,1889.7954,24775.576,26753.3137,35471.0596,1064.6439,1445.5512,932.3277,27647.551,1977.7377,0.0,[],4.0,7.0,review_period_scale_4d,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/review_period_scale_7d/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/review_period_scale_7d/simulation_output,single_factor_global,{},review_period_scale -> 7.0,,"{""review_period_scale"": 7.0}",34635.8905,0.943451,0.024005,0.032544,691.9086,20419.419,0.538728,4762.3252,35266.3511,1500.0,11819.6248,15519.4607,15519.4607,28458.407,1074.9367,33272.057,34419.7718,41102.5532,799.3632,846.5793,808.0914,15728.0927,1147.7148,0.0,[],7.0,7.0,review_period_scale_7d,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_reliability_scale_95pct/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_reliability_scale_95pct/simulation_output,single_factor_global,{},supplier_reliability_scale -> 0.95,,"{""supplier_reliability_scale"": 0.95}",22605.787,0.753135,0.106813,0.140052,196.5614,14982.6632,0.868959,37527.3651,28908.6317,1500.0,51141.9146,56525.3673,56525.3673,20674.7207,4216.3867,21772.0998,25820.8023,29870.366,1425.1456,3087.8294,1303.4386,54606.3666,4048.7025,2874.0193,[],1.0,7.0,supplier_reliability_scale_95pct,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_reliability_scale_85pct/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_reliability_scale_85pct/simulation_output,single_factor_global,{},supplier_reliability_scale -> 0.85,,"{""supplier_reliability_scale"": 0.85}",22080.427,0.73736,0.114141,0.1485,389.6007,17868.369,0.740266,40440.3267,28824.0758,1500.0,56220.6287,63379.0142,63379.0142,22836.0981,4707.5072,21253.7145,25534.0768,29870.366,1425.1456,3289.999,1110.3993,53362.4858,4280.3623,9416.9093,[],1.0,7.0,supplier_reliability_scale_85pct,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_reliability_scale_75pct/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/supplier_reliability_scale_75pct/simulation_output,single_factor_global,{},supplier_reliability_scale -> 0.75,,"{""supplier_reliability_scale"": 0.75}",20973.4723,0.713316,0.125358,0.161327,520.8233,13433.3303,0.652784,36088.2742,28412.2305,1500.0,64515.6244,70944.7133,70944.7133,24473.6496,5291.7822,20266.8853,24850.5399,29870.366,1425.1456,3561.6907,979.1767,53466.4497,4583.6545,17822.1499,[],1.0,7.0,supplier_reliability_scale_75pct,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268091_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268091_down/simulation_output,single_factor_item_demand,"{""item:268091"": 0.7}",Demand scale on item:268091 -> 0.7,,{},23463.3287,0.769964,0.094883,0.135153,49.4597,19047.6647,0.961208,39733.7541,28639.2084,1275.0,48496.8234,52828.8503,52828.8503,19612.3939,3817.2877,22051.1458,25921.835,29870.366,1237.1399,2717.3734,1225.5403,53934.7795,3870.6892,0.0,[],1.0,7.0,demand_item_268091_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268091_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268091_up/simulation_output,single_factor_item_demand,"{""item:268091"": 1.3}",Demand scale on item:268091 -> 1.3,,{},22689.1933,0.757312,0.105514,0.137174,274.96,13360.0781,0.840603,36415.3861,28920.6527,1725.0,49235.0387,53429.7172,53429.7172,20127.9278,4031.0298,21901.9672,25869.1327,29870.366,1462.5704,3051.52,1450.04,55762.3006,3967.1655,0.0,[],1.0,7.0,demand_item_268091_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268091_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268091_up_severe/simulation_output,single_factor_item_demand,"{""item:268091"": 1.5}",Demand scale on item:268091 -> 1.5,,{},22686.1333,0.757282,0.105527,0.137192,424.96,13360.0781,0.773355,36415.3861,28916.9807,1875.0,49235.0387,53429.7172,53429.7172,20127.9278,4031.0298,21898.2952,25865.4607,29870.366,1462.5704,3051.52,1450.04,55762.3006,3967.1655,0.0,[],1.0,7.0,demand_item_268091_up_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268967_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268967_down/simulation_output,single_factor_item_demand,"{""item:268967"": 0.7}",Demand scale on item:268967 -> 0.7,,{},26336.5854,0.822724,0.078161,0.099115,3.6647,21880.5846,0.997126,29189.0723,30804.9566,1275.0,39480.4252,40028.347,40028.347,6101.7164,3069.4445,25343.989,28397.2144,29870.366,1237.138,2407.7422,1271.3353,44008.8531,3053.2255,0.0,[],1.0,7.0,demand_item_268967_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268967_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268967_up/simulation_output,single_factor_item_demand,"{""item:268967"": 1.3}",Demand scale on item:268967 -> 1.3,,{},21710.9978,0.739783,0.111731,0.148486,274.9552,12923.1352,0.840606,38327.1494,27909.4286,1725.0,51314.7299,56382.4723,56382.4723,22130.7101,4197.4642,20646.9307,24791.0934,29870.366,1462.5752,3118.3353,1450.0448,57699.3432,4144.1626,0.0,[],1.0,7.0,demand_item_268967_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268967_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_item_268967_up_severe/simulation_output,single_factor_item_demand,"{""item:268967"": 1.5}",Demand scale on item:268967 -> 1.5,,{},21707.7312,0.739747,0.111746,0.148507,424.9552,12923.1352,0.773357,38327.1494,27905.5086,1875.0,51314.7299,56382.4723,56382.4723,22130.7101,4197.4642,20643.0107,24787.1734,29870.366,1462.5752,3118.3353,1450.0448,57699.3432,4144.1626,0.0,[],1.0,7.0,demand_item_268967_up_severe,ok
"{""M-1430"": 0.9}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_down10/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_down10/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1430 -> 0.9,,{},21041.2065,0.753003,0.10745,0.139547,44.4687,13943.1342,0.970354,36129.9968,26571.2986,1500.0,45749.8922,49994.3636,49994.3636,19601.2064,3772.5876,20008.2701,23716.2202,26980.6801,1378.5696,2855.0785,1455.5313,52006.9185,3707.95,0.0,[],1.0,7.0,capacity_M-1430_down10,ok
"{""M-1430"": 0.8}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_down20/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_down20/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1430 -> 0.8,,{},19586.2174,0.756088,0.107257,0.136655,149.6647,13528.3888,0.900224,33642.4688,24620.9151,1500.0,41145.1894,45212.981,45212.981,17810.907,3443.0676,18615.5803,21980.1464,24090.9942,1312.5752,2640.7687,1350.3353,47246.5283,3364.5661,0.0,[],1.0,7.0,capacity_M-1430_down20,ok
"{""M-1430"": 0.7}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_down30/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_down30/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1430 -> 0.7,,{},16595.6261,0.739835,0.115775,0.14439,180.9645,11660.3267,0.879357,29158.2249,20590.7964,1500.0,36060.4191,39574.2778,39574.2778,15641.0055,3045.5231,15233.7917,18206.8965,21201.3083,1237.5752,2383.8999,1319.0355,42030.3511,2973.1048,0.0,[],1.0,7.0,capacity_M-1430_down30,ok
"{""M-1430"": 1.2}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_up20/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1430_up20/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1430 -> 1.2,,{},28664.9121,0.793497,0.088728,0.117775,102.0705,20067.9939,0.931953,39579.9866,35203.6063,1500.0,52810.2316,55239.2412,55239.2412,15345.2245,4141.0807,27933.958,32080.0487,35649.7378,1461.9506,3123.5576,1397.9295,59178.8084,4146.0907,0.0,[],1.0,7.0,capacity_M-1430_up20,ok
"{""M-1810"": 0.9}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_down10/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_down10/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1810 -> 0.9,,{},23280.4029,0.763677,0.101167,0.135156,87.4448,16920.2963,0.941703,39225.6897,29102.7021,1500.0,48987.8704,53256.176,53256.176,20037.5962,3967.6644,22225.0672,26158.4795,29773.0153,1379.0424,2944.2226,1412.5552,55096.4103,3933.4123,0.0,[],1.0,7.0,capacity_M-1810_down10,ok
"{""M-1810"": 0.8}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_down20/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_down20/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1810 -> 0.8,,{},23219.795,0.765586,0.098832,0.135583,114.96,16456.7004,0.92336,38147.1396,28784.3298,1500.0,48777.0587,53079.9372,53079.9372,19995.7478,3902.1518,22036.8671,25939.5193,29675.6646,1312.5704,2844.8105,1385.04,54512.0154,3902.6522,0.0,[],1.0,7.0,capacity_M-1810_down20,ok
"{""M-1810"": 0.7}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_down30/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_down30/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1810 -> 0.7,,{},23083.7814,0.76685,0.096178,0.136973,245.4597,18735.7037,0.83636,39752.2187,28265.258,1500.0,48542.6687,52801.8122,52801.8122,19907.8028,3809.6033,21675.2062,25546.7712,29578.3139,1237.5704,2718.4868,1254.5403,53987.9828,3871.565,0.0,[],1.0,7.0,capacity_M-1810_down30,ok
"{""M-1810"": 1.2}",etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_up20/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/capacity_M-1810_up20/simulation_output,single_factor_node_capacity,{},Capacity scale on M-1810 -> 1.2,,{},22992.2722,0.759654,0.104625,0.135722,34.5449,12532.5396,0.97697,35325.1366,29222.4661,1500.0,49285.5578,53441.9471,53441.9471,19871.1759,4036.2833,22198.9558,26165.0731,30065.0674,1461.9554,3057.393,1465.4551,55732.2743,3966.1173,0.0,[],1.0,7.0,capacity_M-1810_up20,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_sync_spike_150/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_sync_spike_150/simulation_output,profile_shock,{},Synchronized demand spike +50%.,,{},24594.1062,0.788461,0.092588,0.118951,111.4,20260.916,0.924423,37360.352,30212.9197,1474.0,45953.6454,47094.299,47094.299,14381.1748,3597.5165,23821.7045,27415.5602,29870.366,1366.1,2797.3595,1362.6,52060.8448,3593.8557,0.0,"[""sync_spike_x1_5""]",1.0,7.0,demand_sync_spike_150,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_sync_spike_200/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_sync_spike_200/simulation_output,profile_shock,{},Synchronized demand spike +100%.,,{},24142.9268,0.783905,0.094563,0.121532,328.8001,18268.0002,0.803349,35961.9984,29814.8504,1672.0,46175.4565,47594.4183,47594.4183,13858.1891,3633.6189,23372.0054,26995.457,29870.366,1375.2,2819.3934,1343.1999,52354.8099,3623.4516,0.0,"[""sync_spike_x2_0""]",1.0,7.0,demand_sync_spike_200,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_wave_high_vol/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_wave_high_vol/simulation_output,profile_shock,{},High volatility demand wave.,,{},22277.9054,0.75695,0.105232,0.137818,296.81,17529.7476,0.819151,38883.1525,27979.9541,1641.2,48175.6544,51752.1478,51752.1478,17548.0975,3913.6181,21179.4272,25035.5622,29870.366,1411.39,2944.3919,1344.39,54453.7865,3856.1351,0.0,"[""wave_profile""]",1.0,7.0,demand_wave_high_vol,ok
