rule,threshold_mode,value_kind,item_filter,include_internal_rollup,snapshot_count,real_mean_eur,sim_mean_eur,bias_eur,bias_pct_real_mean,mae_eur,mae_pct_real_mean,corr,first_real_eur,first_sim_eur,first_error_eur,min_sim_eur,max_sim_eur
subset/coverage/stock/042342+344135+708073,coverage,stock,subset_042342+344135+708073,False,52,259678.40000000002,292568.0916466154,32889.6916466154,0.1266554771078973,58585.37782938463,0.22560743530992422,-0.12384832616435393,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/demand_180d/stock/042342+344135+708073,demand_180d,stock,subset_042342+344135+708073,False,52,259678.40000000002,292568.0916466154,32889.6916466154,0.1266554771078973,58585.37782938463,0.22560743530992422,-0.12384832616435393,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/demand_90d/stock/042342+344135+708073,demand_90d,stock,subset_042342+344135+708073,False,52,259678.40000000002,292568.0916466154,32889.6916466154,0.1266554771078973,58585.37782938463,0.22560743530992422,-0.12384832616435393,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/max_safety_coverage/stock/042342+344135+708073,max_safety_coverage,stock,subset_042342+344135+708073,False,52,259678.40000000002,292568.0916466154,32889.6916466154,0.1266554771078973,58585.37782938463,0.22560743530992422,-0.12384832616435393,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/safety_plus_coverage/stock/042342+344135+708073,safety_plus_coverage,stock,subset_042342+344135+708073,False,52,259678.40000000002,292568.0916466154,32889.6916466154,0.1266554771078973,58585.37782938463,0.22560743530992422,-0.12384832616435393,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/target_stock/stock/042342+344135+708073,target_stock,stock,subset_042342+344135+708073,False,52,259678.40000000002,292568.0916466154,32889.6916466154,0.1266554771078973,58585.37782938463,0.22560743530992422,-0.12384832616435393,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
coverage/stock/packaging_only/direct_only,coverage,stock,packaging_only,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
demand_180d/stock/packaging_only/direct_only,demand_180d,stock,packaging_only,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
demand_90d/stock/packaging_only/direct_only,demand_90d,stock,packaging_only,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
max_safety_coverage/stock/packaging_only/direct_only,max_safety_coverage,stock,packaging_only,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
safety_plus_coverage/stock/packaging_only/direct_only,safety_plus_coverage,stock,packaging_only,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
target_stock/stock/packaging_only/direct_only,target_stock,stock,packaging_only,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/coverage/stock/333362+344135+708073+734545,coverage,stock,subset_333362+344135+708073+734545,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/demand_180d/stock/333362+344135+708073+734545,demand_180d,stock,subset_333362+344135+708073+734545,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/demand_90d/stock/333362+344135+708073+734545,demand_90d,stock,subset_333362+344135+708073+734545,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/max_safety_coverage/stock/333362+344135+708073+734545,max_safety_coverage,stock,subset_333362+344135+708073+734545,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/safety_plus_coverage/stock/333362+344135+708073+734545,safety_plus_coverage,stock,subset_333362+344135+708073+734545,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/target_stock/stock/333362+344135+708073+734545,target_stock,stock,subset_333362+344135+708073+734545,False,52,259678.40000000002,231276.17585623075,-28402.22414376924,-0.10937461161101283,59377.65430099999,0.22865842634966937,0.43740843500467413,220644.25,76637.40974,-144006.84026,76637.40974,347021.848876
subset/coverage/stock/333362+708073+734545,coverage,stock,subset_333362+708073+734545,False,52,259678.40000000002,228101.76035623072,-31576.639643769242,-0.12159902265174631,59719.537801000006,0.22997499137779653,0.4372867687080441,220644.25,76637.40974,-144006.84026,76637.40974,342472.78487599996
subset/demand_180d/stock/333362+708073+734545,demand_180d,stock,subset_333362+708073+734545,False,52,259678.40000000002,228101.76035623072,-31576.639643769242,-0.12159902265174631,59719.537801000006,0.22997499137779653,0.4372867687080441,220644.25,76637.40974,-144006.84026,76637.40974,342472.78487599996
subset/demand_90d/stock/333362+708073+734545,demand_90d,stock,subset_333362+708073+734545,False,52,259678.40000000002,228101.76035623072,-31576.639643769242,-0.12159902265174631,59719.537801000006,0.22997499137779653,0.4372867687080441,220644.25,76637.40974,-144006.84026,76637.40974,342472.78487599996
subset/max_safety_coverage/stock/333362+708073+734545,max_safety_coverage,stock,subset_333362+708073+734545,False,52,259678.40000000002,228101.76035623072,-31576.639643769242,-0.12159902265174631,59719.537801000006,0.22997499137779653,0.4372867687080441,220644.25,76637.40974,-144006.84026,76637.40974,342472.78487599996
subset/safety_plus_coverage/stock/333362+708073+734545,safety_plus_coverage,stock,subset_333362+708073+734545,False,52,259678.40000000002,228101.76035623072,-31576.639643769242,-0.12159902265174631,59719.537801000006,0.22997499137779653,0.4372867687080441,220644.25,76637.40974,-144006.84026,76637.40974,342472.78487599996
subset/target_stock/stock/333362+708073+734545,target_stock,stock,subset_333362+708073+734545,False,52,259678.40000000002,228101.76035623072,-31576.639643769242,-0.12159902265174631,59719.537801000006,0.22997499137779653,0.4372867687080441,220644.25,76637.40974,-144006.84026,76637.40974,342472.78487599996
subset/coverage/stock/042342+708073+734545,coverage,stock,subset_042342+708073+734545,False,52,259678.40000000002,294149.5777693846,34471.177769384645,0.13274564911592432,59977.66725030771,0.2309690264970352,-0.1463243175737645,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/demand_180d/stock/042342+708073+734545,demand_180d,stock,subset_042342+708073+734545,False,52,259678.40000000002,294149.5777693846,34471.177769384645,0.13274564911592432,59977.66725030771,0.2309690264970352,-0.1463243175737645,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/demand_90d/stock/042342+708073+734545,demand_90d,stock,subset_042342+708073+734545,False,52,259678.40000000002,294149.5777693846,34471.177769384645,0.13274564911592432,59977.66725030771,0.2309690264970352,-0.1463243175737645,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/max_safety_coverage/stock/042342+708073+734545,max_safety_coverage,stock,subset_042342+708073+734545,False,52,259678.40000000002,294149.5777693846,34471.177769384645,0.13274564911592432,59977.66725030771,0.2309690264970352,-0.1463243175737645,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/safety_plus_coverage/stock/042342+708073+734545,safety_plus_coverage,stock,subset_042342+708073+734545,False,52,259678.40000000002,294149.5777693846,34471.177769384645,0.13274564911592432,59977.66725030771,0.2309690264970352,-0.1463243175737645,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/target_stock/stock/042342+708073+734545,target_stock,stock,subset_042342+708073+734545,False,52,259678.40000000002,294149.5777693846,34471.177769384645,0.13274564911592432,59977.66725030771,0.2309690264970352,-0.1463243175737645,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/coverage/stock/333362+344135+708073,coverage,stock,subset_333362+344135+708073,False,52,259678.40000000002,226520.2742334615,-33158.12576653846,-0.12768919465977324,60635.219300384626,0.2335012049534525,0.4404145150522282,220644.25,75937.62169999999,-144706.6283,75937.62169999999,342377.32026
subset/demand_180d/stock/333362+344135+708073,demand_180d,stock,subset_333362+344135+708073,False,52,259678.40000000002,226520.2742334615,-33158.12576653846,-0.12768919465977324,60635.219300384626,0.2335012049534525,0.4404145150522282,220644.25,75937.62169999999,-144706.6283,75937.62169999999,342377.32026
subset/demand_90d/stock/333362+344135+708073,demand_90d,stock,subset_333362+344135+708073,False,52,259678.40000000002,226520.2742334615,-33158.12576653846,-0.12768919465977324,60635.219300384626,0.2335012049534525,0.4404145150522282,220644.25,75937.62169999999,-144706.6283,75937.62169999999,342377.32026
subset/max_safety_coverage/stock/333362+344135+708073,max_safety_coverage,stock,subset_333362+344135+708073,False,52,259678.40000000002,226520.2742334615,-33158.12576653846,-0.12768919465977324,60635.219300384626,0.2335012049534525,0.4404145150522282,220644.25,75937.62169999999,-144706.6283,75937.62169999999,342377.32026
subset/safety_plus_coverage/stock/333362+344135+708073,safety_plus_coverage,stock,subset_333362+344135+708073,False,52,259678.40000000002,226520.2742334615,-33158.12576653846,-0.12768919465977324,60635.219300384626,0.2335012049534525,0.4404145150522282,220644.25,75937.62169999999,-144706.6283,75937.62169999999,342377.32026
subset/target_stock/stock/333362+344135+708073,target_stock,stock,subset_333362+344135+708073,False,52,259678.40000000002,226520.2742334615,-33158.12576653846,-0.12768919465977324,60635.219300384626,0.2335012049534525,0.4404145150522282,220644.25,75937.62169999999,-144706.6283,75937.62169999999,342377.32026
subset/coverage/stock/333362+708073,coverage,stock,subset_333362+708073,False,52,259678.40000000002,223345.8587334615,-36332.541266538465,-0.1399136057005067,61017.332323461545,0.23497269054130623,0.44034736376498823,220644.25,75937.62169999999,-144706.6283,75937.62169999999,337828.25626
subset/demand_180d/stock/333362+708073,demand_180d,stock,subset_333362+708073,False,52,259678.40000000002,223345.8587334615,-36332.541266538465,-0.1399136057005067,61017.332323461545,0.23497269054130623,0.44034736376498823,220644.25,75937.62169999999,-144706.6283,75937.62169999999,337828.25626
subset/demand_90d/stock/333362+708073,demand_90d,stock,subset_333362+708073,False,52,259678.40000000002,223345.8587334615,-36332.541266538465,-0.1399136057005067,61017.332323461545,0.23497269054130623,0.44034736376498823,220644.25,75937.62169999999,-144706.6283,75937.62169999999,337828.25626
subset/max_safety_coverage/stock/333362+708073,max_safety_coverage,stock,subset_333362+708073,False,52,259678.40000000002,223345.8587334615,-36332.541266538465,-0.1399136057005067,61017.332323461545,0.23497269054130623,0.44034736376498823,220644.25,75937.62169999999,-144706.6283,75937.62169999999,337828.25626
subset/safety_plus_coverage/stock/333362+708073,safety_plus_coverage,stock,subset_333362+708073,False,52,259678.40000000002,223345.8587334615,-36332.541266538465,-0.1399136057005067,61017.332323461545,0.23497269054130623,0.44034736376498823,220644.25,75937.62169999999,-144706.6283,75937.62169999999,337828.25626
subset/target_stock/stock/333362+708073,target_stock,stock,subset_333362+708073,False,52,259678.40000000002,223345.8587334615,-36332.541266538465,-0.1399136057005067,61017.332323461545,0.23497269054130623,0.44034736376498823,220644.25,75937.62169999999,-144706.6283,75937.62169999999,337828.25626
subset/coverage/stock/042342+344135+708073+734545,coverage,stock,subset_042342+344135+708073+734545,False,52,259678.40000000002,297323.9932693846,37645.59326938465,0.14497006015665778,61072.38575030771,0.23518469672605694,-0.12578456549096012,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
subset/demand_180d/stock/042342+344135+708073+734545,demand_180d,stock,subset_042342+344135+708073+734545,False,52,259678.40000000002,297323.9932693846,37645.59326938465,0.14497006015665778,61072.38575030771,0.23518469672605694,-0.12578456549096012,220644.25,211810.7784,-8833.47159999999,211810.7784,349826.5664
