time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Supply Rate,Production Rate,Adjusted Supply Rate,Recycled Materials,Buffer Size,Processing Time 1,Processing Time 2,Processing Time 3,Processing Time 4,Processing Time 5,Processing Time 6,Processing Time 7,Carbon Emissions Rate 1,Carbon Emissions Rate 2,Carbon Emissions Rate 3,Carbon Emissions Rate 4,Carbon Emissions Rate 5,Carbon Emissions Rate 6,Carbon Emissions Rate 7,Recycling Rate,Carbon Emissions Supply,Carbon Emissions Supply with Recycling,Carbon Emissions 1,Carbon Emissions 2,Carbon Emissions 3,Carbon Emissions 4,Carbon Emissions 5,Carbon Emissions 6,Carbon Emissions 7,Inventory 1,Inventory 2,Inventory 3,Inventory 4,Inventory 5,Inventory 6,Inventory 7
2.75,30,0,0.125,0.125,15,15,10,7.712354889398727,50,1.152500231913291,0.8742279155963907,0.9484371799494454,0.8948522830060212,0.9015747498452403,0.8337361190074841,1.0541806797383821,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,82.5,66.0,10.3125,12.375,14.4375,16.5,18.5625,20.625,22.6875,38.459588994623914,38.425130071167466,38.49028309654538,38.57686392948224,38.51988876682878,38.542912418825786,38.56177444699363
2.875,30,0,0.125,0.125,15,15,10,8.061000372405266,50,1.035206372612755,1.1234692332240046,1.082859075467082,0.8226320403779448,1.1801277489596282,1.1542057610424195,1.0560469174666385,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,86.25,69.0,10.78125,12.9375,15.09375,17.25,19.40625,21.5625,23.71875,40.190526465634754,40.190851581717915,40.2467284490517,40.34000739410649,40.282191923098125,40.31369540394985,40.30500186202633
3.0,30,0,0.125,0.125,15,15,10,8.4095991994686,50,0.8943056185517787,1.0323616369708881,0.9724971987302191,1.1315782740974685,0.910890265822726,0.9145144369496456,1.1699515563507863,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,90.0,72.0,11.25,13.5,15.75,18.0,20.25,22.5,24.75,41.93612566905816,41.925417927564915,41.98637106461832,42.11217838905925,42.00967595447817,42.04441968381955,42.047995997343
3.125,30,0,0.125,0.125,15,15,10,8.755350410559831,50,0.9927735654854907,0.9017606077999057,0.9419166819948039,0.8659306615394493,0.8019411730033823,1.1088229726919847,0.9768968785389106,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,93.75,75.0,11.71875,14.0625,16.40625,18.75,21.09375,23.4375,25.78125,43.69933746673919,43.67137272294355,43.73980891477704,43.84573110479707,43.77081467125033,43.80510537920084,43.776752052799154
3.25,30,0,0.125,0.125,15,15,10,9.105927988596358,50,1.0299062245238577,0.9510677193191852,1.0911076873558017,1.106200141621582,0.9994660323188009,0.9008532779294076,1.0034427921391096,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,97.5,78.0,12.1875,14.625,17.0625,19.5,21.9375,24.375,26.8125,45.4502407710535,45.43365264696856,45.49706932952769,45.61248977210464,45.5455720246249,45.54150250761434,45.52963994298179
3.375,30,0,0.125,0.125,15,15,10,9.455841918792881,50,1.1672391592713103,1.1106035999510304,1.1951362633022506,1.0801935182058582,1.042966492812547,1.1787029371055275,0.8748529990163949,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,101.25,81.0,12.65625,15.1875,17.71875,20.25,22.78125,25.3125,27.84375,47.19650249298802,47.18976918205366,47.23568086860821,47.34921475440194,47.29563877058505,47.303895847873164,47.2792095939644
3.5,30,0,0.125,0.125,15,15,10,9.80897059381747,50,0.9820030090512206,1.12853341479203,0.8681464772640184,0.9984495844419236,1.0557911891448066,0.835203136046671,1.0619342473815467,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,105.0,84.0,13.125,15.75,18.375,21.0,23.625,26.25,28.875,48.9255975980791,48.92594373205978,48.961288835695434,49.08919056462621,49.040267958983485,49.03155798073497,49.04485296908735
3.625,30,0,0.125,0.125,15,15,10,10.157422237632932,50,0.8096639694900196,0.8607501423470599,1.1979755821557014,1.1068842892891366,0.962820319163324,0.874907832825,0.983689121947405,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,108.75,87.0,13.59375,16.3125,19.03125,21.75,24.46875,27.1875,29.90625,50.6778472219477,50.65987705521077,50.72777052603743,50.83938436657097,50.78329406034038,50.80215758872914,50.78711118816466
3.75,30,0,0.125,0.125,15,15,10,10.507830009584247,50,1.038934645943951,0.9263850604822811,1.1070817748041861,0.8071606658485354,0.8413266405614938,0.8693564679772967,1.1093242228655669,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,112.5,90.0,14.0625,16.875,19.6875,22.5,25.3125,28.125,30.9375,52.45163922576145,52.42728328741739,52.45302357826797,52.576023830409824,52.53794152044497,52.567794109626014,52.53915004792123
3.875,30,0,0.125,0.125,15,15,10,10.855096904012608,50,0.8307682906282056,1.0028277128396454,1.0483384639696083,1.0618129216973207,1.0646132326500102,1.0266687672844574,0.8710882113349522,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,116.25,93.0,14.53125,17.4375,20.34375,23.25,26.15625,29.0625,31.96875,54.196772395018456,54.1864851548571,54.18963835641745,54.35012874717876,54.30777569037478,54.33412455112885,54.27548452006304
4.0,30,0,0.125,0.125,15,15,10,11.208319698729234,50,1.0327417086949326,1.094358371680573,1.0300165199668103,1.099069391572303,0.8225603485791547,0.8981626581570841,1.041532894508377,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,120.0,96.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,55.96792635868993,55.93613169075215,55.93359604842124,56.092402131966594,56.04969903629353,56.0807909552183,56.04159849364617
4.125,30,0,0.125,0.125,15,15,10,11.557281376366525,50,1.1135650096853422,0.9651966069022903,0.8720595523241272,0.8984441575068441,1.188781163950729,0.860744545861091,0.9651842368849255,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,123.75,99.0,15.46875,18.5625,21.65625,24.75,27.84375,30.9375,34.03125,57.713833645103065,57.674336894292075,57.67984398342539,57.83001845802006,57.82187899272114,57.84352062294866,57.786406881832626
4.25,30,0,0.125,0.125,15,15,10,11.908151770444404,50,0.9544386667245013,0.8819864400157225,1.1082906688574308,0.9192153392765758,0.9205118148847102,0.8907087247203362,1.1528660903428307,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,127.5,102.0,15.9375,19.125,22.3125,25.5,28.6875,31.875,35.0625,59.4496380188924,59.42868731842929,59.44583653938488,59.5927129383317,59.548281347227295,59.61092755471602,59.54075885222201
4.375,30,0,0.125,0.125,15,15,10,12.254330118185832,50,0.8372859015890297,1.185592206616411,1.0357994529670074,0.8513524254104275,0.8316893376881894,1.0604715896005894,0.9881960947434233,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,131.25,105.0,16.40625,19.6875,22.96875,26.25,29.53125,32.8125,36.09375,61.20533318555184,61.19343901342732,61.1823002057777,61.35281102092213,61.308217370366705,61.37458896412598,61.271650590929156
4.5,30,0,0.125,0.125,15,15,10,12.604625215817245,50,1.1806675426064512,1.0226298883691078,1.0184256900808288,1.1855723234289384,0.9474684310118701,0.9898065543249521,1.121110616543432,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,135.0,108.0,16.875,20.25,23.625,27.0,30.375,33.75,37.125,62.975672447853206,62.92023998760027,62.927825274156824,63.12139196774583,63.07925620315568,63.117030015425904,63.023126079086225
4.625,30,0,0.125,0.125,15,15,10,12.95159745040366,50,1.045349504824546,1.0065562199176474,0.9788511070470889,1.0780954114697539,1.1266294826598044,1.167452094232312,1.1444104606647758,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,138.75,111.0,17.34375,20.8125,24.28125,27.75,31.21875,34.6875,38.15625,64.7030890050274,64.66741125155413,64.67552206289672,64.84819542731721,64.8358226492792,64.86830419613528,64.7579872520183
4.75,30,0,0.125,0.125,15,15,10,13.297987188887042,50,1.104806687858248,1.016150417417967,1.0878068371605667,1.1260361018523042,0.8414368179441383,1.0530270904659245,1.0366412300232108,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,142.5,114.0,17.8125,21.375,24.9375,28.5,32.0625,35.625,39.1875,66.44742031692432,66.41659172406442,66.42816567451584,66.58843350088348,66.56999396394671,66.59737268435624,66.4899359444352
4.875,30,0,0.125,0.125,15,15,10,13.647071158136463,50,0.8174998432335383,1.0062267573174022,1.032248537952051,1.0711958803951571,0.8057639150165914,1.1497030859928956,0.8538431584074695,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,146.25,117.0,18.28125,21.9375,25.59375,29.25,32.90625,36.5625,40.21875,68.18431948094204,68.16457292188717,68.16718981987077,68.32267898815195,68.3398143617037,68.34074429804801,68.2353557906823
5.0,30,0,0.125,0.125,15,15,10,14.000725079176275,50,1.0252007449784075,0.8941098626884835,1.0192740351449416,1.1209698730832605,0.8687482137012823,1.0552973743534473,1.0378352054722395,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,150.0,120.0,18.75,22.5,26.25,30.0,33.75,37.5,41.25,69.95713200053784,69.91379457722249,69.91315875262677,70.06377950310255,70.11409387232663,70.0720314122989,70.00362539588137
5.125,30,0,0.125,0.125,15,15,10,14.34977919903947,50,1.0396906508490655,1.0524647243745089,0.8341745781351962,1.0005927209693455,1.1873288595470672,1.1212752597187243,1.1470047067550984,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,153.75,123.0,19.21875,23.0625,26.90625,30.75,34.59375,38.4375,42.28125,71.70398190741554,71.67703084438642,71.66074949823366,71.79865826896715,71.88050034561397,71.81511924050471,71.74889599519734
5.25,30,0,0.125,0.125,15,15,10,14.696104081370592,50,1.0584205881789055,0.9857044888648817,0.9964726023713255,0.9579402259820763,1.1697928316438433,1.1162330795861488,1.1153281880631598,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,157.5,126.0,19.6875,23.625,27.5625,31.5,35.4375,39.375,43.3125,73.44902057605941,73.4204727538396,73.43147767596676,73.54858417884597,73.60708423817059,73.54995983303988,73.48052040685296
5.375,30,0,0.125,0.125,15,15,10,15.043220876669015,50,1.0384258964403155,0.9570870631934122,1.015245651927519,0.9832682879708157,1.011407895188213,0.8805762788315779,0.9229312453532547,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,161.25,129.0,20.15625,24.1875,28.21875,32.25,36.28125,40.3125,44.34375,75.19171800253704,75.1722596927315,75.18191860067034,75.30384165059822,75.33586013421511,75.28543069809162,75.21610438334507
5.5,30,0,0.125,0.125,15,15,10,15.395147595535185,50,0.98026614869835,1.1089242285096148,0.8075648208316815,0.9338750913581597,1.0220445009075985,1.1308556707093351,1.1399276962486073,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,165.0,132.0,20.625,24.75,28.875,33.0,37.125,41.25,45.375,76.936914765482,76.92762380983233,76.9300128941794,77.05593311460186,77.08443414731659,77.05035866323767,76.97573797767592
5.625,30,0,0.125,0.125,15,15,10,15.741649403128969,50,1.0361512732663334,0.9184998518553557,0.9002775003251818,1.1679287980837514,0.8287986804438604,1.0880798981677684,0.8831471343643938,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,168.75,135.0,21.09375,25.3125,29.53125,33.75,37.96875,42.1875,46.40625,78.68938149689471,78.66400828126862,78.70406729157544,78.81419872818209,78.83167858470314,78.784001704399,78.70824701564484
5.75,30,0,0.125,0.125,15,15,10,16.09457072476986,50,1.1528225890805277,0.9318528253490345,1.1416896926856936,1.039694308931014,1.04183386076924,0.8585138313374288,1.121354972723968,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,172.5,138.0,21.5625,25.875,30.1875,34.5,38.8125,43.125,47.4375,80.43486258773642,80.4241957997867,80.4665326040348,80.54320762842163,80.60307874964766,80.52299171712804,80.47285362384929
5.875,30,0,0.125,0.125,15,15,10,16.441536850451758,50,1.1415024119433212,1.1149485722769523,0.9649350364539007,1.1286454555544425,0.9144605111741098,1.174974618972214,0.9707216216063412,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,176.25,141.0,22.03125,26.4375,30.84375,35.25,39.65625,44.0625,48.46875,82.16575976410135,82.18271419661808,82.19882139244909,82.28824583980526,82.34784951705151,82.29067748821086,82.20768425225879
6.0,30,0,0.125,0.125,15,15,10,16.7922688099116,50,1.0176005627589744,1.1843081229867622,0.9712189318732348,1.1311758201147957,1.0455300654382111,0.8271319463770687,1.0118228775915616,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,180.0,144.0,22.5,27.0,31.5,36.0,40.5,45.0,49.5,83.89807196260844,83.91834562508346,83.95320451289236,84.02216515786095,84.10854195315476,84.01880566083933,83.961344049558
6.125,30,0,0.125,0.125,15,15,10,17.141973237971808,50,0.9875789492740554,0.8954006772740652,0.8533260309106063,1.0852189067017015,1.1385422261210907,0.9881136069119391,1.0186989289422899,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,183.75,147.0,22.96875,27.5625,32.15625,36.75,41.34375,45.9375,50.53125,85.64587189226357,85.64530710971012,85.70680214640821,85.7557681803466,85.85285069497498,85.7904141675422,85.70986618985904
6.25,30,0,0.125,0.125,15,15,10,17.49150576474825,50,1.0762240879017444,1.0056064408059975,0.8012788728738676,1.0667401554561236,0.946394114683365,0.8827326898231674,0.9978441263754443,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,187.5,150.0,23.4375,28.125,32.8125,37.5,42.1875,46.875,51.5625,87.39742452360431,87.40838202505086,87.47513639254439,87.4951158170089,87.58553291670984,87.5418999666782,87.45752882374126
6.375,30,0,0.125,0.125,15,15,10,17.841559661588867,50,0.9021777733842893,1.1025860410449797,1.0673950270485044,0.9678073056992984,1.1500301550251528,0.8613912957728089,1.1406285376716232,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,191.25,153.0,23.90625,28.6875,33.46875,38.25,43.03125,47.8125,52.59375,89.13789651261659,89.1576812199501,89.24997653343515,89.23677329757687,89.34223365237442,89.30655838045031,89.20779830794433
6.5,30,0,0.125,0.125,15,15,10,18.188043948147076,50,0.840602892840093,0.9037342205195159,0.8359506455885897,1.055777653629774,0.8248492904210099,1.047370695398783,0.8613378065179861,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,195.0,156.0,24.375,29.25,34.125,39.0,43.875,48.75,53.625,90.90012429094355,90.89485796481948,90.99155215505408,90.99079738436446,91.07347988299627,91.07388446847871,90.94021974073537
6.625,30,0,0.125,0.125,15,15,10,18.541510502984124,50,1.0848335627478547,0.9686910361170582,1.031686277637375,0.8718437827558162,0.9455918982926775,0.9860366139991606,1.1413289556886088,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,198.75,159.0,24.84375,29.8125,34.78125,39.75,44.71875,49.6875,54.65625,92.67004892933853,92.65689118725454,92.76205832435551,92.73382517766073,92.84537372169365,92.81796313155387,92.70755251492062
6.75,30,0,0.125,0.125,15,15,10,18.88797727909191,50,1.071669393624396,0.859799913904646,1.1129230673553054,0.8880452311891742,0.8304580292232824,0.830885861459472,1.010903156924577,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,202.5,162.0,25.3125,30.375,35.4375,40.5,45.5625,50.625,55.6875,94.40944473399506,94.41080480773991,94.50809753965083,94.49984470481625,94.60217473440706,94.56970855480397,94.43988639545954
6.875,30,0,0.125,0.125,15,15,10,19.237704700168795,50,1.0813062049886883,0.8769297251293284,1.1586094547272288,0.9955536762351322,1.0560177344,1.0847803817665587,0.845793159304671,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,206.25,165.0,25.78125,30.9375,36.09375,41.25,46.40625,51.5625,56.71875,96.15048605979202,96.17832981850182,96.24398215623143,96.26383905091761,96.37336748075414,96.34084782212153,96.18852350084397
7.0,30,0,0.125,0.125,15,15,10,19.591559871186178,50,0.829076633390169,0.8744569351972001,0.8715895957949706,0.8512272397487377,0.8840321788637572,1.1352608299971811,1.1275002248302464,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,210.0,168.0,26.25,31.5,36.75,42.0,47.25,52.5,57.75,97.89032278416843,97.94371360286065,97.97415597439053,98.01439484138822,98.11636526395414,98.08025027440071,97.95779935593089
7.125,30,0,0.125,0.125,15,15,10,19.938372365565424,50,0.9871814237448254,0.8094530444967535,1.165320446619805,0.9808034742027385,1.143703668927054,1.1477512868510455,0.9082199590017097,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,213.75,171.0,26.71875,32.0625,37.40625,42.75,48.09375,53.4375,58.78125,99.66168820499466,99.70940648596101,99.74020727491616,99.78299143641964,99.88086124159616,99.81334267065107,99.69186182782711
7.25,30,0,0.125,0.125,15,15,10,20.29066686659038,50,0.816954997855228,0.8855286248160884,0.8905574236351411,0.9516286233471916,0.9990714750839851,0.820221553232126,0.9513553381191131,0.5,0.6,0.7,0.8,0.9,1.0,1.1,0.2,217.5,174.0,27.1875,32.625,38.0625,43.5,48.9375,54.375,59.8125,101.41329052702656,101.48322485539892,101.46954221908868,101.5353910021443,101.61289828298028,101.54487375979468,101.4533343329519
