record_index,action,detail
121,set_primary_tier4_raw_material,Thales - COTS electronics component market basket; demoted=Mitsubishi Chemical
121,set_primary_tier3_first_transformation,Thales - COTS electronics subassembly/PCB package; demoted=Aurubis
126,set_primary_tier4_raw_material,Thales - COTS electronics component market basket; demoted=Mitsubishi Chemical
126,set_primary_tier3_first_transformation,Thales - COTS electronics subassembly/PCB package; demoted=Aurubis
153,set_primary_tier4_raw_material,Thales - COTS electronics component market basket; demoted=Mitsubishi Chemical
153,set_primary_tier3_first_transformation,Thales - COTS electronics subassembly/PCB package; demoted=Aurubis
151,set_primary_tier1,MGA Villeneuve St Lot; demoted=none
151,set_internal_t2_process,MGA Villeneuve St Lot - internal machining/forming process; demoted=SGL Carbon
50,set_primary_tier4_raw_material,ArcelorMittal; demoted=Alcoa
50,set_primary_tier3_first_transformation,thyssenkrupp Materials France; demoted=Euralliage Ile de France
50,set_primary_tier1,SUMPAR; demoted=none
50,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=none
50,split_mixed_metal_to_active_steel_flow,"Mixed process label split analytically: active quantitative material flow follows LCA/BOM material_match=acier; aluminium cast machining remains a process reference, not a separate aluminium mass flow."
154,set_primary_tier4_raw_material,ArcelorMittal; demoted=Alcoa
154,set_primary_tier3_first_transformation,thyssenkrupp Materials France; demoted=Euralliage Ile de France
154,set_primary_tier1,SUMPAR; demoted=none
154,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=none
154,split_mixed_metal_to_active_steel_flow,"Mixed process label split analytically: active quantitative material flow follows LCA/BOM material_match=acier; aluminium cast machining remains a process reference, not a separate aluminium mass flow."
155,set_primary_tier4_raw_material,ArcelorMittal; demoted=Alcoa
155,set_primary_tier3_first_transformation,thyssenkrupp Materials France; demoted=Euralliage Ile de France
155,set_primary_tier1,SUMPAR; demoted=none
155,set_internal_t2_process,SUMPAR - internal machining/forming process; demoted=none
155,split_mixed_metal_to_active_steel_flow,"Mixed process label split analytically: active quantitative material flow follows LCA/BOM material_match=acier; aluminium cast machining remains a process reference, not a separate aluminium mass flow."
33,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
51,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
81,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
94,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
95,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
96,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
98,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
99,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
100,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
101,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
102,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
138,fix_longhaul_transport,Senior Aerospace Thailand T1->OEM truck-only replaced with air+truck baseline and sea scenario.
75,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
128,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
161,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
162,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
164,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
165,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
166,fix_longhaul_transport,JAMCO T1->OEM truck-only replaced with sea+truck baseline and air expedite scenario.
17,fix_material_longhaul_transport,Alcoa US to AMAG Austria cannot be truck-only.
25,fix_material_longhaul_transport,Alcoa US to AMAG Austria cannot be truck-only.
66,fix_material_longhaul_transport,Chalco China to Euralliage France cannot be truck-only.
79,fix_material_longhaul_transport,"Mitsubishi Chemical/Toray/Ensinger polymer route needs intercontinental sea/air scenario, not truck-only."
167,fix_material_longhaul_transport,Alcoa US to AMAG Austria cannot be truck-only.
10,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier3_first_transformation:Saint-Gobain (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
12,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Aluminium Corporation of China / Chalco (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Hindalco Industries (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Euralliage Ile de France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aluminium France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
45,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:China Baowu / Baosteel (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Tata Steel (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Nucor Corp (metal/mining supplier cannot be a textile/leather/foam upstream option)
50,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family steel using common-sense material/role filter. Examples: tier4_raw_material:Alcoa (non-steel raw material supplier cannot be steel T4)
74,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Aurubis (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Zijin Mining Group (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Ampco Metal France (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:thyssenkrupp Materials France (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
78,exclude_common_sense_incompatible_secondaries,Removed 8 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier4_raw_material:Mitsubishi Chemical (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Total (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Aurubis (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Zijin Mining Group (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Ampco Metal France (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
86,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
87,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
88,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
89,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
90,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
91,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
92,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
93,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Saarstahl (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Krupp (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aubert & Duval (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Altec Etirage (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
111,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
112,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
113,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
114,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
115,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
117,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
118,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
119,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
120,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
121,exclude_common_sense_incompatible_secondaries,Removed 8 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier4_raw_material:Mitsubishi Chemical (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Total (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Aurubis (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Zijin Mining Group (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Ampco Metal France (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
126,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier4_raw_material:Mitsubishi Chemical (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Total (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Aurubis (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Zijin Mining Group (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Ampco Metal France (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
130,exclude_common_sense_incompatible_secondaries,Removed 7 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier4_raw_material:Bayer (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:BASF (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Toray Industries (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Aurubis (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Zijin Mining Group (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
137,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
139,exclude_common_sense_incompatible_secondaries,Removed 2 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier2_second_transformation:Krohne (electronics/process instrumentation supplier cannot be textile/leather/foam T2) | tier2_second_transformation:Vaisala (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
144,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
145,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
146,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
147,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
148,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
150,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
151,exclude_common_sense_incompatible_secondaries,Removed 3 impossible secondary supplier candidate(s) for family steel using common-sense material/role filter. Examples: tier3_first_transformation:Toray Industries (textile/polymer supplier cannot be steel T3) | tier2_second_transformation:SGL Carbon (carbon/composite/silicone supplier cannot be steel T2) | tier2_second_transformation:Hexcel (carbon/composite/silicone supplier cannot be steel T2)
152,exclude_common_sense_incompatible_secondaries,Removed 5 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier4_raw_material:Aluminium Corporation of China / Chalco (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Hindalco Industries (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Euralliage Ile de France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Aluminium France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option)
153,exclude_common_sense_incompatible_secondaries,Removed 8 impossible secondary supplier candidate(s) for family electronics_cots using common-sense material/role filter. Examples: tier4_raw_material:Mitsubishi Chemical (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Total (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Aurubis (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier4_raw_material:Zijin Mining Group (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL) | tier3_first_transformation:Ampco Metal France (COTS/electronics upstream must not use inferred material suppliers without BOM/PN/AVL)
