record_index,system,component,edge,from,to,distance_km_haversine,modes,confidence,note
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T2->T1,Krohne,ESPACE,1284.5,truck|rail,medium,European long regional lane; rail/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T2->T1,DuPont de Nemours,ESPACE,6242.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T2->T1,Ensinger,ESPACE,832.1,truck|rail,medium,European long regional lane; rail/truck baseline
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T2->T1,Plastitek,ESPACE,598.7,truck,medium_high,regional lane under 800 km
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T1->OEM,ESPACE,Safran Seats / Safran internal group,490.2,truck,medium_high,regional lane under 800 km
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T4->T3,BASF,EPODEX,449.7,truck,medium_high,regional lane under 800 km
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T4->T3,BASF,Henkel,419.6,truck,medium_high,regional lane under 800 km
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T3->T2,EPODEX,Sika,5831.2,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T3->T2,Henkel,Sika,6484.3,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T2->T1,Sika,MGA Villeneuve St Lot,5911.3,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T2->T1,Sika,Adhetec,5914.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T2->T1,Sika,KEMKO Aerospace,1433.3,truck|rail,medium_low,regional long lane; rail/truck baseline pending freight validation
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,medium_high,regional lane under 800 km
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T1->OEM,Adhetec,Safran Seats / Safran internal group,639.0,truck,medium_high,regional lane under 800 km
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T1->OEM,KEMKO Aerospace,Safran Seats / Safran internal group,7051.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
5,Bumper version porte,alliage Cu,T4->T3,Aurubis - copper source assumption,Aurubis,0.0,internal,high,same-site or colocated nodes
5,Bumper version porte,alliage Cu,T4->T3,Aurubis - copper source assumption,Ampco Metal France,573.0,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T4->T3,Aurubis - copper source assumption,thyssenkrupp Materials France,381.0,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T3->T2,Aurubis,SUMPAR - internal machining/forming process,389.5,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T3->T2,Ampco Metal France,SUMPAR - internal machining/forming process,498.4,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T3->T2,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,87.4,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T2->T1,SUMPAR - internal machining/forming process,SUMPAR,0.0,internal,high,internal process colocated with downstream T1
5,Bumper version porte,alliage Cu,T2->T1,SUMPAR - internal machining/forming process,Groupe Segnere / SEGNERE Ade,699.3,internal,high,internal process colocated with downstream T1
5,Bumper version porte,alliage Cu,T2->T1,SUMPAR - internal machining/forming process,MGA Villeneuve St Lot,556.2,internal,high,internal process colocated with downstream T1
5,Bumper version porte,alliage Cu,T2->T1,SUMPAR - internal machining/forming process,Senior Aerospace Thailand,9599.4,internal,high,internal process colocated with downstream T1
5,Bumper version porte,alliage Cu,T1->OEM,SUMPAR,Safran Seats / Safran internal group,83.8,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T1->OEM,Groupe Segnere / SEGNERE Ade,Safran Seats / Safran internal group,646.9,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,medium_high,regional lane under 800 km
5,Bumper version porte,alliage Cu,T1->OEM,Senior Aerospace Thailand,Safran Seats / Safran internal group,9564.8,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
6,Ens. Stowage latéral,cuir,T4->T3,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,0.0,internal,high,same-site or colocated nodes
6,Ens. Stowage latéral,cuir,T3->T2,Gruppo Mastrotto,Maison Fichet,771.1,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T3->T2,Gruppo Mastrotto,MGR Foamtex Ltd,1133.4,truck|rail,medium,European long regional lane; rail/truck baseline
6,Ens. Stowage latéral,cuir,T2->T1,Maison Fichet,MGA Villeneuve St Lot,512.7,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T2->T1,Maison Fichet,ACH,296.2,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T2->T1,Maison Fichet,Celso SAS,554.4,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T2->T1,MGR Foamtex Ltd,MGA Villeneuve St Lot,826.0,truck|rail,medium,European long regional lane; rail/truck baseline
6,Ens. Stowage latéral,cuir,T2->T1,MGR Foamtex Ltd,ACH,581.5,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T2->T1,MGR Foamtex Ltd,Celso SAS,884.2,truck|rail,medium,European long regional lane; rail/truck baseline
6,Ens. Stowage latéral,cuir,T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T1->OEM,ACH,Safran Seats / Safran internal group,275.9,truck,medium_high,regional lane under 800 km
6,Ens. Stowage latéral,cuir,T1->OEM,Celso SAS,Safran Seats / Safran internal group,544.3,truck,medium_high,regional lane under 800 km
7,lightning,lightning,T4->T3,COTS electronics component market basket,COTS electronics PCB/subassembly package,0.0,internal,high,same-site or colocated nodes
7,lightning,lightning,T3->T2,COTS electronics PCB/subassembly package,e2ip technologies,0.0,internal,high,same-site or colocated nodes
7,lightning,lightning,T3->T2,COTS electronics PCB/subassembly package,MGR Foamtex Ltd,5171.1,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
7,lightning,lightning,T2->T1,e2ip technologies,Thales,5733.0,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
7,lightning,lightning,T2->T1,e2ip technologies,Madelec Aero,5495.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
7,lightning,lightning,T2->T1,e2ip technologies,SCHOTT Aviation,5720.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
7,lightning,lightning,T2->T1,MGR Foamtex Ltd,Thales,925.8,truck|rail,medium,European long regional lane; rail/truck baseline
7,lightning,lightning,T2->T1,MGR Foamtex Ltd,Madelec Aero,399.0,truck,medium_high,regional lane under 800 km
7,lightning,lightning,T2->T1,MGR Foamtex Ltd,SCHOTT Aviation,607.8,truck,medium_high,regional lane under 800 km
7,lightning,lightning,T1->OEM,Thales,Safran Seats / Safran internal group,585.2,truck,medium_high,regional lane under 800 km
7,lightning,lightning,T1->OEM,Madelec Aero,Safran Seats / Safran internal group,23.1,truck,medium_high,regional lane under 800 km
7,lightning,lightning,T1->OEM,SCHOTT Aviation,Safran Seats / Safran internal group,533.9,truck,medium_high,regional lane under 800 km
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Klabin S.A.,Daio Paper Corporation,19373.8,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Klabin S.A.,Kronotex GmbH & Co,11064.8,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Klabin S.A.,Formica,9742.1,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Billerud,Daio Paper Corporation,8183.9,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Billerud,Kronotex GmbH & Co,727.0,truck,medium_high,regional lane under 800 km
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Billerud,Formica,2049.1,truck|rail,medium,European long regional lane; rail/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Nordic Paper,Daio Paper Corporation,8311.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Nordic Paper,Kronotex GmbH & Co,667.7,truck,medium_high,regional lane under 800 km
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Nordic Paper,Formica,1949.5,truck|rail,medium,European long regional lane; rail/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Gascogne Papier,Daio Paper Corporation,10193.3,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Gascogne Papier,Kronotex GmbH & Co,1406.1,truck|rail,medium,European long regional lane; rail/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T4->T3,Gascogne Papier,Formica,313.3,truck,medium_high,regional lane under 800 km
8,Padding (rembourrage),AIRVOLT LAMINAT,T3->T2,Daio Paper Corporation,Glatfelter,11229.0,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T3->T2,Daio Paper Corporation,MGR Foamtex Ltd,9504.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T3->T2,Kronotex GmbH & Co,Glatfelter,6530.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T3->T2,Kronotex GmbH & Co,MGR Foamtex Ltd,916.6,truck|rail,medium,European long regional lane; rail/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T3->T2,Formica,Glatfelter,6349.4,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T3->T2,Formica,MGR Foamtex Ltd,1010.5,truck|rail,medium,European long regional lane; rail/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T2->T1,Glatfelter,Celso SAS,6236.5,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T2->T1,MGR Foamtex Ltd,Celso SAS,884.2,truck|rail,medium,European long regional lane; rail/truck baseline
8,Padding (rembourrage),AIRVOLT LAMINAT,T1->OEM,Celso SAS,Safran Seats / Safran internal group,544.3,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T4->T3,Shin-Etsu Silicones,Saint-Gobain,9507.7,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
9,Stowage assemblé avec porte,Silicone,T4->T3,Shin-Etsu Silicones,Shin-Etsu Silicones,0.0,internal,high,same-site or colocated nodes
9,Stowage assemblé avec porte,Silicone,T3->T2,Saint-Gobain,Silicone Engineering,612.1,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T3->T2,Saint-Gobain,Plastiservice Charleroi,122.0,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T3->T2,Shin-Etsu Silicones,Silicone Engineering,9333.6,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
9,Stowage assemblé avec porte,Silicone,T3->T2,Shin-Etsu Silicones,Plastiservice Charleroi,9386.0,truck|ship,medium,intercontinental or very long lane; sea/truck baseline
9,Stowage assemblé avec porte,Silicone,T2->T1,Silicone Engineering,MGA Villeneuve St Lot,1065.8,truck|rail,medium,European long regional lane; rail/truck baseline
9,Stowage assemblé avec porte,Silicone,T2->T1,Silicone Engineering,ETS Gattefin,806.3,truck|rail,medium,European long regional lane; rail/truck baseline
9,Stowage assemblé avec porte,Silicone,T2->T1,Silicone Engineering,ACH,822.1,truck|rail,medium,European long regional lane; rail/truck baseline
9,Stowage assemblé avec porte,Silicone,T2->T1,Plastiservice Charleroi,MGA Villeneuve St Lot,728.7,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T2->T1,Plastiservice Charleroi,ETS Gattefin,401.9,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T2->T1,Plastiservice Charleroi,ACH,525.9,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T1->OEM,ETS Gattefin,Safran Seats / Safran internal group,186.9,truck,medium_high,regional lane under 800 km
9,Stowage assemblé avec porte,Silicone,T1->OEM,ACH,Safran Seats / Safran internal group,275.9,truck,medium_high,regional lane under 800 km
