record_index,system,component,family,mass_kg,source_mass_kg,fallback_path_count,best_fallback_class,fallback_class_counts,scenario_type,scenario_id,disrupted_role,disrupted_supplier,disrupted_edge,from_name,to_name,disrupted_mode
26,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,0.084,90,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=80;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
27,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,1.259,90,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=80;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
28,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,0.029,90,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=80;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,0.316,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,0.024,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,0.216,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.03,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,0.105,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,0.17,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,0.931,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,2.457,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.928,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
40,Support écran,A5086 - Aluminium,aluminium,0.506,0.506,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
41,Support équipé,A5086 - Aluminium,aluminium,0.099,0.099,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,0.117,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
43,Support NFC,A5086 - Aluminium,aluminium,0.01,0.01,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,0.404,40,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=30;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,12.7611,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,5.659,90,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=80;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,0.458,100,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=90;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
167,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,90,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=80;candidate_requires_allocation_and_qualification=5;candidate_requires_material_certificate=5,supplier_disruption,supplier::T4::Alcoa,T4,Alcoa,,,,
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.636005,3.6360048,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
17,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,2.43,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.103381,0.1033805,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,12.333,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,3.523,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
21,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,2.125,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
22,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,0.4425,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,3.956,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
24,Support écran,A2017 - Aluminium,aluminium,1.45,1.45,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
25,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,108,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=96;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
26,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,0.084,108,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=96;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
27,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,1.259,108,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=96;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
28,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,0.029,108,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=96;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,0.316,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,0.024,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,0.216,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.03,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,0.105,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,0.17,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,0.931,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,2.457,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.928,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
40,Support écran,A5086 - Aluminium,aluminium,0.506,0.506,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
41,Support équipé,A5086 - Aluminium,aluminium,0.099,0.099,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,0.117,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
43,Support NFC,A5086 - Aluminium,aluminium,0.01,0.01,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,0.404,48,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=36;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,12.7611,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,5.659,108,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=96;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,0.458,120,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=108;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
167,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,108,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=96;candidate_requires_allocation_and_qualification=8;candidate_requires_material_certificate=4,supplier_disruption,supplier::T3::AMAG Austria Metall,T3,AMAG Austria Metall,,,,
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.636005,3.6360048,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,0.316,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,0.024,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,0.216,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.03,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,0.105,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,0.17,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,0.931,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,2.457,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.928,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
40,Support écran,A5086 - Aluminium,aluminium,0.506,0.506,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
41,Support équipé,A5086 - Aluminium,aluminium,0.099,0.099,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,0.117,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
43,Support NFC,A5086 - Aluminium,aluminium,0.01,0.01,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,0.458,0,no_topology_fallback,,supplier_disruption,supplier::T2::ESPACE - internal machining/forming process,T2,ESPACE - internal machining/forming process,,,,
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.636005,3.6360048,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,0.000173,0.0001731,0,no_topology_fallback,,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
15,Ens. Equipements latéraux,acier,steel,0.099645,0.0996449,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,0.316,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,0.024,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,0.216,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,0.008,0.008,6,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.03,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,0.105,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,0.17,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,0.931,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,2.457,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.928,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
40,Support écran,A5086 - Aluminium,aluminium,0.506,0.506,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
41,Support équipé,A5086 - Aluminium,aluminium,0.099,0.099,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,0.117,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
43,Support NFC,A5086 - Aluminium,aluminium,0.01,0.01,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
45,Ceinture de sécurité,acier,steel,0.72,0.72,32,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=16;candidate_requires_material_certificate=16,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
46,Support clamps,acier,steel,1.284,1.284,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
47,Accoudoir allée,acier,steel,0.709677,0.7096766,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
48,Bumper version porte,acier,steel,0.024,0.024,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
49,Ens. Stowage latéral,acier,steel,0.015198,0.0151984,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
52,Ens. Palette optimisée,acier,steel,0.58,0.58,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
53,Ensemble porte,acier,steel,0.043076,0.0430761,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
56,Ens. Tablette cocktail,acier,steel,1.133,1.133,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
57,Ens. Tablette repas,acier,steel,0.1165,0.1165,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
58,Habillage sous fauteuil,acier,steel,0.027092,0.0270916,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
59,Manchette équipée,acier,steel,0.019149,0.0191495,320,candidate_requires_allocation_and_qualification,candidate_requires_material_certificate=256;candidate_requires_allocation_and_qualification=64,supplier_disruption,supplier::T1::ESPACE,T1,ESPACE,,,,
