scenario_type,disrupted_role,disrupted_supplier,impacted_component_count,impacted_mass_kg,components_with_topology_fallback,components_without_topology_fallback,components_requiring_t1_t2_pair_switch,fallback_coverage_pct,best_fallback_classes,example_components
supplier_disruption,T3,Toray Industries,31,13.7166,20,11,0,64.5,candidate_requires_allocation_and_qualification=17;no_topology_fallback=11;candidate_scenario_only_mass_review=3,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique
supplier_disruption,T2,ESPACE - internal machining/forming process,15,12.003,0,15,0,0.0,no_topology_fallback=15,1:A5086 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium
supplier_disruption,T1,ETS Gattefin,21,11.8142,21,0,7,100.0,candidate_requires_allocation_and_qualification=14;candidate_requires_t1_t2_pairing=7,11:tissu | 16:35NC6 (nickel-chrome) | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium
supplier_disruption,T4,Saarstahl,37,10.4559,33,4,13,89.2,candidate_requires_material_certificate=20;candidate_requires_t1_t2_pairing=13;no_topology_fallback=4,"2:15CDV6 (chrome, molibdene, vanadium) | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 15:acier | 16:35NC6 (nickel-chrome) | 33:4140 (acier) | 45:acier | 46:acier"
supplier_disruption,T4,Mitsubishi Chemical,24,10.0596,23,1,0,95.8,candidate_requires_allocation_and_qualification=20;candidate_scenario_only_mass_review=3;no_topology_fallback=1,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 110:NIDA - GLO (moulage par injection plastique)
supplier_disruption,T3,Aubert & Duval,36,9.7952,32,4,0,88.9,candidate_requires_allocation_and_qualification=32;no_topology_fallback=4,"2:15CDV6 (chrome, molibdene, vanadium) | 13:30NCD6 (nickel-chrome- molibdene) | 15:acier | 16:35NC6 (nickel-chrome) | 33:4140 (acier) | 45:acier | 46:acier | 47:acier"
supplier_disruption,T2,ETS Gattefin - internal machining/forming process,7,9.2695,0,7,0,0.0,no_topology_fallback=7,16:35NC6 (nickel-chrome) | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium
supplier_disruption,T1,JAMCO Aircraft Interiors - Niigata,12,9.078,6,6,1,50.0,no_topology_fallback=6;candidate_scenario_only_mass_review=3;candidate_requires_allocation_and_qualification=2;candidate_requires_t1_t2_pairing=1,"75:copolymere lexan fst simapro: extrusion et thermoformage | 110:NIDA - GLO (moulage par injection plastique) | 128:Résine BR623 - composite | 159:Moulage plastique | 161:65% aluminium | 162:16 % Tissu, mousse, polyéthylène | 163:11% Moulage plastique | 164:8% autre (silicium, cuirs synthétique)"
supplier_disruption,T2,SCHROTH Safety Products,20,8.1213,0,20,0,0.0,no_topology_fallback=20,15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier
supplier_disruption,T1,Thales,8,6.448,1,7,0,12.5,no_topology_fallback=7;candidate_requires_allocation_and_qualification=1,"7:lightning | 10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 130:télécommande | 153:Display, liquid crystal, 17 pouces"
supplier_disruption,T4,Thales - COTS electronics component market basket,6,5.578,2,4,0,33.3,no_topology_fallback=4;candidate_requires_allocation_and_qualification=2,"10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
supplier_disruption,T3,Thales - COTS electronics subassembly/PCB package,6,5.578,1,5,0,16.7,no_topology_fallback=5;candidate_requires_allocation_and_qualification=1,"10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
supplier_disruption,T1,MGA Villeneuve St Lot,13,4.4389,13,0,6,100.0,candidate_requires_allocation_and_qualification=7;candidate_requires_t1_t2_pairing=6,"2:15CDV6 (chrome, molibdene, vanadium) | 4:FILM DECOR AERFILM - Ep0.33 714g-m2 | 6:cuir | 9:Silicone | 18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium | 76:cuir"
supplier_disruption,T4,BASF - PU chemistry source candidate,8,4.036,0,8,0,0.0,no_topology_fallback=8,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ? | 91:FRMC55 (C55 = % de carbone) et FMR = ? | 92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,5,3.942,0,5,0,0.0,no_topology_fallback=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T2,FRANKLIN - internal cutting/gluing process,5,3.942,5,0,0,100.0,candidate_requires_allocation_and_qualification=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T1,FRANKLIN,5,3.942,5,0,0,100.0,candidate_requires_allocation_and_qualification=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T2,Krohne,4,3.878,4,0,0,100.0,candidate_requires_allocation_and_qualification=3;candidate_scenario_only_mass_review=1,"78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
supplier_disruption,T2,MGA Villeneuve St Lot - internal machining/forming process,6,3.8092,0,6,0,0.0,no_topology_fallback=6,"2:15CDV6 (chrome, molibdene, vanadium) | 18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium | 116:35NC6 (nickel-chrome) | 151:Z10CNT18"
supplier_disruption,T4,"Shandong Loyal Chemical Co., Ltd.",7,3.651,7,0,0,100.0,candidate_requires_allocation_and_qualification=7,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex
supplier_disruption,T4,TE Connectivity - COTS electronics component market basket,1,3.365,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
supplier_disruption,T3,TE Connectivity - COTS electronics subassembly/PCB package,1,3.365,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
supplier_disruption,T2,TE Connectivity - electronics routing/EMS package,1,3.365,0,1,0,0.0,no_topology_fallback=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
supplier_disruption,T1,TE Connectivity,1,3.365,1,0,1,100.0,candidate_requires_t1_t2_pairing=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
supplier_disruption,T4,DuPont de Nemours - fiber/polymer source assumption,19,2.576,0,19,0,0.0,no_topology_fallback=19,"11:tissu | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu"
supplier_disruption,T3,"Zhejiang Yuxin Textile Co.,Ltd.",23,2.547,23,0,0,100.0,candidate_requires_allocation_and_qualification=12;candidate_scenario_only_mass_review=7;candidate_requires_material_source=4,11:tissu | 12:FRMC55:EU28 polyuréthane flexible traité UL | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu
supplier_disruption,T2,DuPont de Nemours,21,2.469,21,0,0,100.0,candidate_requires_allocation_and_qualification=10;candidate_scenario_only_mass_review=7;candidate_requires_material_source=4,11:tissu | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro
supplier_disruption,T1,AmSafe,10,1.5031,10,0,0,100.0,candidate_requires_allocation_and_qualification=10,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon
supplier_disruption,T2,3M,1,1.5,0,1,0,0.0,no_topology_fallback=1,10:System IFE boitier ref FJKL1-3K1100-01ATAB
supplier_disruption,T4,ArcelorMittal,3,1.2297,0,3,0,0.0,no_topology_fallback=3,50:de: aluminium cast part machining + tth compris dans le steel tinplated | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
supplier_disruption,T3,thyssenkrupp Materials France,3,1.2297,3,0,3,100.0,candidate_requires_t1_t2_pairing=3,50:de: aluminium cast part machining + tth compris dans le steel tinplated | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
supplier_disruption,T4,BASF,15,1.039,12,3,0,80.0,candidate_requires_allocation_and_qualification=6;candidate_scenario_only_mass_review=6;no_topology_fallback=3,"4:FILM DECOR AERFILM - Ep0.33 714g-m2 | 12:FRMC55:EU28 polyuréthane flexible traité UL | 97:GLO: moulage par injection plastique | 128:Résine BR623 - composite | 137:ULTRA LEATHER SMOKE | 152:FRMC55:EU28 polyuréthane flexible traité UL | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique)"
supplier_disruption,T2,e2ip technologies,2,1.0,1,1,0,50.0,candidate_requires_allocation_and_qualification=1;no_topology_fallback=1,7:lightning | 73:Clavier
supplier_disruption,T1,Celso SAS,2,0.95,1,1,0,50.0,no_topology_fallback=1;candidate_scenario_only_mass_review=1,8:AIRVOLT LAMINAT | 137:ULTRA LEATHER SMOKE
supplier_disruption,T4,Klabin S.A.,1,0.95,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,8:AIRVOLT LAMINAT
supplier_disruption,T3,Kronotex GmbH & Co,1,0.95,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,8:AIRVOLT LAMINAT
supplier_disruption,T2,Glatfelter,1,0.95,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,8:AIRVOLT LAMINAT
supplier_disruption,T3,COTS electronics PCB/subassembly package,2,0.87,0,2,0,0.0,no_topology_fallback=2,7:lightning | 130:télécommande
supplier_disruption,T4,COTS electronics component market basket,1,0.8,0,1,0,0.0,no_topology_fallback=1,7:lightning
supplier_disruption,T4,Liebherr Aerospace - COTS electronics component market basket,1,0.75,0,1,0,0.0,no_topology_fallback=1,74:Commande actionnement ECU
supplier_disruption,T3,Liebherr Aerospace - COTS electronics subassembly/PCB package,1,0.75,0,1,0,0.0,no_topology_fallback=1,74:Commande actionnement ECU
supplier_disruption,T2,Liebherr Aerospace - electronics routing/EMS package,1,0.75,0,1,0,0.0,no_topology_fallback=1,74:Commande actionnement ECU
supplier_disruption,T1,Liebherr Aerospace,1,0.75,1,0,1,100.0,candidate_requires_t1_t2_pairing=1,74:Commande actionnement ECU
supplier_disruption,T3,Henkel,1,0.488,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,128:Résine BR623 - composite
supplier_disruption,T2,Groupe Segnere / SEGNERE Ade - internal machining/forming process,1,0.404,0,1,0,0.0,no_topology_fallback=1,44:A6060 - Aluminium
supplier_disruption,T1,Groupe Segnere / SEGNERE Ade,1,0.404,1,0,1,100.0,candidate_requires_t1_t2_pairing=1,44:A6060 - Aluminium
supplier_disruption,T3,EPODEX,1,0.392,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
supplier_disruption,T2,Sika,1,0.392,0,1,0,0.0,no_topology_fallback=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
supplier_disruption,T4,Gruppo Mastrotto - hide/raw leather source assumption,3,0.211,0,3,0,0.0,no_topology_fallback=3,6:cuir | 76:cuir | 77:cuir
supplier_disruption,T3,Gruppo Mastrotto,3,0.211,0,3,0,0.0,no_topology_fallback=3,6:cuir | 76:cuir | 77:cuir
supplier_disruption,T2,Maison Fichet,3,0.211,3,0,0,100.0,candidate_requires_allocation_and_qualification=3,6:cuir | 76:cuir | 77:cuir
supplier_disruption,T4,SABIC,1,0.151,0,1,0,0.0,no_topology_fallback=1,75:copolymere lexan fst simapro: extrusion et thermoformage
supplier_disruption,T3,SABIC LEXAN FST sheet production,1,0.151,0,1,0,0.0,no_topology_fallback=1,75:copolymere lexan fst simapro: extrusion et thermoformage
supplier_disruption,T2,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,1,0.151,0,1,0,0.0,no_topology_fallback=1,75:copolymere lexan fst simapro: extrusion et thermoformage
supplier_disruption,T1,ACH,7,0.102,7,0,0,100.0,candidate_requires_material_source=4;candidate_requires_allocation_and_qualification=2;candidate_scenario_only_mass_review=1,12:FRMC55:EU28 polyuréthane flexible traité UL | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro | 152:FRMC55:EU28 polyuréthane flexible traité UL
supplier_disruption,T3,SOMANI,6,0.099,6,0,0,100.0,candidate_requires_allocation_and_qualification=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
supplier_disruption,T2,FRANKLIN,6,0.099,6,0,0,100.0,candidate_requires_allocation_and_qualification=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
supplier_disruption,T2,MGR Foamtex Ltd,3,0.078,2,1,0,66.7,candidate_requires_allocation_and_qualification=2;no_topology_fallback=1,12:FRMC55:EU28 polyuréthane flexible traité UL | 137:ULTRA LEATHER SMOKE | 152:FRMC55:EU28 polyuréthane flexible traité UL
supplier_disruption,T3,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,2,0.078,0,2,0,0.0,no_topology_fallback=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T2,MGR Foamtex Ltd - internal foam/upholstery process,2,0.078,2,0,0,100.0,candidate_requires_allocation_and_qualification=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T1,MGR Foamtex Ltd,2,0.078,2,0,0,100.0,candidate_requires_allocation_and_qualification=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T4,China Baowu / Baosteel,1,0.0478,1,0,1,100.0,candidate_requires_t1_t2_pairing=1,151:Z10CNT18
supplier_disruption,T3,Krupp,1,0.0478,1,0,1,100.0,candidate_requires_t1_t2_pairing=1,151:Z10CNT18
supplier_disruption,T3,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,1,0.016,0,1,0,0.0,no_topology_fallback=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T2,MGA Villeneuve St Lot - internal FRMC55 integration process,1,0.016,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
supplier_disruption,T3,Ensinger - material intermediate sourcing,2,0.015,2,0,0,100.0,candidate_requires_allocation_and_qualification=2,124:caoutchouc | 125:Polychloroprene
supplier_disruption,T4,Halcyon Hevecam,1,0.01,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,124:caoutchouc
supplier_disruption,T3,Yamazaki Velvet Co.,1,0.008,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
supplier_disruption,T2,Lelièvre Paris,1,0.008,0,1,0,0.0,no_topology_fallback=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
supplier_disruption,T4,Aurubis - copper source assumption,1,0.006,0,1,0,0.0,no_topology_fallback=1,5:alliage Cu
supplier_disruption,T3,Aurubis,1,0.006,1,0,0,100.0,candidate_requires_allocation_and_qualification=1,5:alliage Cu
supplier_disruption,T4,Shin-Etsu Silicones,2,0.0014,0,2,0,0.0,no_topology_fallback=2,9:Silicone | 129:Silicone50 shore
supplier_disruption,T3,Saint-Gobain,2,0.0014,2,0,0,100.0,candidate_requires_allocation_and_qualification=2,9:Silicone | 129:Silicone50 shore
supplier_disruption,T2,Silicone Engineering,2,0.0014,2,0,0,100.0,candidate_requires_allocation_and_qualification=2,9:Silicone | 129:Silicone50 shore
supplier_disruption,T1,COLLINS,6,0.0,6,0,0,100.0,candidate_scenario_only_mass_review=6,"158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)"
supplier_disruption,T3,Ultrafabrics,1,0.0,0,1,0,0.0,no_topology_fallback=1,137:ULTRA LEATHER SMOKE
supplier_disruption,T2,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,1,0.0,0,1,0,0.0,no_topology_fallback=1,161:65% aluminium
supplier_disruption,T4,Toray Industries - carbon fiber upstream source assumption,1,0.0,0,1,0,0.0,no_topology_fallback=1,166:titane fibre de carbone
supplier_disruption,T2,Toray Industries,1,0.0,0,1,0,0.0,no_topology_fallback=1,166:titane fibre de carbone
