record_index,system,component,family,current_mass_kg,recommended_additive_mass_kg,topdown_reference_mass_kg,mass_policy,mass_policy_action,is_seat_aggregate,duplicate_signature_count,duplicate_mass_warning,lca_use_class,lca_confidence,mass_method,match_level,equipment_match,material_match,raw_materials_status,primary_path_id,t4,t3,t2,t1
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,0.008,0.008,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,velour,inferred_from_component_label,R032-P0007,DuPont de Nemours - fiber/polymer source assumption,Yamazaki Velvet Co.,Lelièvre Paris,ESPACE
33,Ens. Structure fauteuil,4140 (acier),steel,0.002,0.002,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,4140 uns g41400,inferred_from_component_label,R033-P0009,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.03,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,HABILLAGE SOUS FAUTEUIL,a5086,inferred_from_component_label,R034-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,0.105,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE ACC MOBILE,a5086,inferred_from_component_label,R035-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,0.17,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE EQUIPEE,a5086,inferred_from_component_label,R036-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,0.931,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,RENFORT TUBULAIRE,a5086,inferred_from_component_label,R037-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,2.457,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,a5086,inferred_from_component_label,R038-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.928,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,Structure Ottoman (horizontale),a5086,inferred_from_component_label,R039-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
40,Support écran,A5086 - Aluminium,aluminium,0.506,0.506,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT ECRAN ASSEMBLE,a5086,inferred_from_component_label,R040-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
41,Support équipé,A5086 - Aluminium,aluminium,0.099,0.099,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT EQUIPE,a5086,inferred_from_component_label,R041-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,0.117,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT MANCHETTE EQUIPEE,a5086,inferred_from_component_label,R042-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
43,Support NFC,A5086 - Aluminium,aluminium,0.01,0.01,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT NFC,a5086,inferred_from_component_label,R043-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,0.404,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,RENFORT TUBULAIRE,a6060,inferred_from_component_label,R044-P0005,Alcoa,AMAG Austria Metall,Groupe Segnere / SEGNERE Ade - internal machining/forming process,Groupe Segnere / SEGNERE Ade
45,Ceinture de sécurité,acier,steel,0.72,0.72,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_mixed_material_share,equipment_material_split,CEINTURE DE SECURITE,steel share of 80%INOX 20%Nylon,inferred_from_component_label,R045-P0001,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
46,Support clamps,acier,steel,1.284,1.284,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_mixed_material_share,equipment_material_split,SUPPORT + CLAMPS,steel share of 50% INOX 50% PA66,inferred_from_component_label,R046-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
47,Accoudoir allée,acier,steel,0.7096766,0.7096766,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,acier,inferred_from_component_label,R047-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
48,Bumper version porte,acier,steel,0.024,0.024,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,BUMPER VERSION PORTE,acier,inferred_from_component_label,R048-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
49,Ens. Stowage latéral,acier,steel,0.0151984,0.0151984,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,acier,inferred_from_component_label,R049-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,steel,0.496,0.496,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE COQUE,acier,inferred_from_component_label,R050-P0006,ArcelorMittal,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,SUMPAR
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,1.417,1.417,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,35nc6,inferred_from_component_label,R051-P0001,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
52,Ens. Palette optimisée,acier,steel,0.58,0.58,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PALETTE OPTIMISEE,acier,inferred_from_component_label,R052-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
53,Ensemble porte,acier,steel,0.0430761,0.0430761,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PORTE,acier,inferred_from_component_label,R053-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,12.7611,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,a2017,inferred_from_component_label,R054-P0020,Alcoa,AMAG Austria Metall,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,5.659,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,a2024,inferred_from_component_label,R055-P0018,Alcoa,AMAG Austria Metall,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
56,Ens. Tablette cocktail,acier,steel,1.133,1.133,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE COCKTAIL,acier,inferred_from_component_label,R056-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
57,Ens. Tablette repas,acier,steel,0.1165,0.1165,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,acier,inferred_from_component_label,R057-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
58,Habillage sous fauteuil,acier,steel,0.0270916,0.0270916,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,HABILLAGE SOUS FAUTEUIL,acier,inferred_from_component_label,R058-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
59,Manchette équipée,acier,steel,0.0191495,0.0191495,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE EQUIPEE,acier,inferred_from_component_label,R059-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
60,Renfort tubulaire,acier,steel,0.003,0.003,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,RENFORT TUBULAIRE,acier,inferred_from_component_label,R060-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
61,Stowage assemblé avec porte,acier,steel,0.0943581,0.0943581,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,acier,inferred_from_component_label,R061-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
62,Structure ottoman horizontale,acier,steel,0.0666443,0.0666443,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,Structure Ottoman (horizontale),acier,inferred_from_component_label,R062-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
63,Support écran,acier,steel,0.05736,0.05736,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT ECRAN ASSEMBLE,acier,inferred_from_component_label,R063-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
64,Support équipé,acier,steel,0.003,0.003,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT EQUIPE,acier,inferred_from_component_label,R064-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
65,Support manchette équipée,acier,steel,0.006,0.006,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT MANCHETTE EQUIPEE,acier,inferred_from_component_label,R065-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
66,Accoudoir allée,Alu,aluminium,3.0435071,3.0435071,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ACCOUDOIR ALLEE,aluminium (4 BOM material rows),inferred_from_component_label,R066-P0001,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR
67,Ens. Palette optimisée,Alu,aluminium,12.5475707,12.5475707,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENSEMBLE PALETTE OPTIMISEE,aluminium (2 BOM material rows),inferred_from_component_label,R067-P0001,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR
68,Ensemble porte,Alu,aluminium,6.872,6.872,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,ENSEMBLE PORTE,aluminium (1 BOM material rows),inferred_from_component_label,R068-P0001,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,0.458,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,a5086,inferred_from_component_label,R069-P0011,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE
70,Manchette acc. Mobile,Alu,aluminium,0.106,0.106,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,MANCHETTE ACC MOBILE,aluminium (2 BOM material rows),inferred_from_component_label,R070-P0001,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,3.365,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,BRACKETS-SET (cables),cable model,inferred_from_component_label,R071-P0070,TE Connectivity - COTS electronics component market basket,TE Connectivity - COTS electronics subassembly/PCB package,TE Connectivity - electronics routing/EMS package,TE Connectivity
72,Ens. Structure fauteuil,acier,steel,1.687,1.687,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,acier,inferred_from_component_label,R072-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,0.2,0.2,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SFCU,keyboard glo market for apos u,inferred_from_component_label,R073-P0004,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,e2ip technologies,Thales
