"record_index","system","component","family","readiness","issue_codes","t4","t3","t2","t1","t4_t3_km","t3_t2_km","t2_t1_km","t1_oem_km","t4_t3_modes","t3_t2_modes","t2_t1_modes","t1_oem_modes"
"96","Ensemble porte","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"98","Ens. Tablette cocktail","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"99","Ens. Tablette repas","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"100","Ens. Têtière","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"101","Stowage assemblé avec porte","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"102","Support écran","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"128","Ens. Coque","Résine BR623 - composite","adhesive_composite","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","BASF","Henkel","Ensinger","JAMCO Aircraft Interiors - Niigata","419.6","454.7","9231.0","9489.6","rail|ship|truck","","","truck"
"138","Ens. Structure fixe","inox","steel","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;long_distance_mode_implausible","Saarstahl","Aubert & Duval","Senior Aerospace Thailand - internal machining/forming process","Senior Aerospace Thailand","501.0","9583.9","0.0","9564.8","rail|ship|truck","","internal","truck"
"151","Ens. Structure porte","Z10CNT18","steel","not_ready_rework_required","edge_transport_mode_not_explicit;material_certificate_required;supplier_material_family_incompatible","China Baowu / Baosteel","Krupp","SGL Carbon","MGA Villeneuve St Lot","8782.6","399.1","1029.9","499.6","rail|ship|truck","","","truck"
"157","Siége","aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;lca_mass_low_confidence;material_certificate_required;supplier_material_family_incompatible","Aluminium Corporation of China / Chalco","Euralliage Ile de France","MGR Foamtex Ltd","COLLINS","7616.6","390.4","1051.6","667.6","rail|ship|truck","","","ship|truck"
"161","Siége","65% aluminium","aluminium","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;lca_mass_requires_review;long_distance_mode_implausible;material_certificate_required","Aluminium Corporation of China / Chalco","Euralliage Ile de France","JAMCO Aircraft Interiors - Niigata - internal machining/forming process","JAMCO Aircraft Interiors - Niigata","7616.6","9453.8","0.0","9489.6","rail|ship|truck","","internal","truck"
"162","Siége","16 % Tissu, mousse, polyéthylène","textile_leather","not_ready_transport_rework","edge_transport_mode_not_explicit;lca_mass_requires_review;long_distance_mode_implausible","BASF","Zhejiang Yuxin Textile Co.,Ltd.","DuPont de Nemours","JAMCO Aircraft Interiors - Niigata","8876.9","12231.1","10811.2","9489.6","rail|ship|truck","","","truck"
"164","Siége","8% autre (silicium, cuirs synthétique)","textile_leather","not_ready_transport_rework","edge_transport_mode_not_explicit;lca_mass_requires_review;long_distance_mode_implausible","BASF","Zhejiang Yuxin Textile Co.,Ltd.","DuPont de Nemours","JAMCO Aircraft Interiors - Niigata","8876.9","12231.1","10811.2","9489.6","rail|ship|truck","","","truck"
"165","Siége","16 % Tissu, mousse","textile_leather","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;lca_mass_requires_review;long_distance_mode_implausible","BASF","Zhejiang Yuxin Textile Co.,Ltd.","DuPont de Nemours","JAMCO Aircraft Interiors - Niigata","8876.9","12231.1","10811.2","9489.6","rail|ship|truck","","","truck"
"165","Siége","16 % Tissu, mousse","textile_leather","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;lca_mass_requires_review;long_distance_mode_implausible","BASF","Zhejiang Yuxin Textile Co.,Ltd.","DuPont de Nemours","JAMCO Aircraft Interiors - Niigata","8876.9","12231.1","10811.2","9489.6","rail|ship|truck","","","truck"
"166","siege","titane fibre de carbone","titanium_carbon","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;lca_mass_low_confidence;long_distance_mode_implausible","Toray Industries - carbon fiber upstream source assumption","Toray Industries","Toray Industries","JAMCO Aircraft Interiors - Niigata","411.4","0.0","766.7","9489.6","rail|ship|truck","","","truck"
"166","siege","titane fibre de carbone","titanium_carbon","not_ready_transport_rework","baseline_node_is_assumption;edge_transport_mode_not_explicit;lca_mass_low_confidence;long_distance_mode_implausible","Toray Industries - carbon fiber upstream source assumption","Toray Industries","Toray Industries","JAMCO Aircraft Interiors - Niigata","411.4","0.0","766.7","9489.6","rail|ship|truck","","","truck"
"167","Accoudoir allée","A2024 - Aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;long_distance_mode_implausible;supplier_material_family_incompatible","Alcoa","AMAG Austria Metall","Combigo","SUMPAR","7635.5","791.2","99.5","83.8","truck","","","truck"
"174","Siége","aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;lca_mass_low_confidence;material_certificate_required;supplier_material_family_incompatible","Aluminium Corporation of China / Chalco","Euralliage Ile de France","MGR Foamtex Ltd","COLLINS","7616.6","390.4","1051.6","667.6","rail|ship|truck","","","ship|truck"
"175","Siége","aluminium","aluminium","not_ready_rework_required","edge_transport_mode_not_explicit;lca_mass_low_confidence;material_certificate_required;supplier_material_family_incompatible","Aluminium Corporation of China / Chalco","Euralliage Ile de France","MGR Foamtex Ltd","COLLINS","7616.6","390.4","1051.6","667.6","rail|ship|truck","","","ship|truck"
