day,node_id,item_id,consumed_qty,uom
8,M-1810,item:099439,0.046943,KG
8,M-1810,item:338928,23.124467,UN
8,M-1810,item:338929,23.124467,UN
8,M-1810,item:426331,0.254369,UN
8,M-1810,item:693055,9.388534,G
8,SDC-1450,item:021081,0.0,KG
9,M-1430,item:038005,0.448415,KG
9,M-1430,item:042342,1546.25732,UN
9,M-1430,item:333362,25.624893,UN
9,M-1430,item:344135,25.624893,UN
9,M-1430,item:708073,0.203205,KG
9,M-1430,item:730384,5.432477,M
9,M-1430,item:734545,0.204999,UN
9,M-1430,item:773474,247.40112,G
9,M-1810,item:001757,0.041615,KG
9,M-1810,item:001848,0.031211,KG
9,M-1810,item:001893,0.19767,KG
9,M-1810,item:002612,0.052019,KG
9,M-1810,item:007923,83.229654,G
9,M-1810,item:016332,0.012484,KG
9,M-1810,item:029313,0.00104,KG
9,M-1810,item:039668,0.00104,KG
9,M-1810,item:049371,0.038494,KG
9,M-1810,item:055703,0.002081,KG
9,M-1810,item:099439,0.052019,KG
9,M-1810,item:338928,25.624893,UN
9,M-1810,item:338929,25.624893,UN
9,M-1810,item:426331,0.281874,UN
9,M-1810,item:693055,10.403707,G
9,SDC-1450,item:021081,0.0,KG
10,M-1430,item:038005,0.509663,KG
10,M-1430,item:042342,1757.459464,UN
10,M-1430,item:333362,29.124979,UN
10,M-1430,item:344135,29.124979,UN
10,M-1430,item:708073,0.230961,KG
10,M-1430,item:730384,6.174495,M
10,M-1430,item:734545,0.233,UN
10,M-1430,item:773474,281.193456,G
10,M-1810,item:001757,0.047299,KG
10,M-1810,item:001848,0.035474,KG
10,M-1810,item:001893,0.22467,KG
10,M-1810,item:002612,0.059124,KG
10,M-1810,item:007923,94.597931,G
10,M-1810,item:016332,0.01419,KG
10,M-1810,item:029313,0.001182,KG
10,M-1810,item:039668,0.001182,KG
10,M-1810,item:049371,0.043752,KG
10,M-1810,item:055703,0.002365,KG
10,M-1810,item:099439,0.059124,KG
10,M-1810,item:338928,29.124979,UN
10,M-1810,item:338929,29.124979,UN
10,M-1810,item:426331,0.320375,UN
10,M-1810,item:693055,11.824741,G
10,SDC-1450,item:021081,0.0,KG
11,M-1430,item:038005,0.486914,KG
11,M-1430,item:042342,1679.015893,UN
11,M-1430,item:333362,27.824996,UN
11,M-1430,item:344135,27.824996,UN
11,M-1430,item:708073,0.220652,KG
11,M-1430,item:730384,5.898899,M
11,M-1430,item:734545,0.2226,UN
11,M-1430,item:773474,268.642487,G
11,M-1810,item:001757,0.045188,KG
11,M-1810,item:001848,0.033891,KG
11,M-1810,item:001893,0.214642,KG
