day,node_id,item_id,stock_before_production
6,M-1810,item:001757,0.0812
6,M-1810,item:001848,0.0609
6,M-1810,item:001893,0.3857
6,M-1810,item:002612,0.1015
6,M-1810,item:016332,0.02436
6,M-1810,item:029313,0.00203
6,M-1810,item:039668,0.00203
6,M-1810,item:049371,0.07511
6,M-1810,item:055703,0.00406
6,M-1810,item:099439,0.1015
6,M-1810,item:338928,50.0
6,M-1810,item:338929,50.0
6,M-1810,item:426331,0.55
6,M-1810,item:693055,20.3
6,M-1810,item:693710,840.0
7,M-1430,item:038005,0.437479
7,M-1430,item:042342,1508.55
7,M-1430,item:333362,25.0
7,M-1430,item:344135,25.0
7,M-1430,item:708073,0.19825
7,M-1430,item:730384,5.3
7,M-1430,item:734545,0.2
7,M-1430,item:773474,241.36795
7,M-1810,item:001757,0.0406
7,M-1810,item:001848,0.03045
7,M-1810,item:001893,0.19285
7,M-1810,item:002612,0.05075
7,M-1810,item:016332,0.01218
7,M-1810,item:029313,0.001015
7,M-1810,item:039668,0.001015
7,M-1810,item:049371,0.037555
7,M-1810,item:055703,0.00203
7,M-1810,item:099439,0.05075
7,M-1810,item:338928,25.0
7,M-1810,item:338929,25.0
7,M-1810,item:426331,0.275
7,M-1810,item:693055,10.15
7,M-1810,item:693710,840.0
8,M-1430,item:038005,0.437479
8,M-1430,item:042342,1508.55
8,M-1430,item:333362,25.0
8,M-1430,item:344135,25.0
8,M-1430,item:708073,0.19825
8,M-1430,item:730384,5.3
8,M-1430,item:734545,0.2
8,M-1430,item:773474,241.36795
8,M-1810,item:001757,0.0406
8,M-1810,item:001848,0.03045
8,M-1810,item:001893,0.19285
8,M-1810,item:002612,0.05075
8,M-1810,item:016332,0.01218
8,M-1810,item:029313,0.001015
8,M-1810,item:039668,0.001015
8,M-1810,item:049371,0.037555
8,M-1810,item:055703,0.00203
8,M-1810,item:099439,0.05075
8,M-1810,item:338928,25.0
8,M-1810,item:338929,25.0
8,M-1810,item:426331,0.275
8,M-1810,item:693055,10.15
8,M-1810,item:693710,840.0
9,M-1430,item:038005,0.437479
9,M-1430,item:042342,1508.55
9,M-1430,item:333362,25.0
9,M-1430,item:344135,25.0
9,M-1430,item:708073,0.19825
9,M-1430,item:730384,5.3
9,M-1430,item:734545,0.2
9,M-1430,item:773474,241.36795
9,M-1810,item:001757,0.0406
9,M-1810,item:001848,0.03045
9,M-1810,item:001893,0.19285
9,M-1810,item:002612,0.05075
9,M-1810,item:016332,0.01218
9,M-1810,item:029313,0.001015
9,M-1810,item:039668,0.001015
9,M-1810,item:049371,0.037555
9,M-1810,item:055703,0.00203
9,M-1810,item:099439,0.05075
9,M-1810,item:338928,25.0
9,M-1810,item:338929,25.0
9,M-1810,item:426331,0.275
9,M-1810,item:693055,10.15
9,M-1810,item:693710,840.0
10,M-1430,item:038005,0.437479
10,M-1430,item:042342,1508.55
10,M-1430,item:333362,25.0
10,M-1430,item:344135,25.0
10,M-1430,item:708073,0.19825
10,M-1430,item:730384,5.3
10,M-1430,item:734545,0.2
10,M-1430,item:773474,241.36795
10,M-1810,item:001757,0.0406
10,M-1810,item:001848,0.03045
10,M-1810,item:001893,0.19285
10,M-1810,item:002612,0.05075
10,M-1810,item:016332,0.01218
10,M-1810,item:029313,0.001015
10,M-1810,item:039668,0.001015
10,M-1810,item:049371,0.037555
10,M-1810,item:055703,0.00203
10,M-1810,item:099439,0.05075
10,M-1810,item:338928,25.0
10,M-1810,item:338929,25.0
10,M-1810,item:426331,0.275
10,M-1810,item:693055,10.15
10,M-1810,item:693710,840.0
11,M-1430,item:038005,0.437479
11,M-1430,item:042342,1508.55
11,M-1430,item:333362,25.0
11,M-1430,item:344135,25.0
11,M-1430,item:708073,0.19825
11,M-1430,item:730384,5.3
11,M-1430,item:734545,0.2
11,M-1430,item:773474,241.36795
11,M-1810,item:001757,0.0406
11,M-1810,item:001848,0.03045
11,M-1810,item:001893,0.19285
11,M-1810,item:002612,0.05075
11,M-1810,item:016332,0.01218
11,M-1810,item:029313,0.001015
11,M-1810,item:039668,0.001015
11,M-1810,item:049371,0.037555
11,M-1810,item:055703,0.00203
11,M-1810,item:099439,0.05075
11,M-1810,item:338928,25.0
11,M-1810,item:338929,25.0
11,M-1810,item:426331,0.275
11,M-1810,item:693055,10.15
11,M-1810,item:693710,840.0
12,M-1430,item:038005,0.437479
12,M-1430,item:042342,1508.55
12,M-1430,item:333362,25.0
12,M-1430,item:344135,25.0
12,M-1430,item:708073,0.19825
12,M-1430,item:730384,5.3
12,M-1430,item:734545,0.2
12,M-1430,item:773474,241.36795
12,M-1810,item:001757,0.0406
12,M-1810,item:001848,0.03045
12,M-1810,item:001893,0.19285
12,M-1810,item:002612,0.05075
12,M-1810,item:016332,0.01218
12,M-1810,item:029313,0.001015
12,M-1810,item:039668,0.001015
12,M-1810,item:049371,0.037555
12,M-1810,item:055703,0.00203
12,M-1810,item:099439,0.05075
12,M-1810,item:338928,25.0
12,M-1810,item:338929,25.0
12,M-1810,item:426331,0.275
12,M-1810,item:693055,10.15
12,M-1810,item:693710,840.0
13,M-1430,item:038005,0.437479
13,M-1430,item:042342,1508.55
13,M-1430,item:333362,25.0
13,M-1430,item:344135,25.0
13,M-1430,item:708073,0.19825
13,M-1430,item:730384,5.3
13,M-1430,item:734545,0.2
13,M-1430,item:773474,241.36795
13,M-1810,item:001757,0.0406
13,M-1810,item:001848,0.03045
13,M-1810,item:001893,0.19285
